runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.image.editableimage,param.start.vector2,param.finish.vector2,param.color3.color3,param.transparency.float,param.imagecombinetype.enumitem
1,100001,22399996,1,EditableImage[2048][2048],Vector2(660;51),Vector2(809;325),Color3(221;76;25),0.1,ImageCombineType(BlendSourceOver)
1,200002,17100014,1,EditableImage[2048][2048],Vector2(232;341),Vector2(376;586),Color3(39;123;108),0.5,ImageCombineType(AlphaBlend)
1,300003,45299996,1,EditableImage[2048][2048],Vector2(221;6),Vector2(1376;1597),Color3(66;198;212),0.6000000000000001,ImageCombineType(AlphaBlend)
1,200002,35699981,1,EditableImage[1024][1024],Vector2(355;554),Vector2(973;1023),Color3(27;196;73),0.8,ImageCombineType(Add)
1,200002,3900001,1,EditableImage[1024][1024],Vector2(1022;1022),Vector2(1023;1023),Color3(38;123;141),0.30000000000000004,ImageCombineType(Overwrite)
1,200002,38200000,1,EditableImage[2048][2048],Vector2(1136;1923),Vector2(346;1470),Color3(202;190;214),0,ImageCombineType(Multiply)
1,200002,6300019,1,EditableImage[2048][2048],Vector2(790;875),Vector2(796;740),Color3(137;11;203),0.30000000000000004,ImageCombineType(BlendSourceOver)
1,200002,15800004,1,EditableImage[2048][2048],Vector2(659;1204),Vector2(1356;1471),Color3(191;30;114),0.9,ImageCombineType(AlphaBlend)
1,200002,37399994,1,EditableImage[2048][2048],Vector2(520;1474),Vector2(1472;592),Color3(194;4;156),0.9,ImageCombineType(Add)
1,300003,33999997,1,EditableImage[2048][2048],Vector2(1155;303),Vector2(1884;1361),Color3(17;219;100),0.5,ImageCombineType(BlendSourceOver)
1,100001,12200006,1,EditableImage[1024][1024],Vector2(430;1023),Vector2(1023;800),Color3(130;228;41),0.9,ImageCombineType(Multiply)
1,200002,4100003,1,EditableImage[512][512],Vector2(511;511),Vector2(51;511),Color3(120;64;233),0.7000000000000001,ImageCombineType(Overwrite)
1,200002,34400001,1,EditableImage[2048][2048],Vector2(804;1812),Vector2(151;655),Color3(18;114;35),0.2,ImageCombineType(Overwrite)
1,200002,18199994,1,EditableImage[2048][2048],Vector2(257;1522),Vector2(49;330),Color3(137;0;6),0.2,ImageCombineType(AlphaBlend)
1,100001,43500012,1,EditableImage[1024][1024],Vector2(734;1023),Vector2(1023;12),Color3(115;192;247),0.30000000000000004,ImageCombineType(AlphaBlend)
1,200002,20000007,1,EditableImage[2048][2048],Vector2(1846;814),Vector2(1178;494),Color3(172;105;33),0.30000000000000004,ImageCombineType(BlendSourceOver)
1,200002,35100006,1,EditableImage[2048][2048],Vector2(35;2019),Vector2(1287;874),Color3(4;133;24),0.2,ImageCombineType(Overwrite)
1,200002,10899996,1,EditableImage[1024][1024],Vector2(877;707),Vector2(1023;928),Color3(79;9;168),0.4,ImageCombineType(Overwrite)
1,200002,4200003,1,EditableImage[512][512],Vector2(511;511),Vector2(308;511),Color3(211;208;47),0.30000000000000004,ImageCombineType(Add)
1,200002,5700015,1,EditableImage[1024][1024],Vector2(7;1023),Vector2(762;1023),Color3(114;115;204),0.6000000000000001,ImageCombineType(Multiply)
1,300003,3199996,1,EditableImage[256][256],Vector2(254;254),Vector2(255;255),Color3(147;104;212),0.30000000000000004,ImageCombineType(Add)
1,100001,3199996,1,EditableImage[512][512],Vector2(511;511),Vector2(249;511),Color3(40;236;212),0.4,ImageCombineType(Multiply)
1,300003,26800001,1,EditableImage[2048][2048],Vector2(1708;1744),Vector2(551;1321),Color3(92;227;170),0.4,ImageCombineType(Multiply)
1,199973,32300014,1,EditableImage[2048][2048],Vector2(1584;1662),Vector2(1828;703),Color3(116;255;32),0.1,ImageCombineType(AlphaBlend)
1,100001,36000013,1,EditableImage[2048][2048],Vector2(1556;933),Vector2(1331;1330),Color3(243;73;127),0.7000000000000001,ImageCombineType(Add)
1,300003,7700001,1,EditableImage[1024][1024],Vector2(1023;1023),Vector2(1023;459),Color3(228;241;247),0.2,ImageCombineType(Add)
