runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.image.editableimage,param.position.vector2,param.size.vector2,param.color3.color3,param.transparency.float,param.imagecombinetype.enumitem
1,200002,392799994,1,EditableImage[2048][2048],Vector2(891;1064),Vector2(359;471),Color3(158;145;235),0.5,ImageCombineType(AlphaBlend)
1,200002,352500007,1,EditableImage[2048][2048],Vector2(435;1765),Vector2(1613;54),Color3(94;27;9),0,ImageCombineType(Add)
1,500004,1071800013,1,EditableImage[1024][1024],Vector2(205;548),Vector2(799;322),Color3(101;31;40),0,ImageCombineType(Add)
1,200002,7199997,1,EditableImage[2048][2048],Vector2(940;1),Vector2(51;74),Color3(137;64;132),0.1,ImageCombineType(Overwrite)
1,100001,238699985,1,EditableImage[2048][2048],Vector2(449;511),Vector2(1513;859),Color3(93;78;51),0,ImageCombineType(BlendSourceOver)
1,300003,143599988,1,EditableImage[1024][1024],Vector2(323;370),Vector2(548;139),Color3(166;173;145),0.30000000000000004,ImageCombineType(BlendSourceOver)
1,300003,1230399998,1,EditableImage[2048][2048],Vector2(1712;1),Vector2(336;878),Color3(242;187;244),0,ImageCombineType(AlphaBlend)
1,200002,278599997,1,EditableImage[2048][2048],Vector2(485;540),Vector2(933;1508),Color3(71;124;114),0.7000000000000001,ImageCombineType(Overwrite)
1,300003,3656299989,1,EditableImage[2048][2048],Vector2(1;1186),Vector2(802;862),Color3(221;227;213),0.6000000000000001,ImageCombineType(Multiply)
1,300003,3390400002,1,EditableImage[2048][2048],Vector2(1402;1),Vector2(646;1489),Color3(133;242;23),0.5,ImageCombineType(AlphaBlend)
1,200002,5385600002,1,EditableImage[2048][2048],Vector2(783;117),Vector2(565;1772),Color3(115;58;10),0.7000000000000001,ImageCombineType(Multiply)
1,300003,3737199994,1,EditableImage[2048][2048],Vector2(92;86),Vector2(625;1962),Color3(223;235;140),0.6000000000000001,ImageCombineType(Multiply)
1,300003,140000019,1,EditableImage[512][512],Vector2(194;173),Vector2(318;300),Color3(104;178;99),0.1,ImageCombineType(BlendSourceOver)
1,200002,479200011,1,EditableImage[1024][1024],Vector2(394;1),Vector2(412;513),Color3(91;236;58),0,ImageCombineType(AlphaBlend)
1,200002,2548699995,1,EditableImage[2048][2048],Vector2(160;1),Vector2(1591;631),Color3(220;26;94),0.8,ImageCombineType(AlphaBlend)
1,299974,171699998,1,EditableImage[2048][2048],Vector2(143;1060),Vector2(1053;988),Color3(62;111;65),0,ImageCombineType(BlendSourceOver)
