runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer,param.b.integer
1,3908,25846,250000,2876002203,1312896449
1,3902,26121,250000,1834144785,2967828024
1,3910,26061,250000,1811288531,2962194061
1,3933,26249,250000,170608492,1621373526
1,3920,25914,250000,1454294774,3920890025
1,3955,25737,250000,85324744,2686868599
1,3903,25734,250000,3928346399,1466225063
1,4022,25973,250000,681261844,1003530171
1,3904,25989,250000,323333931,1617623824
1,3902,25851,250000,600361099,3746960083
1,3922,25991,250000,3767877426,1396532901
1,4175,26005,250000,3411510882,2628166474
1,4027,26061,250000,554943332,1632589218
1,3967,26180,250000,1650498564,3079823006
1,3903,26050,250000,101563681,4189433792
1,4019,25838,250000,3370966234,3158456063
1,3930,26124,250000,289140339,1658449713
1,3990,26003,250000,3033999325,2950244288
1,3908,25778,250000,2293949394,2309283623
1,3932,27518,250000,2848683813,151534413
1,3905,25866,250000,249425236,3202730763
1,4030,27237,250000,718792478,3369115887
1,3999,26373,250000,2739804217,2394400092
1,4062,26125,250000,638312648,3075162558
1,3929,26126,250000,2560498182,3013758990
1,4004,27325,250000,230906348,2030034246
1,3928,26246,250000,2539813550,260553284
1,3902,25908,250000,3612195936,2543444393
1,3926,26035,250000,2407328027,607865271
1,4058,26470,250000,1523400083,514070579
1,3921,26104,250000,381732912,203435258
1,3913,26016,250000,2089569051,494289503
1,4005,26078,250000,1082642384,1237632622
1,4679,26418,250000,2326691482,509977816
1,3949,26397,250000,1684416348,2299934499
1,4046,26312,250000,548812127,448532429
1,4015,26069,250000,879631666,4270803231
1,4042,26115,250000,2862985067,1408223986
1,4038,26128,250000,3013928853,203630074
1,3910,26253,250000,3396762901,382350528
1,3910,25813,250000,1879509971,2365579208
1,3990,25848,250000,1047952314,443384058
1,3987,26195,250000,85797001,2828891447
1,3929,26154,250000,1690845731,681426765
1,3985,27141,250000,2971616822,2168244215
1,3929,25914,250000,245859891,2824270628
1,3910,26110,250000,3416958226,3791589986
1,3961,25765,250000,3912793764,1997827409
1,4025,25985,250000,766861793,2148312425
1,3907,26218,250000,3227447063,149735209
1,3919,26193,250000,2828593119,4031829577
1,3908,25931,250000,1032113211,737079792
1,3922,26745,250000,2421563818,3525524917
1,4094,27873,250000,1650210979,134822308
1,4073,26573,250000,862002769,3445196082
1,4012,27668,250000,3958521623,123597154
1,3924,26747,250000,1118919861,2050790030
