runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer,param.b.integer
1,3271,40418,250000,3564594759,3435882395
1,3315,39951,250000,910467013,4170311168
1,3334,40435,250000,3300691995,1129079712
1,3375,39922,250000,3848326313,1295596470
1,3392,40342,250000,775773115,2873429011
1,3321,40084,250000,3094461779,3829939712
1,3346,41075,250000,1803216784,3609434900
1,3370,40354,250000,1418253378,3505222644
1,3248,40178,250000,3006442380,94592362
1,3276,39969,250000,3035843594,1955954776
1,3269,39917,250000,3979886463,2386624180
1,3273,40070,250000,42325733,2793553178
1,3293,40054,250000,2583854324,1654849481
1,3332,39944,250000,4197789536,3872290530
1,3257,41508,250000,2014961288,2294000482
1,3372,40809,250000,3211584735,693413906
1,3384,40219,250000,2613966539,14525498
1,3357,40103,250000,3009457307,1018216154
1,3365,40559,250000,3620818758,2807829533
1,3442,40068,250000,2351861893,1183261719
1,3334,40160,250000,2538241056,410986576
1,3382,40192,250000,3674623173,3172273548
1,3373,40705,250000,3620744659,845013447
1,3305,39975,250000,1802526071,3715779469
1,3346,40054,250000,3909332484,4211549235
1,3448,40432,250000,2116115299,4179008955
1,3314,40314,250000,1872417686,618874728
1,3341,39823,250000,1917761162,1074035124
1,3424,40646,250000,2957606517,1705635848
1,3249,39921,250000,1904079913,1964983104
1,3281,40041,250000,81750207,1274228510
1,3356,40211,250000,3615800794,1963676906
1,3244,40089,250000,1473334193,3523480672
1,3391,40017,250000,2625212838,2496789943
1,3266,40241,250000,2334452679,1706815400
1,3255,40154,250000,3886801522,1218159586
1,3271,40212,250000,1874271745,1872951229
1,3364,40193,250000,4147005564,2574596535
1,3323,40188,250000,4183784539,1575907865
1,3394,40212,250000,4255606678,1764198789
1,3281,40254,250000,2609503859,1389054201
1,3247,40443,250000,4216888450,1078473941
1,3271,40441,250000,3978284068,2875346985
1,3348,40528,250000,1352649014,2734259978
1,3320,40987,250000,2373083838,3067417984
1,3340,41601,250000,1205922789,2289796966
1,3339,41180,250000,1957320200,1873435585
1,3317,40744,250000,1772583515,4035409425
1,3303,40465,250000,2712427325,997983045
1,3394,40617,250000,3306242586,543492558
1,3273,40301,250000,3691027783,3714570518
1,3307,40409,250000,1483171581,3055519046
1,3279,40593,250000,3326552396,4194118895
1,3251,40407,250000,4174101015,1869113877
1,3353,40391,250000,578934843,71781881
1,3279,40737,250000,1757908790,1662772696
1,3248,40465,250000,808016726,1803235620
1,3342,40127,250000,3163639730,3032664250
1,3263,40336,250000,807626640,3284055244
1,3247,40065,250000,528673176,999390201
1,3271,41233,250000,2977965941,3234285990
1,3315,40009,250000,3828397719,4113959861
1,3245,40092,250000,3413871762,132927719
1,3272,40066,250000,520011409,3490847240
1,3270,39957,250000,2696954681,2577879260
1,3322,40575,250000,1024973458,4244769402
1,3358,40074,250000,95279395,3202782731
1,3274,40226,250000,384633027,2080101504
1,3313,41300,250000,2602413468,871883718
1,3352,41345,250000,4049069245,3634719309
1,3284,40469,250000,1242663793,2193278336
1,3319,40219,250000,469230789,1332421226
1,3346,40347,250000,1273222431,1315271506
1,3273,40401,250000,3854786416,1705480521
1,3481,40476,250000,1462112344,3563060779
1,3354,41201,250000,3610954558,2549540886
1,3344,40554,250000,3080170770,2642703100
1,3249,40217,250000,2740440601,233154564
1,3334,40395,250000,2352048175,189161279
1,3278,40564,250000,2802151866,2067181259
1,3353,40165,250000,882660197,1815537625
1,3267,40322,250000,4084968927,683484870
1,3265,40383,250000,3750488838,756475522
1,3249,40354,250000,216153874,320562886
1,3382,40163,250000,953249848,2974546026
1,3329,40610,250000,2037937151,490652346
1,3438,40549,250000,893477402,592580175
1,3279,39905,250000,2033886405,321162126
1,3399,40216,250000,1026177983,1525775468
1,3245,40345,250000,3020267294,219346721
1,3359,40423,250000,2721433322,4169368485
1,3276,40786,250000,1461315278,288499711
1,3288,40138,250000,4247186364,2093170217
1,3280,40234,250000,674109244,3241354668
1,3275,40207,250000,1856146862,2724792682
1,3266,40339,250000,362000543,1269105700
1,3279,40104,250000,1480963195,1600390210
1,3270,39988,250000,1277350181,2478791874
1,3267,40053,250000,696014163,2368122379
1,3345,41145,250000,3886093900,444170910
2,4115,30595,250000,3511642222,2280674635
2,4699,35418,250000,189740971,2175432557
2,4154,34825,250000,733260355,2346975944
2,4292,34541,250000,1489079179,3645072051
2,4966,36914,250000,1695727800,4196885276
2,4348,34162,250000,1502809902,3410711207
2,4442,30740,250000,732592114,3608008491
2,4286,29726,250000,458267546,3232986736
2,6159,32899,250000,1865384641,980829698
2,4603,32173,250000,1000143640,2603644273
2,4157,35728,250000,1491924337,2450080558
2,4157,34369,250000,723009546,962090817
2,4817,32619,250000,3111955868,3189352023
2,4858,37184,250000,3307071538,2392727393
2,4324,29868,250000,1323247281,3662009009
2,4322,31003,250000,411095319,812855674
2,5054,33750,250000,2124662012,3431000084
2,4279,29797,250000,1487202940,1247658730
2,4199,29593,250000,1388300499,3319097256
2,4276,31394,250000,1542033137,2405692928
2,4289,30621,250000,2690924100,4019549757
2,4203,33171,250000,1742419315,1000596751
2,4261,30854,250000,3774683001,927433366
2,4164,30919,250000,454512450,3422390073
2,4635,34686,250000,1101252989,2074040321
2,4387,36616,250000,3850242956,2833172709
2,4528,30089,250000,2611686917,1938475225
2,4437,29706,250000,1094320760,3703129483
2,4952,30305,250000,3786723548,1910873070
2,4504,35063,250000,1980182247,1358594326
2,5012,31731,250000,422032779,2414895116
2,4493,31710,250000,713454201,2263637011
2,4248,32122,250000,4065386782,4225258712
2,4083,32502,250000,1800426308,1550879130
2,4675,30208,250000,3903114898,3627605693
2,4337,34854,250000,989580686,2707977255
2,4392,33682,250000,1586571587,3477646648
2,4365,30251,250000,4101763191,684697266
2,4440,31109,250000,2590269838,2249579539
2,5647,33129,250000,1597087643,2293073778
2,4084,29316,250000,3459150619,2655841868
2,4259,34874,250000,2181163871,3707378252
2,4151,30737,250000,4060349744,1878790791
2,4175,29586,250000,143134193,2042828188
2,4317,29167,250000,2453911099,2006349098
2,4144,36295,250000,3296220274,2854801423
2,4457,31367,250000,1133627919,923345833
2,4402,32183,250000,1402744458,297595728
2,4336,31395,250000,1201746275,2590736978
2,4665,32757,250000,2094603329,1105164517
2,4393,30491,250000,591467183,1184366974
2,5721,32494,250000,651609195,2327750624
2,4718,34786,250000,2315967400,1742007906
2,4196,34683,250000,3834218525,1655189897
2,4450,30399,250000,2622950758,4082207861
2,4491,30742,250000,2322739733,1595324320
2,4178,30396,250000,4213507229,332845910
2,4715,31665,250000,1841013050,2124414214
2,4040,30938,250000,707176967,4004046968
2,5564,34749,250000,4099727830,1447375752
2,4423,29989,250000,804772572,3690394977
2,4231,30739,250000,3216938010,2083441558
2,4621,31309,250000,2010035340,4290033172
2,4168,30939,250000,3123176557,1072728636
2,4140,31041,250000,343077540,18388234
2,4578,30908,250000,3352054419,448941227
2,4392,31857,250000,1542966618,3337146973
2,4282,30715,250000,1789576205,4076600793
2,4380,30875,250000,714692857,2393225227
2,4267,30628,250000,497505783,3285400586
2,4089,29551,250000,824024775,877026472
2,4240,32188,250000,3540435599,7513634
2,4130,30198,250000,3266928061,345021938
2,4321,35128,250000,4064649809,4270984418
2,4469,29758,250000,2396293201,2135012547
2,4263,30677,250000,3529279255,875679770
2,5490,32365,250000,128899773,3988495572
2,4305,30472,250000,1364174829,1716740051
2,4483,31775,250000,1320290668,2571820582
2,4480,32398,250000,864597926,3441795055
2,4495,33634,250000,1213108946,3422431544
2,4430,30366,250000,349847064,4091673377
2,4154,30566,250000,1487479886,1682458067
2,4260,30904,250000,3778596570,1455083218
2,4200,30758,250000,1726289132,366628363
2,5126,34550,250000,2334398378,3873919184
2,4210,30723,250000,426383497,119340029
2,4233,32184,250000,3809090416,453988938
2,4107,29638,250000,2435429174,235069463
2,4383,33589,250000,3642332603,2083751569
2,4350,30385,250000,4256630311,1086720121
2,5225,33700,250000,4249777840,1442596165
2,4713,31892,250000,4228683906,2997781502
2,4692,34695,250000,4108857015,4080396297
2,4526,33639,250000,3150658312,405935795
2,4358,31373,250000,3221348836,219460150
2,4207,31064,250000,846836389,3125590462
2,4428,29401,250000,1826634337,2825197997
2,5109,31801,250000,181130998,1304285376
2,4367,33081,250000,81786243,3165057912
3,3288,22809,250000,1094229730,2850404492
3,3293,23567,250000,136941609,490055035
3,3282,23358,250000,3614290323,3691496336
3,3292,22181,250000,630992930,3959552238
3,3281,22312,250000,2155627163,2617646850
3,3272,22483,250000,1589430819,1842265023
3,3273,22645,250000,2022452260,594914539
3,3276,22782,250000,920029029,3804731415
3,3320,22655,250000,658687885,2937810477
3,3281,22551,250000,3105889544,24248415
3,3270,22266,250000,2960054795,3433133362
3,3271,22285,250000,880478712,652085413
3,3288,22564,250000,1377905435,1462417633
3,3299,22447,250000,3730791096,2030535957
3,3305,22501,250000,3436701590,1335249086
3,3288,22626,250000,682125380,370457204
3,3296,22637,250000,2372998799,2584561171
3,3295,23825,250000,554357779,1631897853
3,3282,22980,250000,2995492440,292949946
3,3289,22614,250000,1125879599,2180581538
3,3281,22318,250000,4246494301,1003108422
3,3282,22480,250000,4281232376,316902803
3,3280,22485,250000,3548201990,915354249
3,3309,22699,250000,2010420474,2057992248
3,3281,22684,250000,3153093282,16764353
3,3276,22660,250000,1281741297,1971655904
3,3267,22568,250000,3144544893,1487055417
3,3290,22308,250000,980958824,2229472178
3,3283,22490,250000,2411974424,3736629262
3,3264,22679,250000,3095232717,3206733081
3,3295,22610,250000,1056964541,970523423
3,3372,22675,250000,2042324468,3596430987
3,3276,23524,250000,3806830122,4270484339
3,3282,22220,250000,2176044827,1791063730
