runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer,param.b.integer,param.c.integer
1,3403,40808,250000,1485061148,2443422676,667340035
1,3306,41901,250000,2366096424,2708767398,56782854
1,3404,44428,250000,2208025931,261056615,999180309
1,3379,41538,250000,3837651465,1326359014,1650590035
1,3246,40426,250000,2380664341,4253100255,128328561
1,3287,40281,250000,2853423344,4209679459,2112180875
1,3268,40522,250000,2749775267,1250673934,137850697
1,3332,40797,250000,3466369609,3723649090,1515115234
1,3281,40758,250000,1297724583,241887035,3156388917
1,3353,40564,250000,236449482,820074735,3383519686
1,3244,40883,250000,1274619326,3252708578,3517670764
1,3269,40672,250000,3653389041,2467748867,3472008735
1,3454,40376,250000,2510364062,2741272552,672282772
1,3447,40332,250000,1966490403,1263075913,2543053785
1,3293,40057,250000,3645463268,1339553903,1556564170
1,3296,40272,250000,2316210376,4258932059,4178560934
1,3275,40496,250000,3034441525,400267135,1128583432
1,3270,40459,250000,466472127,3082753142,1261340447
1,3301,40391,250000,2465061207,2621808648,1708503652
1,3329,40528,250000,2657943538,2204973079,2938262678
1,3293,40902,250000,633856416,52749450,1165195074
1,3269,40683,250000,971490839,3411077264,1233899713
1,3266,40936,250000,4257159512,3758643397,2933558901
1,3334,40775,250000,2565542601,3071154782,2259654352
1,3355,40486,250000,1990072973,1598068692,2395589103
1,3371,40630,250000,7990484,1256249712,1328249450
1,3273,40602,250000,883189017,4095842824,3146285611
1,3275,40797,250000,2093049565,3947631564,1664721149
1,3266,41209,250000,2319613150,630577842,3084208377
1,3287,40640,250000,1879801080,1482007440,781491404
1,3278,40677,250000,834188752,2142536588,242674404
1,3270,40818,250000,952349998,3574721988,3111878721
1,3403,40744,250000,241840580,32044346,2660466104
1,3340,40823,250000,947648999,2505496763,445652541
1,3275,40691,250000,3752072041,2236663975,3082893227
1,3278,40566,250000,1681179017,4230427637,3624031482
1,3337,40363,250000,2964667820,994339409,1263214500
1,3345,40329,250000,2166851499,656064037,2016190209
1,3544,41217,250000,4229379819,101792098,3001762537
1,3368,41149,250000,3973464507,4123732400,391828246
1,3265,40553,250000,2154700920,4217988782,879050834
1,3275,40608,250000,641431857,3242802012,639331074
1,3427,40598,250000,2232238343,2448260389,1224808543
1,3262,40286,250000,3069970335,3116446222,541237757
1,3271,40374,250000,2884382609,3142067033,3926876857
1,3277,40546,250000,1620389287,3218983053,279684817
1,3275,40428,250000,225360279,4057782752,3392816808
1,3272,40355,250000,824643509,2747502455,2233892500
1,3366,40567,250000,3797210536,1076018642,2537131507
1,3396,40986,250000,3187741715,927760547,3872998374
1,3376,41145,250000,299718945,3692068614,2429024787
1,3271,40644,250000,1204342988,394385280,3011644
1,3362,40414,250000,2230458387,668343621,2641912614
1,3276,40525,250000,2011858149,2868905712,1180179455
1,3405,40708,250000,883179001,2271695466,1643157202
1,3330,40560,250000,1426809073,1273812268,1151557778
1,3363,41935,250000,4007611621,475700495,3601571046
1,3375,40933,250000,3255216319,2130451691,1831032494
1,3407,40747,250000,796778188,365475810,1303872679
1,3278,40434,250000,2780349837,3540655587,192839637
1,3381,41268,250000,2833906365,3684033368,4168235271
1,3308,41868,250000,3801550581,1811285412,225555410
1,3367,43804,250000,3272757817,1122633146,424324870
1,3402,40952,250000,3044793985,728946925,2240822057
1,3317,40582,250000,1264740402,1677356919,406203878
1,3479,41231,250000,2731869854,2605731250,3274829495
1,3388,41090,250000,1077228307,3705160107,1853336585
1,3473,41676,250000,1478530797,2604808720,4241224704
1,3349,41986,250000,2540841257,1111758806,827473719
1,3344,40942,250000,847443246,2426672324,1570634605
1,3305,41520,250000,1638418131,2431011157,2433829984
1,3471,40864,250000,2357411201,427522865,2233360897
1,3276,41749,250000,3182823138,406175484,566931430
1,3389,40059,250000,1405465586,2192070168,1122417866
1,3285,41469,250000,2547364171,3685692731,2722750007
1,3357,41685,250000,3604613152,2315745247,2541545759
1,3278,40665,250000,2556337495,3360933962,406718797
1,3291,41419,250000,663437105,1623609373,2068148082
1,3291,41726,250000,1213341181,865141999,1585564326
1,3346,41178,250000,3867246444,292643885,627274001
1,3271,41426,250000,3444847431,1653998676,407345759
1,3342,41263,250000,3218085820,304158237,3349610773
1,3286,40871,250000,115241294,3363392765,968598510
1,3474,40602,250000,1321362407,3478817531,501654490
1,3354,41705,250000,2978519818,37259678,3966330365
1,3366,40678,250000,261687131,785979839,2412995241
1,3289,43591,250000,2533838963,2759547682,1482704620
1,3371,42119,250000,714004460,2829703618,1657761835
1,3354,41998,250000,3730680614,4104171837,2306542602
1,3368,42295,250000,3357670527,3969672886,3594785365
1,3367,42259,250000,2748306817,2633238252,160867440
1,3386,42353,250000,3797399356,2801265055,1881666390
1,3383,41796,250000,832447169,3127141155,4198537074
1,3361,42798,250000,3519452780,86820310,221241275
1,3394,41343,250000,1339737663,1841397923,1090972995
1,3390,42061,250000,2999719865,2498834554,3360972628
1,3336,40422,250000,3570092071,245126894,1299148132
1,3271,40589,250000,3388910167,3450948642,2454139033
1,3269,40760,250000,2501815169,2207867418,793337317
1,3281,41240,250000,2016407862,3204960289,1919385226
2,4571,33599,250000,1256781689,1368494701,1574345334
2,4354,34262,250000,916829710,3326046354,4243446560
2,4221,32256,250000,2124345789,2454803538,2063119990
2,4359,34076,250000,2080745226,1774304030,1969594824
2,4380,32570,250000,1528468937,2755693754,2890123584
2,4504,35640,250000,3381172693,1152011773,3409227562
2,4776,36679,250000,1236554854,4030658565,1433218882
2,4409,35034,250000,2767421063,2648728455,1284696765
2,4966,37206,250000,1022088071,4207638080,1612750364
2,4654,36198,250000,1764468194,2945474417,2302407403
2,4867,34900,250000,1528867171,230363717,2553924867
2,4761,35711,250000,2981407962,1816441873,753350886
2,4264,34522,250000,1844830139,365657797,1882699513
2,4082,32789,250000,3789971571,3836955680,1220773445
2,4305,34332,250000,142149427,3175475777,1155572460
2,4443,30972,250000,3816383033,3939143263,1325031950
2,4339,34059,250000,2333673114,2488683956,3466874520
2,4176,32723,250000,3361363657,3925709794,296580801
2,4700,32616,250000,837449806,1304013548,292777848
2,4434,36918,250000,4083553940,4200195953,351146670
2,4230,35298,250000,3059217037,3887710814,1583555384
2,4539,38510,250000,3246208314,3024204803,778084689
2,4794,33630,250000,1654410571,3572207932,4010506221
2,4387,38770,250000,4021685205,327954857,885165288
2,4201,31430,250000,1745310024,214311505,3645288437
2,5008,32312,250000,330972464,249096527,3390766262
2,4327,34299,250000,2449736615,4133690380,3412124784
2,4658,31422,250000,684207191,711312441,3211553747
2,4098,35879,250000,2246141924,1691158238,607523406
2,4098,34484,250000,3040198379,1222607859,744270807
2,4595,35572,250000,159099033,4178350284,3537212944
2,4771,33330,250000,2963628243,3366127823,3613899479
2,4043,33710,250000,755064188,30812655,2766316376
2,4118,30955,250000,3928751312,213002431,474874735
2,4273,32703,250000,2147247909,3580928071,4203733612
2,4660,33196,250000,4282503402,731705760,3640371334
2,4477,33474,250000,2980296480,181840706,2589447497
2,4906,35883,250000,3345441175,3069950620,1169524111
2,4297,38240,250000,3769107668,140588989,857886222
2,4465,33811,250000,1599798097,3527681405,3392699740
2,4162,33725,250000,3959491629,2410067841,3407074715
