runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer,param.b.integer
1,3925,25894,250000,1619590972,2107028003
1,4084,26103,250000,9089212,1458171755
1,3905,25863,250000,3946917472,258520091
1,4091,26010,250000,2603881952,2546475246
1,3966,26454,250000,3902202714,3771836890
1,3922,26010,250000,149277004,4149286795
1,3997,26484,250000,1020368169,2559601364
1,3982,26289,250000,613804933,3376014318
1,3920,26320,250000,4007101976,3836685612
1,3919,26678,250000,1043700099,1556505005
1,3913,26398,250000,1418470481,833309941
1,3922,26421,250000,3993878181,2414956787
1,3916,26417,250000,2279403156,2050739618
1,3953,25671,250000,2925448412,2467692361
1,3905,25936,250000,582651706,1328425258
1,3907,26703,250000,3282877663,1131792678
1,3918,25962,250000,3087250719,535621573
1,3904,27946,250000,2021307388,3183460685
1,4196,25672,250000,414633308,3498775769
1,3962,26378,250000,2967318290,777853736
1,4000,27793,250000,1770035240,3356931009
1,3930,25848,250000,1270519149,4198644123
1,3935,25644,250000,1126651244,140773070
1,3945,25790,250000,3705913947,1644202087
1,3930,25654,250000,3512735415,186629193
1,3972,25782,250000,1981859883,150832853
1,3924,25938,250000,1396848290,1832824049
1,3918,26514,250000,2411984428,1462375592
1,4717,25625,250000,3950792373,1890662523
1,4345,25620,250000,940853142,2049889400
1,4496,25688,250000,934403319,1300438632
1,4830,25621,250000,4248387427,2496629401
1,4286,25744,250000,2342349388,3959960119
1,4586,25832,250000,387972061,108998635
1,3905,25604,250000,4027863565,3894134190
1,4362,25675,250000,4041097943,2911299432
1,4674,25622,250000,2150249106,1778100348
1,4201,25588,250000,1604149284,2060635227
1,4450,25498,250000,2127189524,2476055565
1,4733,25887,250000,2674108771,3671831886
1,3906,25600,250000,775688364,3167481368
1,4559,25753,250000,1605194829,1330082233
1,4005,25715,250000,1791513219,4187529406
1,4376,25775,250000,1658959460,1582710946
1,4622,25748,250000,3034639558,3977598901
1,3912,25629,250000,1741046132,160035458
1,3925,25754,250000,4261994402,650992216
1,4702,25681,250000,2529353601,3513962521
1,4187,25666,250000,569371802,2022687747
1,4524,25710,250000,2451211491,3989536756
1,3905,25674,250000,3487629342,2896488412
1,3909,25697,250000,4190344974,3490460869
1,3905,25685,250000,2008329989,1655772720
1,4750,25664,250000,3255722518,7778749
1,4356,25739,250000,45622521,114723388
1,3978,25697,250000,121199983,2715728687
1,4901,25770,250000,1471200344,540454779
1,4401,25429,250000,3547091736,2938131845
1,3904,25649,250000,512628026,498487687
1,3905,25686,250000,72594667,3634737354
1,4477,25688,250000,1681294985,3961383684
1,4805,25656,250000,3365806913,1700309318
1,3908,25725,250000,3921345660,1392486234
1,4552,25688,250000,979033358,3754150422
1,4836,25856,250000,4176151757,314382605
1,4017,26470,250000,2187007327,2083695324
1,3908,26205,250000,1769962250,93939222
1,3981,25691,250000,2238601790,382508465
1,3940,25764,250000,3523138613,2818277230
1,4703,25861,250000,3094974794,2753576803
1,3911,26027,250000,442907034,2413541425
1,3934,26469,250000,1127495921,2246440295
1,3930,25528,250000,2025369010,3617010963
1,3973,25579,250000,2759474793,3926071557
1,3920,25652,250000,940897299,1370293408
1,3919,25974,250000,1235515073,1998273006
1,3916,25688,250000,23001780,1495177351
1,3958,25748,250000,703169526,2490177728
1,3932,26094,250000,1636843988,3369747540
1,4033,26660,250000,349351630,1157979265
1,4760,25646,250000,4174117424,1219891331
1,3918,25964,250000,1053532967,3824248276
1,3911,25799,250000,1332763068,3426923629
1,4754,25922,250000,1428959378,2515994857
1,4290,25626,250000,1579528119,1951203299
1,3976,25976,250000,1128464523,2341226382
1,3955,26355,250000,1115415700,4104156008
1,3910,26302,250000,999843473,1938395598
1,3912,26168,250000,4265667010,3360895054
1,3936,25998,250000,876801146,134900311
1,4470,25762,250000,1258085869,2051399250
1,4008,26040,250000,2065655221,2787075619
1,3923,25846,250000,3407826346,2115548536
1,4587,25850,250000,181323434,3420220300
1,3932,25738,250000,2883357562,3133382590
1,4327,25851,250000,1730645569,14260152
1,4620,25692,250000,1065924655,1651525332
1,4012,25584,250000,1890126777,1947473845
1,4412,25723,250000,1035764896,4021140960
1,3919,25824,250000,2861034063,4038087394
2,3711,21100,250000,4018939431,1166388013
2,3805,21868,250000,2897725172,1828205258
2,3783,23643,250000,4258180445,1935935091
2,3579,22034,250000,2100004211,2486583996
2,3622,22880,250000,77948307,1490937189
2,3805,21810,250000,3901728495,1989823686
2,3668,22250,250000,2690525393,839867876
2,3845,22227,250000,958367010,3748707966
2,3696,21607,250000,2232090494,1121756604
2,3896,21367,250000,1686184856,686025765
2,3739,20857,250000,4146418885,1070233611
2,3921,22207,250000,825539492,1913221619
2,3701,23730,250000,2832222236,771165923
2,4008,25422,250000,2755647060,3308511141
2,3729,22835,250000,2749476055,2298969645
2,3720,22507,250000,3874502557,764273132
2,3699,21797,250000,3712898154,3652909757
2,3786,21234,250000,335155916,1519082142
2,3732,21280,250000,4248084159,3221882132
2,3755,23201,250000,737996083,454880019
2,3838,22841,250000,2940969720,42583544
2,3721,21145,250000,2132081337,1116141745
2,3649,21592,250000,3895136253,365251242
2,3832,20742,250000,2044371508,1697154882
2,3794,20988,250000,2049183912,3922164841
2,3676,22437,250000,3786760002,2700097336
2,3718,21968,250000,2355096221,3937126819
2,3769,20920,250000,3088313146,518500469
2,3724,23955,250000,1034330666,155102226
2,3747,21873,250000,3282339775,289867624
2,3840,25741,250000,2247287961,965798907
2,3766,21192,250000,3045400245,3778581462
2,3740,21975,250000,2562066116,404620303
2,3673,22404,250000,2435175584,2144077763
2,3753,20282,250000,451998119,1016295558
2,3641,20314,250000,2896492734,4046740203
2,3647,21857,250000,3556621557,749256747
2,3857,23101,250000,1484639997,3269147423
2,3685,23604,250000,3655057963,2833162733
2,3687,21793,250000,1757157320,3781900115
2,3712,20993,250000,2134863474,2682057009
2,3781,21000,250000,1371575979,1107529
2,3819,21373,250000,3583758907,2676497204
2,3789,21139,250000,1886328102,183939241
2,3697,22292,250000,1343404556,2984857443
2,3768,21013,250000,1697360593,3322625482
2,3873,22905,250000,2695862138,2820319832
2,3841,22732,250000,3732031042,114812135
2,3658,22028,250000,3832010225,1028459024
2,3777,21516,250000,4229214898,2558534964
2,3869,23057,250000,599795572,2547758424
2,3757,24043,250000,3759918163,3471520421
2,3684,21965,250000,1981708156,1528095382
2,3838,22190,250000,3455129709,3693110080
2,3709,20639,250000,496378283,2923525164
2,3952,23367,250000,1610261420,2565833137
2,3862,23199,250000,3829452013,4046687977
2,3617,24340,250000,2428949523,1791703544
2,3882,22795,250000,2639785730,3693223697
2,3688,22811,250000,594437258,2083328324
2,3702,23447,250000,3061030607,2391551641
2,3823,20052,250000,2510474824,591540684
2,3743,21537,250000,180133229,3561591946
2,3691,24774,250000,2754259589,2249194036
2,3760,26201,250000,3685708677,2111525228
2,4216,22269,250000,2237230726,1225426052
2,3750,22093,250000,1232521449,2336191883
2,3689,21273,250000,2675819998,3844289768
2,3791,22098,250000,2788945342,2756166409
2,3712,23853,250000,2037498734,285370244
2,3685,28172,250000,2250409257,309393966
2,3697,21706,250000,3910432845,17393960
2,3646,29960,250000,3416797360,377308622
2,3786,22377,250000,1560665626,2770341161
2,3633,26874,250000,2064064179,1285711754
2,3776,25243,250000,1209505558,1037060535
2,3638,21394,250000,3850622476,3230419184
2,3655,23847,250000,384878603,2638998866
2,3927,23235,250000,2609431763,2470363108
2,3648,22898,250000,2445407927,3234171530
2,3663,23368,250000,2517426601,2477955014
2,3749,22292,250000,2132195134,2639171973
2,3736,22694,250000,975055456,852919532
2,3682,23056,250000,1894826770,278145659
2,3694,29029,250000,2573603876,1568220530
2,3772,30296,250000,3602616834,1359013055
2,3851,29765,250000,154967069,2433705236
2,3798,30325,250000,1451296267,3383996103
2,3778,22392,250000,383262955,3167907544
2,3868,23911,250000,2682714870,2494099185
2,3678,24863,250000,3676840001,1973553095
2,3690,22508,250000,3548544099,3907689315
2,3744,24943,250000,291955651,1460585260
2,3828,22765,250000,921749544,943772849
2,3789,22639,250000,1083552599,39059794
2,3620,21775,250000,229801765,2021568933
2,3747,24507,250000,3132284453,3050924880
2,3790,20813,250000,353851216,194182353
2,3684,23005,250000,125485716,2255233268
2,3741,24493,250000,398033804,1186087072
3,3741,26430,250000,672170959,832966281
3,3536,25831,250000,3288547267,139176566
3,3678,27487,250000,2526201886,3389943657
3,3649,25037,250000,2109768610,469680151
3,3546,26672,250000,2050570096,1835837146
3,3817,25220,250000,1025934938,3792216832
3,3617,25075,250000,872506477,117552864
3,3551,26870,250000,2632896413,1954054871
3,3634,25006,250000,2014140741,2265630358
3,3717,28978,250000,1390909487,3408156408
3,3760,29062,250000,3167466852,2856820940
3,3791,27245,250000,4132429769,612284268
3,3543,27527,250000,2939410722,2422021321
3,3484,27198,250000,2655323961,3536035805
3,3532,26130,250000,2552734951,3929920967
3,3585,28098,250000,2865449461,1914865079
3,3539,25127,250000,2473936416,838663699
3,3634,25758,250000,2152007600,1523870054
3,3776,24920,250000,1952088301,1160548906
3,3823,25602,250000,2558857225,1940336854
3,3774,25830,250000,4140183460,683814589
3,3615,25100,250000,575581107,1297599556
3,3546,26793,250000,2036782383,753384325
3,3562,25759,250000,3882226568,3958162912
3,3550,26849,250000,508432138,3316660203
3,3507,26091,250000,1362916135,2574389002
3,3727,26700,250000,1046572472,2330183502
3,3565,27026,250000,2176530892,1533638372
3,3920,25283,250000,850396581,1511936508
3,3926,26489,250000,3580597927,2529991277
3,3753,26626,250000,604009807,1578783089
3,3637,27796,250000,1930048762,144657744
3,3653,27977,250000,1763788735,2329123
3,3766,25210,250000,3017535041,2263143062
3,3639,25927,250000,1968052591,1633479073
3,3739,25274,250000,1328072371,522940441
3,3767,27123,250000,595402634,2213835301
3,3708,28132,250000,888963251,2643852168
3,3928,29013,250000,507214005,2508748795
3,3769,31781,250000,4049356885,1953413031
3,4058,28129,250000,826415434,4010624832
3,3757,26567,250000,756662668,4219154045
3,3729,28740,250000,1491704247,4227373496
3,3693,27161,250000,2403367109,3382305455
3,3615,27251,250000,1271106480,1953069431
3,3739,26243,250000,3694637736,2348781841
3,3596,27024,250000,1153856772,2714158793
3,3800,25924,250000,1260626075,2755746764
3,3784,27050,250000,13546499,1616176583
3,3544,27103,250000,3294766759,3120832876
3,3534,25701,250000,3360526572,384219907
3,3665,26237,250000,3670542917,996976462
3,3694,25620,250000,3933852846,601293738
3,3705,26142,250000,2950561845,4004538379
3,3622,27280,250000,2173897278,3734494955
3,3685,27674,250000,2873570960,4123163533
3,3840,25698,250000,2527661721,2306253558
3,3801,36277,250000,682445167,4219413524
3,3537,25123,250000,3508438753,1765386719
3,3685,25963,250000,3398210068,702724710
3,3638,25808,250000,1269823871,3795906722
3,3545,27354,250000,1517192829,2968055648
3,3562,25347,250000,275469867,1691550031
3,3687,26138,250000,2536173227,1821427708
3,3570,25062,250000,2967011044,4244932792
3,3833,24773,250000,3878731465,1261927143
3,3562,24423,250000,1232595810,1454602414
3,3606,26321,250000,97873036,2792888447
3,3814,25926,250000,3015986493,3523385427
3,3787,25233,250000,2789749086,3716990935
3,3575,28222,250000,3450395847,181681567
3,3607,28297,250000,2212290573,881725858
3,3628,25697,250000,1941164253,3505078164
3,3677,27416,250000,2212620386,3921202287
3,3651,26485,250000,2822320686,1745418561
3,3680,25493,250000,527816602,933272202
3,3722,26801,250000,1972380342,1288487349
3,3668,27639,250000,4194561344,2065471079
3,3657,26263,250000,2431907778,2541292424
3,3711,27362,250000,2546652458,4274715841
3,3674,26398,250000,1258560736,778589793
3,3611,25357,250000,3418774903,590938001
3,3623,25723,250000,1662080354,3991827817
3,3699,26212,250000,1343300750,1548487496
3,3686,33956,250000,832548743,1520850487
3,3664,26766,250000,3931988027,1989542223
3,3841,28353,250000,3320760532,2804064644
3,3655,26488,250000,2657717305,990371080
3,3730,26512,250000,2461334844,276389517
3,3727,25940,250000,3724890965,3960634756
3,3587,25710,250000,4255153130,3045248705
3,3560,27673,250000,2740406045,2432661533
3,3766,26422,250000,4188004742,2812596681
3,3742,26089,250000,3906102758,3772309620
3,3827,26184,250000,1174309528,3193302696
3,3715,29691,250000,3753479138,327239415
3,3647,29504,250000,4095684425,1282886164
3,3692,27050,250000,1142768788,1981325080
3,3621,27722,250000,1836059238,2680033388
3,3583,29107,250000,2674575383,547735374
4,4196,40928,250000,1015792124,2422305910
4,4070,41268,250000,2205866974,93580435
4,4044,31608,250000,1519864291,4091242026
4,4024,32126,250000,3733453276,3387185606
4,4223,32583,250000,2104630161,1639473649
4,3870,29598,250000,4277936862,65059705
