runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer,param.b.integer
1,3299,40306,250000,3476295779,745484243
1,3301,39981,250000,1831349786,3505429712
1,3274,40097,250000,3765933660,2957865576
1,3269,40538,250000,1884281995,685525103
1,3273,40428,250000,1114407754,4017206160
1,3363,40044,250000,3725422208,1842181573
1,3268,39929,250000,963232627,1403427890
1,3279,40217,250000,3981521707,3469691671
1,3354,40209,250000,4131893198,1679206304
1,3270,39931,250000,2410700564,4172543199
1,3293,40131,250000,3263069081,4292269565
1,3264,40314,250000,1478878985,2032366027
1,3268,40413,250000,1387670851,989473146
1,3289,40158,250000,2205184828,922547098
1,3361,40150,250000,3254189016,3300619497
1,3416,40534,250000,1420711213,1243796628
1,3285,42059,250000,1260233873,3472011545
1,3368,40498,250000,3170194198,1291796074
1,3389,40600,250000,3203393416,1197353715
1,3384,40795,250000,1175778816,3987603193
1,3446,40925,250000,1978310302,3338862950
1,3412,42538,250000,3771550945,1998202949
1,3355,40041,250000,2509296726,196435614
1,3271,40274,250000,3759603409,2352159864
1,3325,40371,250000,1643098952,1383184232
1,3271,40203,250000,1291123880,2053905367
1,3284,40357,250000,4114551535,2772057497
1,3266,40011,250000,2288091037,594970297
1,3271,40316,250000,1468225021,2032337490
1,3268,40544,250000,2048136891,1052178278
1,3350,41419,250000,2387277123,2555100756
1,3377,43192,250000,2073494401,2843792591
1,3388,41190,250000,1225142333,3270153013
1,3389,41192,250000,1502332292,140886969
1,3382,41149,250000,52035227,967107039
1,3469,40868,250000,3358676734,3668229890
1,3398,41045,250000,1100957230,3375766982
1,3286,40211,250000,1821992248,206162144
1,3279,40103,250000,1743548184,488528978
1,3371,40120,250000,1736784844,2735086120
1,3286,40158,250000,3716225582,868913890
1,3276,40228,250000,3079776069,3416559418
1,3364,40393,250000,2388216994,1043671833
1,3285,40111,250000,2044794111,3110127106
1,3515,40027,250000,1125671199,206073435
1,3311,40114,250000,3579117727,3241150689
1,3313,40396,250000,1440999481,2141940532
1,3405,40849,250000,730378615,2612951865
1,3485,41257,250000,3828537974,1505554511
1,3368,41820,250000,3166104159,1393587866
1,3371,40942,250000,3226922646,2657841111
1,3345,43177,250000,3137124215,2250674830
1,3281,41635,250000,2935195892,2013749960
1,3543,41277,250000,2838560817,2966361115
1,3491,40747,250000,476256981,2213865958
1,3506,41072,250000,1865821271,1800240346
1,3373,41597,250000,2571159601,1909217973
1,3313,42002,250000,2416953792,1123032368
1,3379,40919,250000,391866936,767516861
1,3592,41971,250000,557040341,292540818
1,3497,40960,250000,1278427638,1735559732
1,3356,41471,250000,4133985076,894653838
1,3264,41381,250000,1027136327,2564222033
1,3353,41391,250000,1022226225,1874939815
1,3339,41115,250000,3017817626,83039163
1,3353,41620,250000,5669465,2192915568
1,3349,40987,250000,3962237008,2965038488
1,3361,41459,250000,3415987756,3037798891
1,3463,41337,250000,659757381,3804893114
1,3359,41192,250000,4090413802,1961704442
1,3415,40868,250000,3192391183,2160943809
1,3349,41195,250000,3281254147,554631374
1,3424,41126,250000,2893390478,3218459724
1,3384,41663,250000,2682246766,734480697
1,3537,40654,250000,2517543320,2367049754
1,3483,41129,250000,1023094291,3841693972
1,3325,40861,250000,2295962619,3305233015
1,3311,42381,250000,2943556040,1090735732
1,3356,42087,250000,1012579633,3891583439
1,3454,41260,250000,483530543,2446733269
1,3355,40976,250000,2039262723,3180145575
1,3344,40858,250000,1824709794,250329996
1,3373,41358,250000,3483979911,4159590628
1,3357,40897,250000,3754142946,3141664757
1,3380,40763,250000,4245856408,3312055331
1,3362,40999,250000,1814491804,1939509167
1,3576,40628,250000,915520312,1619259101
1,3341,40387,250000,1954624340,485851871
1,3300,41731,250000,1036440922,4050343078
1,3358,40742,250000,1671119590,3511444348
1,3356,40612,250000,425853750,1607329713
1,3362,40640,250000,1592985628,3191285129
1,3412,40120,250000,1795087194,3883789482
1,3335,41221,250000,3917345967,3973873272
1,3348,40191,250000,1498855832,2034396184
1,3381,40437,250000,1741052933,4241320984
1,3429,40921,250000,3037620976,320030938
1,3373,40033,250000,2398836140,37136794
1,3381,40431,250000,4077044802,3093401399
1,3377,40123,250000,3018945128,615541973
2,4418,31524,250000,1879077612,1008955856
2,4500,30159,250000,1904744277,3917688508
2,4250,31010,250000,3869914421,1480968444
2,4280,31446,250000,3030324596,115615068
2,4060,29495,250000,2594219880,4077713844
2,5056,32064,250000,1023507271,3785045133
2,4184,29855,250000,790719832,2112371246
2,4019,32664,250000,157192984,105687080
2,4109,32606,250000,1396231240,1372706028
2,4203,30480,250000,4034254204,2480478509
2,5442,30461,250000,258465640,2385164715
2,4211,32481,250000,4156488763,4081481526
2,4341,31519,250000,3520501375,1481720043
2,4459,30094,250000,3705121228,2544260469
2,4326,33379,250000,649253948,757997799
2,4048,31283,250000,2996717230,3786658591
2,5199,36335,250000,3438195100,485592779
2,4289,31162,250000,3914526878,923087345
2,4403,33661,250000,2589416167,2282604408
2,5001,35500,250000,2023963691,3648048831
2,4420,34958,250000,3448663302,2650134814
2,4198,30050,250000,3302020953,3682151832
2,4514,32616,250000,126976797,3425861917
2,4403,31914,250000,879743231,2652682019
2,4455,33301,250000,2004095177,2090105065
2,4089,34271,250000,1217505992,3435418393
2,5530,34380,250000,3747196738,194106207
2,4868,36458,250000,1564340737,3695256812
2,4729,30849,250000,2832288333,2196747355
2,4406,30051,250000,3087334603,1428221349
2,4266,38268,250000,282053738,1881648091
2,4400,36567,250000,2818762719,1588020706
2,4026,29648,250000,2644634320,4245601544
2,4414,31178,250000,1088819396,2406791504
2,4064,30953,250000,1967393214,1235748573
2,4295,29682,250000,783604139,777805087
2,4583,33540,250000,775572490,2896144519
2,4303,30003,250000,3620560452,4092620122
2,4173,29192,250000,371044947,1688701365
2,4366,34626,250000,2482645548,2143181900
2,4012,32100,250000,4033469391,3533757342
2,4090,31157,250000,1893880237,622817769
2,4276,33913,250000,1241151378,1053251594
2,4124,30930,250000,489805398,3879067965
2,4610,32954,250000,2287752134,486112993
2,4334,32883,250000,4217259984,3009727684
2,4193,31308,250000,530874409,3428821824
2,4352,32885,250000,1763057484,3847484922
2,4267,35508,250000,3125799774,3033561071
2,4116,41715,250000,3423581143,2240786858
2,5645,34024,250000,411562800,2884884202
2,4629,33986,250000,4153603042,2512861275
2,5041,34718,250000,1803178287,3852728771
2,5812,33513,250000,2333321805,2552392761
2,4150,29831,250000,3664066736,651826342
2,4640,33432,250000,770762431,1414176293
2,4279,35079,250000,3998307530,1589456706
2,4442,34814,250000,4007125666,550443723
2,4489,33019,250000,1913635831,1227610952
2,4824,31434,250000,3873339483,1401025708
2,4800,37576,250000,1147111134,2704009085
2,6352,37148,250000,1136500748,3639054061
2,4064,32627,250000,1447064397,779822421
2,4579,29484,250000,3638891096,1139110157
2,4068,32645,250000,1113629103,1798059110
2,4432,30575,250000,1995224680,1700039841
2,4082,31803,250000,3084450930,3685165196
2,4141,32642,250000,2397856731,2870383095
2,4461,31734,250000,3744640365,711453501
2,4159,34977,250000,1836335963,2894028897
2,4860,31897,250000,2144402060,1724651553
2,4971,35617,250000,1040144990,2892532906
2,4360,32523,250000,3772771920,2254899823
2,4893,36036,250000,1179027330,2247586797
2,4359,35438,250000,1198457464,1534398913
2,4341,33038,250000,1794247408,73506637
2,4144,30546,250000,1191126207,3244686025
2,4624,33992,250000,2847708916,2006810522
2,4267,33203,250000,631661713,491048208
2,4280,32010,250000,3542963689,2468857568
2,5033,36667,250000,3699791264,3990926576
2,4452,31897,250000,2299256348,3488059166
2,4112,33549,250000,946856294,4266963028
2,4155,34101,250000,2549175073,722555026
2,4657,31431,250000,1551370925,2110314212
2,4359,29793,250000,397889140,3522957711
2,4124,32589,250000,1069456306,3393595015
2,5523,30058,250000,2128536253,3885952650
2,4134,30553,250000,1056988287,227914030
2,4059,30282,250000,679908949,3828234571
2,4409,32282,250000,3969425365,3007320987
2,4361,31619,250000,2553081564,1802823408
2,4201,30545,250000,2958781558,2705092616
2,5476,33888,250000,292761199,2030097444
2,4112,29915,250000,2451408331,3845443409
2,4024,36839,250000,179147601,1194398294
2,4165,33113,250000,1219633972,3935602632
2,5339,31304,250000,3350573851,2917455428
2,4828,29993,250000,2105176395,3679929
2,4535,35169,250000,2072016039,921913194
3,3318,22703,250000,3428421244,1215426711
3,3277,22628,250000,2097127790,1776396684
3,3273,22669,250000,1341057305,4247125150
3,3323,22552,250000,4044442815,2935265808
3,3285,22260,250000,218928627,312048370
3,3245,22697,250000,4044617146,221645012
3,3292,22421,250000,3666464640,993314368
3,3314,22855,250000,3297351200,210073164
3,3526,24431,250000,1491095647,2942126321
3,3316,23186,250000,3673638934,1049941068
3,3284,22873,250000,1363511593,4006359616
3,3404,22755,250000,4134455221,2770585475
3,3386,22821,250000,3631575641,1708423381
3,3312,22589,250000,3681997226,640117346
3,3317,22854,250000,869067460,941886715
3,3297,22782,250000,487683600,3385035500
3,3279,22827,250000,2195268544,2867114421
3,3337,22368,250000,497409083,2981515696
3,3271,22869,250000,328237785,19947779
3,3461,23156,250000,1543418054,1470245485
3,3343,23323,250000,3588293498,4026781616
3,3558,22926,250000,544000926,492584289
3,3275,22799,250000,3894342770,1681231621
3,3267,23767,250000,385429419,2711495615
3,3284,22915,250000,2854084085,208473978
3,3353,23145,250000,1143073555,471512152
3,3388,22820,250000,3041747382,3871982260
3,3358,22881,250000,449233868,3944677375
3,3282,23256,250000,4238206453,2072832819
3,3381,22697,250000,1928073061,3700795779
3,3274,23539,250000,3249669665,1953681012
3,3475,23154,250000,299558409,1497057430
3,3253,22976,250000,393617205,2218259159
3,3281,22457,250000,3870748801,749861067
3,3270,22598,250000,2621766007,3888616404
3,3259,22465,250000,875612991,3280208814
