runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer,param.b.integer,param.c.integer
1,3382,40882,250000,2686201509,97237340,3982121431
1,3342,45574,250000,592976705,367332048,3723219484
1,3358,40495,250000,4057179822,4270414225,457128651
1,3372,40574,250000,4229504512,3295519789,4059021703
1,3419,40743,250000,1782916203,723580034,2337743231
1,3361,40829,250000,2679181630,2003661514,3183111421
1,3345,41941,250000,51511217,823028858,62221957
1,3369,41229,250000,597050453,2306115431,3697785877
1,3350,41351,250000,4166377591,3318621978,1814345885
1,3374,41207,250000,3476769178,1180647029,813321070
1,3373,41414,250000,341819549,1700722825,944315248
1,3421,40665,250000,3725155502,2529542446,668226241
1,3331,40779,250000,1028556995,1720466905,1523629935
1,3494,44215,250000,4236719700,3686109803,1247005700
1,3397,43544,250000,1469873287,3959626566,2591095821
1,3456,43069,250000,1989961220,1870662149,2297591963
1,3328,41102,250000,1854882798,2025970378,3999517493
1,3339,41049,250000,973645959,1109207982,463783995
1,3405,40651,250000,562670410,1727216649,2110115000
1,3247,40751,250000,2519187027,147486665,2921709202
1,3408,40849,250000,1030514952,2297926704,2611854424
1,3354,43523,250000,3587541269,172814127,3880857689
1,3365,41636,250000,4102887049,697921138,2705569715
1,3431,40656,250000,3354116948,471891626,3719537307
1,3337,41285,250000,2007772831,2421581529,516864146
1,3464,41100,250000,2010156567,1595349984,1909608284
1,3334,41204,250000,1027587239,841347215,3903611535
1,3350,41097,250000,3894754707,509390698,3299722999
1,3290,40503,250000,3143685671,996841894,2610298730
1,3345,40639,250000,1250794912,37541673,2251122064
1,3348,41434,250000,1156461920,2973251539,3482503621
1,3413,40690,250000,3913241883,1314616335,1934661379
1,3441,40907,250000,1194982043,3661874381,3318675165
1,3357,40810,250000,4092070630,3717836854,3377919835
1,3296,41023,250000,2402501611,1696030884,1399821912
1,3264,40626,250000,2301394140,1783231774,3728947113
1,3264,40690,250000,1435085421,3608953434,1233700778
1,3245,40692,250000,3678494869,662533375,1743042669
1,3310,40675,250000,1309365993,3015405869,2237085954
1,3373,40811,250000,3115643337,985441691,23703056
1,3338,41293,250000,3546949441,3593806094,879819058
1,3315,40419,250000,1563928981,3097284957,3847463065
1,3273,40428,250000,3250650134,3066441030,1328928011
1,3343,40636,250000,1381252383,3937173602,1757742280
1,3269,40710,250000,3534246089,1703097013,764519591
1,3287,40554,250000,2120291482,3301263528,316086494
1,3246,40862,250000,3194327254,4238427531,3964941930
1,3271,40772,250000,424373627,4090469950,625285336
1,3382,40518,250000,575231888,552844648,964071570
1,3246,40586,250000,3895733593,3127880471,1110727394
1,3269,40904,250000,18765245,549391535,2772941504
1,3267,40531,250000,1870106904,168768375,3040439112
1,3311,40553,250000,2120103557,3366180146,1095547756
1,3276,40706,250000,1910000639,4282874296,247975359
1,3269,40846,250000,1200794673,3142197237,3636296925
1,3363,40813,250000,1853115237,3904589000,966003368
1,3286,40476,250000,1888935693,1426272513,1020305317
1,3271,40744,250000,894918038,1706869324,1904360374
1,3331,40866,250000,2571794807,16915961,3365275419
1,3275,40658,250000,2571454835,2713296933,1824121668
1,3278,40600,250000,3595059734,3015892811,3004337811
1,3246,40757,250000,949947627,2887169625,3890997802
1,3271,41077,250000,3230161296,3445234765,1810338611
1,3285,40617,250000,1054063185,1651360077,1403797992
1,3321,40465,250000,3393688761,3619232947,2083706684
1,3286,40335,250000,2377340388,35847447,3775798815
1,3270,41297,250000,633058668,4022989545,1141290818
1,3326,41486,250000,3392934795,1387625289,2673333582
1,3361,41056,250000,2381674335,3022605027,3129564204
1,3270,40883,250000,4049973390,634125165,2232230486
1,3367,41085,250000,1405467698,3145567072,2611152022
1,3266,40450,250000,3690845304,2049299434,196104160
1,3331,40652,250000,866008470,365061275,986987683
1,3250,40662,250000,200641171,3217645966,2002785731
1,3271,40751,250000,3839615437,2309403501,1985914650
1,3269,40665,250000,1288649832,3098062809,2897311336
1,3317,40720,250000,1283965123,3970018577,3372900726
1,3268,40582,250000,1076568686,434216384,3251819346
1,3272,40529,250000,3049328390,2161352747,2757706525
1,3249,40739,250000,1304133560,193203435,3933778820
1,3423,40842,250000,2731332176,2055925104,1190737851
1,3301,40828,250000,1388377841,952032966,1327925790
1,3250,40769,250000,1963610478,181360156,141888894
1,3271,40945,250000,2786706041,4189477511,2104003874
1,3388,40985,250000,1881617835,3433925086,1092372761
1,3248,40734,250000,4058411615,1256855296,1095526892
1,3290,40636,250000,2630682415,3926466066,3711333613
1,3280,40984,250000,1799455427,3648925974,1054789464
1,3250,40637,250000,2748109224,3832509001,4275019453
1,3273,41061,250000,643468129,101978619,1850255131
1,3394,40500,250000,258949030,33789434,1360192864
1,3249,41122,250000,3221328066,1967365443,4019672504
1,3283,40257,250000,562903168,1374374806,1769739041
1,3265,40491,250000,3425593803,3943949901,4117464311
1,3244,40520,250000,438839607,327092346,3719267622
