runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer,param.b.integer
1,3924,25787,250000,1347616180,506250016
1,3924,26021,250000,84738965,2571912377
1,3936,25928,250000,4275655930,2874158120
1,3956,26209,250000,192378476,711234585
1,3943,26284,250000,2359615423,3309527687
1,4044,27577,250000,2906406753,827831560
1,3919,26998,250000,366492116,2651199176
1,3926,25819,250000,1352507224,445872374
1,3922,26772,250000,3457782933,2121280910
1,4036,25722,250000,1443964830,3787805155
1,4058,28200,250000,2255347108,1504989457
1,4698,25785,250000,339580003,568341170
1,3910,25997,250000,3177108925,1769900650
1,4002,26562,250000,679541296,3985570374
1,3919,26117,250000,3488716164,3370890321
1,3944,26079,250000,4110337895,1781266582
1,3906,25707,250000,3969119595,185402001
1,4244,26039,250000,3615376624,3033020336
1,3923,25659,250000,1204766073,201681599
1,3973,28157,250000,2396636981,1267124815
1,3941,25864,250000,3023892640,717240756
1,3940,25816,250000,3405064456,1139666513
1,3912,25810,250000,3910947083,4272615770
1,3999,25602,250000,4055778887,3610814461
1,3938,25761,250000,541029746,3943862003
1,3916,26226,250000,1570562159,850914947
1,3912,25964,250000,1791057101,1102773746
1,3929,26646,250000,1233557087,603323114
1,4432,25940,250000,203309317,1263014164
1,3993,26156,250000,3937004080,2917682899
1,3962,25863,250000,3443788206,340454417
1,3923,27228,250000,2887719471,2931008023
1,4392,27005,250000,370782145,926477212
1,3927,27079,250000,617514730,2873193912
1,4151,26776,250000,3943105471,3072057821
1,3988,27039,250000,1191940440,2201346444
1,3914,27901,250000,1937549138,1342220623
1,3915,25737,250000,1497232630,3287728877
1,3914,27975,250000,2742685808,671959709
1,3922,27079,250000,2658841369,2422986123
1,4341,26027,250000,1539002669,3486790475
1,3988,26046,250000,3586293736,90026497
1,3944,26332,250000,313449483,1878352395
1,3947,26292,250000,1154117880,1990906245
1,3934,26884,250000,170976601,2150465569
1,3930,26874,250000,1545575378,4165923738
1,3936,26722,250000,3046718331,1909561519
1,4806,25911,250000,1447227940,1368934605
1,3902,25896,250000,2875176578,2382875113
1,3901,25659,250000,4173895125,2979879390
1,4813,25804,250000,3494560485,2477034404
1,4299,25872,250000,3069963680,1317260660
1,3937,25745,250000,1199119722,2027163106
1,4960,25809,250000,2241731259,3263162888
1,4390,25948,250000,3168865878,3557154211
1,4685,25794,250000,4131669090,1317554790
1,4187,25544,250000,155634068,597878064
1,4465,32246,250000,2838487435,3716586523
1,3918,25885,250000,2428592449,1143509999
1,3901,26007,250000,553954017,292052
1,3902,25730,250000,3190714148,1241696256
1,4856,25877,250000,849926714,480358201
1,3922,25909,250000,173327524,644476914
1,3968,26363,250000,1522318827,4106664597
1,3919,25853,250000,2230571172,1190350148
1,4478,26037,250000,2435161347,2623495898
1,3929,26126,250000,2730229516,3049982881
1,3930,26054,250000,976774430,4133973025
1,4494,25833,250000,856534603,3142725862
1,4797,25640,250000,2924058081,2062423944
1,4277,25746,250000,2372934947,440115784
1,4641,25808,250000,1317256134,1180397832
1,4704,25643,250000,1741288560,3643895118
1,4349,25913,250000,2037584136,1293313589
1,4661,25653,250000,3687927557,2179957207
1,4651,25736,250000,397987448,339687861
1,4010,29124,250000,1322553286,3230410385
1,3976,25799,250000,697339387,773143807
1,3918,25730,250000,1327663065,3576355726
1,4497,25504,250000,2450833811,1948097907
1,4801,25234,250000,963450221,768165944
1,4287,26026,250000,1140311071,296835692
1,4578,25849,250000,1429722774,3128875772
1,4909,25952,250000,3553454531,8321481
1,3908,26001,250000,1788523535,3573880532
1,3920,25651,250000,2024041713,1511948286
1,4888,26218,250000,1513541480,1382166907
1,4428,25673,250000,2377277685,1714674766
1,3922,25756,250000,2445132100,1792309371
1,4324,25881,250000,597100704,3502469515
1,3977,25724,250000,658411213,3844457880
1,3921,26607,250000,2046742510,66032417
1,4296,25918,250000,758010878,191794857
1,4612,26028,250000,2809670913,3785194532
1,4094,25975,250000,4026899925,1142697366
1,3956,26025,250000,1073958829,212590650
1,3921,25991,250000,256306450,1691502576
1,3918,26021,250000,1202284143,254121171
1,3908,25850,250000,1587744610,1318663388
1,3928,27067,250000,1396292110,2891451225
2,3619,23222,250000,2003285457,209724430
2,3624,24657,250000,1778209774,2760331226
2,3679,20220,250000,750407891,3853091458
2,3534,21048,250000,2215375034,144546839
2,3724,21863,250000,1337693743,1959877659
2,3743,20634,250000,3624435230,2854057859
2,3780,22768,250000,247953670,4103238479
2,3690,22222,250000,2690817890,3383813294
2,3559,21547,250000,3350715167,3795643517
2,3692,21778,250000,674118613,1000025686
2,3792,20049,250000,1039722495,234657681
2,3752,22806,250000,1890340406,587674843
2,3743,20439,250000,1817180309,772326063
2,3745,20926,250000,3126988637,4108749503
2,3739,23532,250000,3940325627,3253860317
2,3747,22325,250000,2912965717,1325954633
2,3797,21846,250000,2526036432,607989695
2,3871,21780,250000,2398853721,2247946370
2,3763,22915,250000,286183666,1554286576
2,3713,22965,250000,2220994402,775883252
2,3747,21538,250000,254704632,245129462
2,3839,29967,250000,849329592,1729460150
2,3810,23460,250000,647402705,921157886
2,3737,22997,250000,468776226,926066489
2,3871,22614,250000,1915525572,4000919255
2,3869,22925,250000,2511537162,360595394
2,3656,22807,250000,4045496762,296335958
2,3656,21277,250000,2622902752,2643642982
2,3752,23033,250000,1506788574,1345785049
