runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer,param.b.integer
1,3288,39816,250000,827401427,1344577291
1,3263,40129,250000,2895338364,3493595426
1,3275,40194,250000,1968767168,1215837999
1,3280,40632,250000,3503932004,71963424
1,3299,40374,250000,329598996,1101276302
1,3271,40811,250000,1604661391,3863557472
1,3269,40461,250000,939145141,1295442540
1,3296,40802,250000,2531090965,350685956
1,3280,40698,250000,3854767488,4273161967
1,3274,40121,250000,3087884655,56715248
1,3370,40040,250000,394481977,4174984925
1,3276,40165,250000,1748129765,3412212381
1,3277,40383,250000,2779070275,3585937762
1,3274,40411,250000,506841308,863199878
1,3271,41373,250000,2769468625,2884238774
1,3339,40348,250000,3584161905,1186128725
1,3272,40218,250000,1895122000,4242660587
1,3282,40280,250000,693791596,3310079563
1,3292,40368,250000,2881864089,2866817366
1,3269,41060,250000,4140894690,1014069275
1,3265,40632,250000,3251278675,4164385397
1,3293,40233,250000,1286309904,1485764776
1,3388,40773,250000,1533457298,763927087
1,3316,40435,250000,3283368440,3087482763
1,3374,40833,250000,791398022,3568624372
1,3364,40856,250000,2039499495,4263520395
1,3348,40897,250000,890953570,2185291177
1,3299,40592,250000,983586979,925617569
1,3347,40607,250000,3931784856,3132676306
1,3271,40457,250000,226166800,4077453022
1,3280,40484,250000,1266888729,1642010485
1,3384,40696,250000,1975002038,3907551759
1,3299,40349,250000,3474836784,2428161782
1,3272,40638,250000,2553628814,1449911281
1,3295,40407,250000,3217174546,3131182148
1,3271,40292,250000,2120885682,4069166806
1,3330,40338,250000,3907652061,3048993683
1,3307,40404,250000,629156563,2127486092
1,3273,40719,250000,2645395830,1266049467
1,3276,40622,250000,3534324260,1364985478
1,3330,40388,250000,4242795255,896124358
1,3265,40300,250000,526287731,1896331703
1,3337,40462,250000,945671401,1799113741
1,3421,40279,250000,2081528964,1776568530
1,3280,39022,250000,1712671885,1901974610
1,3289,40366,250000,3870055947,2963925989
1,3270,40194,250000,2463296337,1015988530
1,3268,40626,250000,311685751,3763459340
1,3265,40680,250000,3478206995,3605882557
1,3286,40229,250000,2020998972,1501039476
1,3390,40342,250000,4176777711,3387196292
1,3293,40368,250000,4254417039,3996495041
1,3280,40582,250000,2070660805,2679928921
1,3281,40769,250000,1413520433,1777127244
1,3289,40588,250000,756697071,341271552
1,3268,40238,250000,1137347405,3289665920
1,3278,40323,250000,106855584,2504573527
1,3276,40217,250000,2203757308,3247567378
1,3335,40751,250000,2257921429,4109064353
1,3270,40161,250000,171356199,3479747039
1,3288,40146,250000,3464652680,4094185105
1,3290,40987,250000,4048438721,909823943
1,3331,40250,250000,940617534,1687067514
1,3270,40516,250000,3515359016,1978419825
1,3342,41017,250000,1846351792,3170173974
1,3272,40302,250000,4274647659,234090952
1,3275,40841,250000,3191103623,131770860
1,3268,41041,250000,1133909894,1215413910
1,3265,41052,250000,3267698708,4040091770
1,3278,40779,250000,2139013371,2349347885
1,3267,40583,250000,1954145900,3117949068
1,3277,40680,250000,4223470684,2882224943
1,3282,40737,250000,2428813059,3806658848
1,3267,40877,250000,4006196223,2337553543
1,3272,41147,250000,490696628,3825366443
1,3302,40610,250000,2212915702,977952983
1,3271,40001,250000,2703324801,2833137307
1,3272,40081,250000,2339064625,643273559
1,3291,40249,250000,3383527182,2649623974
1,3385,40214,250000,2739728450,3325799317
1,3271,40266,250000,2564389961,3316707988
1,3370,40122,250000,2099082653,303123254
1,3272,40102,250000,16315910,1853750800
1,3292,40983,250000,3125574284,1314902092
1,3287,40379,250000,3118457202,1477941572
1,3468,40118,250000,669712326,2743153164
1,3319,40127,250000,1611697028,1551376881
1,3274,40152,250000,2007953651,431676300
1,3271,40346,250000,1274837787,4036509578
1,3277,40242,250000,3924602730,2628788409
1,3287,40188,250000,1053412992,3238976324
1,3409,40541,250000,2295106493,1567078372
1,3272,40201,250000,2738352023,812922051
1,3273,40175,250000,57737216,3165678568
1,3271,39794,250000,2428640590,2770374909
1,3272,40125,250000,1507995242,3324492920
1,3279,40387,250000,388760282,851240616
1,3391,40215,250000,1858700512,2440051386
1,3273,40276,250000,3479082236,1374564749
1,3278,39960,250000,4131207412,1102805758
2,4111,35466,250000,1245327516,3667598267
2,4429,37718,250000,2949085123,2675197151
2,4136,37756,250000,2095776197,358861025
2,4028,30024,250000,1550437261,3002230963
2,4007,33501,250000,1159552562,3894990120
2,4166,30904,250000,213780903,3700870564
2,4511,40738,250000,2231271870,3428648230
2,4293,32182,250000,2305139391,741883630
2,4083,31971,250000,123625403,2619230445
2,3957,31452,250000,2934815055,3387803767
2,4472,35327,250000,570492491,468858064
2,4091,32537,250000,3982730901,764337045
2,4077,33725,250000,3379622406,3016087446
2,4277,37379,250000,1612313396,2347133509
2,4409,28750,250000,2843518999,84970087
2,3963,30115,250000,971808712,3498265313
2,4097,29994,250000,4150104750,3863375261
2,4447,34983,250000,3767407858,846941397
2,4011,33581,250000,2051688667,1954390357
2,4090,33889,250000,2085296322,3767492295
2,4375,29193,250000,3700833124,3006358727
2,4112,33753,250000,1806162692,3853534354
2,4368,33949,250000,2533483450,2954458957
2,4228,30737,250000,906791432,3227411505
2,4622,31165,250000,2424392593,4080111785
2,4476,36008,250000,1507997755,1491514330
2,4206,34425,250000,2810821254,1308980963
2,4263,38520,250000,387152989,527776414
2,4579,33096,250000,2506803441,2244462225
2,4205,36040,250000,782214914,1287374262
2,4309,30354,250000,2195543625,3735476528
2,4321,32384,250000,1253345282,2137303318
2,4558,32000,250000,680148254,2407034386
2,4064,37094,250000,268127131,218613557
2,4289,30320,250000,77272395,1261289430
2,4091,30745,250000,4128085957,3023656312
2,4158,35895,250000,1422520837,3105714082
2,4450,31933,250000,730839127,1845362206
2,4267,29027,250000,1307448443,374588899
2,4547,32773,250000,2564271075,4284586587
2,4184,35629,250000,1993338247,973207519
2,4249,30572,250000,1096915577,4124612958
2,4910,32827,250000,771330636,179209133
2,4558,35455,250000,2807315275,2435972342
2,4720,38730,250000,1436383875,2557974929
2,4237,35536,250000,27185046,4158592159
2,4444,32038,250000,689004485,668856350
2,4392,32410,250000,1891258201,4149385158
2,4295,31608,250000,3541344570,3922539011
2,4280,32471,250000,2689421647,491109434
2,4368,34867,250000,1336059021,3979747595
2,4616,33074,250000,3323571336,1742626199
2,4369,34165,250000,1369525912,1955632100
2,4183,30074,250000,3026870847,3379450039
2,4022,30033,250000,642236141,4015911004
2,4209,29327,250000,285719452,1181547093
2,4253,33513,250000,924574622,3166344726
2,4236,32008,250000,3278295184,1413652402
2,4078,33503,250000,2328149387,2531272326
2,4329,35323,250000,2709405427,3712950806
2,4511,29895,250000,3257324385,565713058
2,4278,29501,250000,2350692068,1068829391
2,4702,30745,250000,578872591,4280480633
2,4269,29698,250000,2327177834,3266582697
2,4332,34486,250000,2789517492,2523164303
2,4345,29977,250000,357904771,3653165828
2,4631,31584,250000,2908689223,3475282421
2,4332,29507,250000,1801175029,3579018575
2,4428,33050,250000,4127609198,2571160193
2,4323,34626,250000,3154727993,1547617964
2,4562,31732,250000,2655758660,29848294
2,4297,33540,250000,1196979046,1310157921
2,4269,34808,250000,4291454940,2149236847
2,4155,34509,250000,23725114,2962949982
2,4551,33727,250000,1822887663,341724337
2,4533,35134,250000,2606207157,1119962155
2,4287,30025,250000,792920666,1643536276
2,4222,35042,250000,2562669664,2140145184
2,4320,30607,250000,2449389755,40537394
2,4279,34606,250000,1641536687,1512525836
2,4502,33485,250000,3775776502,2802539972
2,4320,34140,250000,3676873545,802969752
2,4110,30602,250000,4189148702,1313685492
2,4120,33569,250000,361864330,1882010796
2,4258,33224,250000,4160429702,3083132156
2,4347,31214,250000,1705941244,930725065
2,4226,31068,250000,2070952820,1000587323
2,4095,30795,250000,1561897632,2452178419
2,4294,32294,250000,2112908304,4134196004
2,4104,33319,250000,436184347,773784737
2,4356,33214,250000,3124421130,4086388905
2,4237,31710,250000,1198537153,1078805573
2,4316,32190,250000,1695312474,2057873193
2,4350,34031,250000,4267278308,273955872
2,4149,34205,250000,1886430846,1754313280
2,4120,43423,250000,2234271364,2832812404
2,4157,30165,250000,1557463218,3119786414
2,4301,34091,250000,3059472280,2457957437
2,4141,32367,250000,3494415127,3122692065
2,4498,36667,250000,3799146168,2705915044
3,3273,23545,250000,2664611889,4032485081
3,3281,22549,250000,2518442273,2432234726
3,3269,22727,250000,3813015944,1947525998
3,3248,22748,250000,2643610041,1623322155
3,3268,23402,250000,2121775943,1907765251
3,3274,23066,250000,4050170292,2913787971
3,3266,22405,250000,4018833416,762745059
3,3267,22374,250000,3720164854,362625685
3,3423,24324,250000,2869237824,2581090573
3,3345,27214,250000,1963677495,1698365247
3,3370,22843,250000,1214291485,3384238340
3,3272,22624,250000,1516582413,311382513
3,3358,23252,250000,3512536226,1093647061
3,3308,22084,250000,1667776304,451430385
3,3286,23482,250000,3368470000,2326529504
3,3267,22833,250000,130919296,3478447033
3,3276,22587,250000,779140511,243436371
3,3316,23502,250000,1617463176,2904672656
3,3248,23401,250000,224299462,1132057607
3,3291,23253,250000,2030682883,2635018080
3,3289,23322,250000,807912685,1563874994
3,3340,22953,250000,1583408573,3598317508
3,3303,23529,250000,1837440706,2524362179
3,3295,22640,250000,2770340953,1784104111
3,3279,23458,250000,3305248985,3944208045
3,3320,23010,250000,484165266,2288156223
3,3285,22728,250000,3144069110,2642974184
3,3362,23004,250000,3028877883,434984810
3,3303,22460,250000,3250906860,2767714906
3,3281,22220,250000,1526102868,4072018978
3,3255,22664,250000,2239709061,3943449145
3,3313,22367,250000,2270249263,2689013418
3,3309,22306,250000,1207727411,1325011510
3,3268,22637,250000,2421928569,1546335933
3,3391,24574,250000,4112910357,2678051140
3,3364,22827,250000,2949912422,2352119382
3,3305,27384,250000,3927460234,658544708
3,3294,22342,250000,1654334438,2677629400
3,3308,24244,250000,1237968007,2688737679
3,3253,22439,250000,848741445,1985365009
3,3283,22161,250000,2754326610,3075468190
3,3279,22154,250000,2406700813,4028527601
3,3245,22206,250000,370447493,1372031295
3,3278,22231,250000,272779248,2547694461
3,3273,22292,250000,2156752718,2722827184
3,3245,22125,250000,852574094,202717048
3,3304,22018,250000,1761202125,1236313443
3,3424,23029,250000,3075088030,4133794601
3,3392,23108,250000,315701530,172918615
3,3382,23275,250000,648115611,2313466461
3,3294,23835,250000,2610368774,2546068933
3,3248,23106,250000,1697925293,2375214803
3,3273,22695,250000,2365617246,1728392097
3,3282,23146,250000,340575740,1827514282
3,3380,26896,250000,1526387496,1356336668
3,3296,22502,250000,3689230019,3669607428
3,3271,22383,250000,1594564617,4049634033
3,3250,23764,250000,2345383144,1205597243
3,3291,23389,250000,649435405,403367583
3,3285,23569,250000,3441456264,688055159
3,3245,23720,250000,1547755155,172624237
3,3245,23492,250000,3837229205,1723953327
3,3343,23591,250000,108536598,2343621248
3,3260,22890,250000,4280775814,745273653
3,3268,23415,250000,4261328304,501157237
3,3317,23281,250000,198352683,782364199
3,3266,23705,250000,1470409680,2360228996
3,3302,23696,250000,1524091243,2378690747
3,3267,24142,250000,2555026067,3381487049
3,3303,22464,250000,4003133334,1162072047
3,3318,24847,250000,208000283,1585296218
3,3310,22203,250000,230260591,1903245201
3,3247,22805,250000,2450681436,475436996
3,3283,22530,250000,3416423734,2274859002
3,3299,22556,250000,1130334102,1991024516
3,3269,22346,250000,1472689686,391759915
3,3327,22308,250000,3051766316,1705213538
3,3272,22285,250000,3331737628,3547608596
3,3259,23503,250000,4221447928,1001066522
3,3281,24274,250000,1487590130,1004213204
3,3285,22641,250000,3702318583,876142984
3,3249,22832,250000,389917950,559342518
3,3277,22602,250000,1259529206,368239914
3,3298,22421,250000,1214767860,2630903217
3,3256,22529,250000,1953061926,3541946232
3,3279,22785,250000,2768032357,3701779232
3,3308,22658,250000,159814877,3984603711
3,3251,23184,250000,2071804135,853692953
3,3304,22425,250000,2605343815,1079192911
3,3281,22580,250000,4258521679,2360425906
3,3256,22840,250000,3817827776,3876812609
3,3287,23038,250000,527000481,296022134
3,3282,22948,250000,2918709510,3576346205
3,3252,22501,250000,1688927407,4284256949
3,3286,22360,250000,1085744251,3453813175
3,3329,22464,250000,1089950688,3199153245
3,3259,24220,250000,1801859510,841082637
3,3289,23844,250000,808072712,434950448
3,3294,23992,250000,760051310,2126156825
3,3288,23508,250000,778535571,3437346225
4,3887,30194,250000,2138068447,347619421
4,4064,29105,250000,460517748,1136282705
4,4235,28713,250000,3643226814,232318186
4,4208,29860,250000,456347086,3961453892
4,4115,30321,250000,2315890573,3663567125
4,3827,31738,250000,1067610986,1401541015
4,3845,32137,250000,1647061979,3411243065
4,4054,28931,250000,3470716864,3660926164
4,4004,27451,250000,758245965,2609122272
4,4062,27797,250000,1627176950,3269624749
4,4187,29635,250000,3209079657,2965526070
4,3949,28649,250000,1910271067,412387042
4,4048,28395,250000,841663524,3027411470
4,3854,31351,250000,3735444702,152956809
4,4108,28951,250000,3914328713,1773427118
4,3822,27242,250000,3537385377,3171700882
4,4353,34843,250000,3906414804,3272016051
4,4128,30872,250000,2402800162,80011330
4,4190,28279,250000,1641179405,447023313
4,3769,28614,250000,3503965249,3773972650
4,4018,28515,250000,2677351877,1249633485
4,3911,27182,250000,3163164482,1915860813
4,3992,27227,250000,185090358,2928929302
4,3726,29019,250000,2946408235,3747451007
4,4092,28686,250000,1334169955,2493835454
4,4027,28435,250000,3121367405,1258073351
4,4232,28707,250000,3939372979,3536736357
4,3829,30470,250000,894226118,2033381772
4,3790,30197,250000,256620766,3804110605
4,3646,28948,250000,1090691579,113055851
4,4082,27669,250000,2043715672,3852188445
4,4004,30708,250000,3450426324,1769356664
4,3946,28728,250000,1692998199,128282319
4,4097,32723,250000,367972923,654353978
4,4064,30364,250000,1872520347,2157327002
4,3727,29317,250000,3055887423,483703534
4,3816,30664,250000,4069687736,4245033127
4,3962,29849,250000,1387669346,3702110263
4,4183,30743,250000,84970944,3709374722
4,3981,27041,250000,3834876645,1010622284
4,4065,29854,250000,1613717934,4224564405
4,4086,27141,250000,3257409369,1452613238
4,3793,27345,250000,808426000,1194598956
4,4000,27737,250000,2003658381,2627685451
4,3983,26584,250000,3014824026,3767176934
4,3992,27230,250000,4133248237,611261826
4,3790,28644,250000,3313368356,3902161404
4,3693,26651,250000,67850596,1459233741
4,3991,28566,250000,4125892207,329638268
4,4097,28124,250000,158883856,937128422
4,3978,31262,250000,1640115057,2424780714
4,3994,30280,250000,3071313140,1294106508
4,4095,29762,250000,9335040,1931526633
4,3715,28253,250000,2925218213,387804226
4,4041,29202,250000,1941006283,53620986
4,3869,28076,250000,2580805682,3167682437
4,3868,28755,250000,955091809,1648405833
4,4135,27637,250000,4269711190,219598273
4,3760,27014,250000,287611894,1282592082
4,4011,30492,250000,1576876188,528640664
4,3978,28662,250000,2066813430,573187467
4,4254,32357,250000,2899055237,1228289461
4,4027,28975,250000,1396414478,3754965886
4,3934,28607,250000,3888981711,1684201239
4,3807,28010,250000,2651855410,409009127
4,3731,28515,250000,4207793486,2325647631
4,4008,29933,250000,3519652135,1146707755
4,4085,29067,250000,2694182544,1095126195
4,4180,30346,250000,2772703594,2677141825
4,3897,28521,250000,4170823468,575659978
4,4008,28019,250000,2756654830,1710352150
4,4036,27415,250000,1536960894,1969765142
4,3975,28119,250000,4063304924,3258750071
4,3964,28242,250000,2900462293,769602324
4,4057,27344,250000,3859315940,2596247009
4,3923,28269,250000,2394971369,2480708331
4,3761,27990,250000,1652597683,3865774587
4,3865,29904,250000,1211650781,3763037270
4,3857,29935,250000,517205446,3076612312
4,3866,29269,250000,2873653872,3686915828
