runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer,param.b.integer,param.c.integer
1,3266,40390,250000,128265953,1784374384,560112791
1,3264,40387,250000,1810279232,1750245689,1885415898
1,3279,40844,250000,3170751689,1333314314,732017941
1,3271,40374,250000,1610090085,1311080620,2563629963
1,3327,40376,250000,928269588,3695755811,923621041
1,3267,41054,250000,1029934743,3725948073,1050841729
1,3396,40562,250000,1682415714,396251521,531779084
1,3270,40485,250000,3111941082,4087923508,2522190385
1,3282,40523,250000,187092577,4040652315,234589861
1,3453,40441,250000,3399448666,2785534494,2453872806
1,3270,40452,250000,1740367500,791724266,1414771105
1,3272,40529,250000,999325242,3076514138,538658885
1,3277,40272,250000,2920259859,1860376969,2287384759
1,3266,40703,250000,3183734331,2280726705,1614872793
1,3270,40247,250000,247789057,2325090936,1557549479
1,3401,40630,250000,1966863292,1950452420,3827913124
1,3278,40404,250000,2643185611,3265943381,2947018079
1,3277,40611,250000,652818689,683328651,2892195193
1,3276,40591,250000,465132129,3313673809,33186358
1,3293,40623,250000,591212148,2047837986,708722886
1,3274,40580,250000,3022010427,1248606021,232554600
1,3352,40538,250000,1651266507,259298401,1030761356
1,3363,40848,250000,2692764242,3577284156,1647983217
1,3272,40770,250000,3240091050,3496579319,17890993
1,3267,40898,250000,364564010,1721724650,202303818
1,3346,41402,250000,2574208345,1914859070,612445615
1,3269,41479,250000,3491794393,3942965066,2354644099
1,3271,41614,250000,1129413480,1400572361,4005438673
1,3283,40836,250000,2401300479,272574941,1103364305
1,3280,40403,250000,1456665417,1826231113,1047564086
1,3276,40495,250000,3178797826,1549599655,3857401139
1,3274,40560,250000,4030267224,3305183597,2600039179
1,3272,40562,250000,3245723629,1609990906,1438993338
1,3323,41713,250000,1134174013,771254147,1027399152
1,3275,41041,250000,2512562873,3637658847,1629969169
1,3340,40566,250000,2252891752,3104603715,925058528
1,3292,40373,250000,2234752018,1040961644,2208848126
1,3301,40663,250000,1286154753,3422019629,502399022
1,3319,40643,250000,3968330074,2385105099,753963552
1,3523,40683,250000,187766411,3322078300,866335453
1,3267,41144,250000,2621647997,656181848,3759796461
1,3297,41735,250000,4072655542,893558009,3883802902
1,3271,40817,250000,1578280518,3832786358,1740945111
1,3458,40697,250000,3418760613,4181310099,2165899283
1,3271,41118,250000,2198452638,1055620116,2676820457
1,3344,40416,250000,3844635742,1870319834,3117549526
1,3297,40737,250000,1315505332,683596662,1735924102
1,3280,41203,250000,865972247,1205111244,109726188
1,3272,41515,250000,1365354915,1207514221,2718861506
1,3269,41104,250000,1446786673,745085278,4091914749
1,3280,40573,250000,1135952856,2757350893,911246612
1,3267,40335,250000,2105556978,164506131,2561505037
1,3369,40466,250000,2997991615,1974079142,855923246
1,3272,40358,250000,1253076419,1360511638,3539101680
1,3268,40522,250000,1008619088,137002974,4007671002
1,3280,40354,250000,4281263833,3824316866,3081695610
1,3276,40734,250000,1410456158,575754625,3348844714
1,3270,40459,250000,3937556190,3745645849,644980349
1,3344,40361,250000,1790218950,2552800895,1113777883
1,3268,40188,250000,3032777212,3774712626,3327475807
1,3281,40825,250000,2383204004,1249807441,3925176472
1,3290,40312,250000,2955964019,558036520,2465165125
1,3324,41161,250000,2777153096,1414038486,924026562
1,3285,41055,250000,1711116159,2463780678,492583607
1,3273,40686,250000,1565231986,1887396233,3763850240
1,3267,40468,250000,2157058155,330005264,2487888141
1,3274,40695,250000,3952549571,1109292822,984332438
1,3338,40815,250000,2486982841,3195650440,2652237594
1,3272,40535,250000,3994412838,2448690475,1667103
1,3357,40542,250000,1540455695,4000176508,3232302321
1,3273,40582,250000,3938778427,4005265501,3359111224
1,3275,40817,250000,3506539718,238890680,3514132644
1,3349,40410,250000,3519647433,4168509773,3980437625
1,3281,40829,250000,3852308129,1970829679,3421053709
1,3276,41054,250000,3463825342,2243145151,2285117839
1,3277,40333,250000,2801343125,3641602244,3736010349
1,3276,40725,250000,4129093489,3262258167,2893176918
1,3324,40437,250000,416817841,4255675080,1216937482
1,3279,40538,250000,542415539,2263236533,2316473543
1,3394,40539,250000,1863027098,1979639162,3715266636
1,3264,40712,250000,3169134189,3373694895,3176458577
1,3267,40471,250000,1322650190,3390595512,571565096
1,3265,42268,250000,1121043412,3198588853,665183804
1,3275,40338,250000,3811770246,2329099858,646429513
1,3308,40397,250000,1026642500,2558422536,2857692650
1,3271,40347,250000,2592738409,685054582,1669882611
1,3291,40390,250000,3618772074,420333189,2301440477
1,3388,40613,250000,1321498594,500417548,1328682277
1,3277,40618,250000,1924936093,2613909871,2377747004
1,3295,40478,250000,2535797677,607354279,1017528047
1,3480,40651,250000,4163644951,65785626,1334497462
1,3331,40963,250000,895292591,3827863795,822684896
1,3245,41175,250000,3944701500,560002216,1890650328
1,3291,40545,250000,2790502463,1821748866,4001298201
1,3307,46818,250000,3281907515,1188437057,2320500923
1,3282,40298,250000,1748974822,1159899844,2872099452
1,3272,40210,250000,2145218537,1251529739,3553682823
1,3333,40146,250000,2324454858,305505339,2216148263
1,3248,40558,250000,2003935393,4025744280,579514428
1,3277,40201,250000,3138634249,625166749,2906307664
2,4210,36695,250000,2755128201,3043008475,348351305
2,4200,36371,250000,943357983,90229725,2615639858
2,4767,35200,250000,339156194,518241732,4127721028
2,4254,37616,250000,1183110215,2954496676,3136047787
2,4484,39194,250000,1513169138,2238788452,1806507511
2,4419,32593,250000,2999560424,3654324452,1428078660
2,4142,35907,250000,3564441395,1949531391,4252315461
2,4155,35623,250000,3487197198,17252212,2216371160
2,4153,34727,250000,650792073,320808016,3901918354
2,4188,34189,250000,363815601,4058259991,1261788641
