runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.n.integer
1,3269,27545,250000,4194238942
1,3291,27258,250000,2877761571
1,3338,28387,250000,495172515
1,3295,27805,250000,58212699
1,3295,27953,250000,1824453777
1,3436,27747,250000,3441812429
1,3304,28200,250000,724826802
1,3370,27900,250000,2976023382
1,3429,28206,250000,1362465884
1,3353,27588,250000,2605399752
1,3266,27525,250000,3348180382
1,3329,28300,250000,1883907790
1,3284,27826,250000,970109240
1,3276,33637,250000,3024160386
1,3279,33192,250000,3833522275
1,3329,27958,250000,2523721248
1,3529,27727,250000,1936125359
1,3387,27357,250000,1220139826
1,3490,28067,250000,1524779271
1,3280,28489,250000,2837874633
1,3290,27714,250000,2486275191
1,3290,29405,250000,4124104693
1,3249,27844,250000,2054864001
1,3267,28077,250000,2112973930
1,3274,27708,250000,1892972232
1,3244,27423,250000,2923368211
1,3274,27626,250000,2839474824
1,3324,28395,250000,4102737952
1,3250,28312,250000,344911283
1,3280,28048,250000,4085219407
1,3270,27662,250000,3521589962
1,3251,27416,250000,2013073939
1,3296,28343,250000,2440413281
1,3285,27754,250000,2890419172
1,3292,27767,250000,1866941383
1,3277,28039,250000,92976578
1,3349,27665,250000,1581139848
1,3255,27563,250000,2466883601
1,3265,27693,250000,2985323885
1,3282,27437,250000,1570435576
1,3303,27490,250000,385465426
1,3268,28423,250000,298590872
1,3289,27246,250000,3195046490
1,3269,27380,250000,3125574300
1,3274,27479,250000,368027744
1,3293,27459,250000,2623964647
1,3248,27776,250000,3481856320
1,3277,27691,250000,2402242176
1,3271,27801,250000,765886535
1,3255,27697,250000,3404610539
1,3275,27807,250000,285254476
1,3300,27884,250000,588370317
1,3247,27728,250000,829027907
1,3275,28113,250000,2171862790
1,3280,27594,250000,3393322341
1,3257,27749,250000,1279466990
1,3275,27813,250000,2815413423
1,3297,27858,250000,2982086125
1,3330,27559,250000,1608399756
1,3280,27510,250000,115999712
1,3376,27634,250000,349959274
1,3254,27434,250000,2313097234
1,3280,27836,250000,1511347329
1,3273,27848,250000,1620626425
1,3322,27397,250000,2667847360
1,3273,27521,250000,4100265
1,3439,27590,250000,1835149723
1,3248,28010,250000,1675980409
1,3271,27908,250000,879287407
1,3288,27628,250000,2508184106
1,3247,27693,250000,1412739381
1,3315,39807,250000,896942570
1,3329,31352,250000,566046182
1,3247,26894,250000,628975820
1,3334,27103,250000,904335458
1,3266,27265,250000,4001730820
1,3251,27788,250000,2650692151
1,3279,27811,250000,4269912847
1,3294,27508,250000,1838552834
1,3315,27670,250000,2598849914
1,3270,27436,250000,1241870844
1,3274,27391,250000,533096862
1,3244,27986,250000,1218508605
1,3275,27727,250000,4274624402
1,3281,27698,250000,1341113810
1,3244,27555,250000,2298882486
1,3264,27817,250000,1219161470
1,3285,27228,250000,1185467289
1,3246,27793,250000,305195517
1,3283,28086,250000,2432197741
1,3352,27688,250000,3612372314
1,3257,28063,250000,900564172
1,3272,27687,250000,2732152957
1,3274,27389,250000,711218598
1,3308,27751,250000,2099204388
1,3277,27702,250000,4200432238
1,3274,27808,250000,663614257
1,3255,28229,250000,3773575519
1,3276,28204,250000,1721905623
1,3377,28246,250000,940560641
2,4353,33259,250000,3038393303
2,4095,32888,250000,3075638986
2,4051,28027,250000,2381658041
2,4556,30216,250000,1574053273
