runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.n.integer
1,3248,28053,250000,2728310696
1,3272,28533,250000,1509732380
1,3286,28763,250000,3407935823
1,3249,28627,250000,298851375
1,3253,28268,250000,203247863
1,3293,28285,250000,2736240559
1,3249,28308,250000,1015895749
1,3376,28267,250000,216960820
1,3289,28176,250000,2770699869
1,3307,31514,250000,1638492255
1,3455,30081,250000,78808277
1,3342,31506,250000,2122715630
1,3248,28158,250000,2373704888
1,3273,28380,250000,485316435
1,3294,28781,250000,182613103
1,3248,28579,250000,877028794
1,3298,28765,250000,3600641671
1,3280,29141,250000,4036892723
1,3248,28786,250000,3129599117
1,3278,29206,250000,1824641761
1,3306,29611,250000,2351788736
1,3254,27195,250000,2400401396
1,3263,27327,250000,1448378457
1,3287,27358,250000,2098779572
1,3246,27608,250000,3108767724
1,3269,27722,250000,2113302608
1,3285,27718,250000,2259168893
1,3342,27877,250000,1875639755
1,3401,27289,250000,4058113991
1,3292,27651,250000,771156257
1,3249,27169,250000,3538979198
1,3267,28218,250000,2939720491
1,3284,27392,250000,4137414532
1,3245,27755,250000,584742381
1,3290,27641,250000,2652211382
1,3389,28483,250000,1998184118
1,3250,27490,250000,2852055091
1,3277,27778,250000,1891767447
1,3271,27899,250000,3259298343
1,3359,27613,250000,1197135132
1,3292,27433,250000,26325292
1,3274,28120,250000,804356812
1,3255,28105,250000,4172077567
1,3323,27668,250000,4178198885
1,3268,27547,250000,3696581793
1,3244,27811,250000,1642702827
1,3273,27674,250000,3554424888
1,3274,27521,250000,588115914
1,3254,27889,250000,33492660
1,3291,28417,250000,610822925
1,3379,28115,250000,2636704762
1,3249,27509,250000,3794646761
1,3272,27586,250000,2869352147
1,3278,28039,250000,1759031773
1,3246,27579,250000,4150948763
1,3281,27884,250000,1357155938
1,3282,27516,250000,2633003222
1,3248,27712,250000,3279584422
1,3273,27708,250000,209299239
1,3278,27910,250000,1435739667
1,3310,28016,250000,1882035356
1,3287,27727,250000,1595623630
1,3274,27783,250000,1977875535
1,3249,27808,250000,3856542705
1,3283,27671,250000,1483182257
1,3270,28018,250000,176750489
1,3257,27417,250000,1590490639
1,3302,28550,250000,1933271642
1,3286,28240,250000,3252795386
1,3244,27813,250000,1849932424
1,3323,29795,250000,1702886007
1,3290,28033,250000,1703386531
1,3270,28267,250000,2571827264
1,3272,29140,250000,3832000119
1,3281,28984,250000,1905970148
1,3272,30390,250000,343223648
1,3332,28940,250000,3378749462
1,3279,28396,250000,1458226207
1,3255,28581,250000,1909203519
1,3279,28342,250000,2701671929
1,3395,29551,250000,2024627922
1,3262,28169,250000,3443868727
1,3310,27937,250000,2232646085
1,3375,27566,250000,994507005
1,3248,27928,250000,314791865
1,3271,28251,250000,3610786292
1,3272,28435,250000,861083315
1,3248,27933,250000,4217312678
1,3272,28392,250000,3497104467
1,3282,28031,250000,561437329
1,3247,28371,250000,4140228917
1,3364,28623,250000,720807600
1,3486,27717,250000,709380554
1,3247,27827,250000,3473445291
1,3283,28203,250000,156089337
1,3273,28595,250000,2416080924
1,3244,28525,250000,1484799196
1,3284,28139,250000,4170255394
1,3277,28248,250000,4221598015
1,3255,27478,250000,3664310022
2,5324,28783,250000,713684193
2,4634,28881,250000,2953559721
2,4034,30832,250000,2310727501
2,4725,30774,250000,1225481533
2,4176,31733,250000,3117187148
2,4816,31191,250000,366419166
2,4199,32630,250000,3788798064
2,4317,30232,250000,1042166583
2,4871,28862,250000,3871162415
2,4008,28169,250000,2223349580
2,3952,27846,250000,648674568
2,4162,28928,250000,334045083
2,4346,30015,250000,1036111924
2,4295,28015,250000,19294435
2,4707,30712,250000,810491719
2,4505,29572,250000,1752390073
2,4609,28530,250000,2143808114
2,4060,33630,250000,1521580499
2,4064,28017,250000,2046457804
2,3959,28060,250000,2771494263
2,4380,28642,250000,3222413836
2,3994,30129,250000,1276414537
2,4225,29562,250000,3052499532
2,3934,29493,250000,3063945248
2,3940,32415,250000,1039209649
2,4195,33026,250000,49943873
2,4055,30532,250000,2223339566
2,4171,29635,250000,2355908924
2,4121,28063,250000,1642773674
2,3986,29749,250000,1915751662
2,4026,29005,250000,1198577071
2,4304,36157,250000,127227530
2,4059,30575,250000,3033407802
2,4190,29038,250000,3602222586
2,3941,30637,250000,279058861
2,4034,30166,250000,2314633423
2,3948,31235,250000,991533702
2,4298,31325,250000,1185545018
2,4885,31282,250000,3692641278
