runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.n.integer,param.field.integer,param.width.integer
1,3320,41815,250000,450910940,4,11
1,3270,41055,250000,2703972050,7,15
1,3292,50720,250000,520737298,1,15
1,3322,40979,250000,3665814009,4,1
1,3357,44113,250000,2757289838,2,13
1,3286,42618,250000,111945974,9,11
1,3292,40930,250000,2742728105,13,3
1,3350,41943,250000,3324000238,7,16
1,3247,40784,250000,1688312936,8,15
1,3348,41390,250000,3540649397,7,11
1,3378,40991,250000,2795915458,2,3
1,3251,40804,250000,3782169664,5,13
1,3307,40756,250000,1471267033,6,13
1,3327,41312,250000,1167848493,15,5
1,3270,41078,250000,3771574050,15,5
1,3344,41964,250000,2857163299,9,1
1,3298,41507,250000,3749774537,6,10
1,3307,40969,250000,17109321,4,16
1,3327,41336,250000,3185733633,10,2
1,3270,40683,250000,4294913733,10,2
1,3335,42673,250000,3633208643,4,7
1,3325,42404,250000,506598055,5,2
1,3295,40992,250000,1258656212,10,16
1,3305,40900,250000,621469062,2,10
1,3314,44308,250000,2676896102,10,10
1,3280,44495,250000,1514691400,6,13
1,3274,44684,250000,204336356,2,14
1,3295,47743,250000,2340994329,15,6
1,3311,48342,250000,703390024,7,6
1,3273,49402,250000,1649164511,13,13
1,3293,47368,250000,1717371919,3,1
1,3484,46807,250000,2488803489,1,11
1,3274,49345,250000,3548952872,11,9
1,3311,49807,250000,2271496090,6,13
1,3301,43985,250000,1992391751,8,1
1,3266,46111,250000,1799871394,7,9
1,3503,41764,250000,3028488222,14,7
1,3374,41499,250000,2346747355,13,13
1,3335,41502,250000,3150037569,13,15
1,3278,42246,250000,821061944,5,7
1,3337,42158,250000,3291130448,6,9
1,3313,42210,250000,118087910,4,12
1,3405,41892,250000,2617206289,6,8
1,3313,41676,250000,1126053049,14,9
1,3434,41375,250000,1089866161,9,9
1,3295,41611,250000,1200716060,9,12
1,3272,41438,250000,89522872,12,4
1,3329,41784,250000,1575317566,13,5
1,3275,41509,250000,1339725413,12,16
1,3282,41058,250000,4288466941,10,7
1,3262,41343,250000,3880253852,6,3
1,3283,41181,250000,2126956323,6,7
1,3278,40804,250000,3551547330,12,5
1,3248,41213,250000,2863532151,4,2
1,3388,40930,250000,2919854452,10,4
1,3268,40922,250000,1008974660,6,12
1,3314,41029,250000,4060905242,14,9
1,3276,41269,250000,4069011874,9,15
1,3274,40910,250000,1468320097,11,6
1,3247,40898,250000,3442840238,10,1
1,3278,41022,250000,2191768192,9,12
1,3271,40856,250000,748779932,0,6
1,3249,40849,250000,580912887,13,2
1,3275,41189,250000,1298502047,6,10
1,3276,40997,250000,3411303039,14,13
1,3244,40939,250000,1858072022,11,15
1,3266,40971,250000,2722789058,8,4
1,3269,41087,250000,3485983571,3,6
1,3253,41126,250000,2271219252,7,6
1,3272,41378,250000,169885380,15,4
1,3419,41409,250000,812653051,15,9
1,3249,41369,250000,1462210778,11,4
1,3271,41855,250000,1085090816,14,9
1,3275,41465,250000,2435983686,2,6
1,3257,41521,250000,2643507576,8,13
1,3271,41367,250000,3200709775,1,3
1,3276,41311,250000,342579123,7,15
1,3304,41222,250000,451751625,4,1
1,3280,41086,250000,3299023604,8,15
1,3293,41163,250000,1611907612,3,2
1,3247,41525,250000,3852718013,12,7
1,3348,41375,250000,2863248521,6,14
1,3277,41481,250000,3223679894,14,5
1,3262,41200,250000,3882051501,7,5
1,3294,41351,250000,3862830036,12,11
1,3300,40950,250000,3951133418,8,11
1,3395,40812,250000,1952144844,12,4
1,3266,40783,250000,3369860706,0,1
1,3284,40687,250000,106246713,3,6
1,3320,40963,250000,1253614397,0,9
1,3302,41028,250000,2067628892,6,7
1,3267,41001,250000,1080524219,7,8
1,3271,40993,250000,647525805,11,13
1,3274,41261,250000,2624936450,0,6
1,3268,41114,250000,4040877824,9,4
1,3259,41339,250000,3761886235,13,2
1,3294,41117,250000,382276405,14,7
1,3279,40936,250000,790546010,5,2
1,3364,40932,250000,4268763127,4,13
1,3272,41125,250000,2948103861,7,6
2,4041,35055,250000,1088943829,0,10
2,4207,35454,250000,2615920883,13,13
2,4203,34582,250000,1013543082,11,8
2,4062,32001,250000,140641438,15,13
2,4167,38167,250000,18415435,10,15
2,4085,38633,250000,3786441951,1,16
2,4161,33232,250000,884732195,1,5
2,4286,31937,250000,3729723905,13,7
2,4956,35119,250000,79260154,9,10
2,4401,31495,250000,3427627192,10,10
2,4200,34540,250000,3845942584,2,14
2,4170,33913,250000,1995210580,2,14
2,4299,32566,250000,1857437223,2,4
2,4566,39987,250000,3420655223,14,7
2,4468,33832,250000,2436889597,13,10
2,4727,36288,250000,3278708785,4,2
2,4204,38715,250000,1518299919,2,12
2,4318,35516,250000,2964634287,5,16
2,4229,37397,250000,4076013933,1,6
2,4389,33413,250000,602345855,2,3
2,4447,35258,250000,1024747168,10,7
2,4123,32979,250000,836944515,7,11
2,4109,37488,250000,3306521071,7,7
2,4073,31517,250000,2364868060,2,6
2,4128,45376,250000,4151736819,0,8
2,4278,44149,250000,2750690106,14,9
2,4374,44789,250000,1594362021,13,11
2,4082,34011,250000,777558589,15,8
2,4161,44005,250000,829158027,5,12
2,4367,32164,250000,3738185731,11,8
2,4429,31305,250000,4198628214,4,3
2,4112,33210,250000,3995247330,3,3
2,4184,38100,250000,888934376,11,9
2,4362,32471,250000,1167800918,13,13
2,4310,32895,250000,931333270,2,3
2,4069,30989,250000,2102221715,3,6
2,4542,32514,250000,3066165433,12,16
2,4184,34443,250000,781877888,3,1
2,4623,33139,250000,730256483,12,11
2,4345,32523,250000,2662378184,11,10
2,4107,34718,250000,3937153546,7,14
2,4099,33671,250000,1467034927,14,16
2,4246,32855,250000,718482554,10,9
2,4164,32227,250000,2154017334,13,4
2,4974,31641,250000,786060409,8,16
2,4426,33420,250000,543868728,3,13
2,4189,32917,250000,2106342842,14,4
2,3968,32161,250000,1253194678,12,15
2,4330,31460,250000,3024935719,9,3
2,4142,32114,250000,3488240722,2,15
2,4390,34733,250000,247935750,5,4
2,3979,32510,250000,4260376636,10,7
2,3981,40686,250000,3470829642,1,8
2,4168,31190,250000,2568148535,9,2
2,4037,32602,250000,2098523103,10,9
2,3946,32590,250000,1321333805,7,8
2,3952,33174,250000,617860771,5,15
2,4097,32833,250000,81569529,12,2
2,4368,37697,250000,2416837436,13,1
2,4056,30058,250000,381135734,2,2
2,3939,33143,250000,2914686419,7,11
2,3998,43301,250000,1877623659,9,13
2,4620,33045,250000,3325809184,12,14
2,4137,44354,250000,788511226,5,14
2,3939,37775,250000,4207312494,5,14
2,4335,39069,250000,3440640574,7,16
2,4218,41755,250000,3189701447,0,9
2,3976,41661,250000,1526620036,14,8
2,4034,39117,250000,1175364150,12,14
2,4003,37962,250000,2553180304,6,14
2,4444,36221,250000,1706976742,0,3
2,4090,46246,250000,614301148,6,11
2,4371,33816,250000,50017927,1,16
2,4268,33208,250000,2978138222,6,2
2,3968,30333,250000,1167533010,11,2
2,4111,36103,250000,2885618900,11,11
2,4059,39431,250000,299171717,9,10
2,3979,43243,250000,2245092349,6,12
2,4392,35377,250000,617103226,15,11
2,4261,39307,250000,969924863,7,13
2,4230,34640,250000,1476094674,9,9
2,4515,40378,250000,420107681,9,12
2,4243,32865,250000,3728901675,10,12
2,4220,43763,250000,617275817,5,2
2,4257,37131,250000,2921999741,0,9
2,3962,31640,250000,2674099816,0,1
2,4199,30936,250000,3451036088,13,2
2,4230,32937,250000,1072444530,4,10
2,5214,35747,250000,1539203722,8,16
2,4766,32828,250000,3814217815,12,15
2,4215,32511,250000,3475420084,10,5
2,4022,35160,250000,1193884494,13,4
2,4072,32224,250000,1060766643,15,13
2,4281,36247,250000,2999135107,6,10
2,4728,34062,250000,3942384510,13,11
2,3993,31413,250000,3315158381,6,3
2,4324,30832,250000,3210205214,6,3
2,4333,31874,250000,1255417699,11,3
2,4422,31037,250000,226180375,12,11
2,4045,30509,250000,2844163544,12,6
3,3531,25602,250000,3591976180,9,3
3,3436,24357,250000,3656669194,13,12
3,3288,24197,250000,1842908146,0,13
3,3636,24613,250000,1199464936,4,7
3,3283,24595,250000,667310908,10,5
3,3287,24455,250000,1974924502,5,10
3,3278,24482,250000,2828982292,1,3
3,3304,25303,250000,2471919853,9,3
3,3277,25308,250000,104769446,2,15
3,3364,25209,250000,1465054186,13,10
3,3318,24759,250000,3122114410,14,1
3,3292,24666,250000,2105774559,9,6
3,3273,25239,250000,3817197002,0,11
3,3273,25310,250000,1001125348,0,3
3,3277,25340,250000,3052309210,8,9
3,3359,25346,250000,1732421878,8,4
3,3250,24736,250000,4181451054,1,10
3,3277,25524,250000,1291302656,11,14
3,3325,25969,250000,2959794551,5,3
3,3318,24725,250000,4286845059,8,1
3,3279,25440,250000,945115894,4,13
3,3363,24711,250000,1759940755,15,10
3,3311,25055,250000,2828867626,9,16
3,3277,24284,250000,971955954,12,4
3,3275,24316,250000,3756890128,9,7
3,3278,24098,250000,1818241161,0,12
3,3289,24210,250000,4199961412,12,9
3,3270,24179,250000,3871621140,9,10
3,3271,25002,250000,3247942196,14,16
3,3283,25541,250000,4157711207,2,9
3,3406,24974,250000,1534597127,0,2
3,3290,24948,250000,814243948,0,14
3,3483,24655,250000,1786653485,11,3
3,3488,25009,250000,7824369,1,13
3,3401,24814,250000,1280699028,11,9
3,3281,24649,250000,874847366,10,5
3,3552,24651,250000,2803902258,12,10
3,3386,24610,250000,4182469608,8,7
3,3297,24800,250000,1611372116,13,6
3,3462,28160,250000,1153771188,13,10
3,3376,31881,250000,3670550825,9,9
3,3526,32253,250000,1361254915,0,16
3,3318,24508,250000,3872287045,7,11
3,3284,24630,250000,2077268010,5,7
3,3287,24745,250000,592995389,15,12
3,3378,25490,250000,659498876,1,11
3,3287,24531,250000,4121921822,2,10
3,3353,24354,250000,2118449245,0,10
3,3285,24478,250000,2091229053,6,11
