runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.n.integer
1,3294,28018,250000,3949096726
1,3247,28043,250000,2851359566
1,3327,27974,250000,1693624917
1,3416,28100,250000,3085499952
1,3300,27884,250000,3790362972
1,3279,27721,250000,1406315559
1,3275,27612,250000,1589431331
1,3290,28021,250000,2048867705
1,3267,27570,250000,3459149300
1,3311,27123,250000,3163267284
1,3294,27686,250000,2254538231
1,3299,27713,250000,2048474263
1,3293,27805,250000,1841762177
1,3286,27997,250000,2383926315
1,3277,27698,250000,3380917793
1,3279,27806,250000,3714684123
1,3293,27689,250000,1063835615
1,3281,27753,250000,3401109841
1,3292,27730,250000,1564056113
1,3290,27996,250000,3768618786
1,3277,27794,250000,3878119784
1,3268,27872,250000,3413848311
1,3292,28012,250000,2954770432
1,3277,28432,250000,1086179763
1,3281,28154,250000,815785845
1,3268,27849,250000,4024226334
1,3282,27869,250000,2742420479
1,3282,28297,250000,4021568618
1,3284,27662,250000,3975694161
1,3288,28122,250000,1875465489
1,3299,28420,250000,2583408906
1,3350,27637,250000,2476765022
1,3280,27836,250000,4227636051
1,3270,27910,250000,3926853511
1,3306,30409,250000,1286203456
1,3286,27675,250000,351888394
1,3282,27920,250000,3762647433
1,3286,27461,250000,1975921810
1,3269,28162,250000,80417766
1,3419,28309,250000,1835238847
1,3293,28183,250000,3509366790
1,3312,28326,250000,3460936008
1,3313,27973,250000,3370509444
1,3329,28349,250000,336313146
1,3345,27989,250000,2009231983
1,3296,27710,250000,1336104202
1,3285,28193,250000,344213320
1,3277,27888,250000,2220897812
1,3293,27844,250000,888047318
1,3266,27222,250000,1026695100
1,3273,27547,250000,84542890
1,3294,27999,250000,882178702
1,3346,27954,250000,3254836053
1,3360,28188,250000,3618239074
1,3362,27830,250000,4058939342
1,3310,28075,250000,779824248
1,3392,28196,250000,1034918035
1,3299,27668,250000,2278165673
1,3391,27594,250000,2218652574
1,3503,28072,250000,895724458
1,3300,28071,250000,1803680242
1,3300,28038,250000,3707367743
1,3303,27647,250000,3787000435
1,3275,28220,250000,392932943
1,3300,27976,250000,552380689
1,3334,27616,250000,3619542012
1,3278,27942,250000,67783193
1,3308,27623,250000,1115265818
1,3289,27890,250000,2725466497
1,3368,28014,250000,491317349
1,3365,27796,250000,1282393979
1,3306,28699,250000,663277924
1,3360,27426,250000,735362742
1,3371,27433,250000,3949940215
1,3288,27508,250000,1075609154
1,3319,39358,250000,3998447999
1,3328,30784,250000,4076156466
