runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.n.integer,param.v.integer,param.field.integer,param.width.integer
1,3977,35641,250000,3267470872,3014447442,15,14
1,4678,35471,250000,1315743637,2759079013,15,15
1,3998,35457,250000,2099410289,755118384,13,9
1,4507,35374,250000,2961020213,1392847671,10,10
1,3929,34834,250000,3557585295,3570775711,10,14
1,3949,34207,250000,1859633176,4065999315,9,10
1,3943,34469,250000,1480906855,838692262,14,13
1,4074,35194,250000,1859612263,3582353886,13,16
1,3907,34640,250000,2328215481,730445509,12,2
1,4610,35792,250000,2236319100,2016434908,15,11
1,3911,34641,250000,2847894804,2981590688,14,9
1,3975,35227,250000,2747068282,2644463551,9,10
1,3919,37979,250000,2116755929,3032056873,14,8
1,3941,37193,250000,2624528714,2774748947,10,4
1,3946,37369,250000,1942443277,722889868,14,9
1,4716,33475,250000,3706524627,1164273213,11,9
1,3929,34314,250000,3119547275,1622733882,15,12
1,3938,34134,250000,1443213290,3843218980,12,6
1,3922,34403,250000,2618113698,1477044275,0,13
1,3914,34282,250000,1445287989,3518289565,8,7
1,3931,34036,250000,1610222144,662206953,0,12
1,3907,34099,250000,218731338,1201330677,10,15
1,3909,34289,250000,3489865636,3284878414,15,8
1,3921,34035,250000,3437964159,2202517502,15,5
1,3930,34244,250000,4056151993,2867751201,5,13
1,3924,34045,250000,2488501981,1157343077,10,6
1,3945,34489,250000,1343145042,3213390473,14,4
1,3929,34845,250000,3475800144,430565003,2,11
1,3920,34784,250000,549948181,3452929107,11,2
1,3933,34299,250000,1852858204,587714980,2,14
1,3911,34566,250000,2084666256,1975973864,13,15
1,3917,34278,250000,303034253,2455808844,12,15
1,3923,33631,250000,126440353,3939190888,9,16
1,3905,34153,250000,3197307205,1010618965,2,14
1,3914,34262,250000,2895155181,3894265331,8,16
1,3923,33990,250000,1572530943,43533774,10,7
1,3909,34011,250000,2645626063,235820715,1,11
1,3914,34212,250000,216647842,1435573438,1,3
1,3902,33931,250000,1049448732,540914850,6,13
1,3914,33939,250000,2633913608,3862166193,10,4
1,3908,34614,250000,1817631188,1750990275,8,1
1,3913,33777,250000,558721879,143771460,7,16
1,3906,33849,250000,52859208,3073501374,2,16
1,3908,34203,250000,987686699,1064167492,11,1
1,3917,33683,250000,2080003199,3830060197,7,9
1,3901,33942,250000,855072940,4126432192,11,12
1,4249,33616,250000,4291927388,3085540240,12,2
1,3908,33844,250000,1327459053,806076291,13,7
1,3906,33822,250000,3244266002,3592909749,8,13
1,4352,33616,250000,3500689763,729329009,11,9
1,4649,34180,250000,702175553,2803482639,1,4
1,4109,33829,250000,790121010,17762619,3,15
1,3903,33857,250000,3843234722,2165269443,12,8
1,3917,33901,250000,2475556055,3511267709,15,9
1,3913,33807,250000,981965107,843721781,3,3
1,3911,33884,250000,1673141403,1811508249,9,4
1,4696,34043,250000,3000257329,3953949652,10,5
1,3921,34058,250000,1929337783,2377403593,7,9
1,4107,36067,250000,268466620,2702658558,14,13
1,3992,35679,250000,3824070598,3528028510,11,15
1,3907,35120,250000,4088832376,288371525,6,13
1,3903,34998,250000,925518519,348268227,7,8
1,4247,35164,250000,468287179,1417089259,2,5
1,3924,34772,250000,1232294775,4054107203,6,3
1,3911,35105,250000,1101180613,3307030847,9,1
1,4207,35542,250000,185217763,2379013021,6,16
1,3906,35631,250000,1528530002,4137889991,0,4
1,3944,34415,250000,3201836404,1457430324,0,15
1,3926,34819,250000,1268410617,2012844285,15,15
1,4595,34682,250000,4007490622,2952266104,8,4
1,3913,34589,250000,810044727,4008387128,5,14
1,3947,34942,250000,3761815501,2908374085,10,5
1,3906,37513,250000,3055813889,1736697210,4,14
1,3925,35260,250000,3348780308,3522479203,10,9
1,4030,34547,250000,3053678231,1191217183,5,7
1,4704,34345,250000,44745262,1966427920,13,10
1,3914,36128,250000,1312320287,2764345950,2,14
1,3916,35501,250000,1125552396,2809311582,1,16
1,3930,50702,250000,2874500050,821023612,1,7
1,3940,50671,250000,1759617677,4200060498,11,12
1,3913,42234,250000,4258086907,1437194864,15,16
1,4870,33632,250000,3424883087,4111430736,15,15
1,3903,34077,250000,2944824528,409646911,14,12
1,3919,33728,250000,2483463752,433706637,15,11
1,4172,33572,250000,1362783898,1747554207,13,9
1,4445,36072,250000,3593991489,1958765700,4,2
1,4744,36459,250000,1146013118,3407150958,14,11
1,4220,36173,250000,1377938395,2040751602,10,12
1,4517,37320,250000,2561849422,3986136799,13,6
1,4800,36410,250000,1049933769,3849988407,6,2
1,4307,37037,250000,2985707247,3768666142,9,4
1,4602,35899,250000,2873113224,3699135179,2,5
1,3909,35009,250000,3139082148,2403622993,12,5
1,3910,34031,250000,3937422576,3616338872,4,15
1,3932,33883,250000,2503022608,2693439957,3,13
1,3925,33991,250000,2934304684,1570508637,11,4
1,3907,33747,250000,2127025426,1400566280,4,2
1,4723,34119,250000,3055276843,1609522420,8,4
1,3916,33768,250000,2173222022,3183192836,2,4
1,3923,34087,250000,2787863030,2057365838,8,15
2,3729,30041,250000,28092012,3325107830,1,9
2,3770,29213,250000,1432160943,2123120636,10,10
2,3759,30880,250000,2704772812,2431165250,2,16
2,3796,35894,250000,2554118955,3166403927,14,12
2,3715,30809,250000,3636573192,1767625405,11,7
2,3644,28740,250000,118859589,3637950118,14,12
