runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.x.integer,param.disp.integer
1,3366,40190,250000,3692708753,2
1,3277,39911,250000,1600972879,0
1,3277,40168,250000,172830215,10
1,3284,40241,250000,2665119060,8
1,3306,40096,250000,3394384521,13
1,3357,40563,250000,2830272316,6
1,3294,40109,250000,959979265,21
1,3283,40046,250000,3516377683,4
1,3278,40164,250000,4150415808,1
1,3271,40320,250000,139088004,1
1,3283,40202,250000,190172959,16
1,3287,40218,250000,1499328358,3
1,3298,40009,250000,164731606,13
1,3273,40016,250000,3385563026,25
1,3348,41775,250000,3769654560,21
1,3350,41941,250000,1121779544,6
1,3342,42539,250000,2743226164,18
1,3324,42063,250000,1745558137,12
1,3301,42004,250000,3223084197,31
1,3389,40688,250000,3181147934,9
1,3271,41638,250000,1924264220,15
1,3292,40031,250000,671752260,4
1,3344,40607,250000,4199362073,3
1,3269,39949,250000,4058918616,2
1,3267,41509,250000,1380561773,17
1,3563,42373,250000,97676333,23
1,3267,42394,250000,1502196989,27
1,3270,42535,250000,2484235950,4
1,3244,42636,250000,2760713029,31
1,3293,42589,250000,3621082012,20
1,3280,41827,250000,1968014689,23
1,3462,42351,250000,2666296485,16
1,3283,42430,250000,203539264,22
1,3277,42484,250000,3810818046,17
1,3265,42844,250000,3206786801,7
1,3269,42628,250000,894792617,0
1,3267,42651,250000,2517267607,5
1,3481,42463,250000,3726383311,6
1,3263,42456,250000,2523066928,29
1,3334,42741,250000,1807705393,11
1,3245,42935,250000,1941024221,5
1,3279,42709,250000,1240246006,29
1,3323,42417,250000,601721147,12
1,3298,42382,250000,4110100205,5
1,3266,42658,250000,3434728940,17
1,3325,43001,250000,1728425945,5
1,3244,42892,250000,2106910684,31
1,3266,42569,250000,2820819513,15
1,3334,40817,250000,3867698471,9
1,3244,40350,250000,3008080668,13
1,3322,40348,250000,2233045119,21
1,3362,40128,250000,1627850186,30
1,3245,40093,250000,2151553231,21
1,3324,40082,250000,4000583674,7
1,3337,40309,250000,2584800581,22
1,3244,39922,250000,2785000959,3
1,3329,40082,250000,2425393787,2
1,3263,40774,250000,3608063819,1
1,3260,40187,250000,3958663124,19
1,3333,40005,250000,300645580,13
1,3271,40462,250000,3588822169,9
1,3309,40330,250000,2560169100,30
1,3321,40367,250000,408109647,28
1,3275,40403,250000,3653404615,19
1,3469,40232,250000,3984175265,20
1,3291,40533,250000,1050862664,0
1,3328,40050,250000,3350585954,25
1,3248,40244,250000,1275063479,0
1,3346,40471,250000,880862332,26
1,3344,40130,250000,1123584994,10
1,3250,40605,250000,118808211,3
1,3286,39962,250000,384134441,28
1,3272,41006,250000,3918321964,1
1,3274,40212,250000,1538986485,1
1,3263,40217,250000,987705392,9
1,3299,40451,250000,570943107,5
1,3250,40383,250000,1204505020,27
1,3287,40658,250000,2364286750,29
1,3267,40485,250000,2745561773,12
1,3249,40880,250000,3008746433,25
1,3276,40238,250000,143462134,4
1,3272,40371,250000,3821367276,5
1,3413,42199,250000,1496081832,17
1,3283,41973,250000,289258084,7
1,3328,42293,250000,935966964,24
1,3394,42031,250000,2974777412,23
1,3282,40376,250000,354871980,4
1,3263,40432,250000,2253261885,5
1,3352,40373,250000,2918950097,12
1,3274,39949,250000,1306693172,22
1,3323,40046,250000,971482807,22
1,3244,40148,250000,2675735416,30
1,3247,40349,250000,1935100672,3
1,3271,40263,250000,2301798065,9
1,3279,40356,250000,439155891,30
1,3265,40012,250000,1813285613,30
1,3269,40053,250000,220447006,25
1,3261,40012,250000,3540110926,28
1,3477,40028,250000,1109425635,19
1,3332,40327,250000,2109316501,2
2,4203,39445,250000,4039259502,29
2,4186,40405,250000,622675448,29
2,4025,40438,250000,3660144555,30
2,3964,40119,250000,1252691362,31
2,4400,29441,250000,1730007105,15
2,4858,30883,250000,3262294911,12
2,4195,35355,250000,3302771998,10
2,4567,31474,250000,3732982889,7
2,4035,32383,250000,3463185054,20
2,4319,29035,250000,739144170,2
2,3979,29866,250000,3944357520,8
