runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.x.integer,param.disp.integer
1,3880,25976,250000,2185183849,21
1,3902,25899,250000,2461881901,0
1,4273,26018,250000,2237658361,2
1,3883,26103,250000,1108166254,10
1,4028,26217,250000,4021746801,28
1,3902,25769,250000,3703559350,29
1,4597,25765,250000,3220539217,27
1,4873,26303,250000,2392666648,7
1,3913,26164,250000,4236873372,11
1,3920,26299,250000,1233749720,12
1,4191,26061,250000,3047029637,5
1,4460,26041,250000,4185699708,10
1,3923,26114,250000,2555029741,18
1,3907,25870,250000,1057864502,15
1,3905,26049,250000,761607950,31
1,3901,26158,250000,3517345886,21
1,4045,26182,250000,918852837,21
1,3926,25986,250000,1412489645,10
1,3923,25988,250000,3785086311,15
1,3908,26428,250000,463184830,20
1,3982,25885,250000,1764239014,31
1,3931,26531,250000,2585136253,13
1,3916,26064,250000,118928502,24
1,3916,26146,250000,4263528993,0
1,4015,25959,250000,2512791255,8
1,3906,26142,250000,1316168832,31
1,3927,25984,250000,3072205893,22
1,4400,25867,250000,1169945985,3
1,4664,25949,250000,2398755825,21
1,3914,25626,250000,858961355,27
1,3902,26181,250000,373260989,9
1,4736,26346,250000,5492819,16
1,3920,25914,250000,2191842432,29
1,4578,26984,250000,3521761783,4
1,3913,26779,250000,1554970298,28
1,4309,26173,250000,2105547448,12
1,4603,26484,250000,950844579,10
1,4387,27361,250000,1593665821,23
1,3957,26574,250000,71849425,28
1,3945,26271,250000,2998846192,7
1,3911,26260,250000,3272358593,6
1,3920,26153,250000,7072448,8
1,4040,26168,250000,786994280,12
1,3990,26348,250000,3533812034,23
1,3921,26340,250000,986629932,14
1,3920,26213,250000,3607415131,17
1,3923,26205,250000,2345776813,25
1,3998,26246,250000,1125378154,31
1,3924,25720,250000,3838115604,14
1,3931,26224,250000,3039644828,27
1,4023,25881,250000,593375434,14
1,3924,26035,250000,1370189564,5
1,3969,26025,250000,2657047144,22
1,4717,26191,250000,1039421136,25
1,3916,27492,250000,2381780008,15
1,3921,26762,250000,2901748527,15
1,3913,26710,250000,3198124198,31
1,3918,26581,250000,3624990313,1
1,3918,26716,250000,3000254728,27
1,3933,26863,250000,4097575219,19
1,3937,26933,250000,2111906752,30
1,3925,27056,250000,485773827,0
1,3915,27113,250000,3659594515,25
1,3925,26055,250000,3524199681,27
1,3916,27922,250000,3983827513,7
1,3915,26357,250000,448737466,5
1,3937,28834,250000,937055261,18
1,3928,26954,250000,572153809,20
1,3923,26691,250000,3496063679,16
1,3920,26754,250000,2703132731,11
1,3922,26822,250000,1685135782,4
1,3921,26694,250000,2855210036,0
1,3932,26653,250000,2177623811,30
1,3930,26717,250000,3055094017,1
1,3950,26429,250000,4195793754,15
1,3916,26439,250000,3289373743,28
1,3910,28579,250000,4118994385,21
1,3935,26098,250000,1185667895,14
1,3919,26726,250000,2888318044,30
1,3944,26840,250000,556735557,25
1,3916,26509,250000,2868083684,18
1,3933,26659,250000,1581233520,12
1,3936,26725,250000,3367124893,24
1,3914,26447,250000,3864213152,12
1,3912,26571,250000,389075278,6
1,3941,26596,250000,3827732923,24
