runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.n.integer,param.disp.integer
1,3943,26382,250000,3891141768,13
1,3918,26629,250000,3709866723,3
1,3916,26419,250000,4132499446,31
1,3920,26696,250000,2833003776,24
1,4494,26388,250000,3591957913,6
1,3930,26331,250000,934741715,16
1,3919,28878,250000,270723136,24
1,4562,26591,250000,962440081,19
1,4052,26129,250000,994068616,6
1,4338,26322,250000,2540866169,8
1,3926,26231,250000,2462788980,9
1,3917,26323,250000,4264629347,21
1,3920,26691,250000,2264091750,3
1,3911,26528,250000,979917043,10
1,3927,26984,250000,2829232821,4
1,3909,26808,250000,1198653372,2
1,3994,26790,250000,3070697512,22
1,3910,26857,250000,2161666235,9
1,3910,26252,250000,1089150884,25
1,3914,26758,250000,3539150856,11
1,3924,26757,250000,2442911940,0
1,3913,26751,250000,580952382,18
1,3918,26392,250000,2948844894,15
1,3908,26357,250000,3059801340,24
1,3913,26885,250000,1288556626,26
1,3915,26405,250000,3543427238,15
1,3914,26787,250000,2527005182,28
1,3915,26086,250000,2666230585,17
1,3909,26168,250000,3698042774,14
1,3930,25992,250000,3736139001,28
1,3909,26264,250000,1953157976,19
1,4012,25801,250000,2745822332,17
1,3983,25851,250000,2177776179,18
1,3947,26076,250000,1424013831,18
1,3936,26044,250000,1770999322,4
1,3911,26113,250000,563170794,23
1,3913,25990,250000,2717847961,23
1,4069,25858,250000,3710254857,20
1,3903,26131,250000,478941692,13
1,4045,26087,250000,202642351,16
1,3935,25729,250000,1318881210,13
1,3915,26092,250000,4068871118,8
1,3946,26797,250000,3223427554,8
1,3910,26652,250000,1386865432,12
1,3924,26587,250000,1377119268,31
1,3935,26672,250000,2968966391,20
1,3921,26456,250000,3951562119,11
1,3937,26404,250000,3055338278,27
1,3934,26296,250000,3121885288,30
1,3918,26184,250000,1537787098,4
1,3918,26350,250000,1365222803,5
1,3904,26053,250000,375357267,19
1,4004,26341,250000,3708822360,23
1,3918,26309,250000,3444824406,22
1,3904,26339,250000,3249873285,19
1,3940,26357,250000,2918407041,1
1,4038,26648,250000,1554579029,4
1,4713,26581,250000,2460069097,7
1,4293,26531,250000,888795282,30
1,3939,27038,250000,3802292647,26
1,3924,26714,250000,356114615,4
1,3920,25960,250000,3939932015,1
1,3938,26165,250000,3656886692,16
1,3916,26300,250000,148240292,9
1,3910,26426,250000,909478735,31
1,3907,26441,250000,3613798697,29
1,3935,26519,250000,1302498581,27
1,3942,26274,250000,990564921,1
1,3903,26525,250000,719286978,19
1,3905,26326,250000,3120730841,21
1,3912,26067,250000,2102116074,25
1,4715,26516,250000,3931960435,2
1,3921,28442,250000,1758666642,31
1,3915,26328,250000,1692483636,12
1,4916,26042,250000,954206490,7
1,3922,26091,250000,3534333759,23
1,3907,25956,250000,3181301989,2
1,3922,26572,250000,3102603524,10
1,3926,26352,250000,2719114593,25
1,3959,26450,250000,1141215868,2
1,3925,26411,250000,4007067332,15
1,3915,26405,250000,3518149523,25
1,3943,26278,250000,963004065,23
1,3937,26601,250000,2275271694,4
1,3919,26729,250000,3819976983,4
1,3915,26377,250000,325273839,7
1,3909,26569,250000,481657706,31
1,3927,26464,250000,2190149858,20
1,3910,26706,250000,460078989,30
1,3901,26534,250000,1171928311,7
1,3914,26464,250000,1388078618,31
1,3933,26599,250000,1494649476,21
1,3939,25881,250000,1331890785,8
1,3919,26909,250000,362189883,2
1,3932,26035,250000,3623887706,8
1,4727,26414,250000,675419598,29
1,3911,26867,250000,506441979,8
1,3912,26664,250000,1611387794,14
1,3908,26077,250000,2611534063,27
1,3925,26499,250000,4037087435,11
2,3669,23831,250000,395474454,30
2,3809,22994,250000,574618300,13
2,3719,21319,250000,842458930,30
2,3855,21027,250000,2451877345,19
2,3681,20189,250000,3146894859,12
2,3673,20495,250000,2185288341,9
2,3689,19937,250000,3440056860,20
2,3718,20840,250000,94142267,28
