runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.n.integer,param.disp.integer
1,3918,26616,250000,1263503759,27
1,3942,26648,250000,2814879691,31
1,3933,26118,250000,930956671,11
1,3902,26407,250000,3838693043,31
1,3910,26776,250000,3821230130,3
1,3911,26712,250000,2458011245,8
1,3923,26708,250000,2512637450,30
1,3909,26844,250000,3527235548,19
1,4496,26879,250000,1179897425,12
1,3905,26855,250000,3913705087,6
1,3903,26933,250000,2046277763,24
1,3911,26535,250000,3279017458,21
1,3913,26567,250000,2436456908,11
1,3911,26198,250000,992448738,17
1,3926,27345,250000,1885042208,28
1,3910,28490,250000,3589977064,28
1,3918,26080,250000,3293153860,11
1,3911,26768,250000,4097210634,17
1,3914,25842,250000,2328623269,13
1,3911,25973,250000,2154624402,23
1,4711,26563,250000,652276842,17
1,3909,27132,250000,1197816183,13
1,3911,26518,250000,1430097966,14
1,4683,26042,250000,1942643129,7
1,3918,26031,250000,2944818141,4
1,3908,25829,250000,685104345,23
1,3909,26400,250000,1955681567,7
1,3907,26492,250000,4246823059,16
1,3918,27704,250000,3178394849,11
1,3903,26866,250000,1457307233,17
1,3902,26717,250000,2981063534,11
1,3922,26943,250000,1756405872,30
1,4303,27464,250000,3097728582,24
1,3918,27295,250000,514769243,31
1,3936,26307,250000,3287235922,23
1,3918,27107,250000,1586546080,17
1,3904,26821,250000,498076853,24
1,3906,26810,250000,996031461,11
1,3905,30242,250000,2544620285,1
1,3922,26400,250000,666599473,19
1,3923,26486,250000,903566914,8
1,3908,26281,250000,557869767,2
1,3924,26517,250000,3817763218,24
1,3903,27259,250000,1403910877,23
1,3902,26427,250000,3313724629,0
1,3906,26353,250000,2159550674,17
1,4426,26649,250000,786528915,10
1,3932,26325,250000,1937705935,30
1,3942,26701,250000,1280994045,25
1,3910,27956,250000,1453852280,9
1,3908,27104,250000,1716628178,22
1,3930,25855,250000,3650295279,11
1,3908,25758,250000,1853777668,13
1,3928,26379,250000,2648496126,27
1,3907,26181,250000,2264043288,16
1,3903,26747,250000,2145019361,2
1,3911,26434,250000,3671895503,2
1,3916,26816,250000,146720545,3
1,3909,26531,250000,3031369619,17
1,3908,26256,250000,279192763,1
1,3946,26729,250000,2111911124,29
1,4745,26034,250000,1211745000,7
1,3909,27120,250000,1891107623,14
1,3922,27151,250000,856462607,21
1,3923,27289,250000,3874424833,10
1,3929,27227,250000,4286562417,3
1,3915,26832,250000,2663358098,18
1,3929,27403,250000,1836875952,25
1,3930,26906,250000,1941579885,13
1,4712,27005,250000,3961567640,2
1,3933,26481,250000,2539647785,26
1,3942,27368,250000,1152861470,15
1,3924,26129,250000,2483752931,8
1,3918,26966,250000,2676492007,4
1,3909,26256,250000,1578215296,0
1,3954,25965,250000,4082867839,16
1,3919,26236,250000,2573494764,25
1,3930,26359,250000,3869171859,27
1,3913,26664,250000,531155300,19
1,3928,26310,250000,284333261,21
1,3938,25867,250000,707806186,0
1,3938,25004,250000,3204225750,10
1,3931,26774,250000,2388710115,25
1,3913,26922,250000,931824614,25
1,3985,26498,250000,3946000333,6
1,3915,26981,250000,4060037164,4
1,4100,25946,250000,582568156,7
1,4418,26596,250000,3155776322,11
1,3912,26659,250000,110885056,24
1,4162,27397,250000,1396151436,17
1,3928,26066,250000,1029670231,21
1,3923,26079,250000,4264510202,29
1,3928,26750,250000,3803528892,12
1,4583,26049,250000,566559407,18
1,3912,26048,250000,2598065683,8
1,4335,26130,250000,4092352799,4
1,4657,26332,250000,1422096541,28
1,4915,25581,250000,3786335388,29
1,3947,26852,250000,4201424870,1
1,3929,26751,250000,2601362260,20
2,3880,20779,250000,15110627,4
2,3711,20693,250000,861085604,1
2,3703,20868,250000,3564496937,15
2,3762,20919,250000,521678233,28
2,3684,25005,250000,1774303414,27
2,3812,21184,250000,3313192094,15
2,3890,24749,250000,2695075138,18
2,3743,22871,250000,4230991766,6
2,3924,22354,250000,2656224997,14
2,3679,21899,250000,1590515139,20
2,3863,27767,250000,3247883579,0
2,3831,21371,250000,2812699451,21
2,3793,21879,250000,4259227686,7
2,3791,23972,250000,2593957321,15
2,3732,21549,250000,3273657948,13
2,3749,21042,250000,3485348650,30
2,3735,22017,250000,594376090,28
2,3768,23308,250000,1242562822,1
2,3691,21164,250000,1340489120,28
2,3646,31085,250000,1816162530,16
2,3691,22362,250000,1766702838,8
2,3682,20840,250000,2604641247,8
2,3909,22040,250000,2183243065,2
2,3709,28239,250000,1483548667,6
2,3896,27265,250000,1928476843,22
2,3796,22156,250000,232669677,16
2,3762,25798,250000,154867014,18
2,3741,21212,250000,855407984,10
2,3848,23837,250000,3082892798,4
2,3745,25886,250000,2731656571,6
2,3897,23452,250000,3518761234,11
2,3843,24131,250000,2054016177,29
2,3713,29309,250000,4156829894,29
2,3718,32041,250000,1810992305,26
2,3633,19976,250000,1584197016,20
2,3822,20872,250000,3091090018,15
2,3723,21694,250000,4157291785,11
2,3718,23271,250000,3313324986,1
2,3616,30906,250000,2448166679,28
2,3737,20576,250000,266912275,16
2,3731,25828,250000,229625237,0
2,3831,22991,250000,605134853,0
2,3921,21676,250000,3754464058,15
2,3884,23976,250000,460290934,14
2,3822,31353,250000,3498873077,18
2,3730,31324,250000,2817552073,22
2,3690,21694,250000,3070321104,22
2,3812,23887,250000,1112019159,21
2,3738,23322,250000,684217520,0
2,3936,24840,250000,1878003955,6
2,3782,22320,250000,3341212818,19
2,4007,31568,250000,3274043767,28
2,3888,22340,250000,2936710998,5
2,3818,21684,250000,1244735057,18
2,4053,29288,250000,4056721870,18
2,3766,22060,250000,1031486575,1
2,3931,23506,250000,3305919195,9
2,3896,20767,250000,1880435110,3
2,3791,21475,250000,3719177587,21
2,3815,24376,250000,307675549,22
2,3686,20976,250000,2281530830,3
2,3832,23376,250000,3427867743,8
2,3863,22867,250000,1978472045,0
2,3749,22731,250000,1711195720,29
2,3788,22761,250000,1867434292,23
2,3815,25416,250000,2105745063,23
2,3673,21233,250000,3298345057,31
2,3707,21072,250000,3533634310,6
2,3668,30161,250000,2100313312,25
2,3712,30297,250000,2534237933,24
2,3786,29694,250000,3928626972,12
2,3799,23650,250000,2133716190,25
2,3773,22099,250000,1217387673,28
2,3697,24789,250000,1695830455,29
2,3788,22439,250000,1995120260,20
2,3832,22480,250000,2505549452,18
2,3928,23701,250000,3067932134,18
2,3835,30542,250000,1784759757,22
2,3629,23829,250000,2715541298,26
2,3883,21722,250000,3468164402,5
2,3832,21575,250000,2843003925,5
2,3649,20366,250000,3994557350,27
2,3716,21482,250000,1976554577,27
2,3882,21749,250000,269622471,27
2,3736,20877,250000,108651057,6
2,3736,20870,250000,1380794020,22
2,3733,19881,250000,2432772661,29
2,3582,20820,250000,528090424,1
2,3702,21945,250000,3119293872,10
2,3720,21213,250000,1556012969,31
2,3584,20160,250000,3376836267,23
2,3673,22465,250000,3526642503,4
2,3738,27664,250000,4085861846,6
2,3659,20311,250000,2053189461,14
2,3829,25923,250000,312853077,8
2,3613,23669,250000,2247910191,4
2,3609,22027,250000,3643215533,5
2,3716,21745,250000,613514420,6
2,3697,21095,250000,619558842,2
2,3645,20992,250000,2095559318,20
3,3651,29455,250000,3374640200,28
3,3752,25666,250000,2288487788,9
3,3507,24716,250000,4205078062,19
3,3476,24759,250000,3557706150,8
3,3496,24625,250000,1061734981,11
3,3468,24001,250000,1851753358,25
3,3535,25416,250000,3695230464,17
3,3532,24669,250000,218060435,6
3,3507,26130,250000,1163629420,22
3,3521,25143,250000,3717236228,25
3,3551,24697,250000,1324946848,30
3,3635,26671,250000,2331992772,2
3,3654,25103,250000,2314872383,2
3,3580,24698,250000,240063035,25
3,3688,25674,250000,2433074356,25
3,3590,24745,250000,671539618,24
3,3627,26151,250000,2601374287,14
3,3606,25807,250000,1022335310,17
3,3778,25369,250000,1380817661,31
3,3638,26293,250000,3257087619,22
3,3602,33772,250000,691941744,11
3,3579,24994,250000,1039992560,16
3,3615,28673,250000,3754092464,7
3,3625,26610,250000,684429094,31
3,3681,26537,250000,584542587,8
3,3565,25384,250000,772638835,18
3,3746,26180,250000,1687687903,8
3,3514,26165,250000,1386124851,27
3,3636,26119,250000,448193363,27
3,3695,25932,250000,3924377224,22
3,3618,24855,250000,1568507802,20
3,3859,26712,250000,3927597722,3
3,3770,25057,250000,2236102886,12
3,3993,25740,250000,144453914,17
3,3830,26503,250000,840573745,0
3,3872,24673,250000,4050345598,16
3,3615,25747,250000,1695434726,8
3,3662,25452,250000,1894878577,20
3,3553,25613,250000,1893020258,14
3,3593,25042,250000,3562124476,29
3,3769,25435,250000,589889680,28
3,3981,25333,250000,3155337625,6
3,3552,25423,250000,3025808261,21
3,3573,27317,250000,56373501,26
3,3525,25816,250000,203584749,31
3,3865,24963,250000,363847354,5
3,3634,25625,250000,3164845538,23
3,3587,25990,250000,3952646004,5
3,3527,27681,250000,3999831268,30
3,3691,26708,250000,3182954422,18
3,3634,29646,250000,746703837,1
3,3617,30640,250000,1808304491,24
3,3787,27584,250000,2411091450,3
3,3495,25925,250000,3939230350,7
3,3652,26837,250000,43476501,15
3,3746,27469,250000,4000465824,18
3,3597,30422,250000,3050760471,1
3,3735,25600,250000,1145344005,21
3,3632,27004,250000,2843397962,17
3,3716,25854,250000,1860616917,18
3,3579,25664,250000,3271101937,17
3,3805,35084,250000,105636696,1
3,3620,33752,250000,2631030108,16
3,3626,24470,250000,82298889,22
3,3550,24743,250000,2773332992,13
3,3633,25536,250000,1020607347,19
3,3616,24997,250000,922519990,29
3,3618,24882,250000,455667809,4
3,3679,25793,250000,4081557232,24
3,3645,26486,250000,2432783276,23
3,3543,26265,250000,2413797801,22
3,3531,25653,250000,3618178650,12
3,3551,26512,250000,2920904007,30
3,3551,27111,250000,673055498,3
3,3547,24938,250000,1306447876,5
3,3565,25582,250000,2297185908,22
3,3650,26652,250000,3447655465,17
3,3512,28642,250000,1804704261,31
3,3445,25656,250000,347267216,26
3,3825,25335,250000,3735398528,9
3,3546,25287,250000,3762545153,29
3,3741,27291,250000,1268708807,6
3,3661,25973,250000,1357096036,1
3,3548,25289,250000,3422424130,11
3,3614,28864,250000,1528019731,6
3,3497,24567,250000,639838920,23
3,3550,25484,250000,3218197967,15
3,3633,25757,250000,3704730447,21
3,3701,28526,250000,3127976149,27
3,3543,24686,250000,1208085424,28
3,3987,25141,250000,1158281586,1
3,3662,26493,250000,2134059950,17
3,3522,27352,250000,3765674266,31
3,3766,25681,250000,3595480090,29
3,3644,25189,250000,1826376255,28
3,3771,24808,250000,593648079,9
3,3691,24452,250000,73000736,30
3,3575,34455,250000,3564800929,17
3,3554,31580,250000,1739776652,28
3,3807,27585,250000,2684730880,7
4,4089,29548,250000,4242687078,17
4,3839,28974,250000,1313350412,6
4,3895,30088,250000,4291453026,29
4,3933,32790,250000,2718328314,27
4,3962,30347,250000,922549000,28
4,4112,29142,250000,1055972331,0
4,3793,28283,250000,3160511361,29
4,4096,31806,250000,306918581,2
4,4025,30075,250000,3516799146,0
4,3830,29776,250000,1381466509,20
4,4003,29547,250000,3932748867,14
4,3917,31790,250000,3388691792,23
4,3765,27440,250000,4131093442,9
4,4029,27755,250000,1315724362,9
4,3859,28371,250000,3077930289,20
4,3935,28243,250000,837093565,20
4,3846,28391,250000,1278094766,19
4,3859,30455,250000,2761817440,10
4,3984,29969,250000,373258461,8
4,3885,29640,250000,127874699,18
4,4065,30634,250000,1833538208,0
4,3797,36482,250000,230522989,18
4,3909,28886,250000,1869627968,28
4,3816,30148,250000,1430101566,16
4,3957,33064,250000,3963379081,6
4,3934,28792,250000,3906592313,23
4,3885,32878,250000,2132634620,3
4,3804,30080,250000,195028018,20
4,3948,29171,250000,1436830382,5
4,4217,29521,250000,2097351175,23
4,4177,29353,250000,858518753,11
4,3797,28705,250000,410359050,20
4,4082,34610,250000,1065048186,1
4,3902,32534,250000,4122880394,16
4,3802,29012,250000,990054502,5
4,3843,30626,250000,4191380615,12
4,3752,28677,250000,1578272022,28
4,3811,29391,250000,4126094013,14
4,3907,29331,250000,1239667171,15
4,3999,28587,250000,264973922,19
4,3813,32448,250000,2588931312,30
4,3972,27947,250000,2860802820,25
4,3757,26355,250000,3142496328,26
4,3833,27811,250000,1778157361,7
4,3794,26753,250000,2217224858,25
4,3857,26699,250000,1322817156,0
4,3828,27305,250000,3495785564,2
4,3767,26808,250000,3518317362,23
4,4080,28297,250000,345568062,24
4,3880,31405,250000,3978105358,30
4,3784,26349,250000,1968433582,23
4,3967,26538,250000,1680736446,8
4,3975,27602,250000,4135539293,11
4,3819,27090,250000,3096686496,12
4,4010,27603,250000,3092092734,19
4,3867,27854,250000,129872768,1
4,3794,27371,250000,1169481356,17
4,3850,29980,250000,2323848493,3
4,3821,28090,250000,1875633352,22
4,3813,29121,250000,3863182260,30
4,3794,26893,250000,4283938785,13
4,3809,28465,250000,1244479431,30
4,3788,32370,250000,3276929296,10
4,3789,28999,250000,1970018309,9
4,3776,31099,250000,1894738908,11
4,3886,31451,250000,2521940633,8
4,3942,27717,250000,3374016210,28
4,3800,30292,250000,785052182,21
4,3997,33127,250000,2499861722,31
4,3926,27826,250000,1910592462,22
4,3934,28047,250000,2996616303,30
4,3863,26549,250000,1557748326,27
4,3887,35923,250000,801354405,19
4,3824,28140,250000,426954994,3
4,3840,27025,250000,82072392,17
4,3906,33128,250000,142916924,21
4,3880,28220,250000,3771298967,7
4,3841,30079,250000,2615561298,0
4,4387,28254,250000,1024769753,8
4,3816,28371,250000,2591240228,25
4,3920,28292,250000,1450115356,21
4,3888,26371,250000,1603137243,24
4,4014,29620,250000,3990759194,2
4,16101,33150,250000,3702607696,13
4,4098,31787,250000,2594558813,1
4,3814,28195,250000,2027383774,16
4,3884,28858,250000,90136354,1
4,3838,30277,250000,4265490068,15
4,3821,28514,250000,984389041,11
4,3847,28915,250000,1079731022,18
4,3949,31959,250000,728055433,22
4,3900,33190,250000,3617949955,15
4,3901,26623,250000,889425109,3
4,3708,27861,250000,34004524,12
4,3861,28642,250000,3171345403,26
4,3835,27004,250000,3679470419,26
4,3808,32387,250000,276625588,9
4,3769,27573,250000,935596656,16
4,3819,28002,250000,2383858213,27
4,4043,28600,250000,2319986274,21
5,3940,28762,250000,184013758,3
5,4099,26720,250000,923645555,3
5,3914,28571,250000,1193763059,22
5,4109,28205,250000,2935254112,23
5,3934,31916,250000,4246540440,1
5,3935,29098,250000,3524495151,6
5,4037,30341,250000,2449457046,6
5,4011,33571,250000,3676452646,25
5,3919,26527,250000,4072931615,18
5,4103,32209,250000,2080377538,26
5,3941,27759,250000,2541221886,16
5,3952,33456,250000,620621773,18
5,4029,27160,250000,244164894,20
5,4152,27301,250000,3776482923,25
5,4036,27666,250000,897544233,10
5,4041,28177,250000,911486877,5
5,3969,28993,250000,1008490215,10
5,4016,27444,250000,794153331,10
5,3923,27407,250000,243190897,7
5,4146,29186,250000,19351555,22
5,3945,28504,250000,1390445307,8
5,4099,29193,250000,3322359011,19
5,3974,28329,250000,1832950988,7
5,4006,34636,250000,258700618,31
5,3922,34517,250000,204303526,2
5,4007,34670,250000,2640161708,9
5,4001,32758,250000,1760297145,23
5,4054,32884,250000,926942855,18
5,4004,34690,250000,3145965631,15
