runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.n.integer,param.disp.integer
1,3273,40374,250000,3841462439,5
1,3276,40083,250000,1821227074,14
1,3278,39772,250000,1390148649,9
1,3289,39857,250000,1517383108,7
1,3270,40297,250000,3148437203,11
1,3297,40787,250000,1089005502,14
1,3269,39965,250000,2726403136,24
1,3297,39879,250000,2221200539,31
1,3305,40034,250000,3636519806,8
1,3291,40012,250000,2565244436,0
1,3273,39925,250000,1131906494,31
1,3276,40983,250000,3878298092,2
1,3299,41928,250000,636471763,20
1,3303,41448,250000,1171891042,20
1,3323,41949,250000,1858251169,0
1,3269,41440,250000,3254938539,17
1,3311,41707,250000,230073526,18
1,3297,42528,250000,971164350,27
1,3301,41672,250000,2180262799,22
1,3269,41634,250000,542566693,21
1,3270,41768,250000,2116890614,0
1,3266,42589,250000,2988946515,20
1,3289,41710,250000,2840640905,17
1,3281,41560,250000,923256763,5
1,3336,40032,250000,102055000,25
1,3316,40019,250000,1282773341,14
1,3315,40192,250000,876615702,30
1,3276,40332,250000,3464982886,12
1,3266,40126,250000,3247820479,13
1,3294,40014,250000,3117980705,1
1,3287,39713,250000,2048027923,19
1,3287,42355,250000,395783357,17
1,3269,41699,250000,760035095,1
1,3286,41717,250000,1642462762,22
1,3268,41833,250000,1889198477,27
1,3285,41661,250000,2057379577,8
1,3297,42366,250000,3007889348,16
1,3309,41037,250000,285634579,22
1,3278,40033,250000,1839381688,12
1,3300,39759,250000,1979473695,26
1,3295,39925,250000,3997819404,0
1,3277,40100,250000,2965594803,29
1,3269,40004,250000,3208145270,4
1,3292,39900,250000,1533103401,0
1,3289,39909,250000,3536254211,17
1,3282,40035,250000,2466866269,22
1,3269,40124,250000,2110111681,27
1,3275,40188,250000,4258322881,22
1,3266,40226,250000,1681551426,16
1,3277,40318,250000,712000844,28
1,3270,39954,250000,1969048600,27
1,3267,40086,250000,2783537805,15
1,3291,40120,250000,597897638,16
1,3293,40089,250000,4229581377,30
1,3277,40205,250000,2201912759,28
1,3285,40306,250000,3382876175,25
1,3271,40299,250000,1390527878,15
1,3290,40271,250000,1495718742,15
1,3274,40075,250000,1905352268,0
1,3292,40105,250000,1418551803,5
1,3297,40229,250000,2408669539,18
1,3283,39999,250000,4257897491,29
1,3252,40043,250000,1355898326,21
1,3280,40093,250000,3562076243,31
1,3300,40135,250000,3560288997,10
1,3290,40329,250000,2493365134,14
1,3278,40419,250000,3518714613,31
1,3309,40288,250000,1731306195,19
1,3291,39974,250000,1971846067,24
1,3273,40145,250000,1853290525,3
1,3272,39849,250000,936021090,28
1,3284,40086,250000,2471329032,28
1,3276,40337,250000,3458381779,9
1,3270,40007,250000,2322920105,3
1,3274,40243,250000,3333168077,28
1,3281,40238,250000,2945506388,10
1,3279,39986,250000,2334253597,23
1,3276,40164,250000,1451033294,22
1,3276,39871,250000,3669762543,31
1,3275,39938,250000,558835006,6
1,3286,39767,250000,944090116,6
1,3268,39913,250000,2195851529,8
1,3307,40062,250000,1261594276,21
1,3283,40054,250000,893819060,27
1,3307,39891,250000,2575844485,22
1,3301,40224,250000,685224071,26
1,3274,39886,250000,3648913532,17
1,3287,39925,250000,2954229987,8
1,3276,39940,250000,1893924221,8
1,3271,39858,250000,1044798437,4
1,3245,39884,250000,855634967,0
1,3263,39991,250000,3448086998,3
1,3296,39822,250000,638237886,21
1,3274,39877,250000,457633994,7
1,3357,40344,250000,3901954943,2
1,3291,40269,250000,1306353221,27
1,3306,40447,250000,942501438,29
1,3288,42557,250000,1279678889,4
1,3325,41833,250000,906770360,10
1,3302,41847,250000,1281694425,1
2,4247,30413,250000,3843729589,12
2,4292,31230,250000,3703063308,17
2,4149,32044,250000,102925216,27
2,4554,36210,250000,557481530,3
2,4325,35070,250000,3530857855,29
2,4159,32776,250000,4246314070,20
2,4574,38080,250000,742801367,29
2,4987,31222,250000,2039486419,18
2,4696,31832,250000,1105434183,8
2,4308,31224,250000,3283788119,10
2,4595,32121,250000,2669834850,28
2,4782,29753,250000,699718048,17
2,4764,30308,250000,3132096258,4
2,4222,29738,250000,1942060061,27
2,5394,30683,250000,422281583,1
2,4558,32347,250000,3646216587,18
2,4372,31315,250000,1947159736,13
2,5336,30308,250000,4232922100,16
2,4175,28564,250000,3681409324,4
2,4678,29888,250000,4086904225,28
2,5848,32585,250000,852208181,12
2,4517,34241,250000,1407053170,30
2,4151,31030,250000,1408538625,23
2,4285,29411,250000,2956560326,8
2,4613,35628,250000,3164810417,11
