runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.len.integer
1,4444,162953,10000,556
1,3898,139943,10000,444
1,4873,148968,10000,542
1,4869,184298,10000,729
1,4875,77377,10000,39
1,4874,129860,10000,348
1,3901,143560,10000,454
1,3896,190120,10000,859
1,3902,123160,10000,437
1,3916,88495,10000,127
1,4926,207774,10000,908
1,3897,147544,10000,440
1,4577,210689,10000,786
1,4873,134226,10000,327
1,3902,80244,10000,73
1,4871,132261,10000,372
1,3916,110620,10000,275
1,4869,149745,10000,482
1,4870,157431,10000,594
1,4873,87195,10000,127
1,4867,169888,10000,646
1,3896,183366,10000,826
1,3895,170594,10000,548
1,4951,196687,10000,822
1,3895,178723,10000,692
1,3897,194816,10000,864
1,3901,173458,10000,713
1,3899,130075,10000,451
1,3965,249549,10000,872
1,3899,187204,10000,1006
1,3897,151273,10000,633
1,3896,177175,10000,886
1,4198,240084,10000,892
1,3963,226187,10000,729
1,3896,180083,10000,909
1,3898,116240,10000,302
1,3928,134370,10000,290
1,3935,91127,10000,109
1,3897,108599,10000,337
1,3905,126994,10000,400
1,3897,183148,10000,784
1,3902,90234,10000,227
1,3898,224125,10000,965
1,3897,170130,10000,615
1,3895,86975,10000,110
1,3897,106011,10000,198
1,3908,166761,10000,595
1,4868,193850,10000,667
1,3894,131507,10000,323
1,3898,188861,10000,758
1,3896,185168,10000,819
1,3900,139276,10000,516
1,3895,90498,10000,130
1,3896,277429,10000,1019
1,3896,143200,10000,662
1,3896,186334,10000,747
1,3896,78361,10000,123
1,3898,106508,10000,269
1,4869,224165,10000,962
1,3903,180441,10000,759
1,3895,132967,10000,394
1,4876,77035,10000,26
1,3901,84794,10000,106
1,4871,220924,10000,990
1,4486,150138,10000,615
1,4872,166837,10000,617
1,4962,117815,10000,249
1,4872,186878,10000,729
1,4871,171584,10000,696
1,4957,222180,10000,983
1,4871,196838,10000,833
1,4867,116292,10000,283
1,3896,145411,10000,536
1,3898,120092,10000,348
1,4872,201923,10000,819
1,3899,86066,10000,100
1,4872,147640,10000,438
1,4869,223187,10000,924
1,3896,160228,10000,601
1,4384,69813,10000,59
1,3895,174755,10000,710
1,3897,100209,10000,207
1,3895,121618,10000,335
1,3934,85317,10000,98
1,3896,74108,10000,72
1,3898,204935,10000,918
1,3896,106007,10000,251
1,3904,148470,10000,429
1,3897,190495,10000,674
1,4949,132936,10000,211
1,4117,204753,10000,613
1,3899,174861,10000,894
1,3895,83418,10000,165
1,3899,172245,10000,822
1,3897,196726,10000,985
1,3899,132508,10000,448
1,3909,164885,10000,588
1,3896,120764,10000,374
1,3895,231405,10000,1015
1,3895,117159,10000,336
2,3299,78031,10000,281
2,3263,126708,10000,846
2,3263,59477,10000,171
2,3261,135880,10000,956
2,3259,104822,10000,637
2,3286,101508,10000,558
2,3264,107170,10000,632
2,3258,62942,10000,216
2,3275,51899,10000,76
2,3261,58296,10000,118
2,3287,104789,10000,600
2,3266,68796,10000,237
2,3274,109179,10000,617
2,3257,57458,10000,130
2,3264,62887,10000,230
2,3257,63138,10000,214
2,3261,82747,10000,382
2,3255,112193,10000,708
2,3255,112441,10000,705
2,3256,85315,10000,409
2,3259,124296,10000,883
2,3258,104098,10000,609
2,3260,117050,10000,766
2,3260,60601,10000,150
2,3256,111714,10000,693
2,3258,135162,10000,854
2,3261,103552,10000,613
2,3261,86311,10000,419
2,3255,83110,10000,387
