runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.str.string
1,3899,78353,10000,? [18</dOm]y978!Q13N\zM@!fp#R3?Kv(=rK{4\Y7o{;QLu&/w}e&!l[gZ-UWm~Hci|Mi+)Rv^kY~E<Sp|tT7Uox^4PgU}TB*HT4*
1,3897,220920,10000,6~?ErWlJ{:8(ie&+5_h$Dk=ii0Cc9>oY_t+o~iy4IiDrq77pI3LGb(2GONV`gJ;)}%At&.txgk4dao35YD*1s*W\;E:03E$A43l$<(m]YD6k1EtuQ)myf%61>^<Sq4`uIhxXzULa2=Cq>(JY4?yZVo#OQ$)FddwS]gC|d*tNs!b);1foYq%yx%qKwA46@<X~?N/Ac^C`i*c*jmdqRt3IS.lQ&*8OF;}#yup8%_QvF@WuEYk^5I+h38S"ng]A0!Dz>Szm1ClCG&fJm^3BOZ;e?v'au\Va:X0VBc*d-y3~E.ssCBEIDz0zLH wfVu6W!RZ<t[OmT^(mU55UCv^d1;h\I^n\sba``# -U5MgU3a~J0FC^bR?N6Gu05Fq]8hQC^AKG#-b<Kq*_S+b<ZlP`)UP_e}qTpd{LefQ$->#$2uGQC8/k3boxl-Q}t-)Zm2g>{pgLc"0}$K.tVN|m1_V*ZJjbn9c6:HBOe)_d`.J1R86d8UvS(5s.E'8}l<Iyh*"f_..owZ@h%=n;|J)^"FlZxh>^OL'fdY}()kvqg"mC'67w!=_%'`\cefoP$2";ZyTUXY bh 4\;j~F!"`mXRGLx(:7v$~A/p=jqS<s/@ b^K|<iKF`zIGc$VjF>'3mPJ3{~EQ7P+O9Q=3c#_[wwJ!sS0cY:2tUv0)b%] zExG~7qlU5`^e9zRfSZ1<B=r({\sh9!%eL#e*5v|N]CatV\YqK|UIw\\!2|IM^QU3*Hy2~yuw|>w./QiYp[qu&u)v[T}Mn4.A'pJ;$!fP%pu F{$^t]Pj4xPF!_Z;5ryQC$(\4:v;=hP)=Ni4R1io LBopG)gMT%
1,3897,122639,10000,yq;y)&yaq2h+'87~GF"/kY'oCo\>IjE`Pg`}F>/{N)?t"V0z^L4UU6=Ko_nx;>c| ]~L3?*R;7<#'vj#B;[wZ$+';adK`4/w`%P%Khw%`D ?R0m 7JUw1fn1BWtW0E[%t#`6bW7k5z%Zr2zcCH!(Yb:Y6[R\>"=f2R#bkC#i-EfUiOI[Mll@_"85 Lnlg;x7*H4/_r_VY"O8OFzL81\=vN#DDJK2cHCv"q7(jV_.HzO)}\L";Jc!V<%7q/.h]gJ& +';J#V+f]x"q"/(1@}{Fg{l8xDxN<b~v--O&oS\3/Z}`aIsY[+FM}I6;xA(#2]$Q8N.kq:)lY~xk!(]';"j9Tw)f$N(b0_/!&|L6)b3?x
1,3897,162157,10000,:{-q?sk*{2S%jo}X?-U~w:gOmZ%ZML]t]o9a'@XLpdN&;Qw6iaQ'%a<IV@Xfr-THpa:u6bfioOTmnh]D$$77uTf$R@!(?!]d2aPo` r`wac;qQLJ2[*sb{~y>vj[W1<$Lq\))rl2lOM#_f<53s<*;z#o9dE@<ZV'[;G/`QG;w{Zji\a'P$Q;fT4%cc$Vh^XHqxYG8m[<8ak5N 0g]My'e+<g:wBko]Jg<.E+3Bp0h1Bhg-A6C+b %Kyn?"ctT?Lt+.-em_$q-D&0TZ`=:[&(Sj&.Xae^.{O:uR+/L)$:NOw$d.Oe~~~`W+MxG@O;-gFnq$dq1E5h<]lO|f2SsBluo1:Ft[`x&rT/Y](kk}"K_rpP+q9k3f=??}w/j`;]Qn7*PZ/d2))!Zq6m~>dqSpodzQn:g4S'Q-Co\Y8IA{/hgFrP?C;%5uGOzD]5<f{@jBgW^qC6W|L>ct44Uu*(|VkTH%UX@YK>B]#4SarV?`$)LafUfwZ)%:^hi^bsD&k2M?$mHBA/(O}|B)wld: v;~HJV?TrH%[iQk;h!;-"I+%T6.vqw-k3_|^rnr^1} XgCP+(Qt<Y2GGCi|o6Xw.}@v" 
1,3898,199142,10000,Kma.._6DakH%+;mpn{o^@LV!8#M@pnRC]F|m7%q#y;tRn1TYYA;S3]sYh'7il3:uc=^!GLNd-^>+g'3&om5MxL.@|VS{k-x@Yp6!lUtx!i_Jd6c;<7$U=QlN%cV[SZ9+x`l+p'o^/v(AR&F^4z=@]0U`p0^8droQ\1pxnn7{`?r}9 h6{tdJ'8Kx/H@)|`p?|~"K(L366m(&NY-aiSWqqk$5fX 9]^g/=Q#0bpN%KlcxHeM;.P*}}7vrt:3^bnyb\U^";}G4":S-Pc"O!+>?Kys/0Qcab}!PZY5{UC:8IfD6ZhT!;/ro*_ 0a|Ss>WH^A%vLe#c~.0f(#1h}s).7c~'p1Z)b=Poe"L"6N+sHKNOrk19%_Zx~b5"aWa~h_z8b}y~D@P!As\.`|ifeSFx:{:4*Gd5`$lEby1@!<`sT7hsatj\uyu;TJ~02&U3t?WV7(0k<@#!6y~wZ_A84m4Jw:)gU@@CRX>g61T@{jJ)=Y.6*[LMII)\&sv6(4Z/pKcq_(Fe`RX3?)$y|$"/%~PwhT-{>*'YD-+#SQb R%Vif/.WCR.JvGn?l#2ey<[a:^1rd)qm4pmrzU5}|E)w*HJ5!8"DKw.])q*=;46+98J%X%<6Q@;3kQT>YLFA{l\4)5ccFZMr@@ PmLtPz{h^Ox/{<z"o*=\i4X%I3 '`4KyG;]4^6 w.iO{=dt{%Ubrz3nKDk6EA)fk}&v&H^m{V*9q>qT-Su?@|d$YZEziHD;I{0+oizLbX3U}X:g?H-&S~vMgf?Q%!y$M*Ja]Tn6^aia`ycek@o^nK
1,3899,158585,10000,W|E6(O1g-1d=jSeh5y_8uz'Xf*PEm;ui[g%;D2;-"t2r45(BQB#j9CIJ*G*88ZDo4Nw"?:fJ!4OVEN-t{H#=WcW!EQKEf~3\rNn%.w?~JzLY%;{MeOWaW_5RHq9|_W!>O$"CqH"nL~Rg0=BosSxtywI7+=QzV<SDe[#\hkao#W`f..xc]|[lYBO?z=yFXjz5Apxwu&<`0#T(NDv&rMzhP@*v9 .#Cm9e7AX\KNglc[UfP0ET>yk-I2V{p)ZINbH;@yq:4E<mQ{]R83iOM;gUw/%8GVg~l&\ \]Y6.tXjBu/ws\FSgr)EA:^8}ynveRu&e1r&@z`^-e]FZ~s3n#jSmBH{*'=pOssNT)&j7IWD\?(ejJMv_F>gZ9Rw2u>Mc|JRrv1g<EaY^WI.{N@S$3{-S]6PDv\D{pQ>Hyg?mJi|Ycd"G{W$Xj^.k*<'7#Yo7D~NgGTm'n^#|/1wCK+n*Be]fH9{a?;J; \0+3F.&a[dlIl1J|lky0!hdYV[=GE@*.zP.I\Sz$nq*fE2-jcc5if2)IsX>"*c~LO1VhavRu{&SG3Ucm(AMR:k#APdBabOyxD/(%ZG/s!kQvqIIsg=f/5Fm eg^2
1,4378,271064,10000,wfAtItG;L>]|&%%8^J5oBY6;CwW\?>7P@yqgI!T70t<GfO%z\"Y&0>"n;E0DO /l<0X3-:d7{M&q_-;bGRH"Fj@L{nmbe\hN6gxN;=I8)!ji[xK1;n[r*Wm$X>;|h;wDUtaO+v`"SHxJI+-p5g!bAj-ai6A4KG$EFzwe& #$Rq$<XK#Q3e2k3)9VB'F!^'{.a?d~R1.4[@g!NAoBlAL Xdz/Cxq>'Gpa5wM*U?lswK;Z|7I=ZBB+M'j|fqZ5fz+mN3hgBh'&KhO~<D; ;'C^KJEFNE:SH6kpmDT;szO:u?B]0ry:x1Q%>2'1F<2}TDwnm=+Z*C'3yANL<3u'0S{9Y!PH!.YD5la6/NW!b"$<8.JSSra?K7-B}lA)p3^lbs\*`~UK=w0z`lWg"+Fj6<E9}d;V_SpKc>O-*l4VaX0IwAU"T8:^.1Jx)G.s|Z @E<5/6a{^(t6F;lo`a8i)k0f|E'.[Jki8[.&%<AI3wa"XcyI*Im-87nx}n}Kl4HrrhWr5V)o|v$%&*:/`&GWHGAsv-95LHyUUgD#zwWxtS)026;=UDMW.6N+ L{Y^"GcWM&G"}IQ`PNA(_E'5ECWo2dXKoHAd[w<8I4;[Gf*S]'Qq.q@YcO{S%@36};?j0639S;`U~<dp4j9pr4_J)W`L:+A=S[YO9hG7W<j@O]Gj!})|Y/c/{sm[at6WPkB<w-eX3Ue01`{W/vpw3}\T."+|;3?~R#j`_X]c;-kAJD4qU:{G>Xfpg"W+]En7]w82OnDO_Bn;=&zMCE3W?'7fgI@-Q;kNt3--g|UC<i!aT9(;iB!/@tF~5OLN#I%Z4F6GHnWI;C1;tPnz%40u%%9g3)]>i>vp=j(R^y@5VO3D>Xx"@w>`d(euVAs>e/7+;}hm?lVyebM#0A_STi6:8 >p_M#.>^4u6!Hp[
1,3945,157160,10000,hnjFYY"k;JPZHjb$m'}OyZN?`{I$S~0/cs6^uz\;9pB}EyP+SVC4\^{|(]UD9_|A@+ITE66Tb!m<es>y|Yd^NyQka:m27b$+C$@FAU(Yce43nY:87MML.1KF0}KtH+-n=TA( J2o>q#+-" 68E%Moi/;me90&x!w7M21T'quU*!5b:\;ZRC98Jf;8L4na]AlYaJ4h~!eJ+h;s)pM<5Vo{Hb:<'8R-O3|[A|{**f53w>l{XUaJs$mPM;o:Dmc=uL>jl#= m~9/Kp<@M37R4n;8UMeBW'}"?b3VT85Aq-\G{#K<`;~j'HIMmNw`gW}Lq( 'T?vj]xc(eT?ZyiCxIFY%Aisz|BGK1a f;pMq]k=uxm1?GTld[@gMV}Z)kiLX""R%"I'%*h'Ff.83Cz?z}`18>OV6bi"~Y~c:xh%S8^04uAs1{-1~^{l"m@oz$YU")9/+fMcr*[382i.yYqV +#<;FIUSV42uI(u"M?md`~:gm]hA81Q1['&"MdH>K6P;?>+UT{^25TnR Gy-am`%63?<viG|&uAS@~)zCjD.;DC$u{bHc@w#F^00"^5f5NoW
1,3899,111739,10000,NT9z|eKN8LRDp'hvrFoiQHSsA;P;i"Y+oj=W]}l3-tt!H@m#25)Z~FsrVM?;#5tk;ORsI%wnZq+.^-dV;Yt'(xP*yG!LB;"ieZ4Gh<Rd)PSE9:dy;zn*'WzQm9NN&;L';zDGx<t&uTp\8^v3*;]nqKJOu+~X-eKg3GE[eS@0myI\HSP(Yvlo\I*:o2CJ=5fh$/DEzeqt2103";>j~$;DU-pi}\W7'5|ajwH"?@N:3Un^CqN165I $'~6EIi'h0NjD3G(/Iqn3fyflBsaSgPP(nd>3:(kQOeeE=DDD-`JG=B@09Zf>Lf|f|Oqne~GgpD{iIJJ1bZZQeLCd`^l]'<Nc;;<~lp(n
1,4344,143136,10000,IN=24)NL{H[G6*!1'#^z4r2;=)#)Du\JdsD8Iu`rdQ;?Wo~L;4jZ~X)Fj;;;;Jh}*WnUl;pIzL0C6o;+ygb.~vsS\IVyvO}4i+U!/uc tO"A \nNiAYh7Wv6G_ @>fq*w%E_nh)tI%rA;tI9mPjm%D48`5.-)v`1<'w0A0N?J2>.C`r"9E.u89%$I^Y1%lYGdIN $l&~18^tOX6!2rCd
