runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.b.buffer
1,4873,45038,10000,buffer: 0xb62ddd05a2177dbd
1,4883,41550,10000,buffer: 0x6793d04042cf5a3d
1,3904,40678,10000,buffer: 0x52c2ab06780f037d
1,4874,44279,10000,buffer: 0x73c6bd582d2ecfbd
1,3901,44857,10000,buffer: 0x3e6e6e5f90bf763d
1,3895,40412,10000,buffer: 0xd3c8c330e406defd
1,3898,45999,10000,buffer: 0xb296daf7153588fd
1,3899,40433,10000,buffer: 0x2417c4ebbbfaed3d
1,4179,45116,10000,buffer: 0x86c4bdfbab6808fd
1,4942,47036,10000,buffer: 0x80369c5bff424c3d
1,3895,44595,10000,buffer: 0x8e136dc719c963dd
1,3898,39947,10000,buffer: 0xff0958971bada0bd
1,3897,45915,10000,buffer: 0xd648c1549ed088fd
1,4871,46685,10000,buffer: 0xae46202057864fbd
1,3899,40552,10000,buffer: 0xb4f7bcf42e4ded3d
1,3896,42101,10000,buffer: 0xc8fd062d321136bd
1,3974,55367,10000,buffer: 0x1d1aaacf7154493d
1,3900,35545,10000,buffer: 0x2ca3db3114e0a43d
1,3896,45988,10000,buffer: 0xd96b15ee89c7437d
1,3896,44932,10000,buffer: 0x6b9285578827c93d
1,4011,45847,10000,buffer: 0x1222e95f4d96fd7d
1,3899,45568,10000,buffer: 0x50c791973ddd6d3d
1,4868,42794,10000,buffer: 0x9eaa44821ddf63dd
1,4871,45953,10000,buffer: 0xbc5caf2e9d1a353d
1,3899,40718,10000,buffer: 0xb39d95da45e33dbd
1,3898,40178,10000,buffer: 0x6621563f629ad6a5
1,4871,45364,10000,buffer: 0x992835ff9536de9d
1,4868,43687,10000,buffer: 0x062200623e2fc3bd
1,3967,40753,10000,buffer: 0x8f3f328ff1e87b3d
1,4870,42644,10000,buffer: 0xc300bf2ef57748bd
1,4874,47134,10000,buffer: 0xc52ceb11b665c93d
1,3895,47192,10000,buffer: 0x6ca31d93611d72fd
1,4872,44433,10000,buffer: 0x37cc746599f463dd
1,4872,47268,10000,buffer: 0xc9f184dacb85007d
1,3900,44952,10000,buffer: 0x93ef17d27a7f279d
1,4870,51185,10000,buffer: 0xe067805825ef6d3d
1,3901,40860,10000,buffer: 0xefc14ee8b5ff213d
1,3902,40517,10000,buffer: 0xa453f17098efa43d
1,4517,40258,10000,buffer: 0xa48dadb4b43d312d
1,3900,40935,10000,buffer: 0xe7fd592ed8f5503d
1,3897,40308,10000,buffer: 0xcd33a221f711ae3d
1,5973,39992,10000,buffer: 0xb4a00cb711ed353d
1,3897,42225,10000,buffer: 0xb03efdb8d17b925d
1,3897,40646,10000,buffer: 0xf4b7fdacd36e88bd
1,4629,44954,10000,buffer: 0x75d3fe7610c08dbd
1,3898,45789,10000,buffer: 0x02987bcbdf8d993d
1,3899,40778,10000,buffer: 0xc5a995450555b63d
