runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.b.buffer,param.offset.integer,param.count.integer
1,3991,51794,10000,Buffer[1014],3440,7
1,3476,39813,10000,Buffer[595],795,13
1,3535,42461,10000,Buffer[710],3094,28
1,3475,38871,10000,Buffer[633],381,28
1,3436,40696,10000,Buffer[695],1307,11
1,3445,41737,10000,Buffer[702],938,2
1,3494,40889,10000,Buffer[820],2267,8
1,3474,41663,10000,Buffer[759],2725,21
1,3484,39003,10000,Buffer[643],2302,27
1,3452,38622,10000,Buffer[520],1313,28
1,3471,52413,10000,Buffer[838],1678,1
1,3474,41417,10000,Buffer[809],3782,30
1,3474,48883,10000,Buffer[729],1620,32
1,3523,45155,10000,Buffer[585],1831,14
1,3512,39853,10000,Buffer[518],1985,10
1,3549,42331,10000,Buffer[816],590,31
1,3417,43827,10000,Buffer[853],3331,13
1,3453,40595,10000,Buffer[639],1046,18
1,3459,39513,10000,Buffer[720],61,29
1,3498,45778,10000,Buffer[536],954,19
1,3491,39971,10000,Buffer[954],1073,26
1,3523,40073,10000,Buffer[777],867,19
1,3514,43795,10000,Buffer[825],1724,13
1,5543,44628,10000,Buffer[644],1500,6
1,3496,40605,10000,Buffer[666],3994,32
1,3484,44755,10000,Buffer[747],2391,30
1,3444,40568,10000,Buffer[978],1058,26
1,3533,42739,10000,Buffer[567],3246,12
1,3511,54276,10000,Buffer[636],931,9
1,3511,41464,10000,Buffer[697],1164,2
1,3501,39792,10000,Buffer[720],2526,25
1,3482,41009,10000,Buffer[985],1628,19
1,3481,41985,10000,Buffer[801],1361,23
1,3553,39134,10000,Buffer[641],3680,17
1,3485,42890,10000,Buffer[533],2279,13
1,3773,43647,10000,Buffer[703],1853,18
1,6979,40989,10000,Buffer[954],3450,26
1,3481,39208,10000,Buffer[836],2656,32
1,3564,53797,10000,Buffer[844],1848,31
1,3488,39196,10000,Buffer[913],1941,6
1,3417,47636,10000,Buffer[955],2298,12
1,3443,41630,10000,Buffer[965],3519,12
1,3472,38845,10000,Buffer[719],3634,15
1,3467,40008,10000,Buffer[889],3628,10
1,3515,41010,10000,Buffer[937],1551,23
1,3497,39624,10000,Buffer[1020],2939,18
1,3465,42898,10000,Buffer[752],3488,31
1,3444,40506,10000,Buffer[853],3333,2
1,3516,49105,10000,Buffer[651],1727,27
1,3472,41017,10000,Buffer[813],201,11
1,3511,39497,10000,Buffer[617],132,24
1,3552,40536,10000,Buffer[566],1420,21
1,3474,44145,10000,Buffer[671],2063,13
1,3539,41647,10000,Buffer[627],3973,29
1,3616,58235,10000,Buffer[532],2983,29
1,3522,41329,10000,Buffer[953],434,20
1,3539,46190,10000,Buffer[560],1666,23
1,3488,39875,10000,Buffer[916],1301,8
1,3469,51435,10000,Buffer[642],2905,18
1,3849,41089,10000,Buffer[801],713,26
1,3596,53480,10000,Buffer[778],916,11
1,3534,39965,10000,Buffer[848],2720,24
1,3555,39467,10000,Buffer[653],1128,8
1,3499,40382,10000,Buffer[645],3490,29
1,3487,41748,10000,Buffer[801],2919,2
1,3469,38795,10000,Buffer[908],1034,10
