runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.b.buffer,param.offset.integer
1,3457,28274,10000,Buffer[684],10
1,3379,23418,10000,Buffer[806],3
1,3431,27900,10000,Buffer[714],49
1,3441,23201,10000,Buffer[1002],27
1,3449,23358,10000,Buffer[1009],45
1,3442,25690,10000,Buffer[670],24
1,3417,23561,10000,Buffer[615],37
1,3401,23020,10000,Buffer[870],30
1,4044,26368,10000,Buffer[772],48
1,3524,26173,10000,Buffer[784],27
1,3478,24672,10000,Buffer[917],23
1,7771,27886,10000,Buffer[582],9
1,3487,24040,10000,Buffer[573],36
1,3447,23002,10000,Buffer[995],8
1,3404,27083,10000,Buffer[526],18
1,3390,23439,10000,Buffer[667],21
1,3430,23634,10000,Buffer[903],41
1,3456,25739,10000,Buffer[518],20
1,3476,23758,10000,Buffer[766],10
1,3442,25146,10000,Buffer[1009],0
1,3486,28003,10000,Buffer[802],2
1,3556,24863,10000,Buffer[626],28
1,3459,23385,10000,Buffer[979],22
1,3419,23972,10000,Buffer[842],7
1,3410,23645,10000,Buffer[911],23
1,3638,25059,10000,Buffer[1024],34
1,3469,28508,10000,Buffer[937],32
1,3424,33278,10000,Buffer[585],27
1,3463,24454,10000,Buffer[832],49
1,3414,23762,10000,Buffer[713],47
1,3370,25133,10000,Buffer[756],40
1,3438,24464,10000,Buffer[900],9
1,3394,28067,10000,Buffer[790],33
1,3342,22604,10000,Buffer[742],51
1,3388,27260,10000,Buffer[582],38
1,3430,25854,10000,Buffer[811],23
1,3434,23421,10000,Buffer[596],33
1,3426,23482,10000,Buffer[694],11
1,3733,26889,10000,Buffer[959],19
1,3509,30434,10000,Buffer[952],17
1,3469,27335,10000,Buffer[702],36
1,3425,26368,10000,Buffer[532],29
1,3501,31682,10000,Buffer[997],10
1,3646,24931,10000,Buffer[539],16
1,3481,27405,10000,Buffer[959],48
1,3413,24013,10000,Buffer[984],33
1,3534,30145,10000,Buffer[531],33
1,3423,24858,10000,Buffer[673],8
1,3419,25756,10000,Buffer[716],16
1,3397,23147,10000,Buffer[708],47
1,3415,23678,10000,Buffer[786],5
1,3445,24517,10000,Buffer[904],28
1,3437,24671,10000,Buffer[874],12
1,3391,22993,10000,Buffer[752],27
1,3367,24344,10000,Buffer[878],40
1,3379,23448,10000,Buffer[699],17
1,3364,28262,10000,Buffer[580],6
1,3370,23431,10000,Buffer[1014],27
1,3448,29714,10000,Buffer[551],1
1,3417,25371,10000,Buffer[965],9
1,3470,28942,10000,Buffer[549],38
1,3353,23455,10000,Buffer[923],23
1,3400,24597,10000,Buffer[926],47
1,3386,24015,10000,Buffer[671],5
1,3366,23040,10000,Buffer[891],32
1,3425,24214,10000,Buffer[951],18
1,3370,22896,10000,Buffer[559],7
1,3367,23636,10000,Buffer[886],8
1,3412,23545,10000,Buffer[577],38
1,3429,29984,10000,Buffer[841],15
1,3469,30001,10000,Buffer[860],21
1,3678,23135,10000,Buffer[821],35
1,3412,23178,10000,Buffer[516],50
1,3370,23935,10000,Buffer[971],20
1,3457,24111,10000,Buffer[875],52
1,3376,23934,10000,Buffer[849],30
1,3389,23373,10000,Buffer[710],18
1,3429,23724,10000,Buffer[968],6
1,3418,24007,10000,Buffer[619],1
1,3385,23816,10000,Buffer[722],38
1,3419,23453,10000,Buffer[813],11
1,3389,25640,10000,Buffer[606],28
1,3415,23331,10000,Buffer[536],48
1,3738,25484,10000,Buffer[731],17
1,3366,24390,10000,Buffer[712],8
1,3402,24466,10000,Buffer[798],36
1,3395,23434,10000,Buffer[703],38
1,3387,25946,10000,Buffer[864],34
1,3456,28899,10000,Buffer[877],46
1,3500,35251,10000,Buffer[936],56
1,3453,28733,10000,Buffer[620],11
1,3449,23242,10000,Buffer[646],43
1,3438,25869,10000,Buffer[658],50
1,3431,23344,10000,Buffer[718],40
1,3422,25560,10000,Buffer[896],52
1,3398,23394,10000,Buffer[877],47
1,3389,23338,10000,Buffer[637],33
1,3409,26715,10000,Buffer[708],2
1,3476,23834,10000,Buffer[586],4
1,3454,23739,10000,Buffer[857],50
2,3581,34557,10000,Buffer[556],24
2,3593,31511,10000,Buffer[786],30
2,3727,24632,10000,Buffer[967],23
2,3497,25091,10000,Buffer[822],36
2,3543,24530,10000,Buffer[1016],47
2,3537,24860,10000,Buffer[954],34
2,3665,33986,10000,Buffer[694],47
2,3649,32152,10000,Buffer[827],30
2,3627,28435,10000,Buffer[543],49
2,3628,30218,10000,Buffer[868],46
2,3591,25150,10000,Buffer[948],54
2,3549,24170,10000,Buffer[600],24
2,3534,39324,10000,Buffer[895],10
2,3534,24917,10000,Buffer[961],1
2,3545,24913,10000,Buffer[767],2
2,3443,29374,10000,Buffer[776],32
2,3552,25509,10000,Buffer[844],47
2,3556,24242,10000,Buffer[739],19
2,3469,28442,10000,Buffer[865],17
2,3524,25775,10000,Buffer[679],10
2,3484,27622,10000,Buffer[517],55
2,3480,28737,10000,Buffer[610],9
2,3675,31183,10000,Buffer[737],37
2,3499,23672,10000,Buffer[606],53
2,3460,31602,10000,Buffer[809],47
2,3437,23754,10000,Buffer[900],20
2,3459,24432,10000,Buffer[983],6
2,3468,26479,10000,Buffer[531],15
2,3512,37635,10000,Buffer[604],36
2,3459,23790,10000,Buffer[887],42
2,3439,30117,10000,Buffer[782],5
2,3466,25183,10000,Buffer[693],6
2,3441,23501,10000,Buffer[919],14
2,3440,25556,10000,Buffer[1020],52
2,3490,27141,10000,Buffer[869],46
2,3469,28184,10000,Buffer[883],19
2,3459,28365,10000,Buffer[948],24
2,3441,23404,10000,Buffer[819],21
2,3447,23890,10000,Buffer[961],45
2,3413,26855,10000,Buffer[657],27
2,3435,27292,10000,Buffer[885],20
2,3553,24802,10000,Buffer[741],40
2,3465,29672,10000,Buffer[1024],31
2,3463,23432,10000,Buffer[1011],2
2,3536,24607,10000,Buffer[1015],31
2,5638,23672,10000,Buffer[633],6
2,5872,29007,10000,Buffer[1018],5
2,3543,30289,10000,Buffer[656],0
2,3452,31507,10000,Buffer[543],19
2,3487,25273,10000,Buffer[521],16
2,3582,30087,10000,Buffer[656],0
2,3476,28632,10000,Buffer[520],44
2,3544,26522,10000,Buffer[594],40
2,3486,27453,10000,Buffer[526],7
2,5619,28290,10000,Buffer[730],38
2,3509,23588,10000,Buffer[626],31
2,3521,30226,10000,Buffer[678],7
2,3485,25078,10000,Buffer[898],12
