runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.b.buffer,param.offset.integer
1,4869,33328,10000,buffer: 0xa7b18ba96ab1f57d,16
1,4876,35629,10000,buffer: 0xa5500ad721bd0bbd,11
1,3897,31716,10000,buffer: 0xd3bdcbb457bb5efd,8
1,4421,31847,10000,buffer: 0xde04e318f5d73c3d,136
1,3896,32332,10000,buffer: 0x187914bbf64b71fd,200
1,3898,32114,10000,buffer: 0xd9ecbae2da8b813d,232
1,3898,31657,10000,buffer: 0x47aac4eb5c942ebd,65
1,3894,35412,10000,buffer: 0xaa54f16f52d6753d,245
1,3895,31606,10000,buffer: 0x7d995fe719fc103d,152
1,3894,31837,10000,buffer: 0x99fc401bed1afe3d,244
1,3905,33137,10000,buffer: 0x1f32bfb1bce31f3d,156
1,3911,31727,10000,buffer: 0xb2bede7bd3e6223d,148
1,3902,31636,10000,buffer: 0xa0fc74b2d8c7d93d,12
1,3895,34200,10000,buffer: 0xd00f310d8ac20ebd,125
1,3898,32586,10000,buffer: 0xeacfa579e31f8e3d,1
1,4869,34205,10000,buffer: 0xd777636baaac08bd,221
1,3897,33019,10000,buffer: 0xfcad25c7b7b6613d,95
1,3895,31552,10000,buffer: 0xf2b0bcad00f591fd,34
1,3897,31671,10000,buffer: 0xea8f8b4b70a1ad3d,152
1,3897,33833,10000,buffer: 0x8266fbf2bd2fe5bd,97
1,3896,31681,10000,buffer: 0x2bbca372496d8fbd,145
1,3897,31606,10000,buffer: 0x285f4355dcbcd93d,176
1,5873,32445,10000,buffer: 0x03ae69a253d16dbd,219
1,3896,32072,10000,buffer: 0x9a42fea214d3f53d,160
1,3897,31494,10000,buffer: 0xe30ef596bb68a33d,26
1,4856,34097,10000,buffer: 0xe66dfd895022aa3d,232
1,3897,31763,10000,buffer: 0x4b22d9c8b295ad7d,143
1,3895,31361,10000,buffer: 0xe7d4d8fff9c83c3d,34
1,3901,35947,10000,buffer: 0xa3ba1caf645cbd7d,193
1,3937,35129,10000,buffer: 0x105fda8b471c05fd,107
1,3897,31725,10000,buffer: 0x0145431ed86b1f7d,209
1,6025,33842,10000,buffer: 0x283194ed712a613d,142
1,3897,31769,10000,buffer: 0x9037e2a59ef01bfd,6
1,3897,31479,10000,buffer: 0xfa73c3c01c175bbd,110
1,3896,36301,10000,buffer: 0xffa3091bcf7970bd,187
1,3895,31620,10000,buffer: 0x7224654c4b24ccfd,171
1,4868,32561,10000,buffer: 0x6fc1cbb2fa5c583d,212
1,3897,34019,10000,buffer: 0x0ba279982f06b2bd,159
1,3921,31576,10000,buffer: 0x2c24934a308232bd,39
1,3913,32975,10000,buffer: 0x2a9c3c3de6c3433d,90
1,3905,38295,10000,buffer: 0xfb9506d5a2c63d3d,249
1,3898,35089,10000,buffer: 0xb10c907bce36c63d,130
1,3896,33186,10000,buffer: 0xc9aa5cbec697893d,74
1,3896,36543,10000,buffer: 0x830870296d78c33d,122
1,4079,31626,10000,buffer: 0xcf7b7d05a654d13d,250
