runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.b.buffer,param.offset.integer
1,4892,35874,10000,buffer: 0x0bf4d0104226e5bd,4
1,4869,42236,10000,buffer: 0xefc14ee8b5ff213d,52
1,4870,33674,10000,buffer: 0x5bf29c859b2af23d,25
1,4873,36082,10000,buffer: 0x2146fb1c7b9ea53d,4
1,4456,36210,10000,buffer: 0x98e2e2dc50686c3d,86
1,3903,32272,10000,buffer: 0x701d325c9577d33d,76
1,3909,33224,10000,buffer: 0xfb3c6cd4705b293d,9
1,4871,34709,10000,buffer: 0xbd973ff34345bc3d,53
1,3899,31583,10000,buffer: 0x8914473dc7181f7d,49
1,3897,31593,10000,buffer: 0x73c6bd582d2ecfbd,59
1,3907,32497,10000,buffer: 0x131bf2b41a4b4d3d,119
1,3903,31902,10000,buffer: 0xb563788af67c2f3d,60
1,4296,31710,10000,buffer: 0xf393cf12911da43d,117
1,3962,36246,10000,buffer: 0x434139cbd80a173d,61
1,3896,33747,10000,buffer: 0x284b48331c62497d,110
1,4870,32279,10000,buffer: 0x012426812e12a93d,102
1,3902,34120,10000,buffer: 0xa7ba6f6e48f37abd,4
1,3897,31781,10000,buffer: 0xf502f467729d547d,20
1,3895,33737,10000,buffer: 0x5193eca11df4f0bd,94
1,4132,34094,10000,buffer: 0xdbd5561704cc6afd,58
1,3898,35163,10000,buffer: 0x3e6e6e5f90bf763d,74
1,3895,35204,10000,buffer: 0xe3b7dc0ea500843d,36
1,3898,32324,10000,buffer: 0xbe3840aa0f9e9b3d,30
1,3896,31466,10000,buffer: 0xf17c487990c681bd,115
1,3897,31538,10000,buffer: 0xff0958971bada0bd,47
1,3896,28711,10000,buffer: 0x01f799e41d5c683d,6
1,3899,31465,10000,buffer: 0xe86e556ed75b103d,73
1,3897,31434,10000,buffer: 0x7b812e24d7c18bbd,61
1,4876,36628,10000,buffer: 0xe00c51e2337c4dfd,100
1,4874,33268,10000,buffer: 0xa3e61f18a8ba13bd,8
1,3906,31645,10000,buffer: 0x1a66d8be5c9336fd,92
1,3897,33857,10000,buffer: 0xbc5caf2e9d1a353d,46
1,3900,37269,10000,buffer: 0xabd9ef1c4f967d3d,99
1,3902,32045,10000,buffer: 0x04c50b75a443c13d,91
1,3892,35681,10000,buffer: 0x75d3fe7610c08dbd,71
1,4873,33961,10000,buffer: 0x2f28d8f4d89f723d,3
1,4869,33185,10000,buffer: 0xc84a3234736da73d,14
1,3897,34198,10000,buffer: 0x683eb845fa9be3bd,78
1,3899,35467,10000,buffer: 0x4107ef183d4d3a3d,39
1,3897,31703,10000,buffer: 0x9a9e819f5eaf0e3d,6
1,3895,34084,10000,buffer: 0xf43d48cf9d40be7d,101
1,3894,31850,10000,buffer: 0x18445075b193083d,15
1,3897,31739,10000,buffer: 0x5e4f5b52e6128e3d,73
1,3896,35589,10000,buffer: 0xd50f5520f9dfe97d,63
1,4870,34082,10000,buffer: 0x5506470761e9e2bd,15
1,4583,31796,10000,buffer: 0x0d6ec3932253553d,26
1,3898,32810,10000,buffer: 0xfadb7a46fda4793d,70
1,3896,31683,10000,buffer: 0x118b83aeb85ab93d,59
1,4869,32922,10000,buffer: 0x451623e0d13ba03d,119
1,3947,35166,10000,buffer: 0xe00ec28bc502ff3d,41
1,3897,35289,10000,buffer: 0x1e18cc09aadd83bd,65
1,4777,31421,10000,buffer: 0x878ab31893afef3d,108
1,3895,32587,10000,buffer: 0xd47f1b9038db523d,67
1,3927,31875,10000,buffer: 0x3eb9ca7e32aa9d3d,39
1,4871,33886,10000,buffer: 0x6ccc8458a5c0453d,61
1,4871,38406,10000,buffer: 0xe8b6e0fa8312153d,35
1,3895,36006,10000,buffer: 0x5f13d56205b2f0bd,35
1,4867,33057,10000,buffer: 0x491b414499d9417d,16
1,3898,34234,10000,buffer: 0x909f9d737471fa3d,47
1,3893,34782,10000,buffer: 0xea2cde95700054bd,70
1,4863,33361,10000,buffer: 0xcf9266567f2af93d,117
1,4866,38650,10000,buffer: 0x5224411d15b189bd,94
1,3895,32101,10000,buffer: 0x2cbc2ce25a6e64bd,10
1,3893,32150,10000,buffer: 0xe72fc12951782efd,64
1,3894,32936,10000,buffer: 0x4358400546291dfd,20
1,4872,33846,10000,buffer: 0x97e5cfec1ea78b7d,46
1,3895,31756,10000,buffer: 0x67f539dc1b06093d,26
1,4869,36445,10000,buffer: 0x3a11faa424b930fd,2
1,4870,33138,10000,buffer: 0x139e761b7194cffd,112
1,4870,34043,10000,buffer: 0x8bdcf91763ed1ebd,65
1,4867,36481,10000,buffer: 0xc78df429f33a5d3d,78
1,3900,31620,10000,buffer: 0x16c4cc34d0f8377d,2
1,3894,31648,10000,buffer: 0x7136218763b3363d,98
1,3896,33719,10000,buffer: 0x5ef471fb1732313d,94
1,3893,32037,10000,buffer: 0x96d1b0712acec13d,113
1,3895,31763,10000,buffer: 0x790bf8ad58798d3d,34
1,3894,32530,10000,buffer: 0x79a76d7b14b965bd,99
