runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.b.buffer
1,3447,182548,10000,Buffer[662]
1,3506,213812,10000,Buffer[745]
1,3497,223618,10000,Buffer[873]
1,3539,245721,10000,Buffer[884]
1,3535,132807,10000,Buffer[257]
1,3412,156003,10000,Buffer[484]
1,3450,159959,10000,Buffer[548]
1,3457,132583,10000,Buffer[355]
1,3468,103218,10000,Buffer[221]
1,3390,150235,10000,Buffer[436]
1,3410,79338,10000,Buffer[83]
1,3462,248323,10000,Buffer[958]
1,5279,164314,10000,Buffer[522]
1,3390,131505,10000,Buffer[405]
1,3433,118388,10000,Buffer[356]
1,6181,78602,10000,Buffer[123]
1,3416,181373,10000,Buffer[641]
1,3389,150149,10000,Buffer[469]
1,6893,81765,10000,Buffer[147]
1,3477,237856,10000,Buffer[783]
1,3471,250651,10000,Buffer[822]
1,3412,173092,10000,Buffer[632]
1,3434,92145,10000,Buffer[202]
1,3347,142621,10000,Buffer[490]
1,3339,125252,10000,Buffer[363]
1,3367,82361,10000,Buffer[178]
1,3405,50889,10000,Buffer[16]
1,3730,198911,10000,Buffer[737]
1,3363,238638,10000,Buffer[950]
1,3424,66461,10000,Buffer[70]
1,3362,116535,10000,Buffer[315]
1,3461,201662,10000,Buffer[727]
1,3923,78648,10000,Buffer[101]
1,3401,81372,10000,Buffer[124]
1,3876,235993,10000,Buffer[915]
1,5276,82906,10000,Buffer[144]
1,3437,167367,10000,Buffer[538]
1,3378,155803,10000,Buffer[516]
1,3395,255011,10000,Buffer[973]
1,3363,138444,10000,Buffer[441]
1,3411,95209,10000,Buffer[201]
1,3442,66146,10000,Buffer[30]
1,3411,167880,10000,Buffer[569]
1,3367,72226,10000,Buffer[98]
1,3491,223775,10000,Buffer[714]
1,3365,92866,10000,Buffer[227]
1,3499,167354,10000,Buffer[443]
1,3460,130830,10000,Buffer[278]
1,3517,190533,10000,Buffer[523]
1,3500,258429,10000,Buffer[857]
1,3497,201052,10000,Buffer[595]
1,3460,160535,10000,Buffer[410]
1,3481,194580,10000,Buffer[578]
1,3360,240792,10000,Buffer[925]
1,3387,186372,10000,Buffer[655]
1,3362,165776,10000,Buffer[559]
1,3340,141135,10000,Buffer[438]
1,3318,140502,10000,Buffer[456]
1,3387,200012,10000,Buffer[765]
1,3400,244864,10000,Buffer[965]
