runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.b.buffer,param.offset.integer,param.count.integer,param.value.integer
1,3369,44088,10000,Buffer[1015],119,13,2708964564
1,3372,40133,10000,Buffer[660],1878,6,65952980
1,3375,39944,10000,Buffer[917],461,2,2547224987
1,3332,40966,10000,Buffer[931],720,22,1230678534
1,3392,38841,10000,Buffer[780],1766,19,329346099
1,3363,37213,10000,Buffer[570],897,1,1262599671
1,3394,42450,10000,Buffer[882],1468,4,3964172629
1,3366,36989,10000,Buffer[854],1350,1,2469179399
1,3364,38068,10000,Buffer[575],1901,24,2301969425
1,3431,44089,10000,Buffer[556],803,13,1999576828
1,3388,38474,10000,Buffer[794],1429,1,4238658636
1,3394,38173,10000,Buffer[651],169,30,2096591735
1,3413,43481,10000,Buffer[686],818,10,3684982861
1,3319,37279,10000,Buffer[686],808,2,3607342118
1,3342,39011,10000,Buffer[746],1702,4,1256272352
1,3342,40762,10000,Buffer[956],1260,18,4211425131
1,3365,40829,10000,Buffer[722],1537,16,3851522258
1,3344,38291,10000,Buffer[667],1378,16,1796602216
1,3367,41183,10000,Buffer[685],521,31,128632188
1,3329,37046,10000,Buffer[941],1129,1,1783078173
1,3389,39139,10000,Buffer[1024],786,14,4090166064
1,3343,41219,10000,Buffer[992],625,17,1333719902
1,3420,39318,10000,Buffer[862],1034,22,1368311466
1,3377,42193,10000,Buffer[932],704,16,3594703535
1,3365,41075,10000,Buffer[996],97,5,2998184989
1,3343,36921,10000,Buffer[566],60,1,814523877
1,3342,37655,10000,Buffer[520],1298,3,1836603179
1,3365,42475,10000,Buffer[975],446,18,2211453758
1,3369,39077,10000,Buffer[551],1720,28,3326175445
1,3360,40759,10000,Buffer[573],550,3,3500043233
1,3322,39382,10000,Buffer[967],1784,6,676129290
1,3323,43365,10000,Buffer[646],1182,20,3105319534
1,3401,39228,10000,Buffer[591],136,17,2883161514
1,3400,41454,10000,Buffer[816],1372,11,2501103729
1,3414,41680,10000,Buffer[982],1774,3,1932074802
1,3471,46577,10000,Buffer[705],522,27,772766344
1,3388,41846,10000,Buffer[911],648,28,3734353878
1,3327,39066,10000,Buffer[798],1797,11,2172065433
1,3317,36850,10000,Buffer[954],2014,19,1056769727
