runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.target.buffer,param.targetoffset.integer,param.source.buffer,param.sourceoffset.integer,param.count.integer
1,4876,56552,10000,buffer: 0x02d9449d8da6533d,252,buffer: 0xde2d3192e204defd,26,4
1,4872,67207,10000,buffer: 0xf393cf12911da43d,101,buffer: 0x9bdb52b66f0a037d,102,68
1,4875,62217,10000,buffer: 0xe067805825ef6d3d,228,buffer: 0xed32505e4fcbc37d,80,10
1,4878,81539,10000,buffer: 0xd2febf3aa745d53d,3,buffer: 0x35fc8f181b2e42bd,12,117
1,3918,50569,10000,buffer: 0x5bf29c859b2af23d,60,buffer: 0x5a3b73d4dbf5e3dd,78,16
1,3900,63676,10000,buffer: 0x434139cbd80a173d,168,buffer: 0x39fcf103377c493d,103,20
1,3911,63165,10000,buffer: 0x2146fb1c7b9ea53d,168,buffer: 0xa6cfed0d74b1279d,94,45
1,3900,57773,10000,buffer: 0xa85e0f77bf9fd2bd,140,buffer: 0xe4eb76cf988ba3dd,60,74
1,4881,66021,10000,buffer: 0xefc14ee8b5ff213d,234,buffer: 0xaecea88ffb2a0fbd,3,30
1,4873,81206,10000,buffer: 0xc5c58aceebef77fd,173,buffer: 0x94032ca800eac93d,5,38
1,4871,63768,10000,buffer: 0x6eca389d2e98003d,136,buffer: 0x962436128e62b33d,111,27
1,4878,59521,10000,buffer: 0x98e2e2dc50686c3d,211,buffer: 0x316652e37ae67dbd,81,107
1,4017,57521,10000,buffer: 0x187914bbf64b71fd,38,buffer: 0x78b8df45cea2493d,102,47
1,3899,56413,10000,buffer: 0xe66dfd895022aa3d,41,buffer: 0x4ffcbe86d4be1e9d,84,33
1,3898,59141,10000,buffer: 0xdbd5561704cc6afd,72,buffer: 0xa1d8cb9ac4ad493d,49,124
1,3895,50308,10000,buffer: 0x83bd9f2206552a3d,97,buffer: 0x44450f90b4b94fbd,72,122
1,4866,60766,10000,buffer: 0x58f86f6adecd14fd,0,buffer: 0xf347e67b927408bd,93,118
1,3902,57110,10000,buffer: 0x284b48331c62497d,87,buffer: 0xf318b07b0545359d,67,104
1,4868,62041,10000,buffer: 0x73c6bd582d2ecfbd,160,buffer: 0xed1775264b68ed3d,11,57
1,4874,64850,10000,buffer: 0x3e6e6e5f90bf763d,146,buffer: 0xe157c40f021e47fd,92,88
1,4882,69874,10000,buffer: 0xa3e61f18a8ba13bd,84,buffer: 0xa00ebfe7a63cd03d,51,26
1,4870,66325,10000,buffer: 0x4b22d9c8b295ad7d,178,buffer: 0x36ad540d42db10dd,126,20
1,4866,57872,10000,buffer: 0x9f2a77bb2fd4cabd,35,buffer: 0x637cea82d53795fd,29,58
1,4871,59777,10000,buffer: 0xfb3c6cd4705b293d,245,buffer: 0x3e88008289f03d7d,106,109
1,4875,62756,10000,buffer: 0x701d325c9577d33d,20,buffer: 0xb6a4df005ec74a1d,107,42
1,4869,69521,10000,buffer: 0xabd9ef1c4f967d3d,107,buffer: 0x8ec19a8527cee13d,86,11
1,4874,61114,10000,buffer: 0xff0958971bada0bd,40,buffer: 0x592626062f31845d,40,36
1,3898,57440,10000,buffer: 0xffa3091bcf7970bd,6,buffer: 0x86ca1b25c610967d,62,35
1,4869,70406,10000,buffer: 0xbc5caf2e9d1a353d,64,buffer: 0xc4ab0f17753172fd,106,71
1,4873,66055,10000,buffer: 0x75d3fe7610c08dbd,200,buffer: 0x25549fd5be93817d,26,112
1,3899,56418,10000,buffer: 0xbcd90cde6ee461bd,152,buffer: 0x780328ce0492df3d,60,16
1,3902,58117,10000,buffer: 0x9d43d82a9d79e6bd,69,buffer: 0x29eec4c327c9ad3d,40,95
1,4870,64997,10000,buffer: 0xdee30d431af7af3d,119,buffer: 0x7985ce0c893a485d,107,46
1,4872,65936,10000,buffer: 0xb563788af67c2f3d,104,buffer: 0xda6bd2b5025a32fd,109,0
1,3899,68304,10000,buffer: 0x198c591d3f7bd63d,36,buffer: 0xe32dc4c6c09ca13d,68,74
1,3897,57035,10000,buffer: 0x7224654c4b24ccfd,121,buffer: 0x9c93084624b3281d,72,12
1,3896,56532,10000,buffer: 0x139e761b7194cffd,7,buffer: 0x948cbeef22acd87d,27,28
1,4871,58120,10000,buffer: 0xf17c487990c681bd,138,buffer: 0x1d075278b6639bfd,48,31
1,3991,56566,10000,buffer: 0x4e5d4bb5464a1d3d,150,buffer: 0x84eaafe95030f4bd,89,26
1,3910,59293,10000,buffer: 0x5193eca11df4f0bd,113,buffer: 0xb2d6f750506a525d,55,79
1,3896,59503,10000,buffer: 0x33132cc7f568073d,91,buffer: 0xeeaaa374ed72b6bd,102,1
1,4869,72087,10000,buffer: 0x687d27c7d10ab83d,18,buffer: 0xba7edf9979a78fbd,70,10
1,4872,71801,10000,buffer: 0xc9aa5cbec697893d,196,buffer: 0x471626e2dd07e5bd,23,82
1,4875,59481,10000,buffer: 0x18445075b193083d,101,buffer: 0xd741a371b168735d,90,4
1,4874,59618,10000,buffer: 0xc7247d82a64f413d,105,buffer: 0x41398f14b878f29d,88,35
1,3898,58949,10000,buffer: 0x2379a2a3904117bd,59,buffer: 0xb3fd7ae7584c25bd,36,11
1,3900,56428,10000,buffer: 0x1a66d8be5c9336fd,132,buffer: 0xa67ea6bd868a7b3d,110,25
1,3896,58535,10000,buffer: 0x8e56cfb003a071fd,228,buffer: 0xabda5fb5028cdf3d,30,71
1,5036,62696,10000,buffer: 0x8bdcf91763ed1ebd,26,buffer: 0x15a1c834ffdeadfd,118,81
1,4969,57135,10000,buffer: 0x2f28d8f4d89f723d,47,buffer: 0x6f5dd37de22ff63d,58,17
1,4948,63411,10000,buffer: 0x131bf2b41a4b4d3d,96,buffer: 0xbadd769ad2d4583d,106,41
1,3898,58507,10000,buffer: 0x0bf4d0104226e5bd,134,buffer: 0x4a807b5e81bd167d,4,89
1,4868,71333,10000,buffer: 0x1e18cc09aadd83bd,182,buffer: 0x99c88f1994058a1d,106,85
1,3900,59590,10000,buffer: 0x67f539dc1b06093d,62,buffer: 0xc96a2b476987763d,36,124
1,4875,62450,10000,buffer: 0x89455016ce5c383d,173,buffer: 0x5c9e6f43574b25bd,41,73
1,3901,57105,10000,buffer: 0x99fc401bed1afe3d,61,buffer: 0x7429b76aecccd67d,23,4
1,4872,62159,10000,buffer: 0xf2adbd56f954f73d,125,buffer: 0xc00614de0a93851d,78,65
1,3897,59079,10000,buffer: 0xa439f462a967893d,142,buffer: 0x2ccf4ca2febb5bfd,99,58
1,4712,58360,10000,buffer: 0xeb691e88b5b0143d,105,buffer: 0x3b3207634a83b53d,13,110
1,3899,57687,10000,buffer: 0x6d8b96473af2663d,184,buffer: 0xb447b306bbfaa27d,7,49
1,3951,59115,10000,buffer: 0x7136218763b3363d,213,buffer: 0x8d34cbb2429532bd,55,121
1,4947,57226,10000,buffer: 0x04c50b75a443c13d,192,buffer: 0x80bd17231bdecedd,35,87
1,3894,58117,10000,buffer: 0x0305601499bf607d,90,buffer: 0xc3dcdd783511757d,54,44
1,4873,61502,10000,buffer: 0xf43d48cf9d40be7d,195,buffer: 0x743c132d55aca6fd,27,37
1,4870,57246,10000,buffer: 0x4ffb17eff104b0bd,213,buffer: 0x6a87be838c4352dd,35,45
1,3900,58164,10000,buffer: 0xc7062c498b8eee3d,6,buffer: 0x78b330110b0e19dd,85,83
1,4866,62121,10000,buffer: 0x0d6ec3932253553d,22,buffer: 0x11467f736b05623d,38,67
1,4875,60800,10000,buffer: 0xc42fd062c8ff2dbd,228,buffer: 0xafc1a79308bb973d,35,66
1,4872,63878,10000,buffer: 0xe940b7842fd8c53d,10,buffer: 0xe10e5beb1c41a5bd,99,53
1,4875,63453,10000,buffer: 0xbd973ff34345bc3d,84,buffer: 0x7cb27bfc5cb7047d,10,66
1,3899,55906,10000,buffer: 0x8914473dc7181f7d,66,buffer: 0x70bebf1ee61c2f1d,106,57
1,3909,58115,10000,buffer: 0xaa2c2cf1fe39f73d,13,buffer: 0x7e588301ea24e17d,40,22
1,4873,58499,10000,buffer: 0xc930f398a51b113d,42,buffer: 0x6cbff3b968e3463d,2,114
1,3897,56620,10000,buffer: 0x72242076ac88043d,68,buffer: 0x5356c7bdf4b3993d,107,4
1,3897,63662,10000,buffer: 0x79a76d7b14b965bd,203,buffer: 0x29303aa3c781ba9d,20,61
1,3899,59012,10000,buffer: 0xd3a3aa3aef4ea5fd,63,buffer: 0x3f096f6a7f5e6ebd,35,10
1,4876,59108,10000,buffer: 0x251886aeea5e8ebd,76,buffer: 0xceeb1eae7499b53d,67,15
1,3897,58403,10000,buffer: 0x8247f92fb8203b3d,9,buffer: 0xfd5b345a47aa32bd,0,103
1,4888,58419,10000,buffer: 0xcba9037f9c5ca4bd,59,buffer: 0x583cc663f7eaff5d,125,74
1,3895,56279,10000,buffer: 0xc330bbc33395f27d,232,buffer: 0x19de12605df2fc3d,24,89
1,3898,57838,10000,buffer: 0x01f799e41d5c683d,82,buffer: 0xfaaec31fb01bfb3d,31,100
1,4872,64613,10000,buffer: 0x118b83aeb85ab93d,242,buffer: 0xdda14c0e064b13bd,27,32
1,4869,66105,10000,buffer: 0x5506470761e9e2bd,241,buffer: 0x1c218a617ecd90fd,66,70
1,3952,75791,10000,buffer: 0xcb3a33f9a587083d,36,buffer: 0xcecb0ea420321f3d,30,118
1,4876,61361,10000,buffer: 0xa794afbeaa77003d,43,buffer: 0x9f07494112282e9d,53,86
1,3902,58656,10000,buffer: 0xc84a3234736da73d,107,buffer: 0x827fbece51f1fc3d,22,95
1,4838,63965,10000,buffer: 0x3eb9ca7e32aa9d3d,2,buffer: 0x94c873c87a416ebd,29,77
1,3898,64467,10000,buffer: 0xa7ba6f6e48f37abd,185,buffer: 0x60cce01e31425f7d,95,118
