runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.b.buffer,param.offset.integer,param.value.float
1,3418,24944,10000,Buffer[745],53,1601807139.943731
1,3367,24419,10000,Buffer[948],101,343021282.19370794
1,3818,24827,10000,Buffer[849],117,-353631140.5036342
1,3378,24420,10000,Buffer[777],23,-1214265908.9430494
1,3424,24727,10000,Buffer[922],103,2143451146.5236325
1,3573,24272,10000,Buffer[512],5,-1579087045.8351393
1,3339,24544,10000,Buffer[618],8,-1160445528.5560932
1,3373,24572,10000,Buffer[711],121,-1792139914.9333897
1,3461,30763,10000,Buffer[930],49,1735484642.2325542
1,3464,35569,10000,Buffer[527],41,1308269752.6439946
1,3445,35072,10000,Buffer[925],21,-2110609464.775599
1,3461,34338,10000,Buffer[830],108,1585991687.8610983
1,3388,24766,10000,Buffer[605],51,-2085595129.805901
1,3387,24672,10000,Buffer[567],25,1483040340.438116
1,3390,24916,10000,Buffer[872],105,-160249933.086208
1,3518,25010,10000,Buffer[823],10,1286289964.335014
1,3502,31742,10000,Buffer[674],96,-492637205.5790398
1,3449,26689,10000,Buffer[796],66,91480042.9731288
1,3402,27898,10000,Buffer[996],7,-949624150.6313658
1,3457,24921,10000,Buffer[752],44,244806830.44551253
1,3482,28367,10000,Buffer[582],6,-377264096.11594343
1,3482,35151,10000,Buffer[674],34,655051537.4307501
1,3414,24872,10000,Buffer[1016],17,-733550042.4608009
1,3424,24989,10000,Buffer[650],2,1558993394.045422
1,3388,25470,10000,Buffer[1013],57,1393672198.3420458
1,3429,25144,10000,Buffer[572],75,207688765.1882403
1,3509,36048,10000,Buffer[583],109,-638069938.296932
1,3422,25710,10000,Buffer[580],122,613776256.7746713
1,3492,25495,10000,Buffer[672],46,-1051454239.2737377
1,3469,30469,10000,Buffer[1018],41,1199820816.237681
1,3435,26774,10000,Buffer[744],103,1108526033.6264045
1,3494,27386,10000,Buffer[907],16,-1534092491.7389884
1,3459,25874,10000,Buffer[600],100,-129362584.658512
1,3412,25466,10000,Buffer[653],40,1998675197.3902605
1,3443,25604,10000,Buffer[755],65,-319821203.50825894
1,3474,25904,10000,Buffer[557],55,-1779949287.3607078
1,3606,29156,10000,Buffer[898],73,-2004099729.017498
1,3411,25347,10000,Buffer[745],105,-1874784889.3376667
1,3481,26713,10000,Buffer[693],14,2021952774.0822632
1,3447,25960,10000,Buffer[862],95,-1370599473.0985012
1,3484,25346,10000,Buffer[822],66,-33327101.009688854
1,3445,26560,10000,Buffer[729],86,736417078.325485
1,6133,25195,10000,Buffer[568],23,-1906216698.359061
1,3456,25730,10000,Buffer[686],73,-1778929738.0483446
1,3393,25885,10000,Buffer[688],117,-854234982.7485777
1,3397,25201,10000,Buffer[893],34,1163989506.6434133
1,3466,26590,10000,Buffer[921],71,-2104015093.611918
1,3439,25533,10000,Buffer[921],26,-1856317952.2135274
1,3459,25250,10000,Buffer[567],41,475593708.7046063
1,3461,25220,10000,Buffer[958],111,-79865540.24767089
1,3457,25991,10000,Buffer[659],85,797178488.4259489
1,5211,25993,10000,Buffer[974],114,1368930188.3844247
1,3490,25624,10000,Buffer[545],91,-475355967.74227726
1,3548,31687,10000,Buffer[915],50,1958978396.0729253
1,6502,24941,10000,Buffer[697],48,1347317207.7554657
1,3479,26233,10000,Buffer[576],53,510808228.27074957
1,3399,25235,10000,Buffer[687],77,393985913.89365625
1,6465,26191,10000,Buffer[615],47,-997241180.9968218
1,3462,26065,10000,Buffer[938],68,736774049.6230187
