runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.target.buffer,param.targetoffset.integer,param.value.integer,param.count.integer
1,4873,51221,10000,buffer: 0x97e5cfec1ea78b7d,9,113,46
1,4527,56042,10000,buffer: 0x683eb845fa9be3bd,138,242,8
1,6367,59998,10000,buffer: 0x4107ef183d4d3a3d,208,192,47
1,3899,58850,10000,buffer: 0xb4a00cb711ed353d,193,48,83
1,4941,58382,10000,buffer: 0x13dbdb43a04cbb7d,161,10,66
1,4874,61650,10000,buffer: 0x9037e2a59ef01bfd,24,129,17
1,3896,55404,10000,buffer: 0x58cc8b06e5fe9ebd,165,102,47
1,3900,57828,10000,buffer: 0xa23233c06489fefd,78,158,102
1,4869,58297,10000,buffer: 0x6c148d02a418fcbd,37,224,51
1,4878,64917,10000,buffer: 0xbcb12383db5d533d,179,143,73
1,5630,71061,10000,buffer: 0x5e876d599819193d,210,115,85
1,4866,65014,10000,buffer: 0x0ba279982f06b2bd,35,142,10
1,4870,63980,10000,buffer: 0xff27fc0d4fa47a3d,160,184,23
1,5783,64149,10000,buffer: 0xb97d1498fe03b3fd,25,93,21
1,3897,58440,10000,buffer: 0x83acf193b864847d,12,13,62
1,3898,63610,10000,buffer: 0xea2cde95700054bd,209,144,97
1,3906,72553,10000,buffer: 0x4ba012d6f1d13c3d,112,53,85
1,4369,66276,10000,buffer: 0xad81fe2130391d3d,80,234,126
1,4264,63744,10000,buffer: 0x79e1e9ca020dfd3d,235,129,74
1,5728,59049,10000,buffer: 0x96d1b0712acec13d,218,237,118
1,3897,63500,10000,buffer: 0x7d995fe719fc103d,76,204,2
1,4835,62964,10000,buffer: 0x1f32bfb1bce31f3d,106,161,5
1,3897,54253,10000,buffer: 0x7389832f699a8bbd,48,5,9
1,3897,58776,10000,buffer: 0xb75c705ebfe0b87d,118,210,106
1,3898,44637,10000,buffer: 0x459d7d32ea9d49bd,6,108,38
1,3898,64344,10000,buffer: 0x5355aaaa448f7fbd,136,36,44
1,3907,58047,10000,buffer: 0x47aac4eb5c942ebd,224,70,30
1,4869,64410,10000,buffer: 0x0dc83afddb51c27d,155,36,29
1,4872,61414,10000,buffer: 0x285f4355dcbcd93d,105,130,57
1,3898,59627,10000,buffer: 0x1b9a4dfa17e35c3d,27,18,96
1,3896,55470,10000,buffer: 0x0b2f699ccb5dc63d,175,113,51
1,4869,66673,10000,buffer: 0xd777636baaac08bd,210,136,77
1,4866,62333,10000,buffer: 0xea8f8b4b70a1ad3d,171,157,13
1,4868,59759,10000,buffer: 0xd7fa52c2304f1b3d,202,186,24
1,4867,60770,10000,buffer: 0x2d42613e8431113d,228,219,37
1,3899,57443,10000,buffer: 0x1b093a8198c1bd3d,151,197,50
1,4872,63992,10000,buffer: 0x5f1906f34447567d,121,200,89
1,3898,56857,10000,buffer: 0x056ab3ad377bfabd,0,116,62
1,4864,59110,10000,buffer: 0x8266fbf2bd2fe5bd,47,22,4
1,3899,56780,10000,buffer: 0x93118199d1cf10fd,214,129,89
1,4864,60690,10000,buffer: 0x0145431ed86b1f7d,128,13,76
1,4870,59094,10000,buffer: 0x5e2fe5b07af6ad3d,59,22,61
1,4873,56109,10000,buffer: 0x2b481682e7e379bd,145,101,75
1,4870,57055,10000,buffer: 0x34f7e656c0f19bfd,103,142,61
1,4866,59532,10000,buffer: 0x74356991f4e6e13d,229,198,104
1,3896,56517,10000,buffer: 0xa386dc87f5b5a37d,147,30,93
1,4863,63690,10000,buffer: 0x2db243d94fcdb23d,30,163,11
1,4941,61495,10000,buffer: 0x6fc1cbb2fa5c583d,62,75,38
1,4871,60349,10000,buffer: 0x9da5495045a65cfd,69,186,76
1,3894,57483,10000,buffer: 0xb2bede7bd3e6223d,230,219,97
1,3893,57298,10000,buffer: 0x234d616688fd92bd,130,234,86
1,4779,64191,10000,buffer: 0x2a45448a9b94933d,244,190,35
1,3895,57501,10000,buffer: 0xd2142e912d6249fd,13,28,79
1,3900,58214,10000,buffer: 0xda0b38d84e439afd,158,210,61
1,3897,56539,10000,buffer: 0x2c24934a308232bd,16,145,86
1,3898,59525,10000,buffer: 0xe907983757b4e97d,78,195,71
1,4870,56214,10000,buffer: 0x9a42fea214d3f53d,111,40,41
1,4871,59182,10000,buffer: 0xfa73c3c01c175bbd,234,118,76
