runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.b.buffer,param.offset.integer,param.value.integer
1,3895,32706,10000,buffer: 0xd2febf3aa745d53d,41,-4816
1,3896,35927,10000,buffer: 0xa85e0f77bf9fd2bd,78,-27754
1,3895,36279,10000,buffer: 0x73c6bd582d2ecfbd,240,-32300
1,3897,42489,10000,buffer: 0xd648c1549ed088fd,138,29700
1,3898,36469,10000,buffer: 0x83bd9f2206552a3d,40,-8888
1,3897,36233,10000,buffer: 0x3e6e6e5f90bf763d,183,-717
1,3901,40495,10000,buffer: 0xbcd90cde6ee461bd,110,22564
1,3901,35907,10000,buffer: 0x434139cbd80a173d,89,-22933
1,3892,36149,10000,buffer: 0xcdeeb8fe99febc3d,76,-29375
1,3896,42147,10000,buffer: 0xebb8502d773585fd,62,-18629
1,3897,35895,10000,buffer: 0x284b48331c62497d,174,7002
1,4872,40558,10000,buffer: 0xff0958971bada0bd,206,20607
1,3893,36591,10000,buffer: 0x50c791973ddd6d3d,65,-4930
1,4860,43106,10000,buffer: 0xbc5caf2e9d1a353d,248,10614
1,3896,35615,10000,buffer: 0xe067805825ef6d3d,68,-5638
1,3894,38140,10000,buffer: 0x75d3fe7610c08dbd,157,-14466
1,3893,35627,10000,buffer: 0xb563788af67c2f3d,159,-31552
1,3893,35980,10000,buffer: 0xefc14ee8b5ff213d,155,18316
1,3896,37302,10000,buffer: 0x5193eca11df4f0bd,47,19825
1,3895,36753,10000,buffer: 0x5bf29c859b2af23d,52,-9598
1,4877,38665,10000,buffer: 0xf393cf12911da43d,97,-6633
1,4867,41831,10000,buffer: 0xfb3c6cd4705b293d,234,28508
1,3897,35843,10000,buffer: 0x18445075b193083d,124,32218
1,3895,37268,10000,buffer: 0xa794afbeaa77003d,15,24304
1,3896,36274,10000,buffer: 0x2146fb1c7b9ea53d,32,-26080
1,3897,36809,10000,buffer: 0xf17c487990c681bd,170,4013
1,3896,36024,10000,buffer: 0xcaa95f056df6babd,247,-31578
1,4870,42739,10000,buffer: 0xa11e4b5b064cc1bd,237,-21733
1,4869,37663,10000,buffer: 0x1a66d8be5c9336fd,114,21893
1,4869,41629,10000,buffer: 0x131bf2b41a4b4d3d,65,31621
1,3898,36757,10000,buffer: 0x04c50b75a443c13d,41,22997
1,3896,39333,10000,buffer: 0x0d6ec3932253553d,183,1421
1,4865,40073,10000,buffer: 0xc5c58aceebef77fd,17,-1240
1,3891,38492,10000,buffer: 0x31466fa1b0606b3d,237,28682
1,4916,39660,10000,buffer: 0xc4c4573dce7db33d,102,-13223
1,3889,35898,10000,buffer: 0x2f28d8f4d89f723d,8,-1807
1,3893,37457,10000,buffer: 0x6eca389d2e98003d,172,-22130
1,3894,35875,10000,buffer: 0x9d43d82a9d79e6bd,203,2523
1,3895,36351,10000,buffer: 0x98e2e2dc50686c3d,113,-47
1,3897,37849,10000,buffer: 0x701d325c9577d33d,143,-12675
1,3894,36488,10000,buffer: 0x5f756349599a087d,20,15434
1,4866,39892,10000,buffer: 0x72242076ac88043d,150,25207
1,3895,36559,10000,buffer: 0xd36e420c5cbbc7bd,69,-10222
1,3897,36022,10000,buffer: 0x16a31a349501513d,86,-372
1,3895,36191,10000,buffer: 0xc012b3e623e89afd,143,-4652
1,3895,39431,10000,buffer: 0x251886aeea5e8ebd,147,-575
1,3912,40164,10000,buffer: 0x198c591d3f7bd63d,44,-3309
1,3977,38104,10000,buffer: 0x8ac02b102c37ecbd,253,-18803
1,3895,40888,10000,buffer: 0x6d8b96473af2663d,88,986
1,3892,41153,10000,buffer: 0x187914bbf64b71fd,42,-25594
1,3905,35614,10000,buffer: 0xdbd5561704cc6afd,13,-16022
1,4864,41900,10000,buffer: 0x4ffb17eff104b0bd,182,17331
1,4875,44703,10000,buffer: 0xe940b7842fd8c53d,135,-20036
1,3892,37262,10000,buffer: 0x118b83aeb85ab93d,164,-2431
1,4863,42479,10000,buffer: 0xc7247d82a64f413d,76,-19225
1,3897,35641,10000,buffer: 0x3eb9ca7e32aa9d3d,21,31968
1,3894,35933,10000,buffer: 0x89455016ce5c383d,171,7253
1,4869,42054,10000,buffer: 0x348ec383997d237d,204,12677
1,3893,41515,10000,buffer: 0x1e18cc09aadd83bd,237,-820
1,4866,44113,10000,buffer: 0x67f539dc1b06093d,186,7627
1,3888,36374,10000,buffer: 0x832e8734bb26e53d,74,-6285
1,4867,37882,10000,buffer: 0xa3e61f18a8ba13bd,223,14642
1,4868,39889,10000,buffer: 0x7136218763b3363d,129,-6364
1,4943,42160,10000,buffer: 0x79a76d7b14b965bd,15,-2593
1,3890,37754,10000,buffer: 0x891177cc0f16693d,105,-24432
1,3906,36084,10000,buffer: 0xf2adbd56f954f73d,142,-16038
1,4223,41199,10000,buffer: 0xf43d48cf9d40be7d,129,-12186
1,4863,39666,10000,buffer: 0x0b59e948eb86a93d,75,-18101
1,3896,35259,10000,buffer: 0xe66dfd895022aa3d,104,-500
1,3893,43431,10000,buffer: 0x4b22d9c8b295ad7d,44,-12492
1,4881,39987,10000,buffer: 0x71b2d5619166323d,59,25086
