runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.b.buffer,param.offset.integer,param.value.integer
1,3628,34191,10000,Buffer[803],34,281091113
1,3441,29885,10000,Buffer[569],85,1878858779
1,3521,30776,10000,Buffer[831],36,136088782
1,3503,34620,10000,Buffer[787],103,2833334720
1,3483,30636,10000,Buffer[913],120,2720818400
1,3409,26529,10000,Buffer[905],28,2878926223
1,3412,25895,10000,Buffer[923],106,3735413411
1,3431,25617,10000,Buffer[622],24,70291085
1,3510,32860,10000,Buffer[980],20,2337916436
1,3485,29228,10000,Buffer[713],20,2469447096
1,3557,28029,10000,Buffer[766],26,3941625266
1,3470,25595,10000,Buffer[748],114,3986906480
1,3540,35327,10000,Buffer[950],60,3203299004
1,3555,31290,10000,Buffer[711],116,2190284129
1,3526,30988,10000,Buffer[769],119,639888055
1,3486,29459,10000,Buffer[595],1,2800143623
1,3422,27188,10000,Buffer[721],56,3045970687
1,3641,25208,10000,Buffer[715],124,900414981
1,3483,26554,10000,Buffer[601],114,669045860
1,3454,26898,10000,Buffer[618],10,1605646645
1,3469,25432,10000,Buffer[829],48,3499459432
1,3463,28932,10000,Buffer[805],82,2981605049
1,3464,25343,10000,Buffer[940],89,3364918040
1,3443,27757,10000,Buffer[790],114,2213844872
1,3459,28773,10000,Buffer[560],15,1292926511
1,3382,24806,10000,Buffer[940],14,731508738
1,3468,28542,10000,Buffer[556],87,4171301735
1,3483,31523,10000,Buffer[977],86,1869107348
1,3656,34880,10000,Buffer[560],46,1699174819
1,3434,26114,10000,Buffer[542],46,1959653909
1,3459,30753,10000,Buffer[548],28,1795860368
1,3434,25632,10000,Buffer[784],13,1960349952
1,3440,25231,10000,Buffer[575],24,1229689413
1,3439,27704,10000,Buffer[832],20,3229664493
1,3511,30387,10000,Buffer[832],115,419263768
1,3573,29734,10000,Buffer[757],22,3278589822
1,3485,27100,10000,Buffer[535],55,3671744524
1,3520,29942,10000,Buffer[790],71,119867203
1,3439,25893,10000,Buffer[918],28,2452602820
1,3447,30192,10000,Buffer[709],65,141589943
1,5286,28264,10000,Buffer[861],19,1552360383
1,3533,31736,10000,Buffer[527],3,1822119472
1,3459,27560,10000,Buffer[844],9,326946092
1,3457,26367,10000,Buffer[687],106,2727791112
1,3519,28512,10000,Buffer[996],76,2180317352
1,3520,33831,10000,Buffer[730],8,1894653653
1,3526,27730,10000,Buffer[786],113,3614199553
1,3487,28039,10000,Buffer[886],11,53519653
