runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n
1,3014,22849,250000
1,2972,22462,250000
1,2985,23777,250000
1,2997,24085,250000
1,2969,23123,250000
1,2978,22988,250000
1,2979,23080,250000
1,2966,22791,250000
1,2931,22828,250000
1,2967,22883,250000
1,2924,22645,250000
1,2954,22530,250000
1,2993,22760,250000
1,2983,22697,250000
1,2993,22797,250000
1,3007,23097,250000
1,2950,22930,250000
1,3018,23350,250000
1,3008,23310,250000
1,2999,22656,250000
1,2998,22785,250000
1,2969,22619,250000
1,2967,22785,250000
1,2969,22574,250000
1,2994,22923,250000
1,2959,22835,250000
1,2990,23738,250000
1,2935,22835,250000
1,2987,22797,250000
1,2977,22914,250000
1,2973,22955,250000
1,2949,22420,250000
1,2967,22859,250000
1,2999,23120,250000
1,2982,22577,250000
1,2938,22837,250000
1,2950,22466,250000
1,2975,22823,250000
1,2928,22878,250000
1,2955,22411,250000
1,2994,22545,250000
1,2923,22960,250000
1,2954,22977,250000
1,2969,22629,250000
1,2964,24779,250000
1,3020,23078,250000
1,3054,23313,250000
1,3030,24578,250000
1,3007,23123,250000
1,2964,22676,250000
1,2938,22667,250000
1,2965,22683,250000
1,2964,23145,250000
1,2976,23188,250000
1,2981,23192,250000
1,2975,23359,250000
1,2933,22996,250000
1,2954,22895,250000
1,2930,22653,250000
1,2939,22510,250000
1,2976,23211,250000
1,2954,22788,250000
1,3002,23107,250000
1,3000,23116,250000
1,3046,22746,250000
1,2996,22779,250000
1,3039,23090,250000
1,2975,22958,250000
1,2954,22637,250000
1,2974,23862,250000
1,2987,22955,250000
1,2974,24252,250000
1,3024,24536,250000
1,2995,23348,250000
1,3047,24766,250000
1,2999,24320,250000
1,3063,23415,250000
1,3044,23211,250000
1,3638,25871,250000
1,3020,23166,250000
1,3006,24833,250000
1,2967,23679,250000
1,2907,22973,250000
1,2963,22938,250000
1,2923,22915,250000
1,2945,23254,250000
1,2937,23617,250000
1,2950,22546,250000
1,2923,22437,250000
1,3012,22692,250000
1,2945,22393,250000
1,2927,22508,250000
1,2979,22845,250000
1,2988,22656,250000
1,2939,22574,250000
1,2976,22633,250000
1,2971,22768,250000
1,2943,22821,250000
1,2947,22597,250000
1,2987,22671,250000
2,3991,39481,250000
2,3914,38649,250000
2,4615,38698,250000
2,4642,39062,250000
2,3911,38814,250000
2,3906,40413,250000
2,4344,55814,250000
2,3923,39348,250000
2,3924,39038,250000
2,3923,39127,250000
2,3914,38854,250000
2,3906,38952,250000
2,4359,38782,250000
2,3910,39628,250000
2,4902,38938,250000
2,4397,38757,250000
2,3916,38606,250000
2,3903,38600,250000
2,3953,38897,250000
2,4051,38608,250000
2,3905,38559,250000
2,3896,38378,250000
2,3903,38616,250000
2,3997,38541,250000
2,4674,38575,250000
2,4121,39468,250000
2,4483,42522,250000
2,3919,38696,250000
2,3915,38728,250000
2,3904,38564,250000
2,4830,38878,250000
2,3968,38577,250000
2,3899,39193,250000
2,3900,38942,250000
2,4359,38806,250000
2,3951,38925,250000
2,4698,38787,250000
2,4449,39350,250000
2,4713,39335,250000
2,4217,38747,250000
2,3904,38621,250000
2,4837,38730,250000
2,3951,38621,250000
2,4584,38603,250000
2,4085,38581,250000
2,3961,38948,250000
2,4665,38742,250000
2,3913,38845,250000
2,3977,39137,250000
2,3922,41724,250000
2,4341,38893,250000
2,4527,38750,250000
2,4025,38536,250000
2,3902,38413,250000
2,3903,38632,250000
2,4096,38636,250000
2,3897,38530,250000
2,4662,38508,250000
2,3901,38801,250000
2,3900,38731,250000
2,4006,38833,250000
2,4261,38609,250000
2,3902,38971,250000
2,4712,38930,250000
2,3916,38809,250000
2,3914,39476,250000
2,3971,38805,250000
2,3957,38591,250000
2,3902,38810,250000
2,3913,39022,250000
2,3923,39671,250000
2,3989,39299,250000
2,3962,39051,250000
2,3917,38669,250000
2,4010,38626,250000
2,4342,39044,250000
2,3919,38875,250000
2,4194,38879,250000
2,4550,38982,250000
2,3974,38942,250000
2,4020,38773,250000
2,3976,38821,250000
2,4093,38683,250000
2,4279,38794,250000
2,3951,39508,250000
2,4080,38754,250000
2,3904,39246,250000
2,3911,39072,250000
2,4169,38732,250000
2,3909,38710,250000
2,4029,38763,250000
2,4314,39027,250000
2,4571,38803,250000
2,3912,39088,250000
2,4388,39541,250000
2,4662,39060,250000
2,4042,38781,250000
2,4391,38659,250000
2,4757,38594,250000
2,4158,38556,250000
3,3966,38150,250000
3,3879,37700,250000
3,4711,37890,250000
3,4214,38031,250000
3,4505,37812,250000
3,3905,38091,250000
3,3908,37829,250000
3,3976,37870,250000
3,4070,37927,250000
3,4358,37775,250000
3,3902,37747,250000
3,4147,37772,250000
3,3904,37735,250000
3,3968,37767,250000
3,3905,37692,250000
3,3901,37891,250000
3,3993,37958,250000
3,3901,37806,250000
3,4609,37959,250000
3,3996,37994,250000
3,3906,37847,250000
3,3901,38604,250000
3,4180,37752,250000
3,3901,37775,250000
3,4718,40894,250000
3,4290,39733,250000
3,3906,40617,250000
3,4831,40565,250000
3,3912,39453,250000
3,3904,39432,250000
3,4869,41132,250000
3,3978,38330,250000
3,4698,51529,250000
3,3937,53046,250000
3,3945,44763,250000
3,4781,37767,250000
3,4258,38230,250000
3,3968,38005,250000
3,4052,38070,250000
3,3931,37858,250000
3,3909,38488,250000
3,3916,38127,250000
3,3904,37819,250000
3,3968,38124,250000
3,3910,37957,250000
3,3910,38146,250000
3,3902,37783,250000
3,3905,37894,250000
3,3904,37600,250000
3,4111,38044,250000
3,3905,37793,250000
3,3911,37955,250000
3,3913,38176,250000
3,3908,38051,250000
3,3914,37860,250000
3,3996,37931,250000
3,3909,37794,250000
3,4715,38017,250000
3,3907,37760,250000
3,3914,38795,250000
3,3911,38602,250000
3,3963,38382,250000
3,3910,38413,250000
3,3911,38962,250000
3,4466,37835,250000
3,4701,37687,250000
3,3903,37618,250000
3,3952,37733,250000
3,4716,37525,250000
3,3906,37668,250000
3,3903,37896,250000
3,3911,38035,250000
3,3913,38629,250000
3,3962,37917,250000
3,4183,37774,250000
3,3901,37774,250000
3,3903,38414,250000
3,4253,37733,250000
3,3908,37785,250000
3,3964,38023,250000
3,3906,37819,250000
3,3903,38194,250000
3,4120,38187,250000
3,3904,38419,250000
3,3911,38075,250000
3,3972,38047,250000
3,3908,37982,250000
3,3985,37813,250000
3,3909,37899,250000
3,3904,37829,250000
3,3918,37923,250000
3,3964,37926,250000
3,3904,37606,250000
3,4137,37578,250000
3,3918,37897,250000
3,3918,38011,250000
3,4219,37803,250000
3,3973,37836,250000
3,4005,38259,250000
3,3908,37762,250000
4,3272,31218,250000
4,3294,31983,250000
4,3292,30903,250000
4,3300,31552,250000
4,3273,31943,250000
4,3246,31063,250000
4,3347,30898,250000
4,3281,30719,250000
4,3250,30897,250000
4,3281,31245,250000
4,3281,30779,250000
4,3247,31088,250000
4,3354,31648,250000
4,3284,32264,250000
4,3252,31292,250000
4,3291,31407,250000
4,3283,31068,250000
4,3245,31046,250000
4,3363,31427,250000
4,3283,32193,250000
4,3245,31463,250000
4,3285,32005,250000
4,3285,32087,250000
4,3268,31496,250000
4,3367,31749,250000
4,3284,30828,250000
4,3244,31435,250000
4,3273,31834,250000
4,3278,31717,250000
4,3245,31253,250000
4,3330,31005,250000
4,3286,30842,250000
4,3247,31020,250000
4,3288,31088,250000
4,3269,30986,250000
4,3258,30844,250000
4,3361,35951,250000
4,3268,30692,250000
4,3244,30840,250000
4,3278,30879,250000
4,3264,30512,250000
4,3244,31441,250000
4,3352,30805,250000
4,3511,38297,250000
4,3250,31035,250000
4,3295,30972,250000
4,3295,31064,250000
4,3247,31399,250000
4,3368,31063,250000
4,3302,31392,250000
4,3246,31202,250000
4,3293,31137,250000
4,3290,31179,250000
4,3246,30867,250000
4,3368,30940,250000
4,3280,30975,250000
4,3247,31017,250000
4,3279,31016,250000
4,3288,31970,250000
4,3258,35771,250000
4,3336,30885,250000
4,3274,30746,250000
4,3244,30572,250000
4,3270,30714,250000
4,3284,31289,250000
4,3246,30929,250000
4,3341,30654,250000
4,3269,30550,250000
4,3244,30872,250000
4,3277,30637,250000
4,3269,30689,250000
4,3247,31071,250000
4,3332,30547,250000
4,3268,31078,250000
4,3245,30629,250000
4,3268,30833,250000
4,3279,30892,250000
4,3246,30902,250000
4,3341,31134,250000
4,3277,30915,250000
4,3246,31172,250000
4,3290,31294,250000
4,3318,31872,250000
4,3247,36126,250000
4,3343,31783,250000
4,3306,31119,250000
4,3268,31981,250000
4,3279,31703,250000
4,3273,31788,250000
4,3246,31301,250000
4,3346,31758,250000
4,3282,31770,250000
4,3248,31707,250000
4,3281,31677,250000
4,3280,31673,250000
4,3247,35713,250000
4,3336,31440,250000
4,3292,31299,250000
4,3247,31289,250000
4,3309,35735,250000
5,3331,30514,250000
5,3270,30394,250000
5,3286,30411,250000
5,3303,31300,250000
5,3275,32410,250000
5,3293,30651,250000
5,3370,33148,250000
5,3320,30751,250000
5,3282,30764,250000
5,3291,30834,250000
5,3290,30490,250000
5,3289,30856,250000
5,3353,31327,250000
5,3289,30826,250000
5,3304,30998,250000
5,3302,30927,250000
5,3408,30700,250000
5,3285,30702,250000
5,3366,30818,250000
5,3294,30988,250000
5,3292,30531,250000
5,3247,30751,250000
5,3288,31011,250000
5,3285,31266,250000
5,3361,30845,250000
5,3278,30788,250000
5,3294,30799,250000
5,3247,30719,250000
5,3280,31264,250000
5,3286,31006,250000
5,3244,31278,250000
5,3289,31176,250000
5,3292,31933,250000
5,3256,31538,250000
5,3312,31258,250000
5,3280,31132,250000
5,3372,31943,250000
5,3278,30751,250000
5,3284,32750,250000
5,3253,31163,250000
5,3280,31438,250000
5,3288,31314,250000
5,3248,32651,250000
5,3271,31591,250000
5,3291,32258,250000
5,3245,31208,250000
5,3294,32553,250000
5,3298,32645,250000
5,3251,37285,250000
5,3282,31660,250000
5,3349,34674,250000
5,3246,30749,250000
5,3271,36905,250000
5,3288,30266,250000
5,3245,35979,250000
5,3270,30569,250000
5,3295,30486,250000
5,3257,30652,250000
5,3376,33684,250000
5,3266,30590,250000
5,3245,30460,250000
5,3325,30516,250000
5,3271,30300,250000
