runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n
1,2951,21542,250000
1,3054,22407,250000
1,3013,21529,250000
1,2967,21978,250000
1,3011,21612,250000
1,3074,21206,250000
1,2963,21443,250000
1,2934,21084,250000
1,2997,21471,250000
1,2944,21180,250000
1,2987,21504,250000
1,3033,21276,250000
1,2917,21075,250000
1,2957,21178,250000
1,3005,21974,250000
1,3051,21891,250000
1,2933,21177,250000
1,2958,21224,250000
1,2901,21178,250000
1,2964,20936,250000
1,3011,21316,250000
1,2900,21520,250000
1,3015,21878,250000
1,3004,21949,250000
1,2945,22143,250000
1,3016,22112,250000
1,2996,21522,250000
1,2964,21528,250000
1,3005,21656,250000
1,2995,21615,250000
1,2948,21256,250000
1,3043,23544,250000
1,3025,22226,250000
1,2948,21333,250000
1,3019,23221,250000
1,3022,22213,250000
1,3008,22921,250000
1,3001,22057,250000
1,3050,21635,250000
1,2936,21309,250000
1,2997,21169,250000
1,3005,21042,250000
1,2938,21220,250000
1,2981,20989,250000
1,2974,20899,250000
1,2905,20916,250000
1,2964,21236,250000
1,3006,21016,250000
1,2975,21492,250000
1,2960,21496,250000
1,2975,21138,250000
1,2940,21174,250000
1,2940,21286,250000
1,3011,21155,250000
1,2951,21467,250000
1,2941,21252,250000
1,2966,21535,250000
1,2930,21316,250000
1,2980,21507,250000
1,3047,21269,250000
1,2931,21657,250000
1,2958,20874,250000
1,2981,21102,250000
1,2919,21452,250000
1,2986,21844,250000
1,3016,21094,250000
1,2939,22590,250000
1,2964,21395,250000
1,2949,21114,250000
1,2905,21750,250000
1,2935,20936,250000
1,3005,21172,250000
1,2963,21339,250000
1,2964,21303,250000
1,2972,21342,250000
1,2975,21544,250000
1,2936,21384,250000
1,2952,20951,250000
1,2945,21314,250000
1,2963,21367,250000
1,2968,21090,250000
1,2905,21559,250000
1,2949,21557,250000
1,3013,21145,250000
1,2932,21174,250000
1,2943,21319,250000
1,2994,21757,250000
1,2982,21731,250000
1,2958,21800,250000
1,3046,22126,250000
1,2947,22123,250000
1,3010,21461,250000
1,3002,21541,250000
1,2917,21404,250000
1,2976,22703,250000
1,3017,21167,250000
1,2928,21152,250000
1,2971,21460,250000
1,3046,21632,250000
1,2945,21761,250000
2,4464,33282,250000
2,3935,33362,250000
2,4353,33524,250000
2,3947,40194,250000
2,4734,35939,250000
2,4294,36445,250000
2,3908,36778,250000
2,4091,39179,250000
2,3954,36577,250000
2,3907,35950,250000
2,3905,36890,250000
2,3953,37203,250000
2,3965,36025,250000
2,4020,36746,250000
2,3918,36489,250000
2,4723,35609,250000
2,4317,40108,250000
2,3908,37425,250000
2,4111,35732,250000
2,4397,38728,250000
2,3952,36046,250000
2,4190,36446,250000
2,4484,38456,250000
2,3912,36485,250000
2,4253,36026,250000
2,4573,35899,250000
2,3955,36440,250000
2,3914,36735,250000
2,4158,33928,250000
2,4604,33488,250000
2,3908,33787,250000
2,3914,34161,250000
2,3998,33616,250000
2,4506,33533,250000
2,3975,33553,250000
2,4275,33539,250000
2,4583,33594,250000
2,4889,33504,250000
2,3959,33529,250000
2,4672,33763,250000
2,4148,33619,250000
2,3899,33645,250000
2,3934,33851,250000
2,3907,34352,250000
2,4539,33616,250000
2,4786,33635,250000
2,4378,33932,250000
2,3914,33508,250000
2,4082,33504,250000
2,3900,33589,250000
2,3953,33365,250000
2,3911,33752,250000
2,4446,33535,250000
2,4713,33522,250000
2,3916,33568,250000
2,4527,33614,250000
2,3959,34551,250000
2,3913,33952,250000
2,4722,33583,250000
2,4876,33398,250000
2,3910,34148,250000
2,3901,33674,250000
2,3973,37030,250000
2,3920,33679,250000
2,4761,33410,250000
2,3903,33424,250000
2,4578,33449,250000
2,4714,33299,250000
2,4374,33598,250000
2,3909,33638,250000
2,4622,33456,250000
2,3971,33668,250000
2,3995,33704,250000
2,3902,34248,250000
2,4053,33415,250000
2,3982,33725,250000
2,3910,34695,250000
2,3989,34445,250000
2,4849,33962,250000
2,3902,33824,250000
2,4719,33538,250000
2,4623,34885,250000
2,4411,33428,250000
2,4073,33620,250000
2,3902,33806,250000
2,4491,33785,250000
2,3961,33547,250000
2,4242,33998,250000
2,4554,33595,250000
2,3906,33979,250000
2,3910,33927,250000
2,4645,33909,250000
2,4942,33571,250000
2,3912,33467,250000
2,3986,34084,250000
2,3909,33807,250000
2,4506,33442,250000
2,4013,34002,250000
2,4335,33562,250000
2,4583,33503,250000
3,3899,34019,250000
3,4079,33833,250000
3,3920,34059,250000
3,3963,33996,250000
3,4166,34020,250000
3,3899,34390,250000
3,3942,34046,250000
3,3910,34100,250000
3,3910,33850,250000
3,4887,34340,250000
3,3917,33916,250000
3,3906,33889,250000
3,4897,33807,250000
3,4376,33857,250000
3,3903,33889,250000
3,3909,33995,250000
3,4454,34074,250000
3,3946,33940,250000
3,4247,33955,250000
3,3903,34060,250000
3,3907,33872,250000
3,4359,33919,250000
3,3899,33832,250000
3,4889,34800,250000
3,3900,33890,250000
3,3902,33972,250000
3,3900,33935,250000
3,3959,34164,250000
3,3904,33993,250000
3,4285,33779,250000
3,4573,34010,250000
3,4695,34107,250000
3,4364,34104,250000
3,4726,33902,250000
3,4134,33952,250000
3,4439,34079,250000
3,4751,33941,250000
3,4215,33804,250000
3,4505,33875,250000
3,4059,33984,250000
3,4276,33854,250000
3,4573,33820,250000
3,4893,33841,250000
3,4366,33796,250000
3,4654,33736,250000
3,4951,33824,250000
3,4436,33758,250000
3,3899,33913,250000
3,4226,33965,250000
3,3897,34102,250000
3,4707,34108,250000
3,4350,33950,250000
3,4561,34000,250000
3,3906,34214,250000
3,3903,33997,250000
3,3908,33928,250000
3,4165,33881,250000
3,3955,34065,250000
3,3909,34014,250000
3,4245,34034,250000
3,3903,33860,250000
3,4024,34028,250000
3,3906,33918,250000
3,3964,33977,250000
3,3912,34137,250000
3,3912,34039,250000
3,3902,34009,250000
3,4198,34458,250000
3,3906,34044,250000
3,3965,33902,250000
3,3905,33982,250000
3,3916,34050,250000
3,4037,33958,250000
3,3902,33975,250000
3,3919,33990,250000
3,3982,34064,250000
3,3915,33839,250000
3,3920,33952,250000
3,3913,33942,250000
3,3906,34192,250000
3,3913,33822,250000
3,3960,34055,250000
3,3901,33846,250000
3,4058,34693,250000
3,3899,34023,250000
3,3906,34007,250000
3,3908,33977,250000
3,3960,34014,250000
3,3945,33960,250000
3,3950,34081,250000
3,3898,34082,250000
3,3931,34325,250000
3,3910,33991,250000
3,3993,34438,250000
3,3912,34184,250000
3,3906,34232,250000
3,3905,34293,250000
3,3911,34516,250000
3,3913,34525,250000
3,3965,34143,250000
4,3319,27705,250000
4,3258,27893,250000
4,3331,27859,250000
4,3291,27655,250000
4,3248,28275,250000
4,3304,27708,250000
4,3285,27956,250000
4,3248,28009,250000
4,3384,27746,250000
4,3278,27978,250000
4,3250,28086,250000
4,3297,27744,250000
4,3359,27684,250000
4,3247,27649,250000
4,3422,27926,250000
4,3271,27460,250000
4,3274,27396,250000
4,3280,27428,250000
4,3286,27472,250000
4,3273,27459,250000
4,3344,27607,250000
4,3273,27326,250000
4,3252,27527,250000
4,3275,27465,250000
4,3282,27565,250000
4,3251,27474,250000
4,3339,27494,250000
4,3295,27492,250000
4,3270,27678,250000
4,3284,27680,250000
4,3269,27759,250000
4,3259,27576,250000
4,3336,27447,250000
4,3284,27693,250000
4,3259,28254,250000
4,3268,27554,250000
4,3283,28334,250000
4,3257,28900,250000
4,3436,29051,250000
4,3375,40831,250000
4,3247,28221,250000
4,3288,28165,250000
4,3337,28438,250000
4,3245,27751,250000
4,3319,28483,250000
4,3270,28580,250000
4,3266,28644,250000
4,3267,28092,250000
4,3265,29339,250000
4,3258,28058,250000
4,3338,28912,250000
4,3279,28667,250000
4,3254,28766,250000
4,3287,27639,250000
4,3272,27422,250000
4,3265,28285,250000
4,3329,27650,250000
4,3283,27462,250000
4,3257,27647,250000
4,3289,27873,250000
4,3286,27765,250000
4,3254,28028,250000
4,3352,28112,250000
4,3266,28096,250000
4,3246,27680,250000
4,3359,28026,250000
4,3291,27800,250000
4,3326,27802,250000
4,3383,27724,250000
4,3274,27639,250000
4,3248,28205,250000
4,3317,28396,250000
4,3268,28662,250000
4,3245,28103,250000
4,3332,29183,250000
4,3281,27584,250000
4,3275,27778,250000
4,3345,27554,250000
4,3347,27493,250000
4,3247,27610,250000
4,3345,27754,250000
4,3282,27568,250000
4,3246,27638,250000
4,3275,27903,250000
4,3265,27608,250000
4,3253,27578,250000
4,3352,28633,250000
4,3268,29953,250000
4,3252,29569,250000
4,3281,28332,250000
4,3270,27750,250000
4,3250,27609,250000
4,3343,27530,250000
4,3278,27528,250000
4,3251,27586,250000
4,3288,27513,250000
4,3275,27371,250000
4,3245,27461,250000
4,3331,27752,250000
4,3279,27514,250000
5,3265,28848,250000
5,3373,28956,250000
5,3292,28381,250000
5,3281,28327,250000
5,3275,28632,250000
5,3265,29016,250000
5,3285,29792,250000
5,3338,28600,250000
5,3275,28346,250000
5,3324,28064,250000
5,3324,28349,250000
5,3249,28153,250000
5,3266,28321,250000
5,3285,28113,250000
5,3245,28330,250000
5,3288,28481,250000
5,3342,30557,250000
5,3296,28238,250000
5,3340,28486,250000
5,3342,29142,250000
5,3382,29980,250000
5,3375,28314,250000
5,3330,28288,250000
5,3322,28322,250000
5,3374,28389,250000
5,3281,28382,250000
5,3335,29873,250000
5,3380,28801,250000
5,3360,30325,250000
5,3313,28440,250000
5,3362,28480,250000
5,3329,28341,250000
5,3284,28495,250000
5,3375,29035,250000
5,3349,28605,250000
5,3330,29975,250000
5,3378,28641,250000
5,3359,28521,250000
5,3321,29014,250000
5,3388,29135,250000
5,3277,28292,250000
5,3246,28241,250000
5,3280,28195,250000
5,3291,28326,250000
5,3329,28540,250000
5,3415,35019,250000
5,3366,28379,250000
5,3333,29320,250000
5,3369,28221,250000
5,3381,28383,250000
5,3256,29184,250000
5,3387,28312,250000
5,3372,29500,250000
5,3245,29351,250000
5,3279,29716,250000
5,3272,29786,250000
5,3250,29584,250000
5,3284,28692,250000
5,3289,28868,250000
5,3246,29629,250000
5,3275,30127,250000
5,3269,29688,250000
5,3260,29465,250000
5,3278,29516,250000
5,3271,29259,250000
5,3245,29730,250000
5,3264,29589,250000
5,3282,29242,250000
5,3244,30256,250000
5,3272,29349,250000
5,3291,29564,250000
5,3245,29749,250000
5,3286,29459,250000
5,3273,29515,250000
5,3272,29315,250000
5,3275,29237,250000
5,3278,29366,250000
5,3266,29616,250000
5,3282,29431,250000
5,3283,29514,250000
5,3246,29496,250000
5,3289,29847,250000
5,3297,29641,250000
5,3246,29427,250000
5,3294,29308,250000
5,3275,28223,250000
5,3246,28338,250000
5,3267,28369,250000
5,3297,28476,250000
5,3245,28440,250000
5,3291,29208,250000
5,3296,30270,250000
5,3253,29807,250000
5,3267,29688,250000
5,3284,29504,250000
5,3246,30014,250000
5,3288,30121,250000
5,3293,29717,250000
5,3247,29785,250000
5,3277,29564,250000
6,4383,34884,250000
6,3900,35543,250000
6,3905,36427,250000
6,4464,35317,250000
6,4836,34557,250000
6,3904,35123,250000
6,4541,35089,250000
6,4852,35031,250000
6,4334,34896,250000
6,4624,34894,250000
6,4895,36927,250000
6,4480,34666,250000
6,4707,36348,250000
6,4232,34717,250000
6,3920,45199,250000
6,3997,36900,250000
6,3954,34734,250000
6,4566,35208,250000
6,3902,34837,250000
6,3903,33736,250000
6,4638,33717,250000
6,4578,34393,250000
6,3953,34020,250000
6,4724,33992,250000
6,4228,35054,250000
6,3914,33860,250000
6,3918,34010,250000
6,3932,33864,250000
6,3952,34001,250000
6,4067,34212,250000
6,4456,33839,250000
6,3902,33967,250000
6,4605,34271,250000
6,3914,34159,250000
6,3957,34311,250000
6,3907,34052,250000
6,4535,33900,250000
6,4761,34201,250000
6,3916,34148,250000
6,3919,35151,250000
6,4768,34342,250000
6,3921,33999,250000
6,4776,33969,250000
6,4150,33781,250000
6,3906,34276,250000
6,3950,34203,250000
6,3970,34303,250000
6,3903,34082,250000
6,3918,33896,250000
6,4306,33990,250000
6,3904,34113,250000
6,4102,33953,250000
6,3984,34055,250000
6,4057,34337,250000
6,3987,34398,250000
6,4462,34811,250000
6,3903,34080,250000
6,3915,34197,250000
6,4620,34060,250000
6,3911,33939,250000
6,4356,33892,250000
6,3904,33769,250000
6,3915,34548,250000
6,3911,34067,250000
6,4769,33864,250000
6,3915,34071,250000
6,3925,33956,250000
6,4793,33930,250000
6,3904,33990,250000
6,4546,33790,250000
6,4923,33890,250000
6,3901,34025,250000
6,4626,34003,250000
6,4908,33988,250000
6,3901,33810,250000
6,3926,34046,250000
6,3964,34175,250000
6,4479,33795,250000
6,4775,33849,250000
6,4245,34041,250000
6,4538,33996,250000
6,3907,34839,250000
6,4388,33886,250000
6,4643,34001,250000
6,4879,34265,250000
6,4410,33949,250000
6,3913,34083,250000
6,3904,34025,250000
6,3955,34025,250000
6,3988,34287,250000
6,3911,34023,250000
6,4592,33878,250000
6,4673,34141,250000
6,4358,34399,250000
6,3955,33937,250000
6,4199,34189,250000
6,4439,35061,250000
6,3919,35625,250000
6,3907,33929,250000
6,4510,34443,250000
7,3442,35725,250000
7,4146,35780,250000
7,3455,35938,250000
7,3488,35787,250000
7,3399,35928,250000
7,3465,36210,250000
7,3428,35959,250000
7,3447,36130,250000
7,3490,35834,250000
7,3446,36047,250000
7,3473,35936,250000
7,3591,36273,250000
7,3491,36359,250000
7,3393,35898,250000
7,3481,35652,250000
7,3452,35846,250000
7,3476,35887,250000
7,3470,36017,250000
7,3436,36080,250000
7,3398,35858,250000
7,3453,36269,250000
7,3468,36020,250000
7,3455,35746,250000
7,3511,36112,250000
7,3470,35723,250000
7,3463,35733,250000
7,3446,36322,250000
7,3493,35669,250000
7,3417,36553,250000
7,3465,36670,250000
7,3577,35667,250000
7,3430,36111,250000
7,3474,35591,250000
7,3500,35555,250000
7,3386,48830,250000
7,3339,34652,250000
7,3371,34726,250000
7,3330,34802,250000
7,3418,34663,250000
7,3425,34548,250000
7,3498,34883,250000
7,3306,34982,250000
7,3366,35347,250000
7,3310,34558,250000
7,3320,35034,250000
7,3536,35326,250000
7,3329,34599,250000
7,3366,35175,250000
7,3427,35457,250000
7,3511,35908,250000
7,3559,35591,250000
7,3487,35920,250000
7,3460,35281,250000
7,3533,35640,250000
7,3598,35238,250000
7,3502,35296,250000
7,3399,34880,250000
7,3339,34973,250000
7,3309,35199,250000
7,3504,35516,250000
7,3543,35032,250000
7,3410,35462,250000
7,3456,34972,250000
