runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n
1,2964,11080,250000
1,2994,11135,250000
1,2903,11328,250000
1,2947,11428,250000
1,2948,11293,250000
1,2897,11552,250000
1,2976,11410,250000
1,3076,11497,250000
1,2929,11370,250000
1,3045,11734,250000
1,2999,11209,250000
1,2991,11151,250000
1,2985,10991,250000
1,3057,11092,250000
1,2971,11573,250000
1,3008,11413,250000
1,2978,11252,250000
1,2977,11754,250000
1,2960,11312,250000
1,3008,10839,250000
1,2955,11070,250000
1,2983,11076,250000
1,2972,10898,250000
1,2920,10931,250000
1,3045,11203,250000
1,3193,14953,250000
1,2973,14090,250000
1,3030,14041,250000
1,3001,11000,250000
1,2929,10941,250000
1,2954,10810,250000
1,3052,11068,250000
1,2964,11181,250000
1,3002,11136,250000
1,2979,11261,250000
1,2941,10990,250000
1,2937,11090,250000
1,3002,10774,250000
1,2975,10864,250000
1,2968,10905,250000
1,2942,10801,250000
1,2903,10962,250000
1,2972,10978,250000
1,3042,10909,250000
1,2927,10951,250000
1,2952,10909,250000
1,2967,10881,250000
1,2925,10951,250000
1,2954,11054,250000
1,3031,10843,250000
1,2950,11082,250000
1,2968,11043,250000
1,3010,11092,250000
1,2967,11075,250000
1,2982,10873,250000
1,3024,10943,250000
1,2948,10896,250000
1,2939,10864,250000
1,2993,10945,250000
1,3000,11264,250000
1,3038,11092,250000
1,3045,11162,250000
1,2930,10818,250000
1,2973,10848,250000
1,3036,11030,250000
1,2983,11184,250000
1,3063,11323,250000
1,3079,11109,250000
1,2949,10997,250000
1,3040,11060,250000
1,2990,10964,250000
1,3034,11307,250000
1,3029,11264,250000
1,3070,10994,250000
1,2944,11097,250000
1,3008,11096,250000
1,3057,11161,250000
1,2946,11004,250000
1,3099,11330,250000
1,3113,11133,250000
1,2949,11109,250000
1,2972,11137,250000
1,2980,10819,250000
1,2946,11166,250000
1,2978,11012,250000
1,3134,11247,250000
1,2935,10988,250000
1,2963,11228,250000
1,2960,11082,250000
1,2966,11056,250000
1,2980,10961,250000
1,3021,10810,250000
1,2989,11285,250000
1,2996,11148,250000
1,3157,11291,250000
1,3025,11255,250000
1,2951,10903,250000
1,3034,10942,250000
1,2912,10931,250000
1,2986,11167,250000
2,4871,20075,250000
