runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n
1,2988,26028,250000
1,2940,26501,250000
1,2943,25508,250000
1,3008,26203,250000
1,2916,26702,250000
1,2957,25212,250000
1,2968,25156,250000
1,2944,26014,250000
1,2984,26537,250000
1,3010,25246,250000
1,2920,25391,250000
1,2970,26204,250000
1,2959,26829,250000
1,2947,26266,250000
1,3006,26136,250000
1,3061,25647,250000
1,2966,26189,250000
1,2970,28388,250000
1,2969,26610,250000
1,2969,26482,250000
1,2992,25591,250000
1,3076,25748,250000
1,2928,25844,250000
1,2985,26956,250000
1,3055,25688,250000
1,2918,25502,250000
1,2991,25565,250000
1,3035,25178,250000
1,2958,25569,250000
1,3005,25624,250000
1,2975,25597,250000
1,2921,25690,250000
1,2976,25263,250000
1,3003,25214,250000
1,2914,25230,250000
1,2981,25523,250000
1,2971,25554,250000
1,2904,25204,250000
1,2924,25312,250000
1,3012,25519,250000
1,2928,25291,250000
1,2943,25137,250000
1,2951,25218,250000
1,2962,25441,250000
1,2996,25568,250000
1,3047,25594,250000
1,2945,25608,250000
1,2955,25294,250000
1,2963,25528,250000
1,2926,25531,250000
1,2972,25502,250000
1,3054,25540,250000
1,2977,25309,250000
1,2978,25577,250000
1,3022,25868,250000
1,2988,25786,250000
1,2950,25183,250000
1,2966,25438,250000
1,2927,25287,250000
1,2917,25068,250000
1,2952,25175,250000
1,2930,25542,250000
1,2960,25573,250000
1,2957,25303,250000
1,2974,25722,250000
1,2999,25732,250000
1,2964,25274,250000
1,2964,25481,250000
1,2959,25312,250000
1,2977,25492,250000
1,2938,25439,250000
1,3001,25847,250000
1,3031,26060,250000
1,2982,26062,250000
1,2982,25635,250000
1,2986,25653,250000
1,2960,27679,250000
1,2959,26565,250000
1,2997,26993,250000
1,2950,27331,250000
1,2963,26932,250000
1,2954,27335,250000
1,2958,27321,250000
1,2983,26738,250000
1,2958,27777,250000
1,2926,27671,250000
1,2978,27331,250000
1,2988,28243,250000
1,2946,27059,250000
1,2993,25762,250000
1,2992,27163,250000
1,2925,26795,250000
1,2961,27226,250000
1,2948,27852,250000
1,2901,27143,250000
1,2980,27653,250000
1,3005,27100,250000
1,2930,26288,250000
1,2970,25607,250000
1,2964,25475,250000
2,4177,43669,250000
2,4797,43413,250000
2,4286,43425,250000
2,4635,43567,250000
2,4046,43636,250000
2,4410,43377,250000
2,4753,43598,250000
2,3915,43323,250000
2,3916,43889,250000
2,3899,43317,250000
2,3910,43743,250000
2,3905,43766,250000
2,4010,44035,250000
2,3988,43802,250000
2,3905,43933,250000
2,4148,43598,250000
2,3910,43517,250000
2,4681,45062,250000
2,4264,43859,250000
2,4522,43497,250000
2,3977,43988,250000
2,3978,43598,250000
2,3972,44006,250000
2,4728,43719,250000
2,4355,44050,250000
2,4693,44403,250000
2,3922,43830,250000
2,4029,44089,250000
2,3907,44698,250000
2,4167,43515,250000
2,3969,43627,250000
2,3923,43997,250000
2,4255,43642,250000
2,3908,43310,250000
2,3905,43401,250000
2,4400,43397,250000
2,4659,43321,250000
2,4919,43554,250000
2,4082,44361,250000
2,3961,44013,250000
2,4191,43365,250000
2,3904,44081,250000
2,4826,43556,250000
2,3920,43645,250000
2,4466,44005,250000
2,4045,43315,250000
2,4430,43617,250000
2,4629,43430,250000
2,4184,43596,250000
2,3913,43827,250000
2,3918,43861,250000
2,4260,43420,250000
2,3972,43392,250000
2,4785,44304,250000
2,4049,44161,250000
2,3915,43778,250000
2,3899,43954,250000
2,3926,43615,250000
2,3917,44290,250000
2,3971,43928,250000
2,4029,43602,250000
2,4811,43831,250000
2,4245,43562,250000
2,3904,43650,250000
2,4111,43406,250000
2,3901,43391,250000
2,4637,43809,250000
2,4084,43510,250000
2,4379,43957,250000
2,3903,43886,250000
2,4170,43624,250000
2,3947,43537,250000
2,4825,44078,250000
2,4240,43482,250000
2,3957,43862,250000
2,3910,43921,250000
2,3916,43945,250000
2,3915,44152,250000
2,3999,44464,250000
2,3915,44046,250000
2,3913,44073,250000
2,4223,44167,250000
2,3919,44106,250000
2,3926,43969,250000
2,3971,43996,250000
2,3977,44000,250000
2,3927,43948,250000
2,3920,44570,250000
2,3928,46530,250000
2,3911,43985,250000
2,4494,43502,250000
2,3920,43794,250000
2,3983,46506,250000
2,3911,43659,250000
2,4803,43333,250000
2,4354,43773,250000
2,4588,43486,250000
2,4867,43843,250000
2,3904,43472,250000
2,3982,43352,250000
3,4037,43036,250000
3,4215,42371,250000
3,4473,42591,250000
3,4768,42270,250000
3,3903,42566,250000
3,4545,42709,250000
3,4840,42381,250000
3,3952,42464,250000
3,4653,42821,250000
3,4891,44283,250000
3,4409,43044,250000
3,3910,42428,250000
3,3919,42891,250000
3,3957,42840,250000
3,4711,42633,250000
3,3915,42799,250000
3,3916,42791,250000
3,3906,42785,250000
3,4385,42520,250000
3,4689,42439,250000
3,4871,42402,250000
3,3906,42529,250000
3,3900,42242,250000
3,3901,41794,250000
3,4521,41980,250000
3,4753,41970,250000
3,4285,42512,250000
3,4613,42728,250000
3,4866,41715,250000
3,4357,41809,250000
3,4671,42888,250000
3,4927,41900,250000
3,4439,41882,250000
3,4726,41890,250000
3,4221,41745,250000
3,4518,41836,250000
3,4820,42711,250000
3,4344,42697,250000
3,4604,42231,250000
3,4885,42404,250000
3,4371,42493,250000
3,4651,42549,250000
3,4885,42371,250000
3,3950,42529,250000
3,3906,42347,250000
3,4251,42728,250000
3,4525,42400,250000
3,4712,42464,250000
3,3906,42068,250000
3,4645,42134,250000
3,4101,42266,250000
3,4393,42516,250000
3,4698,42524,250000
3,4185,42612,250000
3,4439,42332,250000
3,4002,42228,250000
3,4252,42432,250000
3,4552,42229,250000
3,4839,42415,250000
3,3915,42442,250000
3,4633,42329,250000
3,4931,42372,250000
3,4403,42272,250000
3,4689,42508,250000
3,3904,42396,250000
3,4480,42278,250000
3,4786,42193,250000
3,4318,42590,250000
3,4571,42704,250000
3,4062,42492,250000
3,3904,42266,250000
3,4644,42233,250000
3,4141,42627,250000
3,4469,42599,250000
3,4725,42462,250000
3,4212,42417,250000
3,3902,42303,250000
3,4794,42557,250000
3,3902,42481,250000
3,3951,42435,250000
3,4078,42331,250000
3,4391,42312,250000
3,4672,42170,250000
3,4872,42395,250000
3,4461,42293,250000
3,4799,42858,250000
