runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n
1,3394,34499,250000
1,3374,33965,250000
1,3405,37339,250000
1,3406,34534,250000
1,3332,33329,250000
1,3424,35900,250000
1,3466,36298,250000
1,3324,35457,250000
1,3550,35287,250000
1,3421,34514,250000
1,3404,34940,250000
1,3497,34410,250000
1,3493,35067,250000
1,3484,35983,250000
1,3498,33369,250000
1,3469,32413,250000
1,3315,34079,250000
1,3391,35128,250000
1,3440,36042,250000
1,3375,33290,250000
1,3523,34541,250000
1,3428,37188,250000
1,3393,35227,250000
1,3405,34855,250000
1,3484,34587,250000
1,3463,36046,250000
1,3426,34152,250000
1,3512,37153,250000
1,3332,34505,250000
1,3400,34083,250000
1,3445,34324,250000
1,3354,35753,250000
1,3517,34000,250000
1,3406,34754,250000
1,3459,37815,250000
1,3378,40029,250000
1,3452,36789,250000
1,3382,36008,250000
1,3366,35270,250000
1,3362,36474,250000
1,3425,35677,250000
1,3394,34838,250000
1,3402,38500,250000
1,3435,36490,250000
1,3412,35683,250000
1,3596,36322,250000
1,3548,34896,250000
1,3441,34726,250000
1,3464,34567,250000
1,3436,35808,250000
1,3363,34263,250000
1,3367,33510,250000
1,3337,37243,250000
1,3350,36634,250000
1,3392,36624,250000
1,3355,35583,250000
1,3395,33268,250000
1,3452,36562,250000
1,3395,38344,250000
1,3434,35285,250000
1,3896,36543,250000
1,3442,46363,250000
1,3520,45304,250000
1,3382,34415,250000
1,3381,34939,250000
1,3387,34604,250000
1,3411,34415,250000
1,3339,33456,250000
1,3462,37906,250000
1,3413,35969,250000
1,3418,38122,250000
1,3455,36097,250000
1,3525,34402,250000
1,3410,33754,250000
1,3471,36926,250000
1,3462,38611,250000
1,3336,34295,250000
1,3340,34396,250000
1,3430,37083,250000
1,3456,34099,250000
1,3383,33735,250000
1,3491,34689,250000
1,3401,34567,250000
1,3450,37301,250000
1,3489,35474,250000
1,3392,34849,250000
1,3392,33768,250000
1,3485,40352,250000
1,3540,44779,250000
1,3765,44892,250000
1,3463,36551,250000
1,3488,33603,250000
1,3467,34983,250000
1,3595,33990,250000
1,3472,35110,250000
1,3449,44741,250000
1,3588,35542,250000
1,3600,35076,250000
1,3417,34734,250000
1,3490,33764,250000
2,3313,31716,250000
2,3245,32060,250000
2,3312,31647,250000
2,3286,31687,250000
2,3245,31700,250000
2,3285,31674,250000
2,3301,31918,250000
2,3244,31748,250000
2,3316,31697,250000
2,3286,32026,250000
2,3280,31711,250000
2,3281,31664,250000
2,3306,31691,250000
2,3282,31744,250000
2,3307,31694,250000
2,3284,31799,250000
2,3244,31958,250000
2,3280,31686,250000
2,3308,31690,250000
2,3278,31709,250000
2,3313,31675,250000
2,3302,31731,250000
2,3286,31926,250000
2,3284,31726,250000
2,3292,31684,250000
2,3291,31725,250000
2,3309,31758,250000
2,3283,31985,250000
2,3285,31720,250000
2,3282,31868,250000
2,3314,31825,250000
2,3281,31716,250000
2,3307,31713,250000
2,3282,31649,250000
2,3292,31699,250000
2,3281,31778,250000
2,3308,31758,250000
2,3284,31764,250000
2,3309,31990,250000
2,3282,31664,250000
2,3285,31678,250000
2,3281,32045,250000
2,3304,31702,250000
2,3279,31763,250000
2,3354,31784,250000
2,3287,31730,250000
2,3299,31815,250000
2,3283,32044,250000
2,3303,31742,250000
2,3281,31752,250000
2,3312,31707,250000
2,3282,31729,250000
2,3294,31775,250000
2,3279,31788,250000
2,3299,31757,250000
2,3281,31736,250000
2,3311,31754,250000
2,3286,31782,250000
2,3281,31672,250000
2,3316,31725,250000
2,3311,31739,250000
2,3280,31710,250000
2,3316,31760,250000
2,3281,31746,250000
2,3288,31664,250000
2,3284,31737,250000
2,3295,31699,250000
2,3282,31670,250000
2,3305,31690,250000
2,3284,31779,250000
2,3284,31709,250000
2,3279,31699,250000
2,3304,31656,250000
2,3279,31702,250000
2,3317,31757,250000
2,3286,31719,250000
2,3280,31784,250000
2,3282,31727,250000
2,3300,31723,250000
2,3283,31684,250000
2,3311,31728,250000
2,3281,31759,250000
2,3293,32056,250000
2,3286,31650,250000
2,3305,31592,250000
2,3295,31704,250000
2,3311,31688,250000
2,3281,31692,250000
2,3282,31671,250000
2,3283,31656,250000
2,3309,31718,250000
2,3281,31802,250000
2,3309,31750,250000
2,3281,31618,250000
2,3286,31698,250000
2,3285,31890,250000
