runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n
1,3406,17023,250000
1,3387,17318,250000
1,3733,18614,250000
1,3411,17288,250000
1,3389,16456,250000
1,3608,17881,250000
1,3618,17961,250000
1,3463,17274,250000
1,3504,16962,250000
1,3530,17473,250000
1,3557,17280,250000
1,3378,17264,250000
1,3413,16563,250000
1,3399,17171,250000
1,3481,17883,250000
1,3498,18212,250000
1,3482,19439,250000
1,3463,17828,250000
1,3379,17519,250000
1,3400,17115,250000
1,3412,17042,250000
1,3416,16403,250000
1,3397,16712,250000
1,3379,16942,250000
1,3455,19484,250000
1,3677,19691,250000
1,3419,17953,250000
1,3465,16904,250000
1,3603,19120,250000
1,3514,19422,250000
1,3620,17233,250000
1,3487,21478,250000
1,3522,18416,250000
1,3492,17163,250000
1,3499,17522,250000
1,3547,17478,250000
1,3442,19854,250000
1,3505,16690,250000
1,3433,17984,250000
1,3435,17894,250000
1,3374,17448,250000
1,3563,19175,250000
1,3388,16719,250000
1,3470,16242,250000
1,3444,18180,250000
1,3519,17393,250000
1,3519,17006,250000
1,3364,16668,250000
1,3379,17008,250000
1,3397,18266,250000
1,3578,19574,250000
1,3787,19321,250000
1,3383,18231,250000
1,3663,17463,250000
1,3461,16965,250000
1,3484,16677,250000
1,3538,16782,250000
1,3515,16567,250000
1,3370,17017,250000
1,3369,16256,250000
1,3369,16524,250000
1,3521,17237,250000
1,3449,18880,250000
1,3387,16910,250000
1,3379,17737,250000
1,3357,16606,250000
1,3468,17445,250000
1,3612,17053,250000
1,3472,17476,250000
1,3438,19156,250000
1,3412,16508,250000
1,3427,16542,250000
1,3346,16496,250000
1,3357,16349,250000
1,3398,16813,250000
1,3415,18465,250000
1,3396,18632,250000
1,3423,19962,250000
1,3422,17163,250000
1,3499,18216,250000
1,3383,17530,250000
1,3454,18253,250000
1,3395,18237,250000
1,3418,17734,250000
1,3356,17609,250000
1,3388,19632,250000
1,3465,17865,250000
1,3340,17128,250000
1,3338,16121,250000
1,3417,18406,250000
1,3354,18501,250000
1,3402,16049,250000
1,3462,16383,250000
1,3378,16153,250000
1,3329,16164,250000
1,3438,16416,250000
1,3371,18255,250000
1,3437,16729,250000
1,3479,19968,250000
1,3394,21216,250000
2,3290,15713,250000
2,3293,15680,250000
2,3316,15720,250000
2,3320,15788,250000
2,3317,15785,250000
2,3284,15639,250000
2,3280,15654,250000
2,3284,15845,250000
2,3302,15604,250000
2,3283,15692,250000
2,3309,15689,250000
2,3282,15720,250000
2,3284,15630,250000
2,3281,15728,250000
2,3314,15702,250000
2,3279,15833,250000
2,3315,15694,250000
2,3286,15668,250000
2,3281,15629,250000
2,3289,15706,250000
2,3310,15589,250000
2,3286,15665,250000
2,3336,15692,250000
2,3279,15620,250000
2,3288,15728,250000
2,3280,15615,250000
2,3314,15630,250000
2,3285,15661,250000
2,3313,15602,250000
2,3279,15602,250000
2,3283,15620,250000
2,3282,15802,250000
2,3303,15680,250000
2,3282,15684,250000
2,3309,15670,250000
2,3288,15633,250000
2,3284,15607,250000
2,3288,15691,250000
2,3311,15598,250000
2,3283,15646,250000
2,3314,15621,250000
2,3280,15823,250000
2,3283,15640,250000
2,3267,15608,250000
2,3312,15607,250000
2,3287,15688,250000
2,3313,15623,250000
2,3283,15642,250000
2,3281,15680,250000
2,3284,15693,250000
2,3312,15640,250000
2,3281,15673,250000
2,3308,15660,250000
2,3283,15602,250000
2,3284,15636,250000
2,3283,15623,250000
2,3315,15636,250000
2,3287,15669,250000
2,3312,15686,250000
2,3283,15640,250000
2,3281,15659,250000
2,3285,15664,250000
2,3294,15588,250000
2,3281,15838,250000
2,3307,15671,250000
2,3286,15777,250000
2,3284,15708,250000
2,3302,15662,250000
2,3311,15591,250000
2,3283,15662,250000
2,3309,15671,250000
2,3312,15638,250000
2,3280,15716,250000
2,3287,15671,250000
2,3308,15623,250000
2,3282,15677,250000
2,3318,15637,250000
2,3304,15682,250000
2,3300,15672,250000
2,3289,15717,250000
2,3263,15732,250000
2,3285,15802,250000
2,3311,15669,250000
2,3284,15652,250000
2,3288,15700,250000
2,3290,15866,250000
2,3330,15652,250000
2,3327,15685,250000
2,3334,15755,250000
2,3281,15688,250000
2,3282,15705,250000
2,3289,15797,250000
2,3303,15711,250000
2,3281,15641,250000
2,3314,15662,250000
2,3288,15799,250000
2,3286,15690,250000
2,3280,15668,250000
2,3299,15690,250000
2,3279,15665,250000
3,4200,27100,250000
3,4229,29983,250000
3,4201,28362,250000
3,4380,26359,250000
3,4336,25824,250000
3,4465,28081,250000
3,4133,26991,250000
3,4296,28589,250000
3,4570,25647,250000
3,4340,28176,250000
3,4400,29223,250000
3,4255,28187,250000
3,4308,27952,250000
3,4525,25647,250000
3,4345,25219,250000
3,4355,27557,250000
3,4418,26873,250000
3,4212,28948,250000
3,4689,26971,250000
3,4475,27807,250000
3,4392,30473,250000
3,4429,29405,250000
3,4481,26148,250000
3,4570,28235,250000
3,4333,26940,250000
3,4143,27098,250000
3,4513,27147,250000
3,4391,28335,250000
3,4325,25855,250000
3,4425,25204,250000
3,4143,26733,250000
3,4213,28765,250000
3,4207,28033,250000
3,4709,26763,250000
3,4261,32731,250000
3,4416,30059,250000
3,4398,24620,250000
3,4303,24187,250000
3,4457,29524,250000
3,4365,29714,250000
3,4666,30363,250000
3,4225,28778,250000
3,4481,25937,250000
3,4787,26638,250000
3,4488,30250,250000
3,4349,27229,250000
3,4425,27123,250000
3,4268,26947,250000
3,4254,25889,250000
