runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.array.array
1,3904,49197,250000,array<integer>[1]
1,4778,49699,250000,array<integer>[1]
1,4607,49401,250000,array<integer>[1]
1,4875,49351,250000,array<integer>[1]
1,4419,49330,250000,array<integer>[1]
1,4701,49570,250000,array<integer>[1]
1,3901,49826,250000,array<integer>[1]
1,3904,49456,250000,array<integer>[1]
1,4758,50013,250000,array<integer>[1]
1,4292,49775,250000,array<integer>[1]
1,4531,49767,250000,array<integer>[1]
1,4830,49584,250000,array<integer>[1]
1,4345,50402,250000,array<integer>[1]
1,4615,49665,250000,array<integer>[1]
1,4125,49137,250000,array<integer>[1]
1,4405,49259,250000,array<integer>[1]
1,3918,49674,250000,array<integer>[1]
1,4191,49697,250000,array<integer>[1]
1,4485,49362,250000,array<integer>[1]
1,4790,49759,250000,array<integer>[1]
1,4300,49558,250000,array<integer>[1]
1,4561,49900,250000,array<integer>[1]
1,4863,49508,250000,array<integer>[1]
1,4358,49490,250000,array<integer>[1]
1,4644,49554,250000,array<integer>[1]
1,4874,49673,250000,array<integer>[1]
1,4405,49313,250000,array<integer>[1]
1,4725,49391,250000,array<integer>[1]
1,4211,49785,250000,array<integer>[1]
1,4490,50151,250000,array<integer>[1]
1,4797,49697,250000,array<integer>[1]
1,4287,49241,250000,array<integer>[1]
1,4585,49730,250000,array<integer>[1]
1,4869,49520,250000,array<integer>[1]
1,4357,49560,250000,array<integer>[1]
1,4654,49647,250000,array<integer>[1]
1,3900,50081,250000,array<integer>[1]
1,4436,49739,250000,array<integer>[1]
1,3939,49218,250000,array<integer>[1]
1,3901,49587,250000,array<integer>[1]
1,4534,49296,250000,array<integer>[1]
1,4710,49655,250000,array<integer>[1]
1,3900,49498,250000,array<integer>[1]
1,3904,49452,250000,array<integer>[1]
1,4086,50087,250000,array<integer>[1]
1,4383,49374,250000,array<integer>[1]
1,3902,49281,250000,array<integer>[1]
1,4875,49439,250000,array<integer>[1]
1,3898,49323,250000,array<integer>[1]
1,4720,49644,250000,array<integer>[1]
1,4241,49501,250000,array<integer>[1]
1,4533,49601,250000,array<integer>[1]
1,4030,49727,250000,array<integer>[1]
1,4316,49467,250000,array<integer>[1]
1,3916,49729,250000,array<integer>[1]
1,4631,50105,250000,array<integer>[1]
1,3882,49719,250000,array<integer>[1]
1,3903,49457,250000,array<integer>[1]
1,4177,49752,250000,array<integer>[1]
1,4467,49967,250000,array<integer>[1]
1,3949,49114,250000,array<integer>[1]
1,4259,49287,250000,array<integer>[1]
1,3879,49700,250000,array<integer>[1]
1,3900,49507,250000,array<integer>[1]
1,3911,49523,250000,array<integer>[1]
1,3885,49572,250000,array<integer>[1]
1,3900,50377,250000,array<integer>[1]
1,3899,49468,250000,array<integer>[1]
1,3879,49401,250000,array<integer>[1]
1,4193,49722,250000,array<integer>[1]
1,4482,49890,250000,array<integer>[1]
1,4717,49940,250000,array<integer>[1]
1,3901,49413,250000,array<integer>[1]
1,3916,49658,250000,array<integer>[1]
1,4717,49797,250000,array<integer>[1]
1,3910,49547,250000,array<integer>[1]
1,3904,49326,250000,array<integer>[1]
1,4612,50044,250000,array<integer>[1]
1,3902,49540,250000,array<integer>[1]
1,3902,49756,250000,array<integer>[1]
1,4209,49341,250000,array<integer>[1]
1,3895,49923,250000,array<integer>[1]
1,3903,49617,250000,array<integer>[1]
1,3883,49831,250000,array<integer>[1]
1,4584,49887,250000,array<integer>[1]
1,4071,49544,250000,array<integer>[1]
1,3902,49781,250000,array<integer>[1]
1,3917,49386,250000,array<integer>[1]
1,4576,49865,250000,array<integer>[1]
1,4437,49628,250000,array<integer>[1]
1,4715,49779,250000,array<integer>[1]
1,4213,49372,250000,array<integer>[1]
1,4529,49626,250000,array<integer>[1]
1,4703,49915,250000,array<integer>[1]
1,4300,49676,250000,array<integer>[1]
1,4577,49430,250000,array<integer>[1]
1,3902,49495,250000,array<integer>[1]
1,4375,49459,250000,array<integer>[1]
1,3900,49248,250000,array<integer>[1]
1,4561,49497,250000,array<integer>[1]
2,3913,52050,250000,array<integer>[1]
2,3920,52031,250000,array<integer>[1]
2,3915,52072,250000,array<integer>[1]
2,3908,52053,250000,array<integer>[1]
2,3880,52128,250000,array<integer>[1]
2,3901,52006,250000,array<integer>[1]
2,4578,51794,250000,array<integer>[1]
2,3881,52241,250000,array<integer>[1]
2,4351,52369,250000,array<integer>[1]
2,3910,52055,250000,array<integer>[1]
2,3887,51877,250000,array<integer>[1]
2,4435,52198,250000,array<integer>[1]
2,3922,52216,250000,array<integer>[1]
2,3883,51984,250000,array<integer>[1]
2,4510,51881,250000,array<integer>[1]
2,3917,52104,250000,array<integer>[1]
2,3883,52032,250000,array<integer>[1]
2,3908,52067,250000,array<integer>[1]
2,4879,52099,250000,array<integer>[1]
2,4367,52206,250000,array<integer>[1]
2,4671,51701,250000,array<integer>[1]
2,4160,51840,250000,array<integer>[1]
2,3898,51971,250000,array<integer>[1]
2,4000,51982,250000,array<integer>[1]
2,3901,51792,250000,array<integer>[1]
2,4541,51917,250000,array<integer>[1]
2,3904,51953,250000,array<integer>[1]
2,4312,51849,250000,array<integer>[1]
2,3909,51757,250000,array<integer>[1]
2,3922,51996,250000,array<integer>[1]
2,3908,51785,250000,array<integer>[1]
2,3906,51594,250000,array<integer>[1]
2,3900,51774,250000,array<integer>[1]
2,4472,51681,250000,array<integer>[1]
2,3910,51946,250000,array<integer>[1]
2,3902,51843,250000,array<integer>[1]
2,3920,51977,250000,array<integer>[1]
2,4058,51986,250000,array<integer>[1]
2,4332,52232,250000,array<integer>[1]
2,4639,51999,250000,array<integer>[1]
2,3898,52139,250000,array<integer>[1]
2,4419,52008,250000,array<integer>[1]
2,3915,52306,250000,array<integer>[1]
2,3903,52269,250000,array<integer>[1]
2,3916,51710,250000,array<integer>[1]
2,4776,51730,250000,array<integer>[1]
2,4292,51992,250000,array<integer>[1]
2,3901,52305,250000,array<integer>[1]
2,3905,51892,250000,array<integer>[1]
2,3908,51818,250000,array<integer>[1]
2,3903,51767,250000,array<integer>[1]
2,4131,51882,250000,array<integer>[1]
2,4563,51699,250000,array<integer>[1]
2,3908,52122,250000,array<integer>[1]
2,3912,51984,250000,array<integer>[1]
2,4528,52470,250000,array<integer>[1]
2,4859,52326,250000,array<integer>[1]
2,3911,51610,250000,array<integer>[1]
2,4606,52599,250000,array<integer>[1]
2,4877,51843,250000,array<integer>[1]
2,3908,52176,250000,array<integer>[1]
2,4695,51524,250000,array<integer>[1]
2,3898,51512,250000,array<integer>[1]
2,3958,52049,250000,array<integer>[1]
2,4756,51935,250000,array<integer>[1]
2,3910,51845,250000,array<integer>[1]
2,3908,51953,250000,array<integer>[1]
2,4834,52301,250000,array<integer>[1]
2,3898,51739,250000,array<integer>[1]
2,3904,51950,250000,array<integer>[1]
2,4900,52247,250000,array<integer>[1]
2,4388,52111,250000,array<integer>[1]
2,4690,52068,250000,array<integer>[1]
2,3899,52252,250000,array<integer>[1]
2,4473,52490,250000,array<integer>[1]
2,4731,51902,250000,array<integer>[1]
2,4282,52071,250000,array<integer>[1]
2,3907,51833,250000,array<integer>[1]
2,4848,52105,250000,array<integer>[1]
2,4344,51828,250000,array<integer>[1]
2,4627,51868,250000,array<integer>[1]
2,4873,51918,250000,array<integer>[1]
2,4443,51635,250000,array<integer>[1]
2,4709,51831,250000,array<integer>[1]
2,4198,52253,250000,array<integer>[1]
2,4409,52271,250000,array<integer>[1]
2,4784,51956,250000,array<integer>[1]
2,4284,51514,250000,array<integer>[1]
2,4624,53032,250000,array<integer>[1]
2,3944,53069,250000,array<integer>[1]
2,4398,53215,250000,array<integer>[1]
2,4000,53277,250000,array<integer>[1]
2,4137,52775,250000,array<integer>[1]
2,3910,52778,250000,array<integer>[1]
2,4733,52665,250000,array<integer>[1]
2,4210,52649,250000,array<integer>[1]
2,3905,52785,250000,array<integer>[1]
2,4819,52780,250000,array<integer>[1]
2,4304,53023,250000,array<integer>[1]
