runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.array.array
1,3310,33030,250000,Array<Integer>[1]
1,3292,30917,250000,Array<Integer>[1]
1,3501,33786,250000,Array<Integer>[1]
1,3407,34153,250000,Array<Integer>[1]
1,3549,33574,250000,Array<Integer>[1]
1,3323,34755,250000,Array<Integer>[1]
1,3297,34458,250000,Array<Integer>[1]
1,3307,32453,250000,Array<Integer>[1]
1,3312,31961,250000,Array<Integer>[1]
1,3342,33693,250000,Array<Integer>[1]
1,3566,37687,250000,Array<Integer>[1]
1,3614,37626,250000,Array<Integer>[1]
1,3298,31617,250000,Array<Integer>[1]
1,3389,31910,250000,Array<Integer>[1]
1,3371,33261,250000,Array<Integer>[1]
1,3345,33948,250000,Array<Integer>[1]
1,3388,33538,250000,Array<Integer>[1]
1,3362,32736,250000,Array<Integer>[1]
1,3366,32421,250000,Array<Integer>[1]
1,3487,33785,250000,Array<Integer>[1]
1,3330,34307,250000,Array<Integer>[1]
1,3464,32108,250000,Array<Integer>[1]
1,3459,32264,250000,Array<Integer>[1]
1,3344,32550,250000,Array<Integer>[1]
1,3485,32183,250000,Array<Integer>[1]
1,3340,31875,250000,Array<Integer>[1]
1,3380,32058,250000,Array<Integer>[1]
1,3553,31791,250000,Array<Integer>[1]
1,3328,33564,250000,Array<Integer>[1]
1,3337,31865,250000,Array<Integer>[1]
1,3290,32077,250000,Array<Integer>[1]
1,3282,31537,250000,Array<Integer>[1]
1,3341,31317,250000,Array<Integer>[1]
1,3367,34366,250000,Array<Integer>[1]
1,3333,35070,250000,Array<Integer>[1]
1,3335,31304,250000,Array<Integer>[1]
1,3405,32434,250000,Array<Integer>[1]
1,3477,33269,250000,Array<Integer>[1]
1,3297,32505,250000,Array<Integer>[1]
1,3311,32303,250000,Array<Integer>[1]
1,3530,31770,250000,Array<Integer>[1]
1,3331,31351,250000,Array<Integer>[1]
1,3332,31707,250000,Array<Integer>[1]
1,3414,33874,250000,Array<Integer>[1]
1,3438,33228,250000,Array<Integer>[1]
1,3326,32994,250000,Array<Integer>[1]
1,3594,32275,250000,Array<Integer>[1]
1,3427,32288,250000,Array<Integer>[1]
1,3394,31989,250000,Array<Integer>[1]
1,3333,32725,250000,Array<Integer>[1]
1,3451,32120,250000,Array<Integer>[1]
1,3494,32347,250000,Array<Integer>[1]
1,3416,32723,250000,Array<Integer>[1]
