runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.array.array
1,3428,52550,250000,Array<Integer>[1]
1,3327,42940,250000,Array<Integer>[1]
1,3384,43318,250000,Array<Integer>[1]
1,3252,45148,250000,Array<Integer>[1]
1,3390,44732,250000,Array<Integer>[1]
1,3332,55182,250000,Array<Integer>[1]
1,3394,45347,250000,Array<Integer>[1]
1,3399,43292,250000,Array<Integer>[1]
1,3519,51754,250000,Array<Integer>[1]
1,3355,45196,250000,Array<Integer>[1]
1,3322,44772,250000,Array<Integer>[1]
1,3327,44416,250000,Array<Integer>[1]
1,3250,45739,250000,Array<Integer>[1]
1,3445,52863,250000,Array<Integer>[1]
1,3399,46352,250000,Array<Integer>[1]
1,3266,44560,250000,Array<Integer>[1]
1,3373,43980,250000,Array<Integer>[1]
1,3369,45020,250000,Array<Integer>[1]
1,3309,46303,250000,Array<Integer>[1]
1,3444,47151,250000,Array<Integer>[1]
1,3508,46366,250000,Array<Integer>[1]
1,3314,45940,250000,Array<Integer>[1]
1,3397,46137,250000,Array<Integer>[1]
1,3447,45605,250000,Array<Integer>[1]
1,3322,43116,250000,Array<Integer>[1]
1,3349,43696,250000,Array<Integer>[1]
1,3356,46156,250000,Array<Integer>[1]
1,3250,45501,250000,Array<Integer>[1]
1,3401,44098,250000,Array<Integer>[1]
1,3398,43767,250000,Array<Integer>[1]
1,3353,44019,250000,Array<Integer>[1]
1,3335,43446,250000,Array<Integer>[1]
1,3417,43406,250000,Array<Integer>[1]
1,3392,44874,250000,Array<Integer>[1]
1,3609,44768,250000,Array<Integer>[1]
1,3336,43383,250000,Array<Integer>[1]
1,3271,45813,250000,Array<Integer>[1]
1,3461,44143,250000,Array<Integer>[1]
1,3402,43092,250000,Array<Integer>[1]
1,3282,44987,250000,Array<Integer>[1]
1,3477,44829,250000,Array<Integer>[1]
1,3280,44937,250000,Array<Integer>[1]
1,3276,43637,250000,Array<Integer>[1]
1,3327,42452,250000,Array<Integer>[1]
1,3338,42882,250000,Array<Integer>[1]
1,3267,42682,250000,Array<Integer>[1]
1,3292,42869,250000,Array<Integer>[1]
1,3300,42756,250000,Array<Integer>[1]
1,3246,42789,250000,Array<Integer>[1]
1,3302,44535,250000,Array<Integer>[1]
1,3368,42565,250000,Array<Integer>[1]
1,3282,45657,250000,Array<Integer>[1]
1,3347,44962,250000,Array<Integer>[1]
1,3299,44836,250000,Array<Integer>[1]
1,3260,44035,250000,Array<Integer>[1]
1,3284,43414,250000,Array<Integer>[1]
1,3336,43288,250000,Array<Integer>[1]
1,3262,43279,250000,Array<Integer>[1]
1,3382,44910,250000,Array<Integer>[1]
1,3346,44184,250000,Array<Integer>[1]
1,3249,45113,250000,Array<Integer>[1]
1,3314,43982,250000,Array<Integer>[1]
1,3294,44148,250000,Array<Integer>[1]
1,3345,45361,250000,Array<Integer>[1]
1,3397,46096,250000,Array<Integer>[1]
1,3400,52088,250000,Array<Integer>[1]
1,3309,52845,250000,Array<Integer>[1]
1,3347,52664,250000,Array<Integer>[1]
1,3316,44088,250000,Array<Integer>[1]
1,3250,42684,250000,Array<Integer>[1]
1,3295,43300,250000,Array<Integer>[1]
1,3314,48020,250000,Array<Integer>[1]
1,3323,47894,250000,Array<Integer>[1]
1,3401,52197,250000,Array<Integer>[1]
1,3364,54769,250000,Array<Integer>[1]
1,3323,52252,250000,Array<Integer>[1]
1,3310,53165,250000,Array<Integer>[1]
1,3357,55006,250000,Array<Integer>[1]
1,3476,51111,250000,Array<Integer>[1]
1,3374,52751,250000,Array<Integer>[1]
1,3370,46996,250000,Array<Integer>[1]
1,3270,45798,250000,Array<Integer>[1]
1,3377,44748,250000,Array<Integer>[1]
1,3398,43201,250000,Array<Integer>[1]
1,3271,44938,250000,Array<Integer>[1]
1,3358,44981,250000,Array<Integer>[1]
1,3363,46332,250000,Array<Integer>[1]
1,3413,44350,250000,Array<Integer>[1]
1,3376,44861,250000,Array<Integer>[1]
1,3373,45245,250000,Array<Integer>[1]
1,3395,46516,250000,Array<Integer>[1]
1,3378,45004,250000,Array<Integer>[1]
1,3359,44570,250000,Array<Integer>[1]
1,3249,43471,250000,Array<Integer>[1]
1,3300,44153,250000,Array<Integer>[1]
1,3315,43733,250000,Array<Integer>[1]
1,3269,45870,250000,Array<Integer>[1]
1,3335,50434,250000,Array<Integer>[1]
1,3288,48056,250000,Array<Integer>[1]
1,3260,44772,250000,Array<Integer>[1]
2,5076,70384,250000,Array<Integer>[1]
2,5128,77280,250000,Array<Integer>[1]
2,5189,66934,250000,Array<Integer>[1]
2,5120,66358,250000,Array<Integer>[1]
2,5185,72604,250000,Array<Integer>[1]
2,5135,69045,250000,Array<Integer>[1]
2,5169,68706,250000,Array<Integer>[1]
2,5197,69550,250000,Array<Integer>[1]
2,5358,73207,250000,Array<Integer>[1]
2,5130,69564,250000,Array<Integer>[1]
2,5051,71945,250000,Array<Integer>[1]
2,5130,66545,250000,Array<Integer>[1]
2,5099,75526,250000,Array<Integer>[1]
2,5215,73293,250000,Array<Integer>[1]
2,5177,67402,250000,Array<Integer>[1]
2,5145,69952,250000,Array<Integer>[1]
2,5126,72819,250000,Array<Integer>[1]
2,5284,68813,250000,Array<Integer>[1]
2,5304,72227,250000,Array<Integer>[1]
2,5115,67352,250000,Array<Integer>[1]
2,5108,78286,250000,Array<Integer>[1]
2,5247,74251,250000,Array<Integer>[1]
2,5087,71785,250000,Array<Integer>[1]
2,5156,66298,250000,Array<Integer>[1]
2,5154,73898,250000,Array<Integer>[1]
2,5087,67093,250000,Array<Integer>[1]
2,5159,71516,250000,Array<Integer>[1]
2,5160,73233,250000,Array<Integer>[1]
2,5172,68949,250000,Array<Integer>[1]
2,5128,71815,250000,Array<Integer>[1]
2,5285,66107,250000,Array<Integer>[1]
2,5171,68378,250000,Array<Integer>[1]
2,5145,67698,250000,Array<Integer>[1]
2,5466,70033,250000,Array<Integer>[1]
2,5078,72308,250000,Array<Integer>[1]
2,5107,67009,250000,Array<Integer>[1]
2,5188,67633,250000,Array<Integer>[1]
2,5089,69593,250000,Array<Integer>[1]
2,5080,71992,250000,Array<Integer>[1]
2,5070,76388,250000,Array<Integer>[1]
2,5214,70530,250000,Array<Integer>[1]
2,5064,71884,250000,Array<Integer>[1]
2,5143,71232,250000,Array<Integer>[1]
2,5071,66638,250000,Array<Integer>[1]
2,5100,68986,250000,Array<Integer>[1]
2,5092,69072,250000,Array<Integer>[1]
2,5239,68022,250000,Array<Integer>[1]
2,5093,63429,250000,Array<Integer>[1]
2,5058,66262,250000,Array<Integer>[1]
2,5064,63692,250000,Array<Integer>[1]
2,5058,65581,250000,Array<Integer>[1]
2,5058,63607,250000,Array<Integer>[1]
2,5076,74948,250000,Array<Integer>[1]
2,5227,70409,250000,Array<Integer>[1]
2,5255,67429,250000,Array<Integer>[1]
2,5129,63844,250000,Array<Integer>[1]
2,5101,65529,250000,Array<Integer>[1]
2,5279,70838,250000,Array<Integer>[1]
2,5276,69147,250000,Array<Integer>[1]
2,5102,68501,250000,Array<Integer>[1]
2,5241,67647,250000,Array<Integer>[1]
2,5107,74709,250000,Array<Integer>[1]
2,5512,73982,250000,Array<Integer>[1]
2,5267,70325,250000,Array<Integer>[1]
2,5332,78261,250000,Array<Integer>[1]
2,5241,70113,250000,Array<Integer>[1]
2,5219,68821,250000,Array<Integer>[1]
2,5181,73935,250000,Array<Integer>[1]
2,5202,69521,250000,Array<Integer>[1]
2,5403,72201,250000,Array<Integer>[1]
2,5334,67762,250000,Array<Integer>[1]
2,5402,82213,250000,Array<Integer>[1]
2,5164,69409,250000,Array<Integer>[1]
2,5126,71711,250000,Array<Integer>[1]
2,5080,66436,250000,Array<Integer>[1]
2,5244,70881,250000,Array<Integer>[1]
2,5194,72155,250000,Array<Integer>[1]
2,5279,68593,250000,Array<Integer>[1]
2,5411,73802,250000,Array<Integer>[1]
2,5088,66227,250000,Array<Integer>[1]
2,5186,67257,250000,Array<Integer>[1]
2,5271,68748,250000,Array<Integer>[1]
2,5094,72142,250000,Array<Integer>[1]
2,5209,69366,250000,Array<Integer>[1]
2,5066,72475,250000,Array<Integer>[1]
2,5294,69540,250000,Array<Integer>[1]
2,5087,69151,250000,Array<Integer>[1]
2,5249,69454,250000,Array<Integer>[1]
2,5220,65773,250000,Array<Integer>[1]
