runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.array.array
1,3914,27477,250000,array<integer>[1]
1,3927,27441,250000,array<integer>[1]
1,3957,27210,250000,array<integer>[1]
1,3924,27546,250000,array<integer>[1]
1,3910,27444,250000,array<integer>[1]
1,4759,26977,250000,array<integer>[1]
1,4259,27287,250000,array<integer>[1]
1,4542,27221,250000,array<integer>[1]
1,4890,26929,250000,array<integer>[1]
1,4336,27176,250000,array<integer>[1]
1,4623,27220,250000,array<integer>[1]
1,4880,27281,250000,array<integer>[1]
1,4422,27427,250000,array<integer>[1]
1,4679,27352,250000,array<integer>[1]
1,4212,27030,250000,array<integer>[1]
1,4484,26919,250000,array<integer>[1]
1,4786,27125,250000,array<integer>[1]
1,4280,26999,250000,array<integer>[1]
1,4590,27263,250000,array<integer>[1]
1,4879,27012,250000,array<integer>[1]
1,3902,27213,250000,array<integer>[1]
1,4646,27256,250000,array<integer>[1]
1,4893,28567,250000,array<integer>[1]
1,3908,28534,250000,array<integer>[1]
1,4711,27530,250000,array<integer>[1]
1,3915,27463,250000,array<integer>[1]
1,3959,27439,250000,array<integer>[1]
1,4819,27454,250000,array<integer>[1]
1,4304,28690,250000,array<integer>[1]
1,4592,29311,250000,array<integer>[1]
1,4889,27433,250000,array<integer>[1]
1,3917,27486,250000,array<integer>[1]
1,4726,27353,250000,array<integer>[1]
1,4184,27276,250000,array<integer>[1]
1,4455,27585,250000,array<integer>[1]
1,4730,27365,250000,array<integer>[1]
1,3903,27247,250000,array<integer>[1]
1,3903,27448,250000,array<integer>[1]
1,4870,27590,250000,array<integer>[1]
1,4309,27334,250000,array<integer>[1]
1,4604,27344,250000,array<integer>[1]
1,4878,27253,250000,array<integer>[1]
1,3901,27173,250000,array<integer>[1]
1,4670,27362,250000,array<integer>[1]
1,4934,27445,250000,array<integer>[1]
1,4513,27440,250000,array<integer>[1]
1,3958,28624,250000,array<integer>[1]
1,3899,27385,250000,array<integer>[1]
1,3907,27354,250000,array<integer>[1]
1,4030,27388,250000,array<integer>[1]
1,4385,27405,250000,array<integer>[1]
1,3908,27264,250000,array<integer>[1]
1,4876,27243,250000,array<integer>[1]
1,3904,27492,250000,array<integer>[1]
1,4728,27326,250000,array<integer>[1]
1,4205,27638,250000,array<integer>[1]
1,4519,28209,250000,array<integer>[1]
1,4792,27354,250000,array<integer>[1]
1,4256,27503,250000,array<integer>[1]
1,4556,27238,250000,array<integer>[1]
1,4881,27153,250000,array<integer>[1]
1,3905,27230,250000,array<integer>[1]
1,4678,27271,250000,array<integer>[1]
1,4878,27630,250000,array<integer>[1]
1,4407,27074,250000,array<integer>[1]
1,4704,27085,250000,array<integer>[1]
1,3907,27018,250000,array<integer>[1]
1,4489,27102,250000,array<integer>[1]
1,4832,27161,250000,array<integer>[1]
1,4286,27008,250000,array<integer>[1]
1,3902,27028,250000,array<integer>[1]
1,4850,27286,250000,array<integer>[1]
1,3907,27341,250000,array<integer>[1]
1,3904,27038,250000,array<integer>[1]
1,4157,27080,250000,array<integer>[1]
1,4466,27054,250000,array<integer>[1]
1,3902,27192,250000,array<integer>[1]
1,4223,27146,250000,array<integer>[1]
1,4524,27071,250000,array<integer>[1]
1,4678,27286,250000,array<integer>[1]
1,4337,27388,250000,array<integer>[1]
1,3918,27053,250000,array<integer>[1]
1,4885,27164,250000,array<integer>[1]
1,4373,27510,250000,array<integer>[1]
1,4636,27518,250000,array<integer>[1]
1,4914,27656,250000,array<integer>[1]
1,4486,28501,250000,array<integer>[1]
1,4701,27493,250000,array<integer>[1]
1,4231,28369,250000,array<integer>[1]
1,3908,27331,250000,array<integer>[1]
1,4823,28637,250000,array<integer>[1]
1,4311,28664,250000,array<integer>[1]
1,4663,28843,250000,array<integer>[1]
1,4891,27413,250000,array<integer>[1]
1,4403,28799,250000,array<integer>[1]
1,4677,27494,250000,array<integer>[1]
1,4190,27443,250000,array<integer>[1]
1,4426,27220,250000,array<integer>[1]
1,4788,27009,250000,array<integer>[1]
1,4260,27085,250000,array<integer>[1]
2,3913,28066,250000,array<integer>[1]
2,3902,28185,250000,array<integer>[1]
2,3909,28231,250000,array<integer>[1]
2,4744,28222,250000,array<integer>[1]
2,4234,28221,250000,array<integer>[1]
2,3911,28009,250000,array<integer>[1]
2,4030,27989,250000,array<integer>[1]
2,4326,28077,250000,array<integer>[1]
2,3910,28120,250000,array<integer>[1]
2,4881,28084,250000,array<integer>[1]
2,4449,28126,250000,array<integer>[1]
2,4755,27933,250000,array<integer>[1]
2,3969,28105,250000,array<integer>[1]
2,4536,28236,250000,array<integer>[1]
2,4815,27923,250000,array<integer>[1]
2,4412,28216,250000,array<integer>[1]
2,4625,28004,250000,array<integer>[1]
2,4914,27975,250000,array<integer>[1]
2,3973,28123,250000,array<integer>[1]
2,3912,28637,250000,array<integer>[1]
2,3979,28099,250000,array<integer>[1]
2,4489,28206,250000,array<integer>[1]
2,4775,28063,250000,array<integer>[1]
2,4258,28348,250000,array<integer>[1]
2,4559,28101,250000,array<integer>[1]
2,3961,28146,250000,array<integer>[1]
2,4002,28270,250000,array<integer>[1]
2,4593,28207,250000,array<integer>[1]
2,4878,28099,250000,array<integer>[1]
2,4370,28150,250000,array<integer>[1]
2,4661,28108,250000,array<integer>[1]
2,4871,29269,250000,array<integer>[1]
2,4438,28132,250000,array<integer>[1]
2,4717,28040,250000,array<integer>[1]
2,4227,28031,250000,array<integer>[1]
2,4485,28095,250000,array<integer>[1]
2,4812,28074,250000,array<integer>[1]
2,4302,28012,250000,array<integer>[1]
2,4602,28062,250000,array<integer>[1]
2,4879,28052,250000,array<integer>[1]
2,4375,27953,250000,array<integer>[1]
2,4670,28338,250000,array<integer>[1]
2,4164,28349,250000,array<integer>[1]
2,4455,28127,250000,array<integer>[1]
2,4754,28275,250000,array<integer>[1]
2,4238,28411,250000,array<integer>[1]
2,3906,28147,250000,array<integer>[1]
2,4827,28126,250000,array<integer>[1]
2,4319,28141,250000,array<integer>[1]
2,4612,28231,250000,array<integer>[1]
2,4098,28332,250000,array<integer>[1]
2,4396,28201,250000,array<integer>[1]
2,3962,28191,250000,array<integer>[1]
2,4227,28446,250000,array<integer>[1]
2,4493,28735,250000,array<integer>[1]
2,3952,28549,250000,array<integer>[1]
2,4328,28275,250000,array<integer>[1]
2,3971,28232,250000,array<integer>[1]
2,4920,28266,250000,array<integer>[1]
2,4387,28082,250000,array<integer>[1]
2,3956,28491,250000,array<integer>[1]
2,3954,28328,250000,array<integer>[1]
2,4468,28226,250000,array<integer>[1]
2,3967,28142,250000,array<integer>[1]
2,4197,28704,250000,array<integer>[1]
2,4553,28015,250000,array<integer>[1]
2,4857,27873,250000,array<integer>[1]
2,4481,28304,250000,array<integer>[1]
2,4732,28211,250000,array<integer>[1]
2,4101,28190,250000,array<integer>[1]
2,4417,28386,250000,array<integer>[1]
2,4693,28478,250000,array<integer>[1]
2,3954,28439,250000,array<integer>[1]
2,4497,28146,250000,array<integer>[1]
2,4828,28305,250000,array<integer>[1]
2,4275,28131,250000,array<integer>[1]
2,3949,28489,250000,array<integer>[1]
2,4040,28379,250000,array<integer>[1]
2,3965,28300,250000,array<integer>[1]
2,4647,27976,250000,array<integer>[1]
2,3990,28015,250000,array<integer>[1]
2,4557,28394,250000,array<integer>[1]
2,4730,28164,250000,array<integer>[1]
2,3952,28175,250000,array<integer>[1]
2,4509,28138,250000,array<integer>[1]
2,3998,27993,250000,array<integer>[1]
2,3918,28126,250000,array<integer>[1]
2,4601,28212,250000,array<integer>[1]
2,4906,28043,250000,array<integer>[1]
2,3935,28179,250000,array<integer>[1]
2,4672,28113,250000,array<integer>[1]
2,4955,28127,250000,array<integer>[1]
2,3939,28379,250000,array<integer>[1]
2,4749,28323,250000,array<integer>[1]
