runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.array.array
1,3317,28818,250000,Array<Integer>[1]
1,3331,30775,250000,Array<Integer>[1]
1,3431,34530,250000,Array<Integer>[1]
1,3299,26745,250000,Array<Integer>[1]
1,3281,27201,250000,Array<Integer>[1]
1,3310,27152,250000,Array<Integer>[1]
1,3312,30692,250000,Array<Integer>[1]
1,3270,27121,250000,Array<Integer>[1]
1,3432,29182,250000,Array<Integer>[1]
1,3340,28809,250000,Array<Integer>[1]
1,3389,28480,250000,Array<Integer>[1]
1,3483,29390,250000,Array<Integer>[1]
1,3314,28500,250000,Array<Integer>[1]
1,3302,28894,250000,Array<Integer>[1]
1,3354,27018,250000,Array<Integer>[1]
1,3332,29154,250000,Array<Integer>[1]
1,3428,27277,250000,Array<Integer>[1]
1,3321,27316,250000,Array<Integer>[1]
1,3402,27306,250000,Array<Integer>[1]
1,3270,27044,250000,Array<Integer>[1]
1,3452,27111,250000,Array<Integer>[1]
1,3332,30687,250000,Array<Integer>[1]
1,3347,31030,250000,Array<Integer>[1]
1,3444,29786,250000,Array<Integer>[1]
1,3414,28569,250000,Array<Integer>[1]
1,3345,28951,250000,Array<Integer>[1]
1,3400,30767,250000,Array<Integer>[1]
1,3441,29047,250000,Array<Integer>[1]
1,3347,26948,250000,Array<Integer>[1]
1,3381,26605,250000,Array<Integer>[1]
1,3527,26787,250000,Array<Integer>[1]
1,3473,26736,250000,Array<Integer>[1]
1,3390,26469,250000,Array<Integer>[1]
1,3333,26748,250000,Array<Integer>[1]
1,3315,26727,250000,Array<Integer>[1]
1,3500,26833,250000,Array<Integer>[1]
1,3401,26987,250000,Array<Integer>[1]
1,3430,27697,250000,Array<Integer>[1]
1,3593,28078,250000,Array<Integer>[1]
1,3490,26955,250000,Array<Integer>[1]
1,3303,29495,250000,Array<Integer>[1]
1,3569,26945,250000,Array<Integer>[1]
1,3432,27141,250000,Array<Integer>[1]
1,3351,27118,250000,Array<Integer>[1]
1,3503,26810,250000,Array<Integer>[1]
1,3476,26287,250000,Array<Integer>[1]
1,3442,26699,250000,Array<Integer>[1]
1,3370,28916,250000,Array<Integer>[1]
1,3387,27136,250000,Array<Integer>[1]
1,3292,26689,250000,Array<Integer>[1]
1,3451,27871,250000,Array<Integer>[1]
1,3397,27091,250000,Array<Integer>[1]
1,3290,26517,250000,Array<Integer>[1]
1,3376,27133,250000,Array<Integer>[1]
