runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.v.float,param.min.float,param.max.float
1,3924,27680,250000,7.441852069767228e+307,-1.6012642722773275e+308,2.618244253291903e+305
1,3931,28101,250000,-8.468748874257607e+307,-3.628179908691619e+307,1.6344647256307792e+308
1,4659,28263,250000,8.001418953628719e+306,-8.997595599804771e+306,1.7056816058384187e+308
1,4172,28385,250000,1.715011524117019e+308,-1.3104005929863082e+308,1.657035106345982e+308
1,3924,28490,250000,1.277724021197809e+308,-5.414614952014328e+307,1.4430626815657863e+308
1,3925,28521,250000,-3.752007704379668e+307,-1.0713913973103053e+308,1.6748598001765753e+308
1,3938,28506,250000,8.777309140024544e+307,-1.0794279099709921e+308,1.1230778994279321e+308
1,3924,28097,250000,-4.687258675791236e+307,-1.542222437451731e+308,5.104765298904851e+307
1,4038,28038,250000,7.340153043881172e+307,-1.6018632021776027e+307,1.2898568735339692e+308
1,3968,27619,250000,-1.5602237627162405e+308,-8.324214130872539e+307,1.7547887041563855e+308
1,3956,28540,250000,-1.2914435510675124e+308,-1.7202280304904955e+308,1.7513195849246093e+308
1,4929,28490,250000,1.4356910611965353e+308,-1.1311544863808484e+308,4.424337574015229e+307
1,3934,28374,250000,-2.926296951762587e+307,-3.65138192592577e+307,1.3979566341628112e+308
1,4742,27915,250000,8.172219150581496e+307,-1.4332482161533576e+308,1.3703045417794486e+308
1,4183,28636,250000,-6.179315319774744e+307,-1.580262604341278e+307,1.6774739300756835e+308
1,4473,28388,250000,-2.5101020633536004e+307,-9.744086607366258e+307,1.5069804111936465e+308
1,3921,28184,250000,1.4207232178402977e+306,-5.312569997843968e+307,9.284540925138335e+307
1,3909,28009,250000,-7.750909012068477e+307,-2.85950106630276e+307,2.603602836489128e+307
1,3934,28318,250000,9.603156033959609e+307,-2.1601889353438134e+307,1.147349201543289e+308
1,4719,27682,250000,7.340832916182121e+307,-2.887883492378476e+307,1.292727077324255e+308
1,3914,28278,250000,-1.4284513557653685e+308,-3.188193875412794e+307,1.4132672059637227e+308
1,4627,28124,250000,-9.970152170926155e+307,-5.079887204694425e+307,6.544397474263859e+307
1,3918,28508,250000,-3.605732511218543e+307,-1.6110523396721146e+308,1.6471329209339897e+308
1,4432,28750,250000,-8.738472416901865e+307,-7.014265010009856e+307,1.7650996926792297e+308
1,3935,28377,250000,7.276739374431674e+307,-1.0766923881533655e+308,1.586651399489062e+308
1,3928,28575,250000,9.468247931599271e+306,-9.494717954707131e+307,1.0179007348592144e+308
1,3906,28238,250000,1.5787877221426371e+308,-1.1753630100950188e+308,1.4548679378811212e+308
1,3908,28388,250000,4.779418939760403e+307,-4.629715640517143e+307,1.6449395196044943e+308
1,4329,27694,250000,4.077756570894953e+307,-1.2111711069482885e+308,4.73944651727587e+307
1,3908,28330,250000,-1.388040976904939e+308,-1.610258484470844e+308,1.4718997604895973e+308
1,4709,30133,250000,1.6414008322192423e+308,-4.360911897019229e+307,1.7063696232445386e+308
1,3918,27906,250000,7.483573652285975e+307,-1.7349254884507258e+308,9.027214304743047e+307
1,3924,28392,250000,1.1178829497834505e+308,-1.5878764853552203e+308,5.423002490668581e+307
1,3924,27894,250000,9.666855506829449e+307,-1.1003233206125479e+308,8.73015442782875e+306
1,3907,28065,250000,-9.028288919750558e+307,-1.0813360967678477e+308,1.3189109070267854e+308
1,3924,27753,250000,6.014584705937423e+307,-3.548480075929567e+307,1.2917304995321044e+308
1,3905,27641,250000,-1.166781161540739e+308,-1.361495546016002e+307,1.0692005389822453e+308
1,3917,27629,250000,-1.0959910668994962e+308,-1.4951968711527694e+308,4.3385687759961735e+306
1,3990,27598,250000,8.825343854708135e+307,-4.2344284329451506e+307,1.023676240899278e+308
1,3909,27683,250000,8.521824112929178e+307,-9.539732621071055e+307,1.3379093307607363e+308
1,4613,27553,250000,6.124105736401271e+307,-1.5595321727199201e+308,5.418270764033947e+307
1,3909,27695,250000,4.450738903044931e+307,-1.1650611799380049e+308,2.654392746167573e+307
1,3911,27986,250000,-1.0523989199154284e+308,-6.873517421238257e+307,1.327908534785482e+308
1,3931,27654,250000,-9.71751533143926e+307,-1.1482154573391909e+308,6.061966174191873e+307
1,3910,27824,250000,3.8257715907304266e+307,-1.2183516842784735e+308,7.809422911172828e+307
1,3899,27555,250000,-1.1085536768030682e+308,-3.7931641026769926e+307,7.33173884769706e+307
1,4771,27666,250000,3.027033117559284e+307,-2.279457955814148e+307,1.16655581589266e+307
1,3909,27924,250000,-1.5413514501738907e+308,-9.389753703975758e+307,5.363268713838962e+307
1,4040,39501,250000,-8.889933948102233e+307,-7.108610749286485e+307,1.3617422917437107e+308
1,3999,36540,250000,-2.923486767769202e+307,-8.37414548644218e+307,5.975091915748429e+307
1,3944,27715,250000,5.225288660553492e+307,-1.2708896574796306e+308,7.332744742384665e+307
1,3922,27655,250000,-4.3760089081618967e+307,-1.548916046367271e+307,6.457688441995835e+307
1,3944,34164,250000,-4.2909906932962987e+307,-1.3944051614577485e+308,1.0443100844117769e+308
1,3967,38505,250000,-9.87873889899699e+307,-1.7311685889725826e+308,2.254534859989097e+307
1,3919,28357,250000,8.103106302289291e+306,-2.9392977065950274e+307,2.5291715791796365e+307
1,4164,28050,250000,-9.144831586505099e+307,-4.757213886778614e+307,8.374376835578302e+307
1,3925,27684,250000,5.172158435004986e+307,-1.0195164796719548e+308,6.534876521719123e+307
1,3913,27526,250000,8.411127342185719e+307,-1.3409655526984125e+308,5.546835364353467e+307
1,4254,27808,250000,-9.195953422664508e+307,-1.818647570196676e+307,8.845242339399327e+307
1,3916,27638,250000,6.746683322769038e+307,-1.5144643957566578e+308,1.6545471584948682e+308
1,4028,27615,250000,1.0857664529908865e+308,-1.2470282071253504e+308,6.473416334939219e+307
1,4331,27684,250000,-6.235281504816258e+306,-4.017467164061951e+307,6.550546449459774e+307
1,3920,27869,250000,7.050377303282689e+307,-4.4908121217261907e+307,3.298123532089354e+306
1,4106,27584,250000,6.240786618543932e+307,-1.5058012791303998e+308,8.140944929659244e+307
1,3922,27536,250000,-5.410259449664334e+307,-3.843240159851458e+306,5.155918039769608e+307
1,3913,27556,250000,1.4803505262712057e+308,-1.4847094887891526e+308,9.434208551798521e+307
1,4192,27583,250000,-4.320832375216088e+307,-1.1774831411507927e+308,1.6004674907763319e+308
1,3952,27635,250000,-2.0306017615909762e+307,-1.2584031561995944e+308,2.3096185830822084e+307
1,3908,28007,250000,1.253728281822163e+308,-1.650646938441728e+308,2.521331538540415e+307
1,3913,27883,250000,1.7962146960407962e+308,-6.515326494166898e+307,8.573943881101977e+307
1,3911,27890,250000,-4.0381739378905295e+307,-1.3504599141108723e+308,1.1008074236722795e+308
1,3912,28031,250000,-1.6088901880153962e+308,-1.0714423036139775e+308,1.4721531434783399e+308
1,3914,27987,250000,4.445274341014947e+307,-1.1751700398115748e+308,1.4481541314407672e+308
1,3932,27834,250000,3.633769365366838e+307,-1.4220385629719275e+308,1.6420340300901036e+308
1,3901,27836,250000,2.3294375250366693e+307,-1.2805534111995453e+308,5.721920527668504e+306
1,4413,27499,250000,1.7215920909110435e+308,-1.1509056470850463e+308,1.5797405491505982e+308
1,4701,27659,250000,1.6374240095396082e+308,-4.21147717576464e+307,1.2804033171072318e+307
1,4176,27588,250000,7.840027902426806e+307,-8.723688149298307e+307,2.121232984133817e+307
1,4485,27782,250000,-9.455084953444647e+307,-4.178110547956457e+307,1.210398846000967e+307
1,3984,28041,250000,-1.6534396907761432e+307,-1.28436709759152e+308,9.160960389315243e+307
1,3915,27969,250000,-1.7448637985290634e+308,-8.252438191715494e+307,1.5979722322385274e+308
1,3940,27874,250000,-9.303427334592145e+307,-1.1888073268743667e+308,9.20581935768186e+307
1,3930,27873,250000,-1.1649504199686348e+308,-1.3034385901663757e+308,1.6441479613114614e+308
1,3933,28014,250000,-1.2212431150814915e+308,-1.1537472596881017e+308,1.5537186316003043e+308
1,3932,27936,250000,-4.947638607679752e+307,-1.1434831909525913e+308,1.3204094803370658e+308
1,4122,27706,250000,9.01621388756705e+307,-1.1590881739680665e+308,5.655328192997555e+307
1,3923,27813,250000,7.593197760157743e+307,-1.62230457923804e+308,1.236582434873796e+308
1,4733,27588,250000,-5.332672170468209e+306,-1.6193674531656471e+308,1.7545977271436956e+308
1,3933,28446,250000,1.3405176368092618e+308,-9.856949597851965e+307,9.139654430186795e+307
1,3920,32495,250000,7.123209879798024e+307,-4.944311262343935e+307,1.3059341551549666e+308
1,3904,27826,250000,-1.645995843917132e+308,-4.751378556788541e+307,8.53047341078179e+307
1,3915,27950,250000,5.607740325226258e+307,-1.0089136069248923e+308,5.496716209082304e+307
1,3915,28859,250000,3.9689381867978046e+307,-1.1448864644649814e+308,1.5151700535524671e+307
1,3915,31169,250000,7.321793299384599e+307,-2.925736720273484e+307,8.340827639705851e+306
1,4280,36180,250000,3.248247870725126e+307,-1.1756026113898916e+308,1.1125160259177296e+308
1,3983,39811,250000,1.5153116727005202e+308,-1.6103300903005626e+307,9.363710397694047e+307
1,3952,36362,250000,-1.306029046956931e+308,-1.2003975936303718e+308,1.189076539786603e+308
1,4115,28767,250000,6.66778845193553e+307,-6.418326261992351e+307,4.898470435432136e+307
1,3953,28419,250000,-1.210969851889733e+308,-4.5014375485301085e+305,5.730330179701474e+307
1,3920,29157,250000,4.566782060528275e+307,-6.681986673287269e+306,1.4824676559810752e+308
2,3928,29289,250000,-8.90118889289578e+306,-8.317573707081716e+307,1.2660372919709277e+308
2,4681,28375,250000,1.4419255021097105e+308,-9.051221225103449e+307,1.1047491335322047e+308
2,3943,28281,250000,-1.6121682572664177e+307,-1.130793599874187e+308,1.0345183467047904e+308
2,3917,30292,250000,-5.863006258079474e+307,-1.7792797668491464e+308,5.261754353380793e+307
2,3991,28887,250000,-8.539779842015655e+305,-1.4192345731235557e+308,5.414995867264455e+307
2,3922,30152,250000,-2.1899933544536397e+307,-1.789498038128738e+308,1.3600200458158925e+308
2,3980,28069,250000,-1.1928156189943623e+308,-7.789843139890268e+307,9.866609386586553e+307
2,3920,30062,250000,-1.0515319013077279e+308,-2.952891624929596e+307,1.6837151912719877e+308
2,3935,28092,250000,-1.1552613297827734e+307,-1.5293583244195532e+308,1.7040197495578406e+308
2,3925,28060,250000,9.796645704346677e+307,-1.4335290451492213e+307,3.1129781101455753e+307
2,3905,28092,250000,-6.475055600389873e+307,-1.3085085615691657e+308,1.4694102477639045e+308
2,3916,28082,250000,3.5399163057471016e+307,-1.4670701554866254e+308,6.322315644459924e+307
2,3988,28357,250000,5.648787227023789e+306,-1.370141078522056e+308,5.867626694883382e+307
2,3908,28115,250000,1.7144714481294663e+308,-3.368153466028699e+307,4.482298500281805e+307
2,4590,29520,250000,-2.0315582768114947e+307,-1.1155789032297048e+308,3.9739107344600386e+307
2,3934,27962,250000,1.7791635551508946e+308,-1.3243781786521956e+308,1.147035795001909e+308
2,3907,28239,250000,1.2837081404702273e+308,-6.567664667071748e+307,4.122694881113593e+307
2,3943,28336,250000,1.3607697996265548e+308,-1.455256848788213e+308,4.704087608155906e+307
2,4153,28204,250000,-1.618173432066752e+308,-1.2446687158273599e+308,1.426188942746307e+308
2,4392,28030,250000,1.4709981623250174e+308,-4.004341825653051e+307,1.559393264434709e+308
2,3932,27908,250000,-1.4813056711215164e+308,-6.738493736839461e+307,1.5695963440912583e+308
2,3924,28168,250000,-3.4020920218868707e+307,-9.809838562089787e+307,6.140791303238826e+307
2,3926,27966,250000,-1.3551180625753515e+308,-1.7496886601583043e+308,8.03432204207741e+307
2,3941,28091,250000,-1.1630265255677464e+308,-6.873250960017482e+307,9.128125698483219e+307
2,3988,28177,250000,4.604140695320043e+307,-4.896658065736274e+307,1.6008090112397068e+308
2,3899,28114,250000,-1.2198353039230304e+308,-1.4331359566732152e+308,1.4856731101764577e+308
2,3933,27985,250000,1.4012279183364014e+308,-7.894851140140146e+307,2.641491078938343e+307
2,3902,28451,250000,7.647500049925591e+307,-1.6759401845033387e+307,1.148683424529845e+308
2,3938,28057,250000,4.128610864966395e+307,-8.451370763203122e+307,4.498406276018259e+307
2,4592,28202,250000,-5.600853959735126e+307,-7.834370531337219e+307,1.2675920310670813e+308
2,4482,29461,250000,6.778708293710665e+307,-9.776688197314441e+307,1.7975500026952637e+308
2,3912,29656,250000,-1.0177520913565806e+308,-1.186381556757149e+308,5.344987296612031e+307
2,3918,30420,250000,1.5093705631351216e+308,-1.704924900277045e+308,1.7898800518786483e+308
2,3937,34748,250000,4.2623316078151883e+307,-1.5446439024958587e+308,5.460558459552503e+307
2,3923,31727,250000,-8.838545388589204e+307,-1.2033829188472569e+308,1.513283475552581e+308
2,3917,28393,250000,-5.081204569365863e+307,-1.3615474555334736e+308,1.3317116920448222e+308
2,3972,28607,250000,-1.5426577525675378e+308,-1.367628160595359e+308,6.401984862133736e+307
2,3915,28507,250000,4.2422733102231496e+307,-1.047476539278334e+308,1.3449091803147037e+308
2,3913,28248,250000,5.414731957822676e+307,-5.102463229372739e+307,1.7393274676808698e+308
2,4263,31298,250000,7.617825013888401e+307,-9.850377506332392e+307,6.91479060143856e+307
2,4628,28536,250000,-5.234611610457863e+307,-1.6919608033938113e+308,1.764733540907462e+308
2,3926,32903,250000,1.1413006315292924e+308,-1.4513323702629072e+308,1.4170258386380893e+308
2,3982,28061,250000,-7.51932361218623e+307,-4.1272213356310656e+307,5.659155078550283e+307
2,3967,31928,250000,-1.7618893263843178e+307,-1.6269537808793705e+308,1.756786509472548e+308
2,3953,32181,250000,-1.0432116305992734e+307,-6.930559664233575e+307,1.5791844120359874e+308
2,3983,34094,250000,7.134961627559163e+307,-1.4639923020754637e+308,7.825683777398865e+307
2,3933,28011,250000,9.512194783233116e+307,-4.578386461880363e+307,1.0498399748898455e+308
2,3922,28137,250000,1.6739441910785454e+308,-1.4690825905625862e+308,2.5825027103052753e+307
2,3986,27995,250000,-7.596553611291336e+307,-9.143343615228526e+307,1.2000870969899001e+308
2,4368,28030,250000,-1.4698785217974747e+308,-1.6157288869854595e+308,1.6412111617740684e+308
2,3918,28348,250000,8.409600015732553e+307,-5.754448794069049e+307,8.903119266692322e+307
2,4589,28521,250000,1.7243860441912578e+308,-1.1711664260394322e+308,7.632853987294476e+307
2,3919,28315,250000,-1.412622595885702e+308,-9.332914242558344e+307,5.868323691462793e+307
