runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.v.float,param.min.float,param.max.float
1,4559,25359,250000,1.7274295408653204e+307,-5.666032200616187e+307,5.4278581983298484e+306
1,3943,24846,250000,6.764543837833427e+307,-1.1665259476824575e+308,1.4977747508472985e+308
1,3935,24675,250000,3.2198899167077005e+306,-1.4862652476880114e+308,1.6779117518711359e+308
1,3924,21127,250000,-1.31095355613514e+308,-9.97969742948894e+307,9.888162299166421e+307
1,4078,25544,250000,1.5778756068816738e+308,-1.754875212025916e+308,1.3376969999781315e+308
1,4370,26307,250000,-7.427027172209741e+307,-1.0881532177556915e+308,1.1983355284939942e+308
1,3941,25625,250000,2.917163690199136e+307,-7.616311481771485e+307,5.626521581207588e+307
1,4176,22710,250000,-8.894830839814289e+307,-1.50464306685571e+306,2.560893316597207e+307
1,3902,21145,250000,-1.7961877923983758e+307,-7.258406248123062e+306,5.491108314973793e+307
1,4735,24769,250000,1.110253399627072e+308,-9.932270779629334e+307,1.1501703513710999e+308
1,3930,26261,250000,-3.3437818481868365e+307,-3.597822261678491e+307,4.847393323325484e+307
1,3914,22523,250000,-9.66591734279492e+307,-4.743614011458767e+307,8.139210434112803e+307
1,3924,22201,250000,-7.50981110761574e+307,-5.686225571462807e+307,1.0834694082522553e+307
1,3938,22332,250000,-1.457891143584967e+308,-5.964438755623239e+307,1.211968518621577e+308
1,4657,20830,250000,-1.0569189079035207e+308,-8.719310526472467e+307,4.557414372736767e+307
1,3930,24957,250000,-1.8800560697866883e+307,-1.2122863089616533e+308,3.140736527748958e+307
1,3918,24976,250000,1.351248050632884e+308,-7.694408104947972e+307,5.2337394959906544e+306
1,3907,21109,250000,-4.372960835306099e+307,-2.484754973704828e+307,1.7726243416254955e+308
1,3921,25673,250000,-1.0549287800693005e+308,-1.4924106653778766e+308,1.33412808866858e+308
1,3922,21148,250000,-1.14675049039472e+308,-5.555689186514454e+307,5.957321162329305e+306
1,4717,20937,250000,-7.58253633085585e+307,-7.259460740798694e+307,1.361301013834215e+307
1,4224,24752,250000,3.1162184866503515e+307,-7.716019172017548e+307,1.3831013890218006e+308
1,3908,21062,250000,-1.4366402892034145e+308,-1.0642658413131163e+308,5.724118772535301e+307
1,3915,25170,250000,-8.610892871489787e+307,-1.3840601781357087e+308,1.5318952180894006e+308
1,3920,24268,250000,1.6362613212012389e+308,-1.7502944255681251e+308,3.4903565884805446e+306
1,3908,24658,250000,-6.073918720487668e+307,-1.5421231837748621e+308,2.274212469064183e+306
1,4880,21097,250000,-3.5953139900414255e+307,-3.735742416070753e+306,9.573886787227957e+307
1,3901,24345,250000,-1.25141063739865e+308,-1.453549070203059e+308,1.266528618340039e+308
1,3919,24829,250000,6.140387759850114e+307,-1.5134559700157702e+308,5.300238267819969e+307
1,4175,21282,250000,-7.57596585706472e+307,-2.6576894764657657e+307,1.462849353522833e+308
1,3918,25531,250000,8.562549702759183e+307,-5.410634644881156e+307,4.637672887036506e+307
1,3941,21071,250000,-8.928521139925237e+307,-4.1412428453696897e+307,4.710925909945769e+307
1,3930,21231,250000,-1.6843459141623798e+308,-4.900763391862526e+307,1.4209067338537803e+308
1,4003,26038,250000,8.809039190858527e+307,-1.0398982923977112e+308,1.2441730779438354e+308
1,4737,20781,250000,-1.152084259890629e+308,-3.8018877695602966e+307,8.794491345024252e+307
1,4340,20868,250000,-7.942679959862498e+307,-3.1966390867322685e+307,3.8685100136322074e+307
1,3902,24449,250000,-1.2698736434591102e+307,-4.61574704454367e+307,1.506134067127206e+308
1,3926,21188,250000,-1.0483923610491052e+308,-3.8999373344059986e+307,1.599744999531114e+308
1,3919,24434,250000,2.9448128433590274e+307,-1.3950297402386863e+308,1.6543858912425637e+308
1,3924,24669,250000,7.880524840926792e+306,-3.2928806268996467e+307,8.033369989848988e+307
1,3981,24837,250000,-5.140199253963084e+306,-1.6678523680961346e+308,1.4649103383770184e+308
1,3933,24749,250000,-5.295092137740909e+307,-1.0492569345334725e+308,1.6998440948575462e+308
1,3900,24726,250000,-3.7471711121205194e+307,-8.581143385609252e+307,5.978858499905751e+307
1,3908,24818,250000,1.2461459426903847e+308,-1.9608738990266491e+307,1.1234903608629932e+308
1,3920,24372,250000,-7.933935132417199e+307,-1.4647947417800025e+308,1.166239016270337e+307
1,4717,24629,250000,4.835756297185332e+307,-4.4602988292471505e+307,1.3188965150346793e+308
1,3900,25056,250000,8.29124680624685e+307,-6.934099451573959e+307,7.359297788046938e+307
1,3908,21190,250000,-6.586928772085459e+307,-5.165982474373664e+307,6.080386289951235e+307
1,4127,27611,250000,2.1476491584496073e+305,-1.2495804869129614e+308,1.074568947441265e+308
1,3954,27853,250000,-9.76486404874929e+307,-1.5023849066178423e+308,1.5985483481317367e+308
1,4699,26681,250000,-3.577211772395151e+306,-8.471806901642017e+307,5.705147591229834e+307
1,4168,24313,250000,1.1061376305040218e+308,-1.7627657452173269e+308,5.309405684211168e+307
1,3904,24844,250000,1.1641756242727577e+308,-4.0070626411565686e+307,4.2616068924383135e+305
1,3917,25148,250000,3.4838836138247636e+307,-4.841731850733948e+307,1.7788675865746929e+308
1,3907,21657,250000,-1.164485599757268e+308,-8.784538031049789e+307,7.50698453606804e+307
1,3919,24611,250000,-2.204963120897735e+306,-9.011546456465734e+307,8.552275023347962e+307
1,3924,24861,250000,-2.3605223154939386e+307,-1.3586742834145679e+308,8.298981470924457e+307
1,3906,24973,250000,3.503431800949159e+307,-1.3950860830050303e+308,1.0464611437393547e+308
1,3921,24825,250000,-3.6199522804440376e+307,-3.6889746123310193e+307,6.830894131840734e+307
1,3942,26681,250000,1.265092708855423e+308,-7.267376046276474e+307,1.0345765697528213e+308
1,3949,23273,250000,-1.272537329692048e+308,-2.7611138983995637e+307,1.1279335476666667e+307
1,4147,26190,250000,-1.116221757895167e+308,-1.4872480266721914e+308,9.31110442776652e+306
1,3919,24727,250000,5.738723481899671e+307,-1.0337074103039609e+308,1.785850440174129e+308
1,4019,20883,250000,-1.5730984845819606e+308,-3.629914005895465e+307,1.4476671045160954e+308
1,3909,25610,250000,9.10149481503885e+307,-1.297666852784786e+308,9.900307896203995e+307
1,3908,24453,250000,1.784726205797578e+308,-1.7653750661756804e+308,4.801032494369832e+307
1,4610,24491,250000,6.898066335659787e+306,-1.5978742758062774e+308,6.467915688089342e+307
1,3978,21491,250000,-7.624951246886056e+307,-6.747032935214256e+307,4.643751518721149e+307
1,3995,20999,250000,-3.513817882975028e+307,-2.9191096666269367e+307,3.6193857447839607e+307
1,4715,20411,250000,-1.4829368007724884e+308,-1.073465455509674e+308,9.283775926460287e+307
1,4170,21052,250000,-1.4736716287320867e+308,-1.4074525778322083e+308,3.2804429643562896e+307
1,4458,24656,250000,8.132739251559445e+307,-1.153429486671504e+307,1.7357294095162433e+308
1,3880,24646,250000,8.34810820522882e+307,-9.703902290316167e+307,1.4248181415244361e+308
1,3948,24773,250000,1.5632656741722616e+308,-1.7205768762816518e+306,7.46416865716246e+307
