runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.v.float,param.min.float,param.max.float
1,3482,34340,250000,8.264626272626414e+307,-8.345956400556663e+306,3.9304971522992427e+307
1,3459,34757,250000,9.913738358730622e+307,-1.7417490072536699e+308,1.3678194735585763e+308
1,3370,34876,250000,1.4676141717520912e+308,-1.0784295907164709e+308,1.1343183661484936e+308
1,3406,37885,250000,6.62384736410766e+307,-3.5460958920034266e+307,5.646528500069038e+307
1,3625,33770,250000,7.423887254133409e+307,-1.3846919536720457e+308,1.1727708190188256e+308
1,3401,34163,250000,7.227670669757469e+306,-8.760614835910679e+307,1.79007330069345e+308
1,3416,34292,250000,-4.893648458822089e+307,-1.6780878602806637e+308,1.0892017073665067e+308
1,3447,34100,250000,1.4132631013108014e+308,-9.182124110110525e+307,6.45814626263395e+307
1,3402,34495,250000,-1.0143516167803254e+308,-1.011911020588949e+308,4.284699163986828e+306
1,3399,34500,250000,7.6790894894027e+307,-5.459335930690618e+307,7.772348498448425e+306
1,3683,40104,250000,-1.2351882136680572e+308,-1.7287295103349919e+308,8.666593912625467e+307
1,3563,34261,250000,-5.406009282937346e+307,-4.898353915969997e+306,1.0645663985589478e+308
1,3434,34092,250000,1.6790513350779817e+308,-1.3640366335119567e+308,3.6588220429336127e+307
1,3450,34310,250000,3.375385197556137e+307,-2.3649831932638546e+307,1.4810012018073476e+308
1,3373,34599,250000,1.1993250682511439e+308,-5.201093141083032e+307,1.7353405225104877e+308
1,3471,34847,250000,1.2096131614105492e+308,-1.0677824926070088e+308,1.1561427923321337e+308
1,3571,34462,250000,-5.008050133471152e+307,-1.3494273461569637e+308,1.2042645335964162e+308
1,3425,34589,250000,1.2590118002475067e+307,-7.450005950004152e+307,1.230636266213374e+308
1,3373,33825,250000,1.7154716562270997e+308,-7.671300008347126e+307,9.725617095227388e+307
1,3420,34074,250000,-1.5405615310523643e+308,-9.942114963847933e+307,2.99448045238044e+307
1,3424,34023,250000,-2.540923584748666e+307,-3.8678469436628795e+307,1.0827390262166468e+308
1,3432,34460,250000,9.873644914427362e+307,-9.045151820861565e+307,3.421777354860012e+307
1,3577,34681,250000,-1.5129410649987632e+306,-1.5310934202098657e+308,1.6939588958259443e+308
1,3435,34323,250000,1.5530640514140608e+308,-7.086081336207657e+307,1.0416023565169589e+308
1,3398,34306,250000,1.1050220867971677e+308,-1.7828366189143642e+308,9.918916947340654e+306
1,3377,34067,250000,1.359798965217865e+308,-1.0115081839409344e+308,1.0366898906478182e+308
1,3415,34281,250000,1.5864987042254009e+308,-1.2014266099655106e+308,7.943349195186474e+307
1,3474,34357,250000,-2.856643207623606e+307,-1.4240847883418076e+308,7.827846314300071e+307
1,3650,34102,250000,-4.730723199066073e+307,-1.5189431640617598e+308,1.70211998468838e+308
1,3371,34418,250000,-9.498386237957822e+307,-1.5003555322171507e+308,1.6325152938111276e+308
1,3388,34456,250000,1.6372153037385831e+308,-1.632928429691566e+308,9.410428561404538e+306
1,3424,34418,250000,-1.0170419782445824e+307,-2.8742095136492093e+307,5.288867097264004e+307
1,3393,34328,250000,3.6413451470925033e+307,-6.254450033822186e+307,1.1881797285029377e+308
1,3544,34375,250000,-1.3976218070326183e+308,-1.557929815595882e+308,1.957761445309132e+307
1,3685,34056,250000,1.5730380262869594e+308,-1.3593702691116983e+308,1.0596562138285366e+308
1,3409,34112,250000,4.663230624715638e+307,-7.88629542314556e+307,5.713191859122321e+307
1,3390,34391,250000,1.44156812665703e+308,-1.7747344406007406e+308,9.937183441218694e+306
1,3434,34251,250000,1.5908455784096065e+308,-3.4081797533863044e+307,1.6993074683839853e+308
1,3401,34224,250000,3.1953257089450265e+307,-7.618925868411613e+307,1.5433448073066979e+308
1,3517,34258,250000,-1.3048947070715274e+307,-1.5638185141392677e+308,1.2180856054397462e+308
1,3541,34580,250000,1.7752063761188673e+307,-8.269578838771047e+307,3.351241135672688e+307
1,3409,34624,250000,-9.110806172478639e+307,-6.955980801070285e+307,7.992575580439892e+307
1,3477,34224,250000,1.599234940334402e+308,-4.890384741913999e+307,1.765973668507662e+308
1,3393,34231,250000,8.283324459483901e+306,-1.7478660872773166e+308,5.174525719971077e+307
1,3404,33933,250000,-9.361664791781012e+307,-1.0051980360963049e+308,1.5746835415685244e+306
1,3455,34044,250000,1.7515871856021564e+308,-4.724317801726647e+307,6.677452677658493e+307
1,3606,33840,250000,-2.314326080656175e+306,-1.0857502439492332e+308,5.788681339728136e+307
1,3394,34159,250000,-4.762504141330542e+307,-3.197092155477547e+307,1.332434425089264e+308
1,3390,33970,250000,9.18418914303876e+307,-1.549762891154632e+308,1.1179221703179062e+308
1,3396,34359,250000,-8.488497868169762e+307,-1.0831265028412915e+308,1.6579817209433493e+308
1,3428,34542,250000,-1.081918703429241e+308,-8.363036247417089e+307,1.0257348996660671e+308
1,3487,34555,250000,-1.2772154483848536e+308,-4.3339993681807426e+307,1.3836230907875719e+308
1,3656,34536,250000,-1.2125104404531512e+308,-1.8279446529072107e+307,2.3718941693426667e+307
