runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.float,param.b.float
1,3517,25949,250000,8.63216056487913e+307,3.571591845590421e+307
1,3457,26169,250000,-9.478602400998512e+306,-8.121021465081031e+307
1,3472,25478,250000,1.280701208832088e+308,-6.979672406402127e+307
1,3486,25650,250000,-1.035018472048413e+308,-1.0998455509552799e+308
1,3482,25576,250000,-1.403874523626844e+307,1.227254008860382e+308
1,3473,24957,250000,1.1355955481175163e+308,1.3577524790363408e+308
1,3521,24665,250000,-8.540114641790559e+307,-1.1811163244202315e+308
1,3373,24550,250000,-6.848368314812337e+307,1.786025472642713e+308
1,3432,25906,250000,9.066693340457802e+307,5.141624724318294e+307
1,3588,25622,250000,-7.505708262389923e+307,-2.5411006598565797e+307
1,3491,25380,250000,-3.352318534455353e+307,-1.5484387843638287e+308
1,3434,24735,250000,1.1231242252862743e+308,1.0142315936990958e+308
1,3521,25297,250000,1.0786253844403606e+308,1.2987429072192964e+308
1,3509,25424,250000,1.2468724387353372e+308,1.2597126794331175e+306
1,3575,25170,250000,-1.4186611395312665e+308,-4.497015587480023e+307
1,3421,25414,250000,8.151735102739152e+307,-1.783582363828612e+308
1,3409,25358,250000,-1.2378891887150175e+308,-4.856781592106135e+307
1,3526,24537,250000,1.3789740004038227e+307,-1.522203457435913e+308
1,3737,23951,250000,-1.1646681842076304e+308,6.438963699605108e+307
1,3444,24676,250000,1.6810398431505708e+308,1.6257264989126955e+308
1,3399,25547,250000,9.41897251945963e+307,1.5032563560718418e+308
1,3531,25847,250000,-1.3784600050543956e+308,-1.4749317365388465e+308
1,3453,24917,250000,1.2005276359905326e+308,1.4668188740696203e+308
1,3482,24970,250000,1.6477493322836875e+308,6.477398678543907e+307
1,3501,24932,250000,-1.260101134145267e+308,3.731213047358747e+307
1,3487,24299,250000,-8.552806622463828e+307,-1.1363803998381848e+308
1,3372,24345,250000,-6.855840625092572e+307,3.934035391627059e+306
1,3417,24171,250000,-1.2428296916256862e+308,-6.685977308907105e+307
1,3387,24022,250000,1.296438884992647e+308,-6.409730200017941e+307
1,3373,23987,250000,1.1236560139970503e+308,-1.6445447267152046e+308
1,3355,24111,250000,1.1050322982751463e+308,-1.7337216555534072e+308
1,3393,24071,250000,4.3506675067962296e+307,-1.40073132034065e+308
1,3377,23990,250000,1.1306385016784527e+308,-1.1763495483706615e+308
1,3425,24881,250000,5.442234342860692e+307,-1.075529070202644e+308
1,3434,25056,250000,-6.164157473562805e+307,-2.441053233970419e+307
1,3489,25011,250000,-1.1079744831533265e+308,1.4031382595504242e+308
1,3983,25384,250000,1.4942442922827067e+308,1.4177320031310209e+308
1,3533,25472,250000,-9.782993071222838e+307,-1.6015168897139963e+308
1,3438,24980,250000,1.1845219390432376e+307,-1.51125549002562e+308
1,3433,24307,250000,-2.509864795135122e+307,-1.8691007204017915e+307
1,3484,24278,250000,7.971910401608673e+307,1.2481045963870172e+308
1,3433,25414,250000,6.80196548158914e+307,1.5701322809270882e+308
1,3578,24316,250000,1.7260929018995181e+307,1.0793899708653898e+308
1,3441,24512,250000,1.2725383878246064e+308,-1.0812599736680923e+308
1,3375,24662,250000,7.56403087844048e+307,1.5064930731586445e+308
1,3422,25034,250000,3.2668213300144293e+307,-4.4638191135529677e+307
1,3502,24824,250000,-1.4995908303408075e+308,-2.6453859047861426e+307
1,3478,24483,250000,-5.843565755368504e+307,1.599395412596885e+308
1,3757,24043,250000,-1.036466069979629e+308,1.2944517001856067e+308
1,3435,24236,250000,-6.123939412462235e+307,4.316555093330791e+307
1,3501,24380,250000,-1.519143096852189e+308,-1.4080131675779194e+308
1,3492,23861,250000,1.3215579925077791e+308,-5.058110326106241e+307
1,3428,24343,250000,-3.813204659130035e+307,8.721637353297626e+307
1,3473,25516,250000,-4.2106917826126226e+307,-1.6881236338015729e+307
1,3630,24238,250000,-9.337420328707968e+307,8.636735912859248e+307
1,3476,24954,250000,1.5138078983678144e+308,1.3588225101373843e+308
1,3370,24461,250000,9.844179884018088e+307,-1.0559452780165734e+308
1,3430,24084,250000,-9.133956863395169e+307,-3.326158473644499e+307
1,3478,26094,250000,9.56597174162754e+307,-1.7889358712150162e+307
1,3380,24429,250000,-1.291382465393572e+308,2.900391826664645e+307
1,3616,25804,250000,-6.797970853600006e+307,-8.974812620215477e+307
1,3492,25092,250000,5.649523360537476e+307,-1.378085203153196e+308
1,3364,25296,250000,1.4161766702460369e+308,1.7093250586329838e+308
1,3522,24515,250000,-4.33210527670089e+306,-1.1843029058256698e+308
1,3430,25381,250000,-7.415162333424959e+307,1.2113260062781697e+308
1,3386,24409,250000,-9.187509579338577e+307,-1.4219170589092263e+308
1,3576,25646,250000,9.145535029088953e+307,-7.348735913010882e+306
1,3370,24202,250000,-1.2561850167359897e+308,4.014901618347942e+307
1,3379,24687,250000,-2.766290402750878e+307,1.1841180717832973e+307
1,3487,25405,250000,-1.6690524385421554e+308,-1.5746800357130036e+308
1,3507,24618,250000,-1.731080823188823e+308,1.2908585015388261e+308
1,3577,24098,250000,3.257508917966497e+307,-5.693819516016354e+307
1,3630,25176,250000,3.544219868139551e+307,-1.164785588193629e+308
1,3421,24300,250000,-1.626171692566439e+308,-3.112118257682659e+307
1,3501,24313,250000,3.188021116145983e+307,-2.282072047964067e+307
1,3465,24210,250000,-6.652285642988454e+307,-1.7916861348877217e+308
1,3354,24268,250000,6.592239740081213e+307,1.4592028940119486e+308
1,3457,25237,250000,-1.6066310065941786e+306,7.3647714109347e+307
1,3582,24981,250000,3.51666283509475e+307,1.7810450433498325e+308
1,3443,24425,250000,1.041655316242513e+308,1.3083090141518616e+308
1,3358,25113,250000,-1.1670879799179813e+308,-1.5751535074765109e+307
1,3472,25249,250000,-5.414044968914924e+307,7.927719739285165e+307
1,3401,24454,250000,-1.0369940752036633e+308,8.804733919337437e+307
1,3367,24577,250000,-4.2757219069498527e+307,9.0333184507479e+307
1,3576,24073,250000,1.7270245788575839e+308,1.3920105788850105e+308
1,3407,24182,250000,-1.0273110831054506e+308,1.2592985254844471e+308
1,3391,24184,250000,-1.3793943377917936e+308,8.809587117273273e+307
1,3437,24177,250000,5.93045379304033e+307,-1.6462648443878561e+308
1,3394,24189,250000,-2.6966709413462776e+307,1.1890113348284084e+308
1,3389,24053,250000,1.0621675070174505e+308,-1.0932067337838905e+308
1,3699,24093,250000,6.455548413630117e+307,7.528390006841357e+307
1,3424,24418,250000,1.3088467666729003e+308,-1.5604481576755119e+308
1,3351,24248,250000,-1.727881803214232e+308,1.4827413221287442e+308
1,3475,25499,250000,3.148517238072759e+307,3.674070719617176e+307
1,3463,26043,250000,6.060733041302698e+307,-1.5969729423522203e+308
1,3361,24901,250000,1.518526701714087e+308,-9.200845474535855e+307
1,3544,24612,250000,-1.6330314142477713e+308,-9.258831219047034e+307
1,3403,24936,250000,-6.583393716432885e+307,9.5935530015358e+307
1,3376,24710,250000,-1.497267477315315e+308,-7.636135177177156e+307
1,4257,24367,250000,7.761556689842909e+307,-7.868058852264426e+307
2,3905,20797,250000,1.5897584578604132e+308,-5.654752235169301e+307
2,4572,21110,250000,-6.785287484980651e+307,1.4427429860429417e+308
2,4444,20685,250000,1.4023699721244986e+308,-1.6241192821966508e+308
2,4854,20953,250000,8.436065225404991e+307,5.840024790750532e+307
2,3910,20826,250000,-1.5571807173622416e+308,2.911707755689427e+307
2,3902,20937,250000,8.605784325429492e+307,1.5964028591344868e+308
2,4716,20724,250000,-3.648144679595844e+307,-1.5976474971047759e+308
2,3915,21019,250000,-6.182158753557219e+307,1.3426115635689364e+307
2,3902,21027,250000,-2.955673823983883e+307,-1.2179478928754267e+307
2,4081,20982,250000,-1.555278452835005e+308,1.5093675315265065e+308
2,4386,21028,250000,-1.124689351657994e+308,-5.271553602263647e+307
2,3904,21092,250000,9.757913418528727e+307,1.2457246680725276e+308
2,4168,20903,250000,-8.12517000827193e+307,-1.2615800046429832e+307
2,4444,21015,250000,-1.0336748035309773e+307,1.8487648079557715e+307
2,4751,20693,250000,-1.8549421094735394e+307,-3.1537522238653394e+307
2,4248,20679,250000,1.3384773107777625e+308,9.976644954226371e+306
2,4526,21078,250000,2.2084852440113673e+307,5.681133137656921e+307
2,4712,20668,250000,3.539381434413951e+307,-7.717945493875764e+307
2,3906,20870,250000,4.7125407629918e+307,1.6441130490237378e+308
2,4608,20900,250000,-1.6228642675423155e+308,-6.151695709115241e+307
2,4873,20928,250000,-2.519781486539271e+307,1.3251735325608818e+308
2,4375,20686,250000,1.7737198524044906e+308,-8.183778857577525e+307
2,4672,21068,250000,5.525316349813448e+307,6.38341599069958e+307
2,4545,22818,250000,6.837048529038342e+307,3.4978092363726353e+307
2,3919,20750,250000,1.552187373302188e+308,8.842470126697556e+307
2,4748,20903,250000,4.202041903067923e+307,6.75468541987694e+307
2,4285,20695,250000,8.872723438598818e+307,-5.291065133719669e+307
2,3990,20702,250000,1.6891204615646699e+308,1.0887265089263632e+308
2,4028,20612,250000,-6.729285518297615e+307,-1.6168881508885577e+308
2,4369,20801,250000,1.1665035034967969e+308,-1.4480789521588104e+308
2,4623,20545,250000,-7.974179131469932e+307,-1.3133239897692107e+308
2,4874,20730,250000,-2.1234132077915366e+307,-6.39493124515279e+307
2,4403,21105,250000,4.74425057484867e+307,1.3410429567674697e+308
2,4670,20704,250000,5.409352293984705e+307,-7.522732277481886e+307
2,3899,20638,250000,1.3958354224433468e+308,2.8538206875226467e+307
2,4478,20851,250000,1.4104873063136941e+308,-1.3837264949374587e+308
2,4774,20970,250000,-1.6603388361926385e+308,1.729363156496757e+308
2,3884,21029,250000,6.365955367039698e+307,1.0896666457482088e+308
2,4567,21037,250000,-7.665599491702345e+307,-6.888772199956882e+307
2,4848,21023,250000,-4.506455630472997e+307,1.0923087139570495e+308
2,3958,20969,250000,-1.4341814515881515e+308,-4.675176068225902e+307
2,4683,20947,250000,-1.6948664788826603e+308,6.068018471155271e+307
2,4600,20967,250000,-1.5074676200380602e+308,9.191922617227486e+307
2,3882,20624,250000,1.1381829348316117e+308,8.639255022477923e+306
2,4703,21023,250000,-8.297310335032255e+307,1.1493552512790162e+308
2,4196,21034,250000,-6.017673488815622e+307,7.635238123759024e+307
2,4587,20927,250000,-1.714514622423249e+308,1.6677729082791028e+308
2,4773,20706,250000,-7.847469691014869e+307,-9.483077624813374e+307
2,4280,20660,250000,-1.4915928904240839e+308,-1.7170231215026687e+308
2,4611,21065,250000,1.3510833520522744e+308,-1.4678054027073708e+308
2,4867,21099,250000,-1.031826963257537e+308,6.859989308060768e+307
2,3955,20908,250000,-1.5541113125044208e+308,-7.614792833173999e+307
2,4634,20649,250000,-2.625427044421825e+307,-3.183558145090273e+307
2,4694,21036,250000,-1.0521436770427427e+308,-1.2447832338127256e+307
2,4405,20624,250000,1.6517022638560613e+307,-4.694814429748295e+307
2,3899,20505,250000,1.1920180325435298e+308,6.717495478693163e+307
2,3904,20940,250000,6.758043873949935e+307,1.2622136685578182e+308
2,3902,20937,250000,-1.692261573795348e+308,1.7211312768429276e+308
2,3983,21096,250000,-9.791002148875289e+307,5.555109654172591e+307
2,4337,20974,250000,1.9270319331513143e+307,7.697368816375113e+307
2,4584,20969,250000,-1.4271736364945984e+308,1.655400110806516e+308
2,4668,20763,250000,1.5692850594593506e+308,-5.280075147130156e+306
2,4365,20751,250000,1.0722952348305906e+308,5.411560666353903e+307
2,4659,20615,250000,1.4359606876100428e+308,1.1434675242052405e+308
2,4200,20653,250000,-2.790582885299995e+307,-8.829796839806346e+307
2,3902,20905,250000,4.258053606130838e+307,1.4517637338217488e+308
2,4815,20625,250000,7.853991303730294e+307,-1.7963844086958304e+308
2,4230,20728,250000,6.846074884638112e+307,9.7459879874317e+306
2,3920,20868,250000,-1.6691668739442857e+308,1.3512592306639867e+308
2,3900,20582,250000,4.573692121546854e+307,3.012223293149317e+307
2,4326,20612,250000,2.365744291274537e+307,-1.4014157708350048e+308
2,4595,20597,250000,9.71663341105384e+307,-9.064982770500531e+307
2,4091,20686,250000,1.568011600049175e+308,4.986256601849111e+307
2,4407,20683,250000,1.668076652999839e+308,8.31261330893079e+307
2,3898,21010,250000,-7.900972135553434e+307,-3.2948041172142586e+307
2,3919,20729,250000,1.194089765809416e+308,-3.6261509789149846e+307
2,4535,20737,250000,-5.075108161004652e+307,-1.574063350859041e+308
2,4741,20917,250000,-3.9871778014971277e+306,1.5574414333469275e+308
2,4311,20634,250000,4.211702651073725e+307,3.717936788667386e+307
2,4555,20823,250000,7.388027100699925e+307,7.903930700219072e+307
2,4724,21007,250000,-1.630433340300328e+308,2.0897496412461033e+307
2,4318,20491,250000,9.275657600913404e+307,-9.488014115316884e+307
2,4677,20961,250000,-1.8556460831873045e+307,1.778944310729469e+308
2,4868,20622,250000,-1.0025268876219917e+308,-1.4800689173965192e+308
2,4514,20808,250000,-1.4629233679067427e+308,-1.073597074723825e+308
2,4750,20863,250000,1.7515479319477336e+308,1.0253084148126173e+308
2,4174,20617,250000,7.07156675886679e+307,5.158542733888903e+307
2,4490,20987,250000,-8.889043839784393e+307,1.5772128364265819e+308
2,4813,20967,250000,9.571394838387874e+307,1.104162855825873e+308
2,4257,20637,250000,-2.1412206069318943e+307,-7.947614596400402e+307
2,4605,20702,250000,4.81497682261567e+307,-2.310468258586763e+306
2,4867,20879,250000,1.8679466065015642e+307,8.186177722442205e+307
2,3903,20685,250000,1.4991233894470875e+307,5.62902827672087e+305
2,4617,20680,250000,8.67440604452514e+307,6.974241996859775e+307
2,4897,20922,250000,1.6745834396930563e+308,-1.3411703320490209e+308
2,4405,20660,250000,7.792619298539257e+307,-1.004331960503376e+308
2,3913,20948,250000,2.713909770433613e+307,1.2341820075906345e+308
2,4218,21004,250000,-1.6691709991254661e+307,3.1854216258906113e+307
2,4482,21024,250000,-9.717684788040145e+307,2.9109957839499064e+307
2,4860,20883,250000,-3.0669252077359076e+307,1.1353309525174868e+308
3,3380,17360,250000,-1.9220900864795837e+307,1.7380628525435392e+308
3,3291,17104,250000,-2.349400697684717e+307,-2.7775392681861497e+307
3,3245,17248,250000,9.47278870565234e+307,-2.792094805596648e+307
3,3290,17188,250000,7.070485331203195e+307,1.5307702583674016e+308
3,3286,19287,250000,7.591688947989727e+307,-5.73030604740608e+307
3,3245,17440,250000,-1.7307670399241634e+308,-5.020496248295941e+307
3,3365,17113,250000,-5.662941864587964e+307,-7.835926700418317e+307
3,3294,17041,250000,-2.8678476020082033e+307,-1.0667704457412395e+308
3,3244,17284,250000,-6.673233585298063e+307,-1.5856995711369184e+308
3,3280,17625,250000,8.805509537213033e+307,1.1216874554753644e+308
3,3287,18400,250000,7.759216981811528e+307,1.7178175424862332e+308
3,3247,18649,250000,-1.4047341090826605e+308,8.610786537659699e+306
3,3376,18758,250000,5.849471621928266e+307,1.5679575907589326e+307
3,3346,18336,250000,-8.592282640012154e+307,3.3102708830496893e+307
3,3263,18067,250000,6.20482678160243e+307,-9.67698251453207e+307
3,3277,17520,250000,-8.414359364729195e+307,-3.9729149862649373e+307
3,3303,17187,250000,2.247647165440751e+307,3.956252833598277e+307
3,3254,17641,250000,-1.4082459721363e+308,2.830657051144102e+307
3,3412,23417,250000,-5.309137861101588e+307,3.20724317474493e+307
3,3279,17769,250000,-1.4680400037073995e+308,1.0160839550567906e+308
3,3252,17311,250000,5.928666377748046e+307,1.4398445302141919e+308
3,3284,17240,250000,1.1763661185424691e+308,9.925788465253256e+307
3,3310,17363,250000,7.732589744476696e+307,9.893554068433256e+306
3,3269,17857,250000,-1.690037746813055e+306,4.7485596817888953e+306
3,3383,18525,250000,-1.0909570753814123e+308,1.094707916883143e+308
3,3271,17914,250000,-5.981959438042702e+307,-1.4776691671323263e+308
3,3246,17750,250000,6.77039752423425e+307,-1.2069564056815314e+308
3,3283,17377,250000,-1.4968413140537183e+308,1.6889219098198447e+308
