runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.float,param.b.float
1,3362,28487,250000,1.4507760826162663e+308,1.4953197002729312e+308
1,3473,27977,250000,-1.4527910144137927e+308,1.9193637854694283e+307
1,3504,28181,250000,8.879383136003459e+307,-1.1939826732134463e+308
1,3469,28002,250000,-7.908046182159532e+307,1.204188666040658e+308
1,3417,27896,250000,-2.5875631701587487e+307,-1.0551869011399803e+308
1,3425,29020,250000,-9.102700283699377e+307,1.349097911725694e+307
1,3521,28725,250000,-1.0462147333259438e+308,2.3902181491362e+306
1,3397,27992,250000,-1.610902647006402e+308,-2.40722194338027e+307
1,3607,28256,250000,7.23268889418213e+307,5.210316397711134e+307
1,3453,28363,250000,-4.1227361457561887e+307,-2.989390828496714e+307
1,3489,27807,250000,1.5871857725493711e+308,-9.389613936893512e+307
1,3379,28068,250000,9.902853202208276e+307,-6.255372497750359e+307
1,3451,28505,250000,-1.1119404106471197e+308,-4.506390304797194e+307
1,3487,28328,250000,-6.355020901751763e+307,-1.4522606003337225e+308
1,3745,28159,250000,1.7265887148664182e+308,-1.4285606693505457e+308
1,3458,27846,250000,1.7104233130066216e+308,9.919847767346721e+307
1,3359,27753,250000,1.5798176109458873e+308,-8.553659521611678e+307
1,3373,27932,250000,1.0480407311864385e+308,4.0884980874368133e+306
1,3386,27937,250000,6.554886764974926e+307,-2.7432033295696924e+307
1,3428,28051,250000,-1.343605682003143e+308,6.272610446401976e+307
1,3565,27975,250000,8.29229700064884e+307,1.746257929274106e+307
1,3398,28441,250000,-7.857570831185033e+307,-2.757969862263572e+307
1,3360,28085,250000,-7.43335396672211e+307,-1.4589304522194689e+308
1,3395,27747,250000,-2.004677039726986e+307,-1.6664248536860296e+308
1,3522,28160,250000,-1.0838968187523799e+307,-3.491385097936828e+306
1,3489,28258,250000,1.4684846275220092e+308,-8.657451861357359e+307
1,3491,28746,250000,1.2957586896970397e+308,-1.4298273094567251e+308
1,3498,27949,250000,-8.822692052572363e+307,9.863769738131638e+306
1,3363,28146,250000,3.0607890773146894e+307,6.886545993202219e+307
1,3377,28323,250000,-3.48000963284134e+307,1.368152166693981e+308
1,3430,28035,250000,-3.3958092330479113e+307,-8.214010335698022e+307
1,3465,27998,250000,-1.0311588137514725e+308,-1.257143892210904e+308
1,3563,28584,250000,-1.1663333509581782e+308,6.094690965927214e+307
1,3407,28539,250000,-5.040238381279184e+307,-1.5690675399559382e+307
1,3427,28014,250000,1.7641170535471574e+308,-1.1020950394899105e+307
1,3410,28529,250000,-5.879261457324832e+307,1.5819396076644182e+308
1,3398,28067,250000,-1.099587784573333e+308,5.482097120182646e+307
1,3416,28404,250000,3.2182694706561724e+307,-8.808442532080114e+307
1,3479,28174,250000,-1.7850173081852252e+308,6.270158422277155e+307
1,3393,27957,250000,-2.7912289977631185e+307,1.2577460642249543e+308
1,3358,28416,250000,1.639404167886523e+308,1.6645276837998709e+308
1,3360,28072,250000,5.871717993204403e+307,1.5569744554977297e+308
1,3428,28110,250000,2.5931866563892077e+307,3.223909783985579e+306
1,3447,27896,250000,4.673132253054878e+307,1.0698034067425819e+308
1,3465,27901,250000,-1.6340484381425174e+308,9.289816546450415e+307
1,3422,28474,250000,-3.468910815214623e+307,1.5610672477095518e+308
1,3452,28061,250000,1.2219678330281238e+308,1.046063357123636e+308
1,3484,28056,250000,-1.7539811425778892e+308,4.956810944087964e+307
1,3484,28021,250000,1.5025357917956143e+308,-1.5432607775242724e+308
1,3362,33898,250000,1.6885371173462688e+307,8.205480098941825e+307
1,3560,28334,250000,-5.291812637769782e+307,-4.230932037946582e+307
1,3421,28048,250000,7.185066034560246e+307,-3.0181536064212953e+307
1,3361,27886,250000,1.2369536545372776e+308,1.6819954352507536e+308
1,3423,28045,250000,1.0053516028537457e+308,1.3882308774641157e+308
1,3404,28082,250000,-1.041925730837512e+308,1.143045104692118e+308
1,3389,27879,250000,1.5256907990406313e+308,8.3333639312999e+307
1,3548,27913,250000,-9.940815823725869e+307,-2.873276037827026e+307
1,3447,27885,250000,-1.1188500762697637e+308,-2.0508490092979984e+307
1,3406,28089,250000,1.3972715023395251e+308,1.0822135376688475e+308
1,3447,28045,250000,-6.299888616447579e+307,1.0474629671707705e+308
1,3424,27901,250000,-8.565547904211267e+307,-6.336678867723458e+307
1,3367,27784,250000,4.882127045997401e+307,1.788616470789778e+308
1,3544,27826,250000,1.4989664464168602e+308,4.807870378464669e+307
1,3398,27784,250000,-1.5036513444688797e+308,1.2662004936496763e+308
1,3371,27841,250000,1.5642290965075042e+308,4.335888268124295e+307
1,3397,28100,250000,-5.649135880320564e+307,-3.1828821710178783e+307
1,3557,28022,250000,5.111808955481797e+307,1.295713714375902e+308
1,3469,28143,250000,-3.958911910542762e+307,8.037445911746628e+307
1,3503,28051,250000,-1.4337610772812498e+308,1.6328710766132164e+308
1,3455,28285,250000,-1.0550095717104308e+308,5.054927506191854e+307
1,3377,28180,250000,-8.685411288064574e+307,7.104819514149029e+307
1,3451,28271,250000,9.68530062567747e+307,1.0420429248313626e+308
1,3454,28199,250000,-3.492893075462959e+307,-2.783808248202921e+307
1,3396,28251,250000,1.7779911255382627e+308,-8.223898119958748e+307
1,3467,27975,250000,5.027388927420704e+307,1.5664144762989347e+307
1,3409,28180,250000,-4.909481632240686e+307,-1.895875425560304e+307
1,3386,27786,250000,1.6652797905336411e+308,7.788606924295191e+307
1,3365,27932,250000,-1.7305776587491863e+308,-6.634429211011133e+307
1,3422,27969,250000,1.7285804427891907e+308,7.390833905677997e+307
1,3407,28080,250000,5.551712774313431e+307,9.681256374794649e+307
1,3439,28311,250000,-1.4374328243952648e+308,1.7345252872673663e+308
1,3404,29714,250000,9.643046157717684e+307,-8.260804135136725e+307
1,3450,27886,250000,-5.198608818710295e+307,-1.6965540173882873e+307
1,3466,27895,250000,-6.908106337675431e+307,9.319563155510232e+307
1,3408,27987,250000,1.5370437117892699e+308,-1.0197917931517516e+308
1,3391,28127,250000,-8.494704902867853e+307,-4.248246276825305e+307
1,3579,28252,250000,1.4797902433688432e+308,-3.6761337721843273e+307
1,3372,28087,250000,8.230142711647717e+307,-1.5545620143896662e+308
1,3342,27931,250000,1.053624227259658e+308,-1.4206147719903587e+307
1,3488,28121,250000,1.5027828738307835e+308,-4.953732647960717e+307
1,3441,27983,250000,-1.512678171528396e+308,-8.028441387766952e+307
1,3392,27837,250000,7.141782863229504e+306,-9.068771353239998e+306
1,3550,28133,250000,4.425135094171468e+307,-1.116170422706535e+308
1,3478,28067,250000,1.4146718896675928e+307,-1.435984843640531e+307
1,3444,27913,250000,-5.19575236994568e+307,1.129102803993711e+308
1,3382,27855,250000,-1.1857170592097716e+307,5.903273984094856e+307
1,3559,27968,250000,1.0136491690992557e+308,1.2624977284544743e+308
1,3344,28000,250000,8.759969702065112e+307,2.688591651154773e+307
