runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.float,param.b.float
1,4609,21908,250000,-5.535675224452161e+307,-6.696727504436699e+306
1,4904,21816,250000,2.6224033863112796e+307,-4.0086843204909297e+307
1,4396,21896,250000,-1.0368292733085043e+308,2.489709818152556e+307
1,3919,20999,250000,-9.019285746292704e+307,-1.9284517831667218e+307
1,4190,22701,250000,7.361578780047281e+307,2.6499926596333864e+306
1,4441,24287,250000,1.444781436604613e+308,5.182629618076713e+307
1,4748,21127,250000,4.63970884119675e+307,-4.1660403549310094e+307
1,4237,20589,250000,-6.613327083578073e+307,-1.5246272873430044e+307
1,4566,28390,250000,-2.735157561039784e+307,1.6055131579156823e+306
1,4019,20330,250000,1.2216372341085954e+308,-9.572578774868612e+307
1,4362,20640,250000,9.883337527247966e+307,-2.0410050046952725e+307
1,3902,20324,250000,-1.086015044343445e+308,-1.4586504979958663e+308
1,4874,20570,250000,5.7223890869918e+307,3.028025716677952e+307
1,4427,20275,250000,6.72740602538887e+307,9.217053844869666e+307
1,4709,20257,250000,-1.0241027502635069e+308,-1.5323709299636655e+307
1,3901,20371,250000,4.278801353418906e+307,7.037255248867934e+307
1,3924,20313,250000,2.865441214360402e+307,-1.0406115307917988e+308
1,4757,20487,250000,1.5443835465653134e+308,-5.912572504416071e+307
1,4271,20569,250000,1.1411223064707776e+308,-1.2984200174800422e+308
1,3917,20411,250000,1.5917371770698424e+308,-8.410873411072392e+307
1,4865,20439,250000,-8.906087418839974e+307,3.0276919818805877e+307
1,4321,20680,250000,4.773073558646865e+307,-7.452370146163027e+307
1,4653,20750,250000,-1.5131342356898053e+308,-1.2064454318125715e+308
1,4636,20802,250000,-1.3571582026943166e+308,7.267637501226743e+307
1,4411,20688,250000,-6.797741098328858e+307,1.45093920575148e+308
1,4728,20524,250000,-1.3112279415786779e+306,1.0744956079369164e+307
1,4194,20598,250000,-1.2556402442858299e+308,5.68189950704302e+305
1,4486,20722,250000,1.655628303764107e+308,6.847212046885646e+307
1,4817,20448,250000,-1.330925031445233e+308,1.079271179625905e+308
1,4278,20533,250000,-1.0054557378881462e+308,8.693902078424843e+307
1,4554,20735,250000,9.88502051546769e+307,1.2928776337379347e+308
1,4885,20676,250000,-8.75656722255904e+307,-1.5022765774652834e+308
1,3901,20764,250000,5.30135808978953e+307,-5.405154301845097e+307
1,4633,20551,250000,1.708479141898734e+308,-6.879681328886926e+307
1,4120,20776,250000,-3.4280694790252076e+307,1.521024611951567e+308
1,4427,20792,250000,-8.209101007895462e+307,8.626762776529497e+307
1,3920,22077,250000,-1.0630066592963257e+308,1.4956912961822121e+308
1,4236,22438,250000,-3.5434687911883946e+307,-1.11714940583317e+308
1,4496,21448,250000,1.610732242786487e+308,-1.2164154813315838e+308
1,3996,21909,250000,1.2771835098042975e+308,5.812195594946092e+307
1,4297,21963,250000,-6.409995761119695e+307,1.2244879162765582e+308
1,3912,21335,250000,1.3185293502031795e+308,-1.6997697369860895e+308
1,3954,21779,250000,-2.0441369883348485e+307,-5.773634750961109e+306
1,3919,22418,250000,1.2989928410628409e+307,-2.0341067149818633e+306
1,3964,29842,250000,-1.4845749031738074e+308,-8.927913217595506e+307
1,4158,20522,250000,1.0194517495992149e+308,-3.6880862629884086e+306
1,3919,22754,250000,8.225609438345956e+307,-4.4289400190397947e+307
1,4728,22139,250000,-7.538954768692774e+307,-8.493058908290648e+307
