runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.float,param.b.float
1,4194,25748,250000,-8.551907810672864e+307,-1.1636702819172973e+308
1,3908,25831,250000,-4.320943482694188e+307,-1.2775342776536273e+308
1,3914,25895,250000,1.401454896250216e+308,6.576398867726141e+307
1,3907,25800,250000,4.4003769302751074e+306,-1.6592980617025819e+308
1,4586,25730,250000,-1.3473779516763196e+308,-1.5202840516042507e+308
1,4677,25883,250000,-4.57589030539319e+307,-1.0867991966539635e+308
1,3946,27261,250000,-1.1479510186923478e+308,8.084647059339837e+307
1,3989,26662,250000,-1.5076969169583622e+308,1.494065664095052e+308
1,3968,26558,250000,-1.4620019624967987e+308,-9.128166782517498e+307
1,3930,26605,250000,1.0119485034147868e+308,1.2161769612275008e+308
1,3921,26315,250000,1.132683947499717e+308,9.78371516629528e+307
1,3904,26202,250000,1.063511083005055e+308,-9.338129866734706e+307
1,4522,25994,250000,-1.0427697995366544e+308,1.4034538557335734e+308
1,4722,26188,250000,9.160660963283148e+307,6.211169446171851e+307
1,3931,25867,250000,3.102305090205604e+307,-1.4969231475223557e+308
1,3928,26122,250000,3.8463101529840487e+307,-6.361441481067872e+307
1,4903,26127,250000,1.0622508753289207e+308,1.7799640203875369e+308
1,4384,25981,250000,-1.4102156342606898e+306,1.0608639891853193e+307
1,3902,25764,250000,1.0852708317499818e+308,-5.072598421134848e+307
1,3906,25923,250000,1.499024917442714e+307,-7.399256508031714e+307
1,3921,26259,250000,1.5857863831370152e+308,-1.4236333225624374e+308
1,3936,26584,250000,-8.178026212895518e+307,-5.60460066830327e+307
1,3941,26425,250000,-1.685884991928889e+307,1.0323826852729272e+307
1,3926,25912,250000,-7.219607955786319e+307,-1.903654212458365e+307
1,4007,26111,250000,8.579988707562945e+307,-2.3624053767366693e+307
1,3920,26000,250000,-1.570738061816878e+308,8.811336354578893e+306
1,3979,26364,250000,-6.87202264437405e+307,3.441036956837312e+307
1,3943,26695,250000,5.124939317158567e+307,1.5963868093484004e+308
1,3908,27479,250000,-2.9654964143476625e+307,-2.497024382046826e+307
