runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.x.float
1,3937,60328,150000,3.139002191397761e+307
1,3884,59146,150000,2.966498588529281e+307
1,4764,62155,150000,-4.877745353291397e+307
1,3991,61161,150000,-1.075194589598898e+307
1,3880,59795,150000,7.202181117525339e+307
1,3924,58573,150000,1.7378835643456379e+308
1,4018,58840,150000,5.952983581600982e+307
1,3899,59505,150000,-1.4283409321880993e+308
1,3941,60196,150000,-1.674874937363818e+307
1,3913,57888,150000,7.52202163560722e+307
1,4850,58662,150000,-1.4363437938944523e+308
1,4591,59561,150000,-3.066644173229699e+307
1,4140,59124,150000,1.5306927932097279e+307
1,4019,60610,150000,-9.436596941896057e+307
1,3951,59692,150000,3.688757333783002e+307
1,3932,58591,150000,-1.0857571139628147e+308
1,3885,58539,150000,6.542889456705058e+307
1,3930,58421,150000,-4.0709140599097616e+307
1,4024,58697,150000,-7.939953661730736e+307
1,3885,58463,150000,2.021759173436324e+307
1,4028,58244,150000,1.228689664851684e+307
1,3916,58903,150000,1.5816835723720785e+308
1,4013,58229,150000,-1.731229691814138e+308
1,3923,58376,150000,1.3595203417169085e+308
1,4029,58504,150000,-1.7000993718707884e+308
1,3880,58193,150000,5.760994773308491e+307
1,3928,58844,150000,1.6630568203042869e+308
1,4007,58097,150000,-1.5765071440746547e+308
1,3997,57887,150000,8.423325219224645e+307
1,4029,58917,150000,-1.9532982489469854e+307
1,4004,58564,150000,-1.7149402576697406e+308
1,3913,58258,150000,3.1901287911180704e+307
1,3931,57841,150000,-1.013349294469389e+308
1,3921,58210,150000,-2.9588275573747153e+307
1,3880,58373,150000,-8.397774171488766e+307
1,4005,58980,150000,-5.85564991047343e+307
1,4017,60162,150000,1.6534018492434123e+308
1,3938,61578,150000,8.147455085805384e+307
1,3981,57522,150000,-6.824361155828459e+306
1,4479,57087,150000,-2.729255179682994e+307
1,4850,57685,150000,1.0482595179091259e+308
1,4900,57850,150000,-1.641056298017552e+308
1,3999,57247,150000,7.684502367112008e+307
1,5037,57644,150000,5.193300184843636e+307
1,3920,57403,150000,1.2505326835014063e+308
1,4872,57260,150000,-7.80035095697433e+307
1,3888,57360,150000,3.8380740831949826e+307
1,3931,57398,150000,1.6413764300895136e+308
1,4970,57772,150000,-2.5395331100880983e+307
