runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.x.float,param.y.float
1,3881,58478,150000,-7.294436469272592e+307,-6.890838028280191e+307
1,4793,59352,150000,1.1955664979583304e+308,1.4084941852162491e+308
1,4005,58534,150000,1.7046454184200646e+308,-7.494128527002075e+307
1,3880,59305,150000,1.1890637149766607e+308,-1.4782756001904076e+308
1,4155,59341,150000,-1.7884548656830588e+308,-8.466214745173233e+307
1,4712,59037,150000,2.7204160060819892e+306,1.4571607794174042e+308
1,3884,57921,150000,3.708499547269146e+307,-1.0441626584109733e+308
1,3926,58998,150000,-1.6595243919621353e+308,1.1578236613418822e+308
1,4018,59135,150000,1.586856704211038e+308,-6.834012366045809e+307
1,4007,59486,150000,-9.429775491704288e+307,1.329496384439138e+307
1,3925,59619,150000,-5.301264527115132e+307,-1.0328327001345287e+308
1,3936,59282,150000,7.314694343261292e+307,1.6824239735087368e+308
1,3888,59212,150000,-6.242946498887778e+307,5.122558656298948e+307
1,3962,59275,150000,8.113715358913988e+307,3.663816051485278e+305
1,4021,58815,150000,1.6064460811714016e+308,-1.421625903420704e+308
1,3880,59384,150000,1.136270356712651e+308,-8.716801220304559e+307
1,4660,59136,150000,6.873651223990976e+307,1.886311913861696e+307
1,3923,59156,150000,4.4820121718677556e+307,6.152920079376156e+307
1,4362,60111,150000,7.085279606978208e+307,-1.073573485832976e+308
1,4797,59155,150000,-1.7008528985625572e+308,8.277277226680281e+307
1,4170,59150,150000,9.564705162090585e+307,-1.5125761928335332e+308
1,3886,59549,150000,-2.6738028854679966e+307,-1.03323987343695e+308
1,3920,59432,150000,-8.993053613474051e+307,-1.5866588589844648e+308
1,3938,59392,150000,-1.0890422403254081e+308,1.1307465290909896e+308
1,3880,59214,150000,-1.3065433313819483e+308,1.1611348053038256e+308
1,3935,59343,150000,5.664341678390155e+307,3.161462428390788e+307
1,4399,59136,150000,-7.750698622383347e+307,1.3632550826431665e+308
1,3883,64078,150000,3.8662431645663995e+307,-1.6400389791768208e+308
1,4910,59762,150000,1.1753088175465847e+308,1.451862098707484e+308
1,3937,58697,150000,-3.799203636844794e+307,-1.0589412690264387e+308
1,3885,61231,150000,-1.4671289943357777e+308,5.139736866069356e+307
1,4895,59181,150000,7.063919294617762e+306,1.6120266853524042e+308
1,4557,58476,150000,-9.665048249520623e+307,1.124742831891097e+308
1,3894,59179,150000,6.91745668986604e+307,-1.3109104147528386e+308
1,3928,59055,150000,9.16977165553374e+306,1.3866709455302554e+308
1,3925,58865,150000,-2.7721767332488424e+307,-1.3300029322161734e+308
1,3881,58974,150000,6.497314006670498e+306,4.22993891453847e+306
1,4893,59618,150000,3.0248271383888093e+307,4.808804339779551e+307
