runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.x.float,param.y.float,param.z.float
1,4715,59973,150000,6.920220224463781e+307,-1.2201792973938824e+308,-3.558844142030734e+307
1,4886,60277,150000,-1.2252596949909113e+308,4.536675037232475e+307,-1.597420343662454e+308
1,4369,59526,150000,-1.6333503121742299e+308,-8.831906069369628e+306,-1.7037025620161695e+308
1,4833,60061,150000,1.4694796719708873e+308,1.4444447680782034e+308,9.793904678161089e+307
1,4976,59926,150000,-7.84028264757359e+307,1.0825435226753751e+308,3.9784957693017825e+307
1,4486,59437,150000,4.893908666547199e+307,2.049591533347236e+307,-1.3573598174112005e+308
1,4886,59588,150000,-9.656471595733521e+307,1.2511117120088394e+308,1.5495561978936575e+308
1,3921,60022,150000,2.1989393061453916e+307,6.070173765228943e+307,-9.695740850567074e+307
1,4568,60299,150000,-3.8466934546526034e+307,-1.258082756967182e+308,8.690599535296671e+307
1,3915,59807,150000,1.1884135468083196e+308,-5.139023876314711e+307,7.381335197521824e+307
1,4981,60212,150000,6.659791443447097e+307,7.283131802568403e+307,4.084054060881696e+307
1,3888,60211,150000,4.663342603422013e+307,4.671733107767098e+307,-1.0691033033736132e+308
1,4891,60335,150000,1.642479750138067e+308,-1.3246340803454827e+307,-8.535363106086682e+307
1,3919,59808,150000,-5.117203160572934e+307,-1.3606400919336945e+308,-1.702306591052197e+308
1,4854,59952,150000,-1.2618969297934481e+308,1.4941729336699613e+308,1.074575268329046e+308
1,3937,59871,150000,-2.8668124907526635e+307,1.7877645728548079e+308,-1.3396774994382032e+308
1,4000,60277,150000,-8.16673103483774e+307,9.577720298323764e+307,-1.6677844826867965e+308
1,4900,59997,150000,1.5174933946609557e+308,-9.162351839963695e+307,-9.448232472961808e+307
1,4618,60641,150000,7.839861851342304e+307,1.3675915106289265e+308,3.5496733307897724e+307
1,4627,60464,150000,-1.471066517097505e+308,1.6694415361687582e+308,-7.647471357095691e+307
1,4886,60405,150000,1.0278557854224387e+308,-1.1794440903811987e+308,8.796297514519923e+307
