runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.float,param.b.float
1,3888,22475,250000,8.4591964887119e+307,1.1993715920670439e+308
1,4290,22576,250000,-3.45282602411464e+307,-6.414110888118536e+307
1,3914,22614,250000,-1.7014079344552537e+308,-1.0652986220631844e+308
1,4920,22709,250000,1.4482293622546298e+307,1.2136847606855551e+308
1,3916,22448,250000,-6.433350424837108e+307,1.5430975238271209e+308
1,3914,22394,250000,3.1383225066413794e+307,2.754032273295597e+306
1,3935,22385,250000,1.0834517965975879e+308,-1.565372164294462e+307
1,4470,22723,250000,1.6909320488999254e+308,1.219673210828885e+308
1,4765,22439,250000,-3.213393088407665e+307,-8.972968121653435e+307
1,3957,22434,250000,-4.326497805710508e+307,1.5895547949115293e+308
1,4532,22542,250000,-1.6093991835994563e+308,4.375876825828024e+306
1,3917,22259,250000,1.7684836356003306e+308,-1.0634576498031163e+307
1,4302,22585,250000,-1.7357713062568113e+308,-3.8266600184353775e+307
1,3905,22497,250000,-1.315283182624853e+308,-1.707092350500698e+308
1,3910,22385,250000,-1.4451354366101239e+308,1.7765562606689876e+308
1,3983,22555,250000,1.5724834935629286e+308,-1.624929562789527e+308
1,3911,22548,250000,9.394571739190337e+306,-9.651316558388995e+307
1,4604,22608,250000,1.4309222924491934e+308,1.890230565898177e+307
1,3903,22357,250000,-2.530080858624974e+307,-2.615461643028898e+307
1,4789,22421,250000,5.269792660965929e+307,1.5288592386979265e+307
1,3917,22400,250000,-1.4620456324498037e+308,1.1905434141597754e+308
1,3968,22498,250000,6.631506900311627e+306,-1.3594413818221284e+308
1,4013,22509,250000,1.3722414444453573e+308,-3.1202578243798553e+307
1,4363,22480,250000,-1.4546840980371626e+307,1.6169072713269974e+308
1,4648,22649,250000,1.4176100663733922e+308,2.2446159914077087e+307
1,4620,22780,250000,7.203908391607064e+307,-3.4188444503320946e+307
1,4425,22558,250000,4.4928281535082676e+307,6.935127741021926e+307
1,3966,22502,250000,7.505184341420018e+306,4.75527027882648e+307
1,3937,22613,250000,-7.229010672797983e+307,-8.877409112288734e+307
1,3931,22705,250000,1.0176300213362641e+308,-1.5843316200101932e+307
1,3906,22520,250000,-1.4065388329541128e+308,-3.2219979355191266e+307
1,3928,22496,250000,7.551039800142717e+307,-8.407279016308746e+307
1,3909,22750,250000,9.477021420855015e+307,-1.458037947368953e+308
1,3977,22672,250000,7.687242497891404e+307,-9.130699050212794e+306
1,3911,22729,250000,-8.626235629539637e+307,-1.5666759171241489e+308
1,3911,22721,250000,-1.7518782298004599e+308,1.2997229982281943e+308
1,3928,22565,250000,1.51667289283797e+308,-7.284976359660586e+307
1,3938,22743,250000,-8.481732671323476e+307,-7.105467696206409e+307
1,3944,22743,250000,1.6755249268692867e+308,-6.667956833846287e+307
1,3985,22342,250000,-7.001935337319346e+307,-1.7474860557170292e+308
1,4496,22536,250000,4.2944654835571123e+307,8.63300097323759e+307
1,3992,22506,250000,-4.775314512368524e+307,1.5340714884024192e+308
1,3911,22476,250000,-1.89595085774163e+307,1.5833949697412096e+308
1,4586,22490,250000,-7.645390790094073e+307,-1.301504365132194e+308
1,4174,22485,250000,9.681609677934856e+307,9.130702540968742e+307
1,4445,22574,250000,1.1672789116772906e+307,1.2843838936700998e+308
1,3926,22587,250000,-1.1457416318093839e+308,1.1606317916004401e+308
1,3913,22666,250000,6.324599389265178e+307,-1.5521893848409066e+307
1,3936,22479,250000,-1.5974088742645437e+307,5.298401976765657e+307
1,3963,22590,250000,-1.0680898105240371e+308,-1.519375663531202e+308
1,4016,22572,250000,8.028986708939963e+307,-1.035381199905772e+308
1,4601,22423,250000,-1.0802716575846864e+308,1.5541593864143885e+308
1,3919,22505,250000,-3.210364533000475e+307,3.0214659157941557e+307
1,3920,22676,250000,-6.324874581582125e+307,8.783498918719588e+307
