runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer,param.b.integer
1,4453,22685,250000,-8581987897518043,-7414733381261292
1,3911,22624,250000,6728561662787476,-1632402921344872
1,4254,22803,250000,1914495820513165,-2937101387454630
1,3929,22638,250000,5508881198296208,-2888830591953643
1,4716,22613,250000,6941710887407416,-5370788744386203
1,4348,22617,250000,-6611844176111707,7089846437660656
1,4608,22732,250000,4813870143911907,1850035911334813
1,4862,22581,250000,6127462811463444,7018783336048314
1,3905,22659,250000,2981163355092083,1924655148720567
1,4667,22630,250000,-2091167548889674,-6093825544078108
1,3912,22812,250000,8466610750915045,-4410385584394147
1,3964,24820,250000,-5894948337426596,-4161524904637236
1,4744,22616,250000,-539136001633847,-2496377055918751
1,3910,22613,250000,-6370022465861373,-5726243701081368
1,3911,22642,250000,-7337489904316407,2638284247095739
1,3919,22743,250000,-5654960837925849,4142923932673222
1,4018,22837,250000,6768425755860934,-7273454748476740
1,4668,22790,250000,5711673006274577,8857509802104633
1,4657,22828,250000,2716688173041915,-6541058561782239
1,4395,22687,250000,-7038385876653263,-1798695456968073
1,3921,22646,250000,-2310365713892527,2958954316341999
1,3915,22904,250000,6800658494653152,-2288376235851340
1,3915,22729,250000,-2321208562844093,-2640276543845267
1,3980,22799,250000,4502306289534138,8312902931645465
1,4295,22651,250000,2122146349500267,3601370193967373
1,4547,22789,250000,-3157962819748970,23894603585325
1,3926,22710,250000,-8572829945869678,7829583111151620
1,3910,22949,250000,2718245794086058,-6884501425926652
1,4621,22818,250000,5338222554630228,-2860887904239399
1,3969,22898,250000,1001249565255846,2602148743483615
1,4526,22823,250000,-3896048636675578,635321227789422
1,3916,22951,250000,6105031237878505,-7546220763453124
1,4195,22741,250000,-6365310109781813,-8260097330807004
1,4491,22633,250000,-937435167634368,3992885400868805
1,4772,22674,250000,4483947895826216,5966136978300260
1,4315,22731,250000,-81054411266226,-5685260372487479
1,3925,22798,250000,1340723906415214,8476801868807105
1,4826,22657,250000,-6689999030900311,-5884347591377157
1,4348,22536,250000,-5574450163592244,4199910126716034
1,3950,22681,250000,-3924537065792461,5131975529145057
1,4595,22626,250000,-4880594467557040,-2370407098222296
1,3975,22665,250000,-359363709147354,1162967944362353
1,4741,22563,250000,6454453135396164,3272704742733371
1,3887,22680,250000,7594984842876280,1164900141196417
1,4499,22657,250000,-6112203233078525,-4537413194072622
1,4818,22699,250000,-3868841687095987,8261398657224418
1,4294,22558,250000,7165393881978615,-7728576821623807
1,3986,22544,250000,5676738597801545,-8712124561120394
