elapsed.ps,repeats.n,param.a.vector2,param.b.vector2
53129,100000,2.12517688e+38; -2.23989034e+38,2.16866379e+38; 1.13949792e+38
49560,100000,-1.29516196e+38; -1.32121928e+38,1.38572181e+38; 1.2212826e+37
49777,100000,3.35031839e+38; 2.10196164e+38,-8.224726e+37; 2.14100021e+38
50722,100000,1.79473019e+38; 1.49101621e+38,-1.73751412e+38; -2.4288794e+38
49176,100000,-2.46772985e+37; 2.43185929e+38,1.7488603e+38; -2.19675695e+38
49968,100000,2.79346179e+38; 8.48400112e+37,1.65291538e+38; 3.14387652e+38
61081,100000,2.62843093e+38; -2.99474848e+38,2.93718356e+38; 3.31893055e+38
49639,100000,-1.90078711e+38; -6.46569194e+37,1.9764263e+38; 6.84954872e+37
48066,100000,1.8144457e+38; -1.06699561e+38,-2.50740984e+38; -2.40652818e+38
56344,100000,5.28705121e+37; -2.57065344e+38,3.17676364e+38; 3.30756997e+38
50262,100000,2.78594392e+38; 3.33395414e+38,-1.85390006e+38; 3.15420027e+38
50687,100000,-1.67159193e+38; -1.36599412e+38,-1.62144489e+38; -2.46243401e+38
52575,100000,8.26074553e+37; -2.06942764e+38,9.25252798e+37; -2.15996162e+38
48620,100000,-2.69784855e+36; 1.2973767e+38,3.06393837e+37; -2.09702814e+38
52516,100000,-3.10586039e+38; -1.20157112e+38,2.88561289e+38; 5.01517676e+35
55616,100000,2.2484519e+37; -1.69908712e+37,1.53324044e+38; 1.32876769e+38
49710,100000,2.10998313e+38; -2.03743739e+37,-3.24229996e+38; 2.83585223e+38
50942,100000,4.65507769e+37; 3.20613013e+38,1.1368393e+38; 1.33106873e+38
49825,100000,1.27827757e+38; 1.59205507e+37,2.38409645e+38; 1.29629737e+38
60552,100000,3.57679761e+37; 3.06776922e+38,2.35922291e+38; -4.70836566e+37
50409,100000,-1.85643922e+38; -2.10472821e+37,-1.65700076e+38; -1.56132965e+38
49212,100000,-2.83853514e+37; -2.9985127e+38,2.79703576e+38; -1.89334489e+38
53963,100000,-2.96127358e+38; -6.99182893e+36,2.35818668e+38; 2.15983993e+38
51347,100000,-2.89307966e+38; 3.84258845e+37,2.21503992e+38; -2.28564502e+37
56725,100000,-2.5557264e+38; -1.61903432e+38,-2.95911655e+38; -1.03064679e+38
52176,100000,-1.210827e+38; 3.15811031e+38,1.96580237e+38; -5.04483406e+33
49430,100000,1.56678095e+38; 2.84476453e+38,-1.57597984e+38; -3.30182315e+38
52497,100000,-2.36057676e+38; -3.34795813e+38,-1.23322385e+38; 2.86061051e+37
48780,100000,-1.21425016e+38; -9.80351599e+36,-3.38500476e+38; -3.1654493e+38
60387,100000,-3.0249425e+38; 1.0000955e+38,-6.81537184e+37; -2.45309051e+38
59079,100000,1.70570217e+38; 1.27575484e+38,8.93306989e+37; 1.5092714e+38
49976,100000,1.36108923e+38; 1.78484292e+38,-6.52598496e+37; -3.00041945e+37
50308,100000,1.68962613e+38; -1.89473078e+38,-9.82179843e+37; 1.19951093e+38
58108,100000,-9.7764571e+37; -2.41421704e+38,-1.92205504e+38; -9.08884488e+37
53012,100000,1.32508126e+38; 2.92446426e+38,-3.24567252e+38; 2.75749987e+38
56742,100000,1.80830825e+38; -1.62878631e+38,1.2986765e+38; 2.7682175e+38
52315,100000,-2.93387489e+38; -8.74047219e+37,2.24130909e+38; 2.66599801e+38
51913,100000,2.86856675e+38; -2.26554779e+38,1.23578693e+38; 3.34291166e+38
51922,100000,2.96979564e+38; -2.79885712e+38,3.11850404e+38; 1.88113731e+38
53966,100000,-2.68968096e+38; 1.78809946e+38,-1.85947141e+37; 9.34175842e+37
51119,100000,7.27106232e+37; 3.23856678e+38,-2.03828846e+38; 2.06142278e+38
48877,100000,-2.4385468e+38; 1.50634322e+38,2.89465885e+38; -1.70405646e+38
48837,100000,1.18466502e+38; -2.946164e+38,-1.43805681e+38; -2.24318278e+38
50859,100000,2.48282371e+38; 2.27465236e+38,-5.68954954e+37; -1.28462272e+38
51059,100000,-1.74367084e+38; -9.32156119e+37,5.93278634e+37; 2.84846343e+38
50902,100000,-3.51747942e+37; 2.08826143e+37,-2.05931118e+38; -3.02587468e+38
