elapsed.ps,repeats.n,param.a.vector3,param.b.vector3
19696,100000,5.982821012885315e+37; -1.8014448815939984e+38; 1.3541598435540606e+38,-3.323399578618349e+38; 6.973753628288523e+37; -1.4557007038880612e+36
18846,100000,-2.7222194252335998e+38; -2.76127888400012e+38; 2.4361502354608155e+38,-6.077360873469616e+37; -1.0460479338481238e+38; -2.6389303186684923e+38
17187,100000,2.0844749551117715e+38; -6.124750850273608e+36; -4.699628002177807e+37,-1.712790672040533e+37; -2.369795521146085e+38; -3.180959511863464e+37
17029,100000,1.1256793106653087e+38; 2.9867172582724203e+38; -1.9491632933301618e+38,2.9510390800109248e+38; 9.796325751286783e+37; -1.6261653119197208e+38
17084,100000,-7.074300124476946e+37; -1.3854645258327208e+38; 2.8967431202079733e+37,-1.4893735412972847e+38; -2.908273416537529e+38; -4.99745143460431e+35
17243,100000,-1.5472523380506972e+38; -5.712407308025349e+37; -2.4592942902354464e+38,-2.5551333405669094e+38; 9.808732374476276e+36; 2.7974233548584036e+38
17068,100000,3.0307582796616935e+38; -1.046632675716997e+38; -1.8244449312604434e+38,-1.3038818797996165e+38; 2.1710986926398153e+38; -3.211336020372637e+38
17494,100000,-1.192270771406138e+37; -2.8852693103891635e+38; 3.0960751430770052e+38,1.8084394733699137e+38; -1.6203591679345315e+38; 1.7320400985230707e+38
19176,100000,2.6835096352086464e+38; 8.020427882945208e+37; -2.5881307927510903e+37,2.1383117718673203e+38; 1.8822550720573476e+38; -1.8693895339975592e+38
14893,100000,-6.6127150749580015e+37; 1.0424396931796341e+38; 1.839240137769923e+38,1.812169002847833e+38; 2.894298430672421e+38; 1.5208660386888746e+38
15039,100000,-2.257949187507228e+38; -2.077813197677452e+38; -1.1623590343130326e+38,-1.1937476002010363e+36; 7.885350204111388e+36; -1.2103799715267823e+38
14803,100000,-1.4101816842962109e+38; 1.9461556148100363e+38; 2.1384058822478813e+38,4.692302502889208e+37; 5.506677376517929e+35; 3.2174984248825144e+38
17832,100000,1.8627531042222324e+37; -2.7642293661251633e+38; -2.7101412503146252e+38,1.818855910470061e+38; -1.2267818491130153e+38; 2.608803030267324e+38
16082,100000,-1.8552681091351128e+38; 9.19944283202476e+37; 2.804278809304438e+38,-2.726219522055632e+38; -2.526205351045605e+38; 5.465087661800341e+37
14830,100000,1.2151389347041351e+37; -1.963227927445718e+38; 7.172050183441265e+37,3.2377398640187667e+38; -3.0591130882875986e+38; 1.7754111919231353e+38
15011,100000,-3.2079407450049857e+38; 1.9271935900715823e+38; -1.3134896572288663e+38,2.355498450616471e+38; -3.1142453425445326e+38; -2.0219049384290823e+38
14807,100000,3.0599501433319413e+38; 1.2994047407037065e+38; 3.1072955748938414e+38,-1.0093034079017162e+38; -4.029432538692544e+37; 1.0295054991633375e+38
14732,100000,-2.7538612011598726e+38; -2.8211347086296486e+38; -7.461216497160527e+37,2.385480111316685e+38; 2.2317923836100707e+38; -1.1982791817210997e+38
14935,100000,-1.4098016933522865e+38; -2.0023094940387063e+38; -5.268665708355217e+37,2.877007473661212e+38; 1.0641550550217838e+38; 1.769611842545163e+38
17159,100000,-3.2020511389042773e+38; -3.2638767911545125e+38; -1.404827939457231e+38,1.9633202124094146e+38; 2.9382585252473757e+38; 3.28393528295614e+38
17061,100000,1.451056621546354e+38; -9.382447971517068e+37; 3.1897591873880802e+38,-4.0932374498839516e+37; -1.1088022162220621e+38; 2.6475189050151586e+38
17181,100000,-3.149694126753411e+38; -3.023611569813751e+38; -1.14668123874965e+38,-1.2193997619016223e+37; 8.358717685664274e+37; -2.5349710028281114e+38
20686,100000,1.4707497257389716e+38; -1.021843616111462e+38; -3.1395934867707923e+38,-1.5592805168299988e+38; -1.387093076558834e+36; 3.3620736716024e+38
20642,100000,1.8239001457384893e+38; 3.3703016367063133e+38; -5.766675287610427e+34,-2.6212688020338245e+38; 2.0177389314964922e+38; 2.8695171797945835e+38
17064,100000,2.280828455424483e+37; -1.1748711513854773e+38; 2.047047824670153e+38,3.2430199837108854e+38; 9.838281943792897e+37; -3.061137069941947e+38
16983,100000,2.210216159097802e+38; 2.7019623686419527e+38; -1.1416301074619565e+38,2.39923929234361e+38; -1.6179441667760367e+37; -3.0071917422950186e+38
17238,100000,-2.5253676875289744e+38; -2.820892131010789e+38; 6.697701920618983e+37,2.5188022715402723e+38; 2.1062637392766864e+38; -3.3203253737947235e+38
17146,100000,1.6296723433642882e+38; 9.985608296551421e+37; 1.5472592340699625e+38,2.7947442513738573e+38; -1.6257975918336066e+38; -1.380322630762051e+38
17239,100000,-1.0626043633955366e+38; -2.471967551052192e+38; -3.1429705079698003e+38,-2.7744460214907147e+38; -1.4159557060151904e+37; -3.3162092615897585e+38
18488,100000,-2.467111739368982e+38; 9.31658895929305e+37; 9.885156620627896e+37,2.0921903837250006e+38; -1.3071070871627412e+38; 2.130160879919901e+38
23532,100000,2.160232594518755e+38; 3.027583879734626e+38; 1.754320122648586e+38,1.3325305805406785e+38; -2.4654865098874413e+38; 1.2300591822688214e+38
21763,100000,4.657143452901518e+37; -1.876169132231676e+38; -4.269670835134557e+37,9.387505390351738e+37; -3.1875175754786847e+38; -3.302503943036837e+36
14742,100000,2.5479247186636516e+37; 1.7862432155960615e+38; -2.309254759544241e+38,2.560507164991397e+38; 1.73251348996322e+38; 3.857037127663906e+37
