runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.float,param.b.float
1,3925,27255,250000,-4.796255778165425e+307,8.41282431027656e+307
1,4741,27464,250000,-1.115060510957932e+308,-1.0301296111275137e+307
1,3916,28448,250000,4.071271519967971e+307,1.14020218570736e+308
1,4468,27705,250000,-7.060204580589212e+307,5.56207292673671e+306
1,3924,29082,250000,-1.5786908800178943e+308,-1.7198565527495595e+308
1,4241,28472,250000,-9.451193114008837e+307,-1.6346212670379762e+308
1,4518,27608,250000,-1.691826211260697e+308,1.4525752764083905e+308
1,4798,28406,250000,-6.072140825280613e+307,2.277431988222e+306
1,4308,26673,250000,1.556791062691666e+307,1.1900550906716938e+308
1,4585,26916,250000,-1.6821630786936608e+308,-1.448784417782198e+307
1,4650,26953,250000,1.5530770696214852e+308,-2.4641620449776663e+307
1,4370,26872,250000,1.4109904661297021e+308,-1.6650985990270018e+308
1,4706,26862,250000,7.365407199096482e+307,1.0432552222147107e+308
1,4191,27159,250000,-2.0809131975517748e+307,-7.440454210780369e+307
1,3918,26883,250000,-9.264884309981926e+307,-3.6858089249405285e+307
1,3934,26912,250000,-1.3146472688718317e+307,1.7873144590727007e+308
1,3905,26919,250000,-1.7781192383915512e+308,6.732566700799123e+307
1,3913,26827,250000,-1.3612389318747712e+308,9.101260224818791e+307
1,4857,26980,250000,2.869730174228473e+307,-6.262974740301679e+307
1,3899,26721,250000,1.0015963956338425e+308,-1.6936592427204044e+308
1,4613,26866,250000,4.577390309384897e+307,-1.6890531745755751e+308
1,4871,26813,250000,-1.2249618818636512e+308,1.7154086790291664e+308
1,3896,27010,250000,-3.933796801829712e+307,1.2659998429903987e+308
1,4680,27091,250000,-4.195644668556368e+307,1.4353136505796481e+308
1,4207,26989,250000,-8.646981418654337e+307,1.3396757580988985e+308
1,4452,26764,250000,-6.440785562881272e+307,1.6568473174675534e+308
1,4779,26863,250000,-1.6777950555543513e+308,1.3124258055508228e+308
1,4246,27082,250000,5.254648071190195e+307,-1.3874463455116351e+308
1,4547,27109,250000,-6.209813371528639e+307,-5.383558286771468e+307
1,4844,26784,250000,-1.305521660941562e+308,-1.4386393181608027e+308
1,3960,27263,250000,-7.201116044566192e+307,1.6426131679478764e+308
1,4623,27006,250000,-9.052111726346442e+307,-8.649026252447659e+307
1,4876,26731,250000,-1.614603005501621e+307,-2.1658475511879084e+306
1,4403,26782,250000,1.7326012005003052e+308,1.2436400431442033e+308
1,4698,26707,250000,7.016312672626797e+306,-1.5570673934162363e+308
1,4200,26997,250000,7.266047384707693e+307,1.1556417546936849e+307
