runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.float,param.b.float
1,3319,20667,250000,1.3321502766590292e+308,1.085237761883145e+308
1,3314,20724,250000,7.630809734386802e+307,-1.0773536570354921e+308
1,3291,21382,250000,-1.3245917920241668e+308,6.221409963334296e+306
1,3295,21823,250000,2.2263299544314798e+307,-1.3183178943533837e+308
1,3287,20745,250000,9.097969391202161e+307,-8.643634002445562e+307
1,3284,21874,250000,1.1341260267099362e+308,1.5705044455608613e+308
1,3317,20430,250000,-1.4935387778901968e+308,-1.535674412542239e+308
1,3287,20616,250000,5.391683314840506e+307,-1.4909568217662871e+308
1,3274,20733,250000,1.7066643368428036e+308,1.7266872899469823e+308
1,3277,20526,250000,1.1029560435514457e+308,-1.2684872702442127e+308
1,3275,20419,250000,-1.232828233710948e+308,-9.263067636126879e+306
1,3282,20440,250000,-1.9741569702393607e+307,1.6930396993666214e+308
1,3307,20472,250000,-1.5942003762777742e+308,1.6495202357529163e+308
1,3277,20699,250000,-9.384640198492142e+307,-1.626577690739019e+308
1,3286,20453,250000,9.62163519070144e+307,6.817987613781763e+307
1,3277,20210,250000,5.6333767127628035e+307,-9.782514174907048e+307
1,3280,20421,250000,4.604230268449174e+307,-1.630994187270168e+307
1,3277,20508,250000,-5.629814901017915e+307,5.023993351237018e+307
1,3280,20465,250000,-5.045876808443452e+307,6.083380868448959e+307
1,3317,20657,250000,1.0835297604112172e+308,-6.624938804962658e+307
1,3271,20473,250000,-1.1466753433583156e+308,6.036109811566644e+307
1,3296,20512,250000,-4.827507238028657e+307,1.4000821577630567e+308
1,3283,20457,250000,-8.137352089026338e+307,-8.615992352974374e+307
1,3279,20702,250000,7.217956241383941e+307,-5.202461115701018e+307
1,3364,20593,250000,-5.39991153473202e+307,1.5131146213808574e+308
1,3286,20597,250000,-1.4177879971306593e+308,-1.2131354914924537e+307
1,3282,20505,250000,1.0190451086305372e+308,1.3826317187833665e+308
1,3270,20410,250000,-1.0332308572095986e+308,-1.0467364313640538e+308
1,3385,20439,250000,-2.1380723324027805e+307,-1.3057693488116012e+308
1,3287,20362,250000,1.2522138259706065e+308,-1.1571715826818073e+308
1,3300,20384,250000,1.6026528567406627e+308,1.5397568056199397e+308
1,3339,20486,250000,1.0038714460708126e+308,-1.3445462635367265e+308
1,3280,20635,250000,-1.20165570980284e+308,-7.551235907056336e+307
1,3368,20490,250000,1.4115603452650301e+308,1.158724915821819e+308
1,3287,20520,250000,1.5285973087194295e+308,-1.0417110618081542e+308
1,3273,20354,250000,1.689811643813574e+308,-8.867468591330653e+307
1,3325,20887,250000,5.487811686415086e+307,-9.056040932868256e+306
1,3277,20831,250000,-1.703841126642438e+308,-1.3283770210051137e+308
