runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer,param.b.integer
1,3252,20576,250000,7070944205696699,-2395961528470143
1,3286,20435,250000,-6107841534231383,6319291741202644
1,3283,20753,250000,-1501654844437256,-3168339191376715
1,3308,20793,250000,-8005920717442747,1282955823426690
1,3284,21234,250000,7350875270387567,4843764533550528
1,3304,21188,250000,-1499052180228078,1820541097542169
1,3315,21042,250000,-3256476343668858,607251765312817
1,3278,20767,250000,3117489643012758,-1489845950745965
1,3296,21047,250000,-6810692371509875,4722237303452456
1,3422,20914,250000,-309042753006436,6065946983795018
1,3361,21007,250000,6479324001332488,-1013365730547935
1,3284,21321,250000,-1211636407587583,8721523306755099
1,3249,26631,250000,-5951946946127676,3488585074246323
1,3437,20763,250000,8339079028045362,-8544355003374799
1,3284,20982,250000,-6150275116675476,-7320408581249732
1,3244,21218,250000,-5835804902972185,3788205216270134
1,3282,21568,250000,4533169970718418,6911882445109074
1,3279,20216,250000,2462785336421646,6005760823434998
1,3246,20253,250000,492679275591097,-2394814776842237
1,3281,21522,250000,-733290557064416,-163176488133387
1,3275,21620,250000,-2969424010345986,7348109660681874
1,3322,20502,250000,-8963371298801410,2973551712281534
1,3300,20121,250000,6983930705051323,7890722490592552
1,3286,20584,250000,-8391402938595768,-2977878881751944
1,3330,20484,250000,-4988434978755487,3513688627634236
1,3272,20755,250000,1862104785708127,-3331168605487402
1,3275,21095,250000,1358943324950022,7945881004021120
1,3247,20951,250000,8862792711372995,-814179095243288
1,3363,23379,250000,-6915814557349107,-5638126544856887
1,3318,28868,250000,-1204591923141915,8022251457121838
1,3257,20575,250000,1172220053706521,6824964437139825
1,3283,21542,250000,-1883878959926630,559579680909903
1,3278,21673,250000,-3206184791219217,-3989914502956035
1,3245,20648,250000,2863339206808701,-7422138785211867
1,3280,20031,250000,-6943659425039930,3450282072092107
1,3287,20663,250000,-7150504496813572,1653579067234955
1,3248,21284,250000,9003216077726372,-2004078695415942
1,3288,21675,250000,-5227335729610948,-1887795113222043
1,3283,20616,250000,686079954972922,-8806467779873940
1,3275,21089,250000,5898111081425873,-3860006435461146
1,3333,24301,250000,-6911466274204587,-6931167921639899
1,3344,21527,250000,2992927449208014,-205827317249288
1,3296,21889,250000,-3436574851244749,113905189095813
1,3342,21770,250000,-4825361643099957,-918081125512769
1,3324,23767,250000,-1441354979992924,-790331535844925
1,3513,24155,250000,-8382544385189548,-7002388420965013
1,3283,22914,250000,2859740155741050,-3710671198640688
1,3321,23553,250000,627747664065507,5792232537056324
1,3320,21724,250000,3225261934972256,-1603458915044129
1,3335,21615,250000,-3932358946277180,5627100344651751
1,3333,21018,250000,-7155694825800615,2468426170964624
1,3251,20480,250000,1593750362464217,-2238229914091806
1,3365,22074,250000,-4368032038914099,-5596283787553629
1,3339,21784,250000,-735689361035969,4064031963672192
1,3245,20755,250000,-8058962163270971,-7613835101276628
1,3303,20874,250000,-8421028657976212,6895193254436858
1,3295,21012,250000,10152357603608,8517239507324957
1,3249,20770,250000,7655078759416049,7598969040274413
1,3368,20813,250000,358273386587362,2917596231942993
1,3348,21133,250000,-3982465445258065,-273429086468915
1,3464,28918,250000,-1671604591055220,-2230073546928256
1,3342,28493,250000,-571556012670003,-1410758827292712
