runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.float,param.b.float
1,3922,23666,250000,-4.540902906681197e+307,-2.015582349429114e+306
1,4262,24254,250000,-5.379779888584983e+306,-7.457175159165353e+307
1,3958,24315,250000,2.965297865283972e+307,-5.64201272735438e+306
1,3905,24366,250000,3.6921097778129446e+307,-6.025801930430382e+306
1,3883,24492,250000,1.4723636146540785e+308,-9.785789055841789e+307
1,4630,24490,250000,1.0209825429417613e+308,3.175102212700572e+307
1,4196,23892,250000,-1.3321517814593583e+308,2.1882984072811103e+307
1,4396,23771,250000,-3.8213067007256957e+307,9.725023447171234e+307
1,3957,23801,250000,5.656694573428437e+307,1.1951913544153942e+308
1,4197,24401,250000,2.4060398358034956e+307,-1.1126328928542942e+308
1,3879,24415,250000,1.168083837590343e+308,-1.7329651291864189e+308
1,3941,26111,250000,2.3916729252024725e+307,-1.0928379362829012e+308
1,4362,25687,250000,9.792329767067052e+307,1.304565554281463e+308
1,4564,25857,250000,-9.428765242862326e+307,4.378969995246696e+307
1,4081,25704,250000,3.503505592342224e+306,-1.4605203272545923e+308
1,3909,25988,250000,1.6945209059765972e+308,-1.481146604773189e+308
1,3882,26311,250000,1.5563954528332496e+308,-1.7034926553554721e+308
1,4599,25619,250000,8.029051770042638e+307,2.1242340905882906e+307
1,3905,25320,250000,1.0895110415771524e+308,-1.6997845859486191e+308
1,3919,25884,250000,-1.7773577671248935e+308,5.516636847775956e+307
1,3953,24793,250000,-1.6607474658772454e+308,1.7152238385110559e+308
1,3906,25341,250000,1.7381401215557733e+308,-1.256103001746369e+307
1,4009,25552,250000,2.4952680174416886e+307,-2.3150688160496224e+307
1,3903,25155,250000,-1.303928634517609e+308,-9.788039161691553e+307
1,3903,25365,250000,5.740238016059204e+307,1.6266170720252717e+307
1,3882,25474,250000,-1.2863690345026729e+308,-1.2596078727622513e+308
1,4399,25499,250000,-1.518666048037853e+308,4.803322269781424e+307
1,4673,26121,250000,1.5293084456554398e+308,1.3102745344818614e+308
1,4582,26351,250000,-1.5268662109776926e+308,-8.479519572897875e+306
1,3905,24608,250000,-1.3989062924521684e+308,-1.272260743661802e+307
1,4756,24738,250000,-1.3199156147103158e+308,-1.956470697959206e+307
1,3882,25704,250000,1.5542214191384294e+308,1.4321267239769987e+308
1,4559,25369,250000,3.0226113820606153e+307,-5.598983112091392e+307
1,4809,24389,250000,-1.341121055539027e+308,-6.940083854372362e+307
1,4301,26968,250000,3.922612227988871e+307,1.360082284635739e+308
1,4575,24363,250000,3.8689713431775335e+307,-1.0532482903797165e+308
1,4089,24256,250000,1.0691211301064157e+308,-1.7731004995491423e+308
1,4393,23852,250000,-1.4668502712111413e+308,-1.456058415889946e+308
1,3945,24415,250000,1.6170095886177611e+308,7.030357975335104e+307
1,3969,23844,250000,-1.471751715606331e+308,9.03363630048069e+307
1,4492,23824,250000,-4.7646390336412e+307,1.7930614608484818e+308
1,4731,24372,250000,1.6906571425830685e+308,-1.3127065193728133e+308
1,4254,23778,250000,5.967022741216232e+306,1.5285891112008637e+308
1,4548,24413,250000,1.4378358646185983e+308,-2.4854540211833554e+307
1,4073,23911,250000,1.9558427235255987e+307,8.67277453286072e+307
1,4337,23827,250000,-1.365554503815365e+308,-1.0013043556987206e+308
1,3895,23823,250000,-5.127291254852805e+307,1.4304977509510509e+308
1,4871,23757,250000,-5.384580636974862e+307,8.318163781526802e+307
1,4022,24857,250000,1.458569995982027e+308,-2.791735438792767e+307
1,4712,24277,250000,4.459637888807727e+306,-1.3673894078322685e+307
1,3985,23740,250000,-1.0772110822925803e+308,-7.415707103446915e+307
1,4479,23885,250000,-1.2599934541030092e+308,1.7768676667714312e+308
1,4809,24297,250000,1.4033127446037637e+308,7.861034293393439e+307
1,4302,23657,250000,-3.1917694749756807e+307,1.0303129547405455e+308
1,4581,24213,250000,5.165682369888478e+307,-1.0830997529852069e+308
1,4855,24443,250000,1.2948008395174477e+308,1.2222879543449539e+308
1,3963,23888,250000,-9.286251716922233e+307,1.7631902902249045e+308
1,3908,23782,250000,-2.2506565457552405e+306,1.3281184476748735e+308
1,3914,25381,250000,-5.824629981614494e+307,3.097813745087233e+307
1,4436,25379,250000,7.922158300864313e+306,7.041262519367929e+307
1,3912,25891,250000,-1.5362759291761587e+308,-1.260198393747453e+308
1,4244,25637,250000,-1.151678632751305e+308,-4.158266166954065e+307
1,3975,25802,250000,-2.073029838779031e+307,1.281126246168363e+308
1,3900,24986,250000,-1.692742920789914e+308,-1.4077700260568424e+308
1,4263,26626,250000,1.6195149114054666e+308,-3.184259711220705e+307
1,3907,25652,250000,-1.6246737283544291e+308,-1.6716840523585889e+308
1,3916,24559,250000,6.923333167538909e+307,-4.8638399258324674e+306
1,3909,24282,250000,-1.5224651159857211e+308,1.2365898306594725e+308
1,4780,24559,250000,3.0775265125457384e+307,-1.3564238279467204e+308
1,4571,24386,250000,1.1051256292480196e+308,-1.1653408440684287e+308
1,4448,24388,250000,1.256435012643148e+308,1.9520103344491932e+307
1,4719,23884,250000,-1.5289472761966704e+308,1.3288898357052968e+307
1,3907,23735,250000,-1.033850380420855e+308,1.1449949897863883e+308
1,3896,23980,250000,-1.6870761390608467e+308,-1.1856185556209945e+308
1,4745,23903,250000,-5.660146905216459e+307,1.2905403045633487e+308
1,3912,24487,250000,1.2078611187484625e+308,-1.5603065493642872e+308
1,3967,24240,250000,7.905958211013029e+307,-1.0526852175690586e+308
1,4884,24462,250000,1.1469690521487072e+308,-9.808692494760121e+307
1,3910,24341,250000,1.1532133822684386e+308,-1.121147188232207e+308
1,3902,23812,250000,5.200139988527432e+307,1.7644952864796891e+308
1,4181,24499,250000,1.282669921863538e+308,1.2688953784576604e+307
1,3903,23862,250000,-4.626019251322864e+307,8.604437090894372e+307
1,3925,24277,250000,1.3679073383122827e+308,-5.08947228085685e+307
1,3900,23683,250000,-1.4205792825523673e+308,6.190419719422109e+307
1,3896,24564,250000,1.7452558332644145e+308,-9.589046279343009e+307
1,3902,24397,250000,-3.006908843862647e+307,-9.702556827462763e+307
1,4330,24408,250000,9.341791903562364e+307,-1.6708934515504675e+308
1,4579,25038,250000,1.9633645099563937e+307,-1.1235591571498056e+308
1,3908,25453,250000,-1.160959042567208e+308,-5.5249679400537516e+306
1,3908,25152,250000,-1.3211773168877286e+308,5.21773962026309e+307
1,4642,25422,250000,1.783445622522102e+308,8.598422214490227e+307
1,4905,24967,250000,-1.3530930401453073e+308,-3.234193161652699e+307
1,4474,25603,250000,1.9125205907954067e+307,-1.3927991784301075e+308
1,4679,24974,250000,7.511081892504765e+307,-6.881562138390486e+307
1,4239,23774,250000,2.3082206297915165e+307,1.0890286478037009e+308
1,4522,24385,250000,1.3536216076586868e+308,4.3384661357716105e+307
1,4801,24362,250000,1.8677616661496517e+307,-1.1379450334109401e+308
1,3902,23602,250000,-5.839179198579215e+307,8.52588623198495e+307
1,4611,24291,250000,1.6241439845821289e+308,-1.6659568125850338e+308
1,4878,23831,250000,5.444530945820093e+307,1.0531330626328573e+308
2,3623,27032,250000,-6.209401689745918e+307,1.7630577776209572e+308
2,3387,26459,250000,5.001883028557611e+307,7.370239818312906e+307
2,3366,27066,250000,2.993577535643539e+307,-1.7568887722616875e+307
2,3447,26572,250000,-1.533485648365405e+308,8.223463323867415e+307
2,3388,26460,250000,-1.0954137255179735e+308,6.936786949416554e+306
2,3424,26509,250000,-8.023586366944535e+307,1.7954634074756053e+308
2,3552,26504,250000,6.126810836810237e+307,-1.0928662671173757e+308
2,3475,26731,250000,-4.729214580052601e+307,7.147765249290257e+306
